id,prefab,x,y,z,foundationWidth,foundationDepth,sign
CR019 S06 business,Storefront 1,-127.005,7.648,496.091,31.416,17.373,HILLTOP DINER
CR019 S04 business,Storefront 3,-283.778,8.681,496.380,26.528,18.898,GENERAL STORE
CR019 S07 business,Storefront 2,-181.124,8.154,499.187,22.892,17.295,AUTO SERVICE
CR019 S09 business,Storefront 0,-70.128,7.443,500.059,24.944,18.850,CORNER MARKET
CR019 S05 business,Storefront 0,-333.035,8.438,500.793,21.802,16.111,CORNER MARKET
CR019 S08 business,Storefront 3,50.922,7.678,501.318,23.682,20.348,GENERAL STORE
CR019 S03 business,Storefront 2,-492.584,7.566,504.541,26.058,17.246,AUTO SERVICE
CR019 S02 business,Storefront 1,-392.097,8.019,504.929,25.888,17.925,HILLTOP DINER
CR019 S01 business,Storefront 0,-539.884,7.477,509.478,23.767,20.126,CORNER MARKET
CR019 S11 business,Storefront 2,113.823,8.418,515.198,26.086,17.140,AUTO SERVICE
CR019 S10 business,Storefront 1,203.978,8.192,519.776,22.295,17.869,HILLTOP DINER
CR019 N06 business,Storefront 1,-217.752,8.335,558.414,23.180,17.917,HILLTOP DINER
CR019 N07 business,Storefront 2,14.596,7.410,559.461,25.921,16.524,AUTO SERVICE
CR019 N03 business,Storefront 2,-269.423,8.677,561.098,31.071,17.637,AUTO SERVICE
CR019 N05 business,Storefront 0,-152.946,7.750,561.111,23.381,16.205,CORNER MARKET
CR019 N08 business,Storefront 3,-35.839,7.391,562.864,24.584,17.193,GENERAL STORE
CR019 N01 business,Storefront 0,-428.907,7.467,565.351,29.578,19.503,CORNER MARKET
CR019 N04 business,Storefront 3,-373.730,7.917,567.283,30.656,19.034,GENERAL STORE
CR019 N02 business,Storefront 1,-509.875,7.314,571.648,23.341,17.021,HILLTOP DINER
CR019 N10 business,Storefront 1,77.932,8.522,575.408,30.561,19.535,HILLTOP DINER
CR019 N09 business,Storefront 0,158.001,8.395,579.349,23.119,18.884,CORNER MARKET
CR019 N11 business,Storefront 2,226.294,7.881,591.818,30.074,17.330,AUTO SERVICE
