profile,scenario,time,speed,vx,vy,vz,throttle,brake,steering,grounded,wipeout,x,y,z,up,deltaSpeed,contact,impulse,nx,ny,nz,separation
original,road-0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,False,-564.993,8.768,541.469,1.000,0.000,,0.000,0.000,0.000,0.000,0.0000
original,road-0,0.018,0.195,0.000,-0.195,0.000,1.000,0.000,0.000,2,False,-564.993,8.764,541.469,1.000,0.195,,0.000,0.000,0.000,0.000,0.0000
original,road-0,0.034,0.458,0.290,-0.355,0.000,1.000,0.000,0.000,4,False,-564.987,8.757,541.469,1.000,0.264,,0.000,0.000,0.000,0.000,0.0000
original,road-0,0.050,0.458,0.290,-0.355,0.000,1.000,0.000,0.000,4,False,-564.987,8.757,541.469,1.000,0.000,,0.000,0.000,0.000,0.000,0.0000
original,road-0,0.066,0.752,0.578,-0.480,0.001,1.000,0.000,0.000,4,False,-564.975,8.748,541.469,1.000,0.293,,0.000,0.000,0.000,0.000,0.0000
original,road-0,0.083,1.037,0.864,-0.573,0.001,1.000,0.000,0.000,4,False,-564.958,8.736,541.469,1.000,0.286,,0.000,0.000,0.000,0.000,0.0000
original,road-0,0.100,1.313,1.149,-0.636,0.001,1.000,0.000,0.000,4,False,-564.935,8.723,541.469,1.000,0.276,,0.000,0.000,0.000,0.000,0.0000
original,road-0,0.117,1.582,1.431,-0.673,0.001,1.000,0.000,0.000,4,False,-564.906,8.710,541.469,1.000,0.269,,0.000,0.000,0.000,0.000,0.0000
original,road-0,0.133,1.582,1.431,-0.673,0.001,1.000,0.000,0.000,4,False,-564.906,8.710,541.469,1.000,0.000,,0.000,0.000,0.000,0.000,0.0000
original,road-0,0.150,1.845,1.712,-0.686,0.002,1.000,0.000,0.000,4,False,-564.872,8.696,541.469,1.000,0.263,,0.000,0.000,0.000,0.000,0.0000
original,road-0,0.167,2.104,1.992,-0.680,0.002,1.000,0.000,0.000,4,False,-564.832,8.683,541.469,1.000,0.260,,0.000,0.000,0.000,0.000,0.0000
original,road-0,0.182,2.362,2.269,-0.657,0.002,1.000,0.000,0.000,4,False,-564.786,8.669,541.469,1.000,0.258,,0.000,0.000,0.000,0.000,0.0000
