time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,555.788,32.795,-240.588,33.315,34.000,4,0.000,0.000,0
0.100,556.609,32.173,-243.878,33.901,34.000,2,0.000,0.000,0
0.200,557.420,31.562,-247.129,33.807,34.000,4,0.000,0.000,0
0.300,558.224,30.891,-250.356,33.670,34.000,4,0.000,0.000,0
0.400,559.013,30.254,-253.533,33.470,29.378,4,0.871,0.871,0
0.500,559.789,29.823,-256.651,32.258,30.229,4,4.163,4.163,0
0.600,560.546,29.571,-259.704,31.117,31.441,4,7.372,7.372,0
0.700,561.290,29.386,-262.706,30.595,29.674,4,10.520,10.520,0
0.809,562.010,29.204,-265.615,29.785,31.441,4,13.575,13.575,0
0.917,562.724,29.003,-268.501,29.387,29.674,4,16.585,16.585,0
1.017,563.418,28.793,-271.343,29.418,34.000,4,19.505,19.505,0
1.117,564.099,28.578,-274.232,30.004,34.000,4,22.413,22.413,0
1.217,564.756,28.362,-277.186,30.563,34.000,4,25.315,25.315,0
1.318,565.371,28.142,-280.205,31.051,31.929,4,28.389,28.389,0
1.430,566.023,27.862,-283.837,30.607,29.726,4,32.169,32.169,0
1.533,566.471,27.612,-286.803,29.587,28.346,4,35.222,35.222,0
1.633,566.817,27.357,-289.657,28.507,25.839,4,38.109,38.109,0
1.733,567.056,27.121,-292.388,26.911,24.945,4,40.815,40.815,0
1.833,567.183,26.925,-294.990,25.611,24.246,4,43.386,43.386,0
1.933,567.197,26.775,-297.489,24.662,26.689,4,45.828,45.828,0
2.033,567.094,26.666,-299.927,24.020,22.713,4,48.082,48.082,0
2.133,566.877,26.587,-302.258,22.979,22.167,4,50.323,50.323,0
2.233,566.550,26.527,-304.474,22.229,23.457,4,52.444,52.444,0
2.333,566.109,26.470,-306.627,21.783,22.713,4,54.505,54.505,0
2.433,565.554,26.401,-308.731,21.664,22.167,4,56.527,56.527,0
2.542,564.732,26.279,-311.218,22.027,21.803,4,58.977,58.977,0
2.642,563.930,26.145,-313.237,21.935,21.612,4,60.980,60.980,0
2.742,563.022,25.991,-315.201,21.844,24.865,4,62.965,62.965,0
