time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,230.517,43.477,-340.007,29.654,30.000,4,0.000,0.000,0
0.133,227.669,43.936,-337.928,29.525,30.000,2,0.000,0.000,0
0.266,224.340,44.321,-335.498,29.691,21.248,4,0.000,0.000,0
0.400,221.663,44.698,-333.542,26.684,21.248,4,0.000,0.000,0
0.533,218.912,45.259,-331.533,23.218,21.055,4,2.031,2.031,0
0.666,216.467,45.750,-329.745,21.714,21.248,4,4.974,4.974,0
0.799,214.447,46.047,-328.269,20.445,21.055,4,7.459,7.459,0
0.901,212.440,46.255,-326.804,20.807,20.296,4,10.099,10.099,0
1.034,210.456,46.414,-325.354,20.255,19.975,4,12.717,12.717,0
1.168,208.221,46.559,-323.722,19.908,23.145,4,15.851,15.851,0
1.301,205.897,46.674,-322.028,20.962,26.204,4,18.825,18.825,0
1.434,203.795,46.736,-320.527,21.840,30.000,4,21.419,21.419,0
1.534,201.948,46.748,-319.271,22.546,30.000,4,23.578,23.578,0
1.668,199.186,46.685,-317.565,23.499,30.000,4,26.612,26.612,0
1.801,196.204,46.521,-315.990,24.422,30.000,4,29.858,29.858,0
1.901,193.938,46.356,-314.972,25.067,30.000,4,32.287,32.287,0
2.034,191.076,46.103,-313.881,25.840,30.000,3,35.314,35.314,0
2.167,187.560,45.722,-312.783,26.770,30.000,4,38.963,38.963,0
2.301,183.872,45.257,-311.850,27.707,30.000,4,42.724,42.724,0
2.434,180.589,44.793,-311.153,28.508,30.000,4,46.048,46.048,0
2.567,176.636,44.182,-310.431,29.280,30.000,4,50.007,50.007,0
2.700,172.600,43.506,-309.788,29.716,30.000,4,54.029,54.029,0
2.833,169.102,42.889,-309.294,29.934,30.000,4,57.489,57.489,0
2.967,165.053,42.153,-308.795,29.359,30.000,4,61.541,61.541,0
3.101,160.993,41.418,-308.389,29.766,30.000,4,65.527,65.527,0
3.234,157.496,40.886,-308.065,29.655,29.410,4,68.943,68.943,0
3.368,153.547,40.547,-307.661,27.735,26.833,4,72.884,72.884,0
3.501,149.814,40.476,-307.263,26.248,24.977,4,76.490,76.490,0
3.634,146.821,40.605,-306.990,24.403,22.450,4,79.411,79.411,0
3.767,143.608,40.999,-306.804,22.380,23.016,4,82.380,82.380,0
3.900,140.669,41.640,-306.752,20.661,20.785,4,85.152,85.152,0
4.034,138.313,42.335,-306.832,20.096,20.945,4,87.292,87.292,0
4.168,135.649,43.256,-307.119,20.212,20.878,3,89.705,89.705,0
4.301,133.011,44.191,-307.595,19.818,23.056,1,92.040,92.040,0
4.434,130.757,44.853,-308.020,19.102,23.519,0,93.935,93.935,0
4.567,128.135,45.448,-308.520,18.252,22.206,0,95.800,95.800,0
4.700,125.520,45.850,-309.024,17.402,23.091,0,97.203,97.203,0
4.834,123.286,46.041,-309.459,16.666,23.811,0,97.203,97.203,0
4.934,121.428,46.090,-309.823,16.125,24.649,0,97.203,97.203,0
5.068,118.835,45.991,-310.333,15.482,25.605,0,97.203,97.203,0
5.201,116.250,45.696,-310.842,14.974,26.680,0,97.203,97.203,0
5.334,114.041,45.289,-311.276,14.628,30.000,0,97.203,97.203,0
5.467,111.472,44.633,-311.779,14.385,27.888,0,97.203,97.203,0
5.600,109.017,43.782,-311.719,10.858,29.234,0,97.203,97.203,0
5.733,106.914,42.902,-311.690,10.504,30.000,0,97.203,97.203,0
5.867,104.466,41.700,-311.657,10.138,30.000,0,97.203,97.203,0
5.968,103.171,40.741,-311.782,5.437,30.000,0,97.203,97.203,0
6.101,103.096,39.284,-312.062,1.018,30.000,1,97.203,97.203,0
6.234,103.289,38.994,-312.484,4.347,30.000,4,97.203,97.203,0
6.367,103.542,38.918,-313.192,6.350,30.000,4,97.203,97.203,0
6.500,103.874,38.930,-314.171,8.194,30.000,4,97.203,97.203,0
6.634,104.216,38.917,-315.204,9.678,30.000,4,97.203,97.203,0
6.767,104.668,38.855,-316.618,11.330,30.000,4,97.203,97.203,0
6.900,105.169,38.796,-318.240,12.833,30.000,4,97.203,97.203,0
7.033,105.609,38.854,-319.774,13.996,30.000,4,97.203,97.203,0
7.166,106.170,39.064,-321.733,15.296,30.000,4,97.203,97.203,0
7.300,106.669,39.342,-323.549,16.325,30.000,4,97.203,97.203,0
7.433,107.284,39.672,-325.827,17.455,30.000,4,97.203,97.203,0
7.566,107.966,39.880,-328.272,18.572,30.000,2,97.203,97.203,0
7.699,108.581,39.913,-330.421,18.489,30.000,0,97.203,97.203,0
7.834,109.299,39.773,-332.919,18.457,30.000,0,97.203,97.203,0
7.967,110.017,39.442,-335.407,18.485,30.000,0,97.203,97.203,0
8.101,110.737,38.920,-337.886,18.561,30.000,0,97.203,97.203,0
8.234,111.357,38.335,-340.010,18.716,30.000,1,97.203,97.203,0
8.367,112.157,37.731,-342.589,20.170,30.000,4,97.203,97.203,0
