time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,555.788,32.795,-240.588,33.315,34.000,0,0.000,0.000,0
0.133,556.918,31.947,-245.117,33.506,34.000,4,0.000,0.000,0
0.266,558.039,31.050,-249.614,33.189,33.654,4,0.000,0.000,0
0.400,558.971,30.283,-253.363,33.127,29.378,4,0.693,0.693,0
0.533,560.054,29.724,-257.720,31.669,30.864,4,5.214,5.214,0
0.666,561.083,29.441,-261.870,30.143,29.674,4,9.515,9.515,0
0.799,561.935,29.228,-265.311,28.959,31.441,4,13.088,13.088,0
0.932,562.905,28.953,-269.230,29.160,29.674,4,17.120,17.120,0
1.066,563.875,28.654,-273.224,29.775,34.000,4,21.149,21.149,0
1.199,564.683,28.394,-276.744,30.455,34.000,4,24.619,24.619,0
1.332,565.554,28.085,-280.969,31.205,31.929,4,28.896,28.896,0
1.465,566.291,27.756,-285.227,30.241,28.346,4,33.353,33.353,0
1.598,566.768,27.459,-288.722,29.132,26.956,4,36.901,36.901,0
1.732,567.133,27.118,-292.597,27.008,24.945,4,40.765,40.765,0
1.865,567.282,26.829,-296.182,24.866,23.735,4,44.256,44.256,0
1.969,567.259,26.657,-298.609,23.907,23.396,4,46.608,46.608,0
2.103,567.050,26.454,-301.823,22.387,23.218,4,49.638,49.638,0
2.236,566.705,26.303,-304.446,21.676,23.457,4,52.140,52.140,0
2.369,566.086,26.139,-307.477,22.334,21.612,4,55.066,55.066,0
2.502,565.222,25.985,-310.480,22.073,22.653,4,57.887,57.887,0
2.635,564.316,25.870,-312.922,21.285,24.564,4,60.284,60.284,0
2.769,563.055,25.755,-315.642,21.454,24.865,4,63.082,63.082,0
2.902,561.760,25.664,-317.932,22.184,25.490,4,65.495,65.495,0
3.035,559.980,25.565,-320.577,23.160,28.548,4,68.457,68.457,0
3.136,558.537,25.498,-322.442,23.834,34.000,4,70.591,70.591,0
3.269,556.290,25.411,-325.010,24.758,34.000,4,73.798,73.798,0
3.403,553.802,25.338,-327.527,25.658,34.000,4,77.223,77.223,0
3.536,551.499,25.290,-329.649,26.405,34.000,4,80.254,80.254,0
3.669,548.640,25.248,-332.098,27.252,34.000,4,83.923,83.923,0
3.802,546.060,25.223,-334.185,27.950,34.000,4,87.156,87.156,0
3.935,542.914,25.202,-336.617,28.733,34.000,4,91.049,91.049,0
4.069,539.637,25.183,-339.049,29.482,34.000,4,95.053,95.053,0
4.202,536.735,25.218,-341.135,30.085,34.000,4,98.555,98.555,0
4.335,533.244,25.398,-343.567,30.734,34.000,4,102.738,102.738,0
4.468,529.635,25.647,-345.988,31.337,34.000,4,107.011,107.011,0
4.601,526.451,25.830,-348.046,31.829,34.000,4,110.731,110.731,0
4.735,522.628,25.990,-350.419,32.382,34.000,4,115.155,115.155,0
4.868,518.689,26.106,-352.745,32.857,34.000,4,119.652,119.652,0
5.001,515.230,26.169,-354.683,33.119,34.000,4,123.576,123.576,0
5.134,511.111,26.189,-356.860,33.322,34.000,4,128.157,128.157,0
5.267,506.910,26.145,-358.927,33.462,34.000,4,132.722,132.722,0
5.401,503.248,26.061,-360.598,33.543,34.000,4,136.692,136.692,0
5.534,498.911,25.934,-362.416,33.610,33.290,4,141.300,141.300,0
5.667,494.560,25.868,-364.056,32.673,34.000,4,145.865,145.865,0
5.800,490.854,26.011,-365.298,32.503,31.798,4,149.670,149.670,0
5.933,486.566,26.507,-366.554,32.117,34.000,4,154.020,154.020,0
6.067,482.299,27.224,-367.589,30.995,34.000,4,158.228,158.228,0
6.200,478.698,27.938,-368.266,31.264,34.000,4,161.760,161.760,0
6.333,474.437,28.896,-368.791,31.585,34.000,4,165.809,165.809,0
6.466,470.144,30.006,-369.003,31.847,34.000,2,169.971,169.971,0
6.599,466.422,30.965,-368.974,31.668,34.000,0,173.573,173.573,0
6.733,462.084,31.911,-368.918,31.090,34.000,0,177.819,177.819,0
6.866,457.759,32.662,-368.862,30.496,34.000,0,182.066,182.066,0
6.999,454.062,33.149,-368.813,29.918,34.000,0,185.694,185.694,0
7.132,449.762,33.538,-368.756,29.327,34.000,0,189.929,189.929,0
7.265,445.477,33.733,-368.699,28.756,34.000,0,194.156,194.156,0
7.399,441.815,33.746,-368.650,28.205,34.000,0,197.768,197.768,0
7.532,437.556,33.583,-368.593,27.676,34.000,0,201.984,201.984,0
7.665,433.312,33.229,-368.537,27.162,34.000,0,206.199,206.199,0
7.798,429.685,32.774,-368.489,26.635,34.000,0,209.810,209.810,0
7.931,425.468,32.066,-368.433,26.109,34.000,0,214.027,214.027,0
8.065,421.265,31.168,-368.378,25.555,34.000,0,218.255,218.255,0
8.198,417.673,30.249,-368.331,24.941,34.000,0,221.903,221.903,0
8.331,413.494,29.000,-368.277,24.286,34.000,0,226.170,226.170,0
8.464,409.329,27.563,-368.224,23.566,34.000,0,230.462,230.462,0
8.597,405.769,26.182,-368.179,22.766,34.000,0,234.188,234.188,0
8.731,401.703,24.713,-368.105,20.964,34.000,4,238.483,238.483,0
8.864,397.874,24.826,-367.664,22.933,34.000,4,242.582,242.582,0
8.997,394.775,25.079,-366.906,24.902,32.906,4,245.928,245.928,0
9.130,391.348,25.561,-365.585,26.476,34.000,4,249.501,249.501,0
9.263,387.975,26.104,-363.986,27.189,34.000,4,252.799,252.799,0
9.397,384.940,26.589,-362.818,27.340,34.000,4,255.594,255.594,0
9.530,381.241,27.186,-361.876,27.339,34.000,4,258.947,258.947,0
9.663,377.453,27.829,-361.414,27.205,34.000,4,262.407,262.407,0
9.796,374.195,28.413,-361.412,26.999,34.000,4,265.346,265.346,0
9.929,370.439,29.115,-361.869,26.998,34.000,4,268.938,268.938,0
10.063,366.785,29.821,-362.815,27.168,34.000,4,272.491,272.491,0
10.196,363.771,30.428,-364.009,27.428,34.000,4,275.591,275.591,0
10.329,360.402,31.169,-365.784,27.886,34.000,4,279.281,279.281,0
10.462,357.581,31.840,-367.515,28.309,34.000,4,282.445,282.445,0
10.595,354.332,32.700,-369.673,28.794,34.000,4,286.265,286.265,0
10.729,351.084,33.672,-371.914,29.241,34.000,4,290.103,290.103,0
10.862,348.291,34.576,-373.868,29.601,34.000,4,293.439,293.439,0
10.995,345.033,35.785,-376.162,29.966,34.000,4,297.383,297.383,0
11.128,341.772,37.137,-378.469,30.280,34.000,4,301.336,301.336,0
11.261,338.958,38.331,-380.461,30.505,33.053,4,304.758,304.758,0
11.395,335.679,39.701,-382.783,29.618,28.223,4,308.777,308.777,0
11.528,332.532,40.930,-385.012,27.937,27.469,2,312.651,312.651,0
11.661,329.984,41.797,-386.812,26.514,25.270,1,315.778,315.778,0
11.794,327.044,42.625,-388.890,26.118,23.206,0,319.362,319.362,0
11.927,324.111,43.259,-390.961,25.791,21.083,0,322.917,322.917,0
12.061,321.601,43.648,-392.732,25.573,19.090,0,325.919,325.919,0
12.194,318.680,43.922,-394.791,25.377,19.301,0,329.287,329.287,0
