time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-167.990,31.541,-582.543,39.998,40.000,0,0.000,0.000,0
0.100,-171.985,31.523,-582.577,39.918,40.000,0,0.000,0.000,0
0.201,-175.901,31.447,-582.611,38.690,20.160,4,0.000,0.000,0
0.302,-179.604,31.393,-582.643,35.912,20.160,4,0.000,0.000,0
0.404,-183.029,31.371,-582.672,33.142,20.180,4,2.284,2.284,0
0.506,-186.179,31.360,-582.699,30.380,20.160,4,5.260,5.260,0
0.606,-189.053,31.340,-582.724,27.628,20.180,4,8.401,8.401,0
0.707,-191.659,31.301,-582.746,25.236,24.554,4,11.619,11.619,0
0.807,-194.122,31.245,-582.767,24.498,26.144,4,14.384,14.384,0
0.907,-196.624,31.174,-582.789,25.343,33.202,4,17.084,17.084,0
1.007,-199.212,31.092,-582.811,26.234,40.000,4,19.759,19.759,0
1.107,-201.887,31.000,-582.834,27.100,40.000,4,22.316,22.316,0
1.209,-204.647,30.895,-582.852,27.942,40.000,4,24.977,24.977,0
1.310,-207.489,30.773,-582.844,28.755,40.000,4,27.627,27.627,0
1.410,-210.410,30.630,-582.779,29.538,40.000,4,30.422,30.422,0
1.510,-213.404,30.465,-582.628,30.291,40.000,4,33.376,33.376,0
1.610,-216.463,30.275,-582.368,31.021,40.000,4,36.410,36.410,0
1.710,-219.581,30.059,-581.989,31.732,40.000,4,39.524,39.524,0
1.810,-222.750,29.816,-581.484,32.429,40.000,4,42.697,42.697,0
1.910,-225.966,29.543,-580.856,33.113,40.000,4,45.917,45.917,0
2.010,-229.222,29.238,-580.107,33.786,40.000,4,49.185,49.185,0
2.110,-232.515,28.894,-579.240,34.448,40.000,4,52.498,52.498,0
2.211,-235.839,28.505,-578.257,35.100,40.000,4,55.854,55.854,0
2.314,-239.863,27.972,-576.928,35.873,40.000,4,59.903,59.903,0
2.415,-243.240,27.475,-575.694,36.504,40.000,4,63.354,63.354,0
2.515,-246.634,26.941,-574.345,37.121,40.000,4,66.924,66.924,0
2.615,-250.042,26.377,-572.880,37.724,40.000,4,70.475,70.475,0
2.715,-253.458,25.792,-571.298,38.311,40.000,4,74.076,74.076,0
2.815,-256.879,25.193,-569.598,38.843,40.000,4,77.729,77.729,0
2.915,-260.290,24.605,-567.785,39.210,40.000,4,81.505,81.505,0
3.015,-263.684,24.074,-565.875,39.393,40.000,4,85.237,85.237,0
3.116,-267.057,23.757,-563.904,39.372,40.000,4,89.057,89.057,0
3.216,-270.435,23.622,-561.875,39.511,40.000,4,92.832,92.832,0
3.316,-273.782,23.578,-559.787,39.554,40.000,4,96.693,96.693,0
3.416,-277.099,23.523,-557.623,39.591,40.000,4,100.489,100.489,0
3.516,-280.347,23.417,-555.356,39.617,40.000,4,104.370,104.370,0
3.616,-283.518,23.314,-552.983,39.637,40.000,4,108.251,108.251,0
3.716,-286.602,23.351,-550.535,39.420,40.000,4,112.070,112.070,0
3.816,-289.638,23.591,-548.035,39.453,40.000,4,115.899,115.899,0
3.916,-292.642,23.912,-545.496,39.480,40.000,4,119.760,119.760,0
4.017,-295.601,24.276,-542.909,39.491,40.000,4,123.607,123.607,0
4.117,-298.510,24.676,-540.271,39.490,40.000,4,127.476,127.476,0
4.217,-301.372,25.103,-537.586,39.479,40.000,4,131.322,131.322,0
4.322,-304.193,25.529,-534.858,39.464,40.000,4,135.200,135.200,0
4.422,-306.987,25.902,-532.092,39.455,40.000,2,139.069,139.069,0
4.522,-309.765,26.181,-529.308,39.333,40.000,0,142.967,142.967,0
4.622,-312.538,26.361,-526.530,39.195,40.000,0,146.862,146.862,0
4.722,-315.306,26.443,-523.757,39.076,40.000,0,150.740,150.740,0
4.822,-318.068,26.427,-520.989,38.976,40.000,0,154.627,154.627,0
4.922,-320.824,26.313,-518.227,38.892,40.000,0,158.508,158.508,0
5.022,-323.574,26.101,-515.471,38.824,40.000,0,162.383,162.383,0
5.122,-326.313,25.798,-512.714,38.838,40.000,2,166.252,166.252,0
5.222,-328.930,25.843,-509.917,38.310,40.000,4,170.078,170.078,0
5.323,-331.504,26.206,-507.077,38.662,40.000,4,173.887,173.887,0
5.423,-334.079,26.654,-504.210,38.903,40.000,4,177.720,177.720,0
5.523,-336.653,27.164,-501.334,39.067,40.000,4,181.566,181.566,0
5.623,-339.225,27.760,-498.458,39.148,40.000,4,185.410,185.410,0
5.723,-341.791,28.451,-495.588,39.185,40.000,4,189.256,189.256,0
5.823,-344.351,29.220,-492.725,39.196,40.000,4,193.087,193.087,0
5.923,-346.903,29.997,-489.849,39.083,40.000,0,196.919,196.919,0
6.023,-349.451,30.682,-486.972,38.819,40.000,0,200.755,200.755,0
6.123,-351.995,31.267,-484.101,38.575,40.000,0,204.584,204.584,0
6.225,-354.536,31.753,-481.237,38.354,40.000,0,208.410,208.410,0
6.325,-357.071,32.139,-478.381,38.159,40.000,0,212.225,212.225,0
6.426,-359.603,32.426,-475.531,37.995,40.000,0,216.032,216.032,0
6.526,-362.129,32.615,-472.689,37.865,40.000,0,219.834,219.834,0
6.626,-364.651,32.706,-469.854,37.770,40.000,0,223.625,223.625,0
6.726,-367.168,32.698,-467.027,37.709,40.000,0,227.409,227.409,0
6.826,-369.679,32.592,-464.206,37.677,40.000,0,231.184,231.184,0
6.926,-372.185,32.389,-461.393,37.669,40.000,0,234.951,234.951,0
7.026,-374.685,32.089,-458.586,37.674,40.000,0,238.710,238.710,0
7.126,-377.180,31.691,-455.786,37.683,40.000,0,242.460,242.460,0
7.226,-379.669,31.195,-452.992,37.685,40.000,0,246.203,246.203,0
7.326,-382.153,30.603,-450.205,37.673,40.000,0,249.937,249.937,0
7.426,-384.631,29.914,-447.423,37.636,40.000,0,253.663,253.663,0
7.526,-387.103,29.129,-444.647,37.571,40.000,0,257.382,257.382,0
7.626,-389.570,28.247,-441.876,37.474,40.000,0,261.093,261.093,0
7.727,-392.032,27.268,-439.111,37.345,40.000,0,264.796,264.796,0
7.827,-394.488,26.194,-436.351,37.188,40.000,0,268.493,268.493,0
7.927,-396.939,25.023,-433.595,37.007,40.000,0,272.182,272.182,0
8.027,-399.385,23.757,-430.845,36.809,40.000,0,275.864,275.864,0
8.127,-401.826,22.396,-428.100,36.600,40.000,0,279.539,279.539,0
8.228,-404.262,20.939,-425.360,36.389,40.000,0,283.208,283.208,0
8.328,-406.741,20.092,-422.653,36.367,40.000,4,286.886,286.886,0
8.428,-409.336,20.002,-420.055,36.920,40.000,4,290.547,290.547,0
8.528,-412.002,19.951,-417.453,37.459,40.000,4,294.261,294.261,0
8.628,-414.715,19.874,-414.825,37.981,40.000,4,298.028,298.028,0
8.729,-417.466,19.758,-412.166,38.481,40.000,4,301.843,301.843,0
8.843,-420.810,19.580,-408.935,38.954,40.000,4,306.486,306.486,0
8.948,-423.623,19.420,-406.218,39.245,40.000,4,310.390,310.390,0
9.060,-427.018,19.228,-402.938,39.452,40.000,4,315.114,315.114,0
9.160,-429.859,19.072,-400.194,39.567,40.000,4,319.066,319.066,0
9.263,-432.706,18.920,-397.444,39.648,40.000,4,323.030,323.030,0
9.363,-435.558,18.768,-394.689,39.707,40.000,4,327.003,327.003,0
9.463,-438.414,18.616,-391.931,39.749,40.000,4,330.983,330.983,0
9.563,-441.273,18.463,-389.170,39.779,40.000,4,334.968,334.968,0
9.663,-444.132,18.310,-386.407,39.801,40.000,4,338.958,338.958,0
9.764,-446.994,18.156,-383.644,39.817,40.000,4,342.952,342.952,0
9.864,-449.856,18.002,-380.879,39.828,40.000,4,346.949,346.949,0
9.964,-452.719,17.848,-378.114,39.836,40.000,4,350.950,350.950,0
10.065,-455.582,17.694,-375.348,39.842,40.000,4,354.966,354.966,0
10.172,-458.446,17.539,-372.582,39.847,40.000,4,358.973,358.973,0
10.273,-461.310,17.385,-369.816,39.850,40.000,4,362.999,362.999,0
10.373,-464.175,17.230,-367.049,39.852,40.000,4,367.013,367.013,0
10.473,-467.039,17.075,-364.283,39.854,40.000,4,371.013,371.013,0
10.574,-470.477,16.890,-360.963,39.855,40.000,4,375.826,375.826,0
10.674,-473.341,16.736,-358.196,39.856,40.000,4,379.839,379.839,0
10.774,-476.206,16.582,-355.429,39.856,40.000,4,383.834,383.834,0
10.874,-479.071,16.428,-352.663,39.857,40.000,4,387.842,387.842,0
10.974,-481.936,16.274,-349.896,39.857,40.000,4,391.832,391.832,0
11.074,-484.801,16.120,-347.129,39.857,40.000,4,395.833,395.833,0
11.175,-487.665,15.967,-344.363,39.857,40.000,4,399.829,399.829,0
11.275,-490.530,15.813,-341.596,39.857,40.000,4,403.810,403.810,0
11.375,-493.395,15.660,-338.829,39.857,40.000,4,407.796,407.796,0
11.476,-496.260,15.507,-336.063,39.857,40.000,4,411.777,411.777,0
11.577,-499.125,15.354,-333.296,39.857,40.000,4,415.752,415.752,0
11.677,-501.990,15.201,-330.529,39.857,40.000,4,419.718,419.718,0
11.777,-504.855,15.048,-327.763,39.857,40.000,4,423.683,423.683,0
11.877,-507.720,14.896,-324.996,39.857,40.000,4,427.641,427.641,0
11.977,-510.585,14.744,-322.229,39.857,40.000,4,431.594,431.594,0
12.077,-513.450,14.592,-319.463,39.857,40.000,4,435.541,435.541,0
12.178,-516.315,14.441,-316.696,39.856,40.000,4,439.483,439.483,0
12.279,-519.180,14.289,-313.930,39.856,40.000,4,443.420,443.420,0
12.379,-522.049,14.138,-311.168,39.856,40.000,4,447.354,447.354,0
12.481,-524.935,13.987,-308.423,39.852,40.000,4,451.287,451.287,0
12.581,-527.855,13.835,-305.716,39.844,40.000,4,455.224,455.224,0
12.681,-530.824,13.684,-303.063,39.834,40.000,4,459.168,459.168,0
12.781,-533.850,13.532,-300.477,39.825,40.000,4,463.121,463.121,0
12.883,-536.932,13.379,-297.959,39.819,40.000,4,467.081,467.081,0
12.983,-540.066,13.227,-295.507,39.820,40.000,4,471.054,471.054,0
13.084,-543.243,13.074,-293.110,39.824,40.000,4,475.033,475.033,0
13.184,-546.453,12.920,-290.757,39.830,40.000,4,479.024,479.024,0
13.289,-549.685,12.767,-288.433,39.837,40.000,4,483.018,483.018,0
13.390,-552.930,12.612,-286.126,39.842,40.000,4,487.029,487.029,0
13.490,-556.174,12.458,-283.831,39.479,39.105,4,491.036,491.036,0
13.590,-559.329,12.308,-281.604,38.541,40.000,4,494.964,494.964,0
13.691,-562.444,12.160,-279.406,37.392,36.912,4,498.836,498.836,0
13.792,-565.422,12.017,-277.305,36.186,32.298,4,502.567,502.567,0
13.892,-568.258,11.882,-275.305,34.094,33.459,4,506.098,506.098,0
13.992,-570.983,11.752,-273.383,32.775,31.019,4,509.429,509.429,0
14.094,-574.110,11.606,-271.177,31.684,37.096,4,513.251,513.251,0
14.195,-576.690,11.486,-269.358,31.098,32.226,4,516.396,516.396,0
14.296,-579.253,11.357,-267.550,31.531,37.715,4,519.484,519.484,0
14.396,-581.864,11.180,-265.709,32.250,40.000,2,522.648,522.648,0
14.496,-584.516,10.915,-263.838,32.543,40.000,0,525.875,525.875,0
14.596,-587.164,10.554,-261.971,32.568,40.000,0,529.105,529.105,0
14.696,-589.809,10.097,-260.105,32.747,40.000,2,532.323,532.323,0
14.796,-592.502,9.617,-258.207,33.511,40.000,4,535.599,535.599,0
14.897,-595.253,9.161,-256.268,34.239,38.892,4,538.951,538.951,0
14.997,-598.063,8.736,-254.286,34.940,35.773,4,542.380,542.380,0
15.098,-600.927,8.358,-252.266,35.427,33.821,4,545.896,545.896,0
15.199,-603.738,8.053,-250.285,33.886,32.882,4,549.400,549.400,0
15.303,-606.420,7.845,-248.393,32.296,31.001,4,552.768,552.768,0
15.405,-608.966,7.728,-246.598,30.332,28.953,4,555.990,555.990,0
15.515,-611.816,7.676,-244.589,27.849,26.796,4,559.608,559.608,0
15.615,-614.015,7.665,-243.040,26.002,24.398,4,562.428,562.428,0
15.715,-616.062,7.672,-241.597,24.406,20.902,4,565.002,565.002,0
15.815,-617.960,7.714,-240.257,22.913,21.498,4,567.443,567.443,0
15.915,-619.782,7.787,-238.971,22.048,21.437,4,569.763,569.763,0
16.015,-621.520,7.856,-237.726,20.794,22.020,4,571.919,571.919,0
16.115,-623.207,7.894,-236.452,21.262,19.524,4,574.037,574.037,0
16.216,-624.809,7.902,-235.110,20.965,20.534,4,576.114,576.114,0
