time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,555.788,32.795,-240.588,33.315,36.000,4,0.000,0.000,0
0.100,556.601,32.180,-243.848,34.022,36.000,2,0.000,0.000,0
0.200,557.422,31.518,-247.141,34.266,36.000,0,0.000,0.000,0
0.300,558.243,30.793,-250.442,34.809,36.000,4,0.000,0.000,0
0.400,559.068,30.218,-253.763,35.055,36.000,4,1.057,1.057,0
0.500,559.902,29.818,-257.119,34.554,34.200,4,4.539,4.539,0
0.600,560.719,29.481,-260.413,33.930,35.571,4,7.938,7.938,0
0.700,561.529,29.178,-263.682,33.338,32.880,4,11.319,11.319,0
0.800,562.309,28.915,-266.831,32.363,35.571,4,14.589,14.589,0
0.900,563.095,28.676,-270.003,32.978,36.000,4,17.837,17.837,0
1.000,563.895,28.451,-273.235,33.718,36.000,4,21.084,21.084,0
1.100,564.714,28.230,-276.547,34.523,36.000,4,24.347,24.347,0
1.200,565.548,28.001,-279.930,35.136,35.501,4,27.786,27.786,0
1.300,566.364,27.760,-283.321,34.532,32.961,4,31.349,31.349,0
1.400,567.103,27.504,-286.610,33.324,31.895,4,34.758,34.758,0
1.500,567.725,27.232,-289.777,31.646,29.042,4,37.958,37.958,0
1.600,568.197,26.961,-292.776,29.768,28.023,4,40.961,40.961,0
1.700,568.508,26.712,-295.631,28.221,27.612,4,43.662,43.662,0
1.800,568.654,26.496,-298.375,27.103,26.258,4,46.290,46.290,0
1.900,568.635,26.315,-301.005,25.836,25.697,4,48.776,48.776,0
2.000,568.454,26.164,-303.538,25.247,25.079,4,51.131,51.131,0
2.100,568.110,26.032,-306.009,24.914,24.668,4,53.411,53.411,0
2.229,567.492,25.888,-308.886,24.241,28.132,4,55.847,55.847,0
2.344,566.645,25.760,-311.683,24.640,24.668,4,58.469,58.469,0
2.446,565.763,25.663,-313.965,24.324,28.264,4,60.612,60.612,0
2.546,564.729,25.573,-316.185,24.437,28.132,4,62.735,62.735,0
2.646,563.530,25.491,-318.372,25.215,28.838,4,64.880,64.880,0
