time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-167.990,31.541,-582.543,39.998,40.000,4,0.000,0.000,0
0.100,-171.985,31.523,-582.577,39.918,40.000,0,0.000,0.000,0
0.200,-175.877,31.447,-582.611,38.087,20.822,4,0.000,0.000,0
0.300,-179.519,31.393,-582.642,35.311,20.822,4,0.000,0.000,0
0.400,-182.885,31.371,-582.671,32.542,20.842,4,2.161,2.161,0
0.501,-185.974,31.361,-582.697,29.781,19.287,4,5.081,5.081,0
0.601,-188.788,31.342,-582.722,27.030,20.842,4,8.155,8.155,0
0.702,-191.359,31.306,-582.744,25.272,25.359,4,11.318,11.318,0
0.819,-194.392,31.237,-582.770,25.467,27.002,4,14.633,14.633,0
0.920,-196.996,31.164,-582.792,26.413,34.291,4,17.427,17.427,0
1.022,-199.696,31.079,-582.815,27.391,40.000,4,20.202,20.202,0
1.124,-202.491,30.982,-582.839,28.343,40.000,4,22.941,22.941,0
1.225,-205.381,30.869,-582.858,29.268,40.000,4,25.642,25.642,0
1.326,-208.360,30.737,-582.850,30.162,40.000,4,28.432,28.432,0
1.426,-211.426,30.582,-582.782,31.024,40.000,4,31.383,31.383,0
1.530,-215.210,30.362,-582.577,32.021,40.000,4,35.112,35.112,0
1.630,-218.443,30.149,-582.276,32.821,40.000,4,38.321,38.321,0
1.730,-221.738,29.906,-581.844,33.601,40.000,4,41.611,41.611,0
1.830,-225.089,29.631,-581.276,34.366,40.000,4,44.955,44.955,0
1.932,-228.488,29.322,-580.574,35.117,40.000,4,48.332,48.332,0
2.033,-231.932,28.973,-579.739,35.857,40.000,4,51.764,51.764,0
2.133,-235.413,28.572,-578.775,36.585,40.000,2,55.255,55.255,0
2.234,-238.925,28.104,-577.680,37.312,40.000,4,58.797,58.797,0
2.336,-242.462,27.586,-576.456,38.024,40.000,4,62.388,62.388,0
2.439,-246.020,27.032,-575.103,38.701,40.000,4,66.030,66.030,0
2.559,-250.301,26.336,-573.313,39.309,40.000,4,70.497,70.497,0
2.660,-253.854,25.736,-571.691,39.579,40.000,4,74.229,74.229,0
2.763,-257.374,25.122,-569.959,39.755,40.000,4,77.976,77.976,0
2.863,-260.856,24.517,-568.119,39.867,40.000,4,81.823,81.823,0
2.980,-264.982,23.920,-565.815,39.711,40.000,4,86.372,86.372,0
3.082,-268.405,23.703,-563.862,39.610,40.000,4,90.133,90.133,0
3.182,-271.814,23.577,-561.857,39.695,40.000,4,93.992,93.992,0
3.282,-275.201,23.521,-559.784,39.704,40.000,4,97.774,97.774,0
3.382,-278.520,23.451,-557.597,39.699,40.000,4,101.654,101.654,0
3.482,-281.747,23.351,-555.281,39.703,40.000,4,105.536,105.536,0
3.607,-286.092,23.374,-551.868,39.418,40.000,4,110.893,110.893,0
3.712,-289.136,23.582,-549.372,39.504,40.000,4,114.742,114.742,0
3.812,-292.151,23.857,-546.839,39.542,40.000,4,118.597,118.597,0
3.912,-295.124,24.194,-544.256,39.557,40.000,4,122.397,122.397,0
4.012,-298.042,24.579,-541.615,39.558,40.000,4,126.263,126.263,0
4.113,-300.906,24.992,-538.918,39.556,40.000,4,130.105,130.105,0
4.213,-303.723,25.411,-536.174,39.551,40.000,4,133.959,133.959,0
4.313,-306.507,25.796,-533.389,39.549,40.000,4,137.849,137.849,0
4.413,-309.272,26.098,-530.577,39.458,40.000,0,141.750,141.750,0
4.515,-312.031,26.302,-527.770,39.316,40.000,0,145.633,145.633,0
4.624,-314.785,26.407,-524.968,39.194,40.000,0,149.532,149.532,0
4.724,-317.533,26.413,-522.172,39.088,40.000,0,153.425,153.425,0
4.824,-320.276,26.322,-519.382,38.999,40.000,0,157.313,157.313,0
4.925,-323.013,26.133,-516.597,38.927,40.000,0,161.197,161.197,0
5.025,-325.745,25.846,-513.818,38.869,40.000,0,165.074,165.074,0
5.125,-328.377,25.823,-511.022,38.286,40.000,4,168.911,168.911,0
5.225,-330.962,26.151,-508.189,38.736,40.000,4,172.719,172.719,0
5.326,-333.552,26.563,-505.323,39.029,40.000,4,176.559,176.559,0
5.426,-336.144,27.058,-502.443,39.190,40.000,4,180.416,180.416,0
5.529,-339.255,27.765,-498.988,39.287,40.000,4,185.050,185.050,0
5.629,-341.838,28.447,-496.115,39.316,40.000,4,188.905,188.905,0
5.729,-344.412,29.208,-493.250,39.324,40.000,4,192.747,192.747,0
6.989,-371.337,22.171,-457.358,0.000,40.000,0,238.082,240.082,0
7.089,-371.408,22.155,-457.281,1.738,40.000,4,238.153,240.082,0
7.189,-371.596,22.135,-457.077,3.422,40.000,4,238.396,240.082,0
7.289,-371.897,22.127,-456.752,5.059,40.000,4,238.806,240.082,0
7.389,-372.307,22.131,-456.309,6.650,40.000,4,239.378,240.082,0
7.489,-372.825,22.139,-455.750,8.200,40.000,4,240.109,240.109,0
7.598,-373.448,22.134,-455.078,9.718,40.000,4,240.994,240.994,0
7.700,-374.172,22.107,-454.297,11.205,40.000,4,242.030,242.030,0
7.800,-374.996,22.056,-453.411,12.659,40.000,4,243.211,243.211,0
7.903,-375.915,21.989,-452.421,14.075,40.000,4,244.535,244.535,0
8.003,-376.929,21.916,-451.330,15.450,40.000,4,245.997,245.997,0
8.103,-378.034,21.842,-450.140,16.784,40.000,4,247.594,247.594,0
8.203,-379.229,21.769,-448.854,18.076,40.000,4,249.323,249.323,0
8.305,-380.509,21.697,-447.476,19.329,40.000,4,251.179,251.179,0
8.411,-382.156,21.606,-445.703,20.780,40.000,4,253.570,253.570,0
8.519,-383.618,21.526,-444.130,21.948,40.000,4,255.694,255.694,0
8.623,-385.157,21.440,-442.474,23.079,40.000,4,257.932,257.932,0
8.723,-386.771,21.349,-440.736,24.175,40.000,4,260.283,260.283,0
8.823,-388.459,21.254,-438.919,25.237,40.000,4,262.741,262.741,0
8.923,-390.218,21.154,-437.026,26.266,40.000,4,265.304,265.304,0
9.023,-392.045,21.050,-435.059,27.263,40.000,4,267.969,267.969,0
9.123,-393.939,20.943,-433.021,28.229,40.000,4,270.732,270.732,0
9.223,-395.897,20.833,-430.913,29.165,40.000,4,273.591,273.591,0
9.323,-397.918,20.718,-428.738,30.072,40.000,4,276.541,276.541,0
9.423,-399.999,20.601,-426.497,30.951,40.000,4,279.582,279.582,0
9.528,-402.574,20.455,-423.726,31.969,40.000,4,283.344,283.344,0
9.637,-404.782,20.330,-421.349,32.789,40.000,4,286.572,286.572,0
9.737,-407.044,20.202,-418.914,33.583,40.000,4,289.880,289.880,0
9.838,-409.360,20.072,-416.421,34.353,40.000,4,293.267,293.267,0
9.938,-411.727,19.938,-413.873,35.098,40.000,4,296.730,296.730,0
10.040,-414.144,19.801,-411.272,35.821,40.000,4,300.266,300.266,0
10.140,-416.609,19.662,-408.619,36.520,40.000,4,303.873,303.873,0
10.240,-419.120,19.520,-405.915,37.199,40.000,4,307.549,307.549,0
10.340,-421.677,19.375,-403.163,37.856,40.000,4,311.292,311.292,0
10.441,-424.278,19.228,-400.364,38.490,40.000,4,315.100,315.100,0
10.546,-426.918,19.079,-397.522,39.001,40.000,4,318.967,318.967,0
10.662,-430.119,18.898,-394.076,39.360,40.000,4,323.662,323.662,0
10.762,-432.804,18.746,-391.186,39.544,40.000,4,327.601,327.601,0
10.862,-435.499,18.594,-388.286,39.664,40.000,4,331.555,331.555,0
10.963,-438.200,18.442,-385.378,39.741,40.000,4,335.519,335.519,0
11.065,-440.905,18.289,-382.466,39.792,40.000,4,339.488,339.488,0
11.167,-444.155,18.105,-378.969,39.830,40.000,4,344.253,344.253,0
11.267,-446.865,17.952,-376.052,39.850,40.000,4,348.227,348.227,0
