time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,230.517,43.477,-340.007,29.654,30.000,0,0.000,0.000,0
0.102,228.142,43.869,-338.274,29.516,30.000,2,0.000,0.000,0
0.218,225.287,44.218,-336.189,29.661,21.248,4,0.000,0.000,0
0.319,223.033,44.482,-334.543,27.197,21.248,4,0.000,0.000,0
0.419,220.985,44.831,-333.047,24.664,21.248,4,0.000,0.000,0
0.536,218.749,45.309,-331.413,22.597,21.055,4,2.233,2.233,0
0.652,216.998,45.663,-330.133,21.767,20.296,4,4.333,4.333,0
0.753,215.305,45.936,-328.896,20.838,19.975,4,6.418,6.418,0
0.869,213.351,46.166,-327.469,20.123,21.055,4,8.876,8.876,0
0.986,211.390,46.338,-326.037,20.176,23.071,4,11.562,11.562,0
1.102,209.414,46.482,-324.593,20.346,22.929,4,14.186,14.186,0
1.202,207.762,46.586,-323.387,20.381,23.145,4,16.405,16.405,0
1.304,206.074,46.670,-322.161,21.123,26.204,4,18.606,18.606,0
1.419,203.952,46.737,-320.656,21.992,29.395,4,21.226,21.226,0
1.536,201.700,46.750,-319.155,22.829,30.000,4,23.838,23.838,0
1.653,199.707,46.706,-317.942,23.499,27.737,3,26.041,26.041,0
1.756,197.171,46.585,-316.568,24.301,30.000,4,28.781,28.781,0
1.870,194.935,46.439,-315.510,24.945,30.000,4,31.198,31.198,0
1.985,192.110,46.205,-314.356,25.734,30.000,4,34.199,34.199,0
2.086,189.647,45.960,-313.493,26.395,30.000,4,36.781,36.781,0
2.207,186.572,45.608,-312.564,27.194,30.000,4,39.966,39.966,0
2.318,183.376,45.194,-311.736,27.996,30.000,4,43.228,43.228,0
2.419,180.629,44.800,-311.108,28.657,30.000,4,46.016,46.016,0
2.535,177.250,44.276,-310.417,29.237,30.000,4,49.409,49.409,0
2.651,174.390,43.801,-309.887,29.554,30.000,4,52.284,52.284,0
2.753,171.501,43.300,-309.396,29.774,30.000,4,55.158,55.158,0
2.869,168.012,42.673,-308.859,29.684,30.000,4,58.638,58.638,0
2.986,164.550,42.038,-308.391,29.689,30.000,4,62.043,62.043,0
3.092,161.636,41.502,-308.053,29.874,30.000,4,64.922,64.922,0
3.192,158.727,40.974,-307.776,29.475,29.410,4,67.796,67.796,0
3.308,155.312,40.372,-307.541,28.589,26.905,4,71.107,71.107,0
3.408,152.557,39.908,-307.438,27.555,25.948,4,73.808,73.808,0
3.509,149.898,39.487,-307.428,26.508,24.977,4,76.405,76.405,0
3.624,146.858,39.052,-307.544,24.958,22.450,4,79.387,79.387,0
3.742,144.019,38.718,-307.797,23.432,23.016,4,82.058,82.058,0
3.842,141.763,38.533,-308.114,22.633,22.955,4,84.232,84.232,0
3.958,139.147,38.442,-308.626,22.076,20.945,4,86.779,86.779,0
4.059,137.070,38.484,-309.153,21.071,21.395,4,88.802,88.802,0
4.159,135.099,38.611,-309.773,20.566,22.206,4,90.726,90.726,0
4.275,132.818,38.816,-310.666,20.556,20.945,4,93.013,93.013,0
4.375,130.962,38.987,-311.548,20.675,21.395,4,94.892,94.892,0
4.479,129.154,39.152,-312.548,20.694,22.206,4,96.775,96.775,0
4.591,127.419,39.326,-313.648,20.248,20.960,4,98.667,98.667,0
4.692,125.782,39.525,-314.829,20.121,19.644,4,100.540,100.540,0
4.808,123.963,39.790,-316.331,19.498,21.080,4,102.634,102.634,0
4.930,122.295,40.050,-317.918,18.905,20.960,4,104.819,104.819,0
5.041,120.750,40.270,-319.599,19.082,19.710,4,106.978,106.978,0
5.142,119.548,40.403,-321.067,18.729,20.992,3,108.769,108.769,0
5.258,118.210,40.469,-322.883,18.692,20.969,2,110.826,110.826,0
5.359,117.154,40.438,-324.468,19.045,21.424,3,112.639,112.639,0
5.475,115.941,40.334,-326.463,19.687,20.992,3,114.886,114.886,0
5.575,114.955,40.183,-328.225,20.425,23.773,2,116.822,116.822,0
5.675,113.978,39.957,-330.080,21.306,28.660,4,118.843,118.843,0
5.792,113.006,39.665,-332.024,22.185,30.000,2,120.948,120.948,0
5.892,112.034,39.307,-334.053,23.060,30.000,4,123.100,123.100,0
6.009,110.861,38.808,-336.598,24.093,30.000,4,125.850,125.850,0
6.125,109.673,38.253,-339.258,25.102,30.000,4,128.718,128.718,0
6.226,108.664,37.770,-341.562,25.918,30.000,4,131.175,131.175,0
6.342,107.426,37.192,-344.430,26.863,30.000,4,134.265,134.265,0
6.444,106.367,36.717,-346.903,27.623,30.000,4,136.924,136.924,0
6.558,105.063,36.149,-349.964,28.502,30.000,4,140.232,140.232,0
6.659,103.948,35.673,-352.585,29.093,30.000,4,143.070,143.070,0
6.775,102.589,35.100,-355.784,29.542,30.000,4,146.553,146.553,0
6.895,101.213,34.529,-359.023,29.818,30.000,4,150.097,150.097,0
7.008,100.061,34.060,-361.735,29.694,30.000,4,153.067,153.067,0
7.108,98.919,33.606,-364.422,29.648,30.000,4,156.010,156.010,0
7.225,97.537,33.072,-367.673,29.875,30.000,4,159.591,159.591,0
7.351,96.156,32.557,-370.922,29.496,30.000,4,163.184,163.184,0
7.458,94.776,32.065,-374.164,29.765,30.000,4,166.720,166.720,0
7.558,93.618,31.669,-376.885,29.910,30.000,4,169.687,169.687,0
7.675,92.238,31.222,-380.125,29.575,30.000,4,173.231,173.231,0
7.775,91.082,30.869,-382.836,29.770,30.000,4,176.148,176.148,0
7.891,89.908,30.536,-385.557,29.895,30.000,4,179.062,179.062,0
8.008,88.460,30.164,-388.795,29.476,30.000,4,182.538,182.538,0
8.109,87.196,29.870,-391.454,29.662,30.000,4,185.417,185.417,0
8.224,85.566,29.520,-394.612,29.797,30.000,4,188.907,188.907,0
8.325,84.107,29.224,-397.200,29.863,30.000,4,191.834,191.834,0
8.443,82.235,28.867,-400.241,29.920,30.000,4,195.369,195.369,0
8.558,80.254,28.514,-403.192,29.764,30.000,4,198.908,198.908,0
8.659,78.522,28.224,-405.602,29.855,30.000,4,201.855,201.855,0
8.775,76.361,27.882,-408.446,29.934,30.000,4,205.409,205.409,0
8.875,74.535,27.608,-410.749,29.536,30.000,4,208.347,208.347,0
8.992,72.669,27.337,-413.035,29.710,30.000,4,211.280,211.280,0
9.093,70.770,27.070,-415.314,29.828,30.000,4,214.236,214.236,0
9.209,68.464,26.755,-418.041,29.920,30.000,4,217.792,217.792,0
9.310,66.551,26.501,-420.284,29.489,30.000,4,220.741,220.741,0
9.425,64.248,26.203,-422.974,29.704,30.000,4,224.265,224.265,0
9.526,62.316,25.959,-425.226,29.819,30.000,4,227.224,227.224,0
9.642,59.988,25.673,-427.936,29.907,30.000,4,230.784,230.784,0
