time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,230.517,43.477,-340.007,29.654,30.000,0,0.000,0.000,0
0.100,228.121,43.873,-338.258,29.774,30.000,2,0.000,0.000,0
0.201,225.725,44.172,-336.509,29.840,23.276,4,0.000,0.000,0
0.301,223.464,44.385,-334.858,27.052,23.276,4,0.000,0.000,0
0.401,221.420,44.650,-333.365,24.760,23.276,4,0.000,0.000,0
0.501,219.494,45.005,-331.957,23.764,23.065,4,1.313,1.313,0
0.602,217.652,45.380,-330.611,22.863,22.233,4,3.533,3.533,0
0.702,215.868,45.703,-329.307,22.235,23.276,4,5.679,5.679,0
0.802,214.093,45.954,-328.011,22.140,23.065,4,7.934,7.934,0
0.902,212.292,46.145,-326.695,22.310,22.233,4,10.252,10.252,0
1.002,210.499,46.293,-325.386,22.207,21.882,4,12.624,12.624,0
1.103,208.694,46.414,-324.068,22.709,25.354,4,15.029,15.029,0
1.203,206.814,46.517,-322.697,23.600,30.000,4,17.503,17.503,0
1.304,204.860,46.597,-321.277,24.476,30.000,4,20.006,20.006,0
1.404,202.816,46.634,-319.827,25.336,27.293,2,22.500,22.500,0
1.504,200.664,46.599,-318.378,26.186,30.000,4,24.965,24.965,0
1.604,198.396,46.509,-316.968,26.964,30.000,4,27.445,27.445,0
1.705,196.002,46.370,-315.621,27.766,30.000,3,30.078,30.078,0
1.805,193.475,46.173,-314.356,28.554,30.000,2,32.822,32.822,0
1.905,190.834,45.916,-313.188,29.120,30.000,4,35.651,35.651,0
2.006,188.109,45.612,-312.127,29.466,30.000,4,38.529,38.529,0
2.106,185.323,45.261,-311.171,29.688,30.000,3,41.440,41.440,0
2.206,182.492,44.865,-310.313,29.839,30.000,4,44.345,44.345,0
2.306,179.635,44.432,-309.548,29.674,30.000,4,47.274,47.274,0
2.406,176.768,43.968,-308.867,29.854,30.000,4,50.181,50.181,0
2.510,173.885,43.477,-308.260,29.729,30.000,4,53.040,53.040,0
2.610,170.991,42.965,-307.721,29.904,30.000,4,55.927,55.927,0
2.710,168.095,42.439,-307.249,29.815,30.000,4,58.805,58.805,0
2.811,165.183,41.904,-306.842,29.694,30.000,4,61.681,61.681,0
2.911,162.268,41.368,-306.501,29.891,30.000,4,64.460,64.460,0
3.077,156.998,40.422,-306.072,29.953,30.000,4,69.563,69.563,0
3.178,154.055,39.918,-305.945,29.551,29.500,4,72.412,72.412,0
3.278,151.225,39.458,-305.907,28.109,28.329,4,75.155,75.155,0
3.378,148.512,39.048,-305.970,26.785,26.708,4,77.735,77.735,0
3.478,145.920,38.699,-306.141,25.748,26.812,4,80.097,80.097,0
3.579,143.410,38.414,-306.426,24.972,25.105,4,82.474,82.474,0
3.679,140.979,38.227,-306.814,24.734,22.768,4,84.763,84.763,0
3.779,138.627,38.179,-307.304,24.041,22.944,4,86.983,86.983,0
3.879,136.357,38.278,-307.891,23.273,23.437,4,89.134,89.134,0
3.980,134.159,38.465,-308.587,23.007,22.768,4,91.213,91.213,0
4.109,131.652,38.738,-309.581,22.515,21.607,4,93.670,93.670,0
4.209,129.678,38.949,-310.546,22.064,21.118,4,95.605,95.605,0
4.309,127.818,39.123,-311.618,21.249,20.984,4,97.478,97.478,0
4.409,126.090,39.276,-312.773,20.753,20.960,4,99.202,99.202,0
4.515,124.483,39.443,-314.003,19.866,21.486,4,100.879,100.879,0
4.615,123.009,39.634,-315.284,19.188,21.080,4,102.635,102.635,0
4.715,121.638,39.835,-316.626,18.935,20.960,4,104.362,104.362,0
4.815,120.358,40.028,-318.029,18.887,19.644,4,106.079,106.079,0
4.916,119.152,40.190,-319.498,18.924,19.105,4,107.808,107.808,0
5.017,117.794,40.317,-321.341,18.923,18.956,3,109.943,109.943,0
5.120,116.764,40.345,-322.883,18.408,19.037,2,111.667,111.667,0
5.225,115.772,40.299,-324.502,19.202,19.710,2,113.425,113.425,0
5.325,114.795,40.179,-326.222,20.069,20.992,3,115.275,115.275,0
5.425,113.825,40.009,-328.044,21.068,28.433,4,117.222,117.222,0
5.525,112.846,39.774,-329.979,22.159,30.000,2,119.237,119.237,0
5.626,111.855,39.454,-332.021,23.252,30.000,2,121.395,121.395,0
5.726,110.847,39.055,-334.161,24.339,30.000,4,123.686,123.686,0
5.834,109.817,38.598,-336.395,25.402,30.000,4,126.079,126.079,0
5.934,108.758,38.106,-338.723,26.435,30.000,4,128.577,128.577,0
6.035,107.667,37.599,-341.145,27.438,30.000,4,131.154,131.154,0
6.135,106.539,37.095,-343.660,28.407,30.000,4,133.869,133.869,0
6.235,105.378,36.596,-346.257,29.148,30.000,4,136.684,136.684,0
6.336,104.196,36.102,-348.905,29.579,30.000,4,139.563,139.563,0
6.436,103.000,35.612,-351.583,29.834,30.000,4,142.493,142.493,0
6.536,101.801,35.125,-354.270,29.743,30.000,4,145.460,145.460,0
6.637,100.362,34.548,-357.496,29.687,30.000,4,149.014,149.014,0
6.738,99.162,34.073,-360.184,29.894,30.000,4,152.012,152.012,0
6.838,97.963,33.608,-362.869,29.817,30.000,4,154.993,154.993,0
6.940,96.762,33.153,-365.559,29.724,30.000,4,157.983,157.983,0
7.055,95.559,32.710,-368.253,29.909,30.000,4,161.030,161.030,0
7.155,94.357,32.280,-370.944,29.821,30.000,4,164.031,164.031,0
7.256,93.151,31.863,-373.642,29.692,30.000,4,167.041,167.041,0
7.356,91.946,31.463,-376.337,29.880,30.000,4,170.100,170.100,0
7.456,90.739,31.080,-379.034,29.770,30.000,4,173.095,173.095,0
7.556,89.529,30.716,-381.739,29.919,30.000,4,176.079,176.079,0
7.656,88.322,30.375,-384.435,29.825,30.000,4,179.040,179.040,0
7.757,86.868,29.995,-387.681,29.715,30.000,4,182.560,182.560,0
7.858,85.655,29.699,-390.387,29.870,30.000,4,185.466,185.466,0
7.958,84.441,29.412,-393.095,29.716,30.000,4,188.370,188.370,0
8.059,83.223,29.127,-395.800,29.863,30.000,4,191.262,191.262,0
8.159,81.983,28.838,-398.496,29.704,30.000,4,194.155,194.155,0
8.259,80.699,28.549,-401.168,29.844,30.000,4,197.049,197.049,0
8.360,79.344,28.259,-403.817,29.921,30.000,4,199.957,199.957,0
8.460,77.919,27.974,-406.411,29.785,30.000,4,202.871,202.871,0
8.560,76.405,27.693,-408.968,29.880,30.000,4,205.797,205.797,0
8.666,74.810,27.417,-411.478,29.669,30.000,4,208.748,208.748,0
8.766,73.148,27.147,-413.931,29.813,30.000,4,211.681,211.681,0
8.867,71.415,26.881,-416.350,29.902,30.000,4,214.640,214.640,0
8.967,69.633,26.620,-418.723,29.738,30.000,4,217.591,217.591,0
9.068,67.806,26.364,-421.065,29.860,30.000,4,220.549,220.549,0
9.169,65.941,26.113,-423.382,29.665,30.000,4,223.509,223.509,0
9.270,64.055,25.868,-425.671,29.816,30.000,4,226.464,226.464,0
