time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-167.990,31.541,-582.543,39.998,40.000,4,0.000,0.000,0
0.102,-171.985,31.523,-582.577,39.918,40.000,0,0.000,0.000,0
0.203,-175.908,31.447,-582.611,38.470,20.822,4,0.000,0.000,0
0.304,-179.588,31.393,-582.643,35.693,20.822,4,0.000,0.000,0
0.405,-182.992,31.371,-582.672,32.923,20.842,4,2.253,2.253,0
0.507,-186.119,31.361,-582.699,30.161,20.822,4,5.209,5.209,0
0.607,-188.971,31.341,-582.723,27.409,20.842,4,8.326,8.326,0
0.707,-191.584,31.303,-582.746,25.508,25.359,4,11.538,11.538,0
0.821,-194.641,31.232,-582.772,25.842,27.002,4,14.873,14.873,0
0.922,-197.279,31.157,-582.794,26.772,34.291,4,17.698,17.698,0
1.022,-200.014,31.070,-582.818,27.739,40.000,4,20.501,20.501,0
1.122,-202.844,30.970,-582.841,28.680,40.000,4,23.266,23.266,0
1.223,-205.766,30.854,-582.854,29.594,40.000,4,26.000,26.000,0
1.323,-208.778,30.718,-582.828,30.478,40.000,4,28.826,28.826,0
1.423,-211.873,30.558,-582.731,31.328,40.000,4,31.817,31.817,0
1.523,-215.047,30.373,-582.535,32.149,40.000,4,34.964,34.964,0
1.624,-218.291,30.160,-582.221,32.947,40.000,4,38.186,38.186,0
1.724,-221.597,29.917,-581.779,33.725,40.000,4,41.490,41.490,0
1.824,-224.960,29.643,-581.205,34.487,40.000,4,44.847,44.847,0
1.924,-228.371,29.333,-580.498,35.236,40.000,4,48.261,48.261,0
2.024,-231.825,28.983,-579.660,35.971,40.000,4,51.684,51.684,0
2.124,-235.317,28.583,-578.692,36.697,40.000,2,55.189,55.189,0
2.225,-238.840,28.115,-577.594,37.420,40.000,4,58.745,58.745,0
2.325,-242.387,27.596,-576.368,38.128,40.000,4,62.349,62.349,0
2.425,-245.954,27.042,-575.012,38.772,40.000,4,66.004,66.004,0
2.525,-249.525,26.463,-573.532,39.213,40.000,4,69.703,69.703,0
2.625,-253.079,25.867,-571.933,39.500,40.000,4,73.429,73.429,0
2.725,-256.602,25.256,-570.222,39.692,40.000,4,77.258,77.258,0
2.826,-260.087,24.649,-568.400,39.820,40.000,4,81.016,81.016,0
2.926,-263.529,24.094,-566.484,39.831,40.000,4,84.784,84.784,0
3.059,-268.315,23.717,-563.741,39.602,40.000,4,90.121,90.121,0
3.160,-271.720,23.602,-561.724,39.603,40.000,4,93.989,93.989,0
3.260,-275.096,23.545,-559.652,39.673,40.000,4,97.765,97.765,0
3.360,-278.426,23.481,-557.491,39.687,40.000,4,101.641,101.641,0
3.460,-281.676,23.389,-555.212,39.697,40.000,4,105.521,105.521,0
3.560,-284.834,23.332,-552.826,39.620,40.000,4,109.310,109.310,0
3.661,-287.909,23.485,-550.370,39.474,40.000,4,113.161,113.161,0
3.761,-290.942,23.733,-547.860,39.528,40.000,4,117.015,117.015,0
3.861,-293.929,24.052,-545.294,39.548,40.000,4,120.873,120.873,0
3.961,-296.861,24.423,-542.666,39.552,40.000,4,124.716,124.716,0
4.062,-299.734,24.826,-539.979,39.554,40.000,4,128.553,128.553,0
4.162,-302.557,25.244,-537.242,39.552,40.000,4,132.403,132.403,0
4.263,-305.344,25.648,-534.462,39.549,40.000,4,136.288,136.288,0
4.363,-308.106,25.987,-531.648,39.554,40.000,2,140.185,140.185,0
4.463,-310.859,26.229,-528.825,39.406,40.000,0,144.073,144.073,0
4.563,-313.607,26.374,-526.008,39.276,40.000,0,147.975,147.975,0
4.664,-316.349,26.419,-523.197,39.164,40.000,0,151.874,151.874,0
4.764,-319.085,26.367,-520.391,39.070,40.000,0,155.769,155.769,0
