time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-548.098,7.188,-550.800,23.999,26.000,4,0.000,0.000,0
0.100,-550.537,7.155,-550.919,24.659,26.000,4,0.000,0.000,0
0.201,-553.029,7.115,-551.040,25.107,26.000,4,0.000,0.000,0
0.301,-555.525,7.072,-551.161,24.393,21.983,4,0.000,0.000,0
0.407,-557.874,7.036,-551.272,23.062,21.983,4,0.000,0.000,0
0.507,-560.119,7.007,-551.360,22.053,21.983,4,0.000,0.000,0
0.607,-562.292,6.983,-551.406,21.512,22.458,4,1.776,1.776,0
0.707,-564.445,6.962,-551.386,21.349,23.012,4,3.919,3.919,0
0.807,-566.598,6.941,-551.270,21.569,23.676,4,6.032,6.032,0
0.908,-568.779,6.920,-551.021,22.114,24.445,4,8.151,8.151,0
1.008,-570.989,6.897,-550.608,22.630,25.297,4,10.301,10.301,0
1.112,-573.215,6.873,-550.007,23.189,26.000,4,12.488,12.488,0
1.214,-575.434,6.850,-549.203,23.723,26.000,4,14.721,14.721,0
1.314,-577.625,6.827,-548.190,24.242,26.000,4,17.004,17.004,0
1.414,-579.765,6.804,-546.971,24.702,26.000,4,19.337,19.337,0
1.514,-581.828,6.781,-545.562,25.007,26.000,4,21.714,21.714,0
1.615,-583.797,6.757,-543.985,25.216,26.000,4,24.122,24.122,0
1.715,-585.660,6.736,-542.265,25.367,26.000,4,26.553,26.553,0
1.815,-587.417,6.739,-540.422,25.476,26.000,4,29.003,29.003,0
1.915,-589.074,6.774,-538.476,25.557,26.000,4,31.471,31.471,0
2.016,-590.636,6.816,-536.444,25.621,26.000,4,33.956,33.956,0
2.116,-592.114,6.842,-534.342,25.677,26.000,4,36.457,36.457,0
2.216,-593.518,6.842,-532.186,25.727,26.000,4,38.995,38.995,0
2.316,-594.860,6.828,-529.986,25.767,26.000,4,41.518,41.518,0
2.417,-596.152,6.812,-527.754,25.798,26.000,4,44.054,44.054,0
2.517,-597.404,6.802,-525.496,25.821,26.000,4,46.602,46.602,0
2.617,-598.624,6.799,-523.219,25.838,26.000,4,49.168,49.168,0
2.718,-599.823,6.801,-520.930,25.850,26.000,4,51.732,51.732,0
2.818,-601.007,6.805,-518.631,25.858,26.000,4,54.303,54.303,0
2.918,-602.181,6.809,-516.327,25.863,26.000,4,56.883,56.883,0
3.018,-603.350,6.812,-514.020,25.866,26.000,4,59.460,59.460,0
3.119,-604.750,6.814,-511.249,25.869,26.000,4,62.556,62.556,0
3.220,-605.917,6.809,-508.939,25.872,26.000,4,65.134,65.134,0
3.320,-607.083,6.795,-506.628,25.876,26.000,4,67.714,67.714,0
3.421,-608.247,6.771,-504.316,25.880,26.000,4,70.285,70.285,0
3.521,-609.403,6.742,-502.001,25.884,26.000,4,72.849,72.849,0
3.621,-610.549,6.724,-499.682,25.883,26.000,4,75.417,75.417,0
3.721,-611.681,6.727,-497.356,25.879,26.000,4,77.968,77.968,0
3.822,-612.796,6.749,-495.022,25.872,26.000,4,80.527,80.527,0
3.922,-613.891,6.780,-492.679,25.866,26.000,4,83.065,83.065,0
4.027,-614.960,6.809,-490.323,25.860,26.000,4,85.596,85.596,0
4.130,-615.997,6.829,-487.955,25.855,26.000,4,88.142,88.142,0
4.230,-617.000,6.843,-485.572,25.851,26.000,4,90.661,90.661,0
4.330,-617.963,6.853,-483.172,25.847,26.000,4,93.202,93.202,0
4.431,-618.881,6.864,-480.756,25.843,26.000,4,95.711,95.711,0
4.531,-619.750,6.876,-478.322,25.838,26.000,4,98.249,98.249,0
4.632,-620.565,6.890,-475.870,25.831,26.000,4,100.750,100.750,0
4.732,-621.311,6.904,-473.396,25.798,26.000,4,103.246,103.246,0
4.832,-621.948,6.919,-470.896,25.753,26.000,4,105.781,105.781,0
4.933,-620.146,6.934,-468.377,25.179,26.000,4,107.884,107.884,0
5.033,-620.341,6.948,-465.848,25.439,26.000,4,110.384,110.384,0
5.133,-620.567,6.962,-463.305,25.590,26.000,4,112.891,112.891,0
5.233,-620.795,6.976,-460.750,25.685,26.000,4,115.433,115.433,0
5.333,-621.009,6.991,-458.186,25.742,26.000,4,117.968,117.968,0
5.434,-621.179,7.005,-455.616,25.749,26.000,4,120.508,120.508,0
