time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-167.990,31.541,-582.543,39.998,40.000,4,0.000,0.000,0
0.101,-171.950,31.552,-582.577,39.616,40.000,4,0.000,0.000,0
0.201,-175.881,31.550,-582.611,38.617,18.032,4,0.000,0.000,0
0.302,-179.595,31.551,-582.643,36.140,18.032,4,0.000,0.000,0
0.402,-183.062,31.546,-582.672,33.670,18.049,4,2.304,2.304,0
0.502,-186.282,31.526,-582.700,31.209,18.032,4,5.341,5.341,0
0.602,-189.257,31.489,-582.726,28.757,20.965,4,8.579,8.579,0
0.703,-191.987,31.438,-582.749,26.315,21.962,4,11.926,11.926,0
0.803,-194.539,31.375,-582.771,25.277,23.384,4,14.783,14.783,0
0.903,-197.036,31.304,-582.792,25.165,29.697,4,17.491,17.491,0
1.003,-199.593,31.223,-582.806,25.827,40.000,4,20.134,20.134,0
1.104,-202.214,31.131,-582.794,26.467,40.000,4,22.651,22.651,0
1.204,-204.897,31.026,-582.731,27.081,40.000,4,25.263,25.263,0
1.304,-207.638,30.906,-582.591,27.671,40.000,4,27.866,27.866,0
1.405,-210.430,30.767,-582.355,28.241,40.000,4,30.591,30.591,0
1.505,-213.266,30.608,-582.010,28.798,40.000,4,33.442,33.442,0
1.606,-216.142,30.428,-581.552,29.348,40.000,4,36.348,36.348,0
1.706,-219.052,30.227,-580.983,29.896,40.000,4,39.311,39.311,0
1.806,-221.993,30.001,-580.310,30.441,40.000,4,42.318,42.318,0
1.922,-225.563,29.698,-579.374,31.092,40.000,4,45.970,45.970,0
2.022,-228.571,29.415,-578.498,31.630,40.000,4,49.058,49.058,0
2.122,-231.607,29.099,-577.539,32.163,40.000,4,52.186,52.186,0
2.223,-234.669,28.743,-576.502,32.691,40.000,4,55.354,55.354,0
2.323,-237.754,28.346,-575.387,33.214,40.000,4,58.562,58.562,0
2.423,-240.862,27.910,-574.194,33.731,40.000,4,61.813,61.813,0
2.525,-243.987,27.438,-572.920,34.240,40.000,4,65.143,65.143,0
2.625,-247.128,26.936,-571.563,34.741,40.000,4,68.480,68.480,0
2.727,-250.280,26.408,-570.118,35.230,40.000,4,71.859,71.859,0
2.827,-253.439,25.866,-568.584,35.707,40.000,4,75.282,75.282,0
2.927,-256.604,25.331,-566.958,36.165,40.000,4,78.789,78.789,0
3.061,-261.044,24.661,-564.524,36.771,40.000,4,83.755,83.755,0
3.161,-264.220,24.280,-562.668,37.175,40.000,4,87.338,87.338,0
3.261,-267.392,23.981,-560.712,37.555,40.000,4,91.013,91.013,0
3.361,-270.549,23.733,-558.655,37.914,40.000,4,94.689,94.689,0
3.462,-273.686,23.517,-556.504,38.259,40.000,4,98.444,98.444,0
3.562,-276.800,23.356,-554.264,38.569,40.000,4,102.234,102.234,0
3.662,-279.886,23.307,-551.952,38.749,40.000,4,106.007,106.007,0
3.762,-282.948,23.388,-549.578,38.898,40.000,4,109.840,109.840,0
3.862,-285.984,23.573,-547.150,39.016,40.000,4,113.688,113.688,0
3.963,-288.989,23.838,-544.675,39.099,40.000,4,117.544,117.544,0
4.063,-291.958,24.175,-542.154,39.149,40.000,4,121.403,121.403,0
4.163,-294.887,24.572,-539.590,39.172,40.000,4,125.240,125.240,0
4.264,-297.779,25.011,-536.986,39.176,40.000,4,129.104,129.104,0
4.364,-300.638,25.456,-534.345,39.168,40.000,4,132.959,132.959,0
4.464,-303.471,25.860,-531.666,39.161,40.000,4,136.835,136.835,0
4.564,-306.285,26.177,-528.954,39.134,40.000,1,140.713,140.713,0
4.665,-309.090,26.394,-526.239,38.991,40.000,0,144.602,144.602,0
4.765,-311.890,26.514,-523.529,38.867,40.000,0,148.484,148.484,0
4.865,-314.684,26.535,-520.825,38.762,40.000,0,152.354,152.354,0
4.966,-317.472,26.457,-518.126,38.675,40.000,0,156.223,156.223,0
5.072,-320.255,26.282,-515.432,38.606,40.000,0,160.085,160.085,0
5.183,-323.580,25.949,-512.205,38.596,40.000,2,164.711,164.711,0
5.283,-326.265,25.806,-509.466,38.360,40.000,4,168.550,168.550,0
5.385,-328.872,26.160,-506.710,38.227,40.000,4,172.330,172.330,0
5.486,-331.468,26.602,-503.924,38.434,40.000,4,176.126,176.126,0
5.586,-334.062,27.092,-501.123,38.595,40.000,4,179.933,179.933,0
5.686,-336.650,27.638,-498.312,38.704,40.000,4,183.747,183.747,0
5.786,-339.226,28.263,-495.497,38.761,40.000,4,187.558,187.558,0
5.886,-341.787,28.984,-492.684,38.790,40.000,4,191.360,191.360,0
5.987,-344.338,29.764,-489.861,38.785,40.000,2,195.156,195.156,0
6.087,-346.906,30.475,-487.029,38.538,40.000,0,198.973,198.973,0
6.187,-349.467,31.085,-484.203,38.238,40.000,0,202.784,202.784,0
6.288,-352.023,31.595,-481.382,37.950,40.000,0,206.590,206.590,0
6.388,-354.572,32.005,-478.568,37.690,40.000,0,210.385,210.385,0
6.488,-357.114,32.316,-475.761,37.472,40.000,0,214.171,214.171,0
6.588,-359.649,32.528,-472.960,37.308,40.000,0,217.948,217.948,0
6.688,-362.177,32.641,-470.166,37.203,40.000,0,221.716,221.716,0
6.788,-364.698,32.657,-467.380,37.158,40.000,0,225.474,225.474,0
6.889,-367.212,32.575,-464.600,37.165,40.000,0,229.222,229.222,0
6.989,-369.719,32.395,-461.827,37.211,40.000,0,232.961,232.961,0
7.089,-372.220,32.118,-459.061,37.279,40.000,0,236.691,236.691,0
7.189,-374.714,31.744,-456.302,37.350,40.000,0,240.411,240.411,0
7.289,-377.202,31.273,-453.550,37.403,40.000,0,244.122,244.122,0
7.389,-379.684,30.705,-450.804,37.422,40.000,0,247.825,247.825,0
7.490,-382.161,30.040,-448.064,37.394,40.000,0,251.520,251.520,0
7.590,-384.633,29.278,-445.330,37.310,40.000,0,255.207,255.207,0
7.690,-387.099,28.420,-442.602,37.168,40.000,0,258.886,258.886,0
7.790,-389.561,27.465,-439.879,36.971,40.000,0,262.558,262.558,0
7.890,-392.018,26.414,-437.162,36.729,40.000,0,266.223,266.223,0
7.991,-394.470,25.267,-434.450,36.452,40.000,0,269.881,269.881,0
8.091,-396.919,24.024,-431.743,36.157,40.000,0,273.532,273.532,0
8.191,-399.363,22.686,-429.041,35.857,40.000,0,277.177,277.177,0
8.292,-401.803,21.252,-426.344,35.567,40.000,0,280.817,280.817,0
8.392,-404.179,20.259,-423.642,34.465,40.000,4,284.455,284.455,0
8.493,-406.351,20.217,-420.930,34.887,40.000,4,287.910,287.910,0
8.593,-408.496,20.212,-418.144,35.297,40.000,4,291.403,291.403,0
8.693,-410.642,20.165,-415.311,35.694,40.000,4,294.931,294.931,0
8.793,-412.801,20.061,-412.441,36.079,40.000,4,298.494,298.494,0
8.894,-414.979,19.917,-409.540,36.453,40.000,4,302.091,302.091,0
8.999,-417.630,19.727,-406.027,36.887,40.000,4,306.454,306.454,0
9.099,-419.886,19.571,-403.086,37.233,40.000,4,310.131,310.131,0
9.199,-422.199,19.422,-400.146,37.566,40.000,4,313.844,313.844,0
9.300,-424.579,19.277,-397.218,37.884,40.000,4,317.594,317.594,0
9.400,-427.034,19.134,-394.311,38.193,40.000,4,321.378,321.378,0
9.501,-429.563,18.989,-391.428,38.488,40.000,4,325.196,325.196,0
9.601,-432.163,18.842,-388.573,38.731,40.000,4,329.042,329.042,0
9.701,-434.826,18.693,-385.746,38.925,40.000,4,332.911,332.911,0
9.801,-437.541,18.543,-382.947,39.083,40.000,4,336.798,336.798,0
9.901,-440.299,18.393,-380.171,39.211,40.000,4,340.698,340.698,0
10.001,-443.093,18.242,-377.415,39.315,40.000,4,344.609,344.609,0
10.101,-445.916,18.091,-374.675,39.400,40.000,4,348.529,348.529,0
10.202,-448.762,17.940,-371.948,39.469,40.000,4,352.455,352.455,0
10.302,-451.628,17.789,-369.233,39.526,40.000,4,356.387,356.387,0
10.402,-454.510,17.638,-366.529,39.571,40.000,4,360.314,360.314,0
10.502,-457.409,17.486,-363.836,39.609,40.000,4,364.252,364.252,0
10.603,-460.323,17.335,-361.154,39.639,40.000,4,368.191,368.191,0
10.703,-463.252,17.183,-358.485,39.663,40.000,4,372.131,372.131,0
10.804,-466.196,17.031,-355.830,39.683,40.000,4,376.084,376.084,0
10.904,-469.156,16.879,-353.189,39.699,40.000,4,380.029,380.029,0
11.004,-472.132,16.727,-350.565,39.712,40.000,4,383.985,383.985,0
11.105,-475.126,16.575,-347.959,39.723,40.000,4,387.933,387.933,0
11.205,-478.136,16.423,-345.371,39.731,40.000,4,391.892,391.892,0
11.305,-481.164,16.271,-342.802,39.738,40.000,4,395.841,395.841,0
11.405,-484.209,16.119,-340.253,39.744,40.000,4,399.792,399.792,0
11.505,-487.272,15.966,-337.724,39.748,40.000,4,403.753,403.753,0
11.606,-490.352,15.814,-335.215,39.752,40.000,4,407.705,407.705,0
11.706,-493.449,15.662,-332.727,39.755,40.000,4,411.658,411.658,0
11.806,-496.562,15.510,-330.259,39.758,40.000,4,415.612,415.612,0
11.906,-499.691,15.358,-327.812,39.760,40.000,4,419.576,419.576,0
12.006,-502.837,15.205,-325.384,39.762,40.000,4,423.532,423.532,0
12.107,-505.997,15.053,-322.976,39.764,40.000,4,427.488,427.488,0
12.207,-509.172,14.901,-320.586,39.765,40.000,4,431.446,431.446,0
12.307,-512.361,14.748,-318.215,39.766,40.000,4,435.405,435.405,0
12.408,-515.562,14.596,-315.861,39.768,40.000,4,439.365,439.365,0
12.508,-518.776,14.444,-313.523,39.769,40.000,4,443.326,443.326,0
12.608,-522.001,14.291,-311.200,39.770,40.000,4,447.289,447.289,0
12.708,-525.235,14.139,-308.890,39.771,40.000,4,451.254,451.254,0
12.809,-528.477,13.986,-306.593,39.772,40.000,4,455.219,455.219,0
12.910,-531.727,13.833,-304.305,39.773,40.000,4,459.187,459.187,0
13.011,-534.982,13.681,-302.024,39.774,40.000,4,463.155,463.155,0
13.112,-538.241,13.528,-299.749,39.775,40.000,4,467.127,467.127,0
13.212,-541.503,13.375,-297.477,39.776,40.000,4,471.101,471.101,0
13.312,-544.765,13.222,-295.207,39.777,40.000,4,475.077,475.077,0
13.412,-548.028,13.069,-292.937,39.777,40.000,4,479.058,479.058,0
13.513,-551.292,12.915,-290.668,39.778,40.000,4,483.039,483.039,0
13.613,-554.555,12.762,-288.399,39.778,40.000,4,487.028,487.028,0
13.713,-557.809,12.609,-286.137,39.366,38.291,4,491.010,491.010,0
13.814,-560.991,12.459,-283.924,38.550,40.000,4,494.924,494.924,0
13.914,-564.090,12.313,-281.770,37.030,36.422,4,498.743,498.743,0
14.014,-567.059,12.173,-279.706,35.652,32.159,4,502.410,502.410,0
14.114,-569.876,12.041,-277.748,33.614,33.325,4,505.886,505.886,0
14.215,-572.577,11.914,-275.869,32.515,31.019,4,509.184,509.184,0
14.315,-575.197,11.791,-274.048,31.868,29.906,4,512.376,512.376,0
14.415,-577.766,11.671,-272.262,30.819,31.019,4,515.516,515.516,0
14.515,-580.310,11.545,-270.493,31.144,29.906,4,518.600,518.600,0
14.615,-582.871,11.380,-268.713,31.387,40.000,4,521.706,521.706,0
14.716,-585.473,11.132,-266.904,31.925,40.000,2,524.856,524.856,0
14.816,-588.101,10.786,-265.078,32.165,40.000,0,528.050,528.050,0
14.916,-590.744,10.351,-263.240,32.630,39.499,4,531.259,531.259,0
15.017,-593.425,9.885,-261.377,33.182,38.022,4,534.511,534.511,0
15.118,-596.151,9.437,-259.482,33.715,36.707,4,537.819,537.819,0
15.218,-598.920,9.029,-257.558,34.120,34.939,4,541.183,541.183,0
15.318,-601.674,8.672,-255.643,33.455,32.979,4,544.552,544.552,0
15.419,-604.338,8.378,-253.792,32.047,32.827,4,547.827,547.827,0
15.519,-606.921,8.148,-251.996,31.206,29.524,4,550.997,550.997,0
15.619,-609.867,7.963,-249.947,29.093,25.763,4,554.633,554.633,0
15.720,-612.167,7.873,-248.350,27.488,23.097,4,557.469,557.469,0
15.820,-614.317,7.819,-246.852,25.606,21.160,4,560.121,560.121,0
15.920,-616.292,7.803,-245.454,23.571,21.986,4,562.570,562.570,0
16.021,-618.120,7.842,-244.113,22.206,20.968,4,564.847,564.847,0
16.121,-619.806,7.918,-242.804,20.787,19.384,4,566.975,566.975,0
16.222,-621.361,7.986,-241.500,20.143,19.174,4,568.989,568.989,0
16.322,-622.799,8.022,-240.171,19.139,19.174,4,570.935,570.935,0
16.422,-624.107,8.029,-238.818,18.826,19.384,4,572.756,572.756,0
16.522,-625.329,8.023,-237.378,18.840,20.283,4,574.605,574.605,0
16.623,-626.454,8.017,-235.851,18.738,18.366,4,576.400,576.400,0
16.724,-627.436,8.015,-234.296,18.201,19.696,4,578.073,578.073,0
16.824,-628.301,8.019,-232.658,18.414,17.462,4,579.917,579.917,0
16.924,-629.026,8.027,-230.979,18.440,20.579,4,581.550,581.550,0
17.025,-629.621,8.035,-229.239,18.310,21.837,4,583.191,583.191,0
17.125,-630.084,8.041,-227.422,18.847,19.609,4,585.052,585.052,0
17.225,-630.413,8.046,-225.528,19.449,21.254,4,586.761,586.761,0
17.325,-630.606,8.050,-223.546,20.119,23.445,4,588.546,588.546,0
17.425,-630.658,8.056,-221.489,20.790,26.926,4,590.413,590.413,0
17.530,-630.568,8.063,-219.367,21.451,28.743,4,592.463,592.463,0
17.630,-630.341,8.072,-217.190,22.118,26.108,4,594.539,594.539,0
17.731,-629.987,8.082,-214.963,22.777,25.554,4,596.646,596.646,0
17.831,-629.506,8.093,-212.694,23.404,27.462,4,598.847,598.847,0
17.931,-628.884,8.104,-210.396,23.942,25.284,4,601.108,601.108,0
