time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-167.990,31.541,-582.543,39.998,49.400,4,0.000,0.000,0
0.100,-172.002,31.552,-582.578,40.225,49.400,4,0.000,0.000,0
0.200,-176.037,31.551,-582.612,40.443,49.400,4,0.000,0.000,0
0.300,-180.095,31.552,-582.647,40.657,49.400,4,0.000,0.000,0
0.401,-184.175,31.545,-582.682,40.867,49.400,4,3.182,3.182,0
0.501,-188.275,31.517,-582.717,41.076,49.400,4,7.166,7.166,0
0.601,-192.397,31.458,-582.753,41.285,49.244,4,12.036,12.036,0
0.702,-196.539,31.367,-582.788,41.495,47.000,4,16.683,16.683,0
0.802,-200.702,31.243,-582.824,41.705,44.643,4,20.894,20.894,0
0.902,-204.884,31.085,-582.860,41.916,44.643,4,24.936,24.936,0
1.003,-209.082,30.894,-582.895,41.989,42.154,4,28.878,28.878,0
1.103,-213.276,30.667,-582.929,41.977,39.509,4,32.930,32.930,0
1.203,-217.379,30.408,-582.953,40.622,39.509,4,36.964,36.964,0
1.304,-221.335,30.120,-582.950,38.814,36.674,4,40.851,40.851,0
1.404,-225.130,29.806,-582.908,37.649,33.601,4,44.516,44.516,0
1.505,-228.748,29.470,-582.819,35.536,33.601,4,47.995,47.995,0
1.605,-232.197,29.113,-582.676,33.863,30.216,4,51.266,51.266,0
1.705,-235.435,28.738,-582.485,31.936,30.216,4,54.295,54.295,0
1.806,-238.520,28.343,-582.247,30.583,29.000,4,57.121,57.121,0
1.906,-241.484,27.934,-581.965,29.625,29.000,4,59.778,59.778,0
2.006,-244.343,27.517,-581.646,28.912,29.000,4,62.434,62.434,0
2.106,-247.170,27.089,-581.287,28.794,29.000,4,65.038,65.038,0
2.210,-249.999,26.647,-580.893,28.928,29.000,4,67.451,67.451,0
2.311,-252.811,26.196,-580.473,28.833,29.000,4,70.001,70.001,0
2.411,-255.622,25.731,-580.032,28.724,29.000,4,72.535,72.535,0
2.523,-258.994,25.156,-579.486,28.923,29.000,4,75.361,75.361,0
2.623,-261.792,24.666,-579.024,28.844,29.000,4,77.822,77.822,0
2.723,-264.594,24.164,-578.557,28.744,29.000,4,80.263,80.263,0
