time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-548.098,7.188,-550.800,23.999,24.000,4,0.000,0.000,0
0.101,-550.492,7.104,-550.916,23.951,24.000,0,0.000,0.000,0
0.201,-552.867,6.992,-551.032,23.808,24.000,4,0.000,0.000,0
0.302,-555.249,6.916,-551.148,23.865,24.000,4,0.000,0.000,0
0.402,-557.635,6.872,-551.264,23.896,24.000,4,0.000,0.000,0
0.502,-560.024,6.848,-551.379,23.914,24.000,4,0.000,0.000,0
0.602,-562.398,6.829,-551.474,23.512,24.000,4,1.841,1.841,0
0.702,-564.738,6.810,-551.514,23.236,24.000,4,4.160,4.160,0
0.802,-567.079,6.788,-551.458,23.506,24.000,4,6.404,6.404,0
0.903,-569.433,6.764,-551.267,23.647,24.000,4,8.645,8.645,0
1.003,-571.778,6.739,-550.915,23.706,24.000,4,10.864,10.864,0
1.103,-574.094,6.714,-550.386,23.727,24.000,4,13.063,13.063,0
1.203,-576.362,6.690,-549.676,23.737,24.000,4,15.250,15.250,0
1.303,-578.569,6.667,-548.789,23.746,24.000,4,17.431,17.431,0
1.404,-580.701,6.644,-547.736,23.757,24.000,4,19.701,19.701,0
1.504,-582.751,6.623,-546.529,23.772,24.000,4,21.888,21.888,0
1.604,-584.716,6.601,-545.183,23.790,24.000,4,24.081,24.081,0
1.704,-586.591,6.584,-543.716,23.807,24.000,4,26.283,26.283,0
1.804,-588.379,6.588,-542.141,23.822,24.000,4,28.493,28.493,0
1.904,-590.084,6.605,-540.474,23.836,24.000,4,30.795,30.795,0
2.005,-591.710,6.622,-538.730,23.849,24.000,4,33.023,33.023,0
4.850,-599.727,6.689,-520.000,0.000,24.000,4,53.002,57.211,0
4.950,-599.777,6.680,-519.912,1.677,24.000,4,53.069,57.211,0
5.050,-599.908,6.666,-519.682,3.300,24.000,4,53.302,57.211,0
5.150,-600.118,6.657,-519.312,4.872,24.000,4,53.695,57.211,0
5.250,-600.405,6.654,-518.809,6.393,24.000,4,54.244,57.211,0
5.350,-600.765,6.655,-518.177,7.866,24.000,4,54.942,57.211,0
5.450,-601.197,6.658,-517.419,9.292,24.000,4,55.786,57.211,0
5.550,-601.698,6.660,-516.539,10.672,24.000,4,56.771,57.211,0
5.650,-602.267,6.662,-515.542,12.008,24.000,4,57.890,57.890,0
5.751,-602.900,6.663,-514.431,13.301,24.000,4,59.141,59.141,0
5.851,-603.596,6.664,-513.210,14.553,24.000,4,60.517,60.517,0
5.951,-604.353,6.664,-511.882,15.765,24.000,4,62.016,62.016,0
6.051,-605.169,6.662,-510.451,16.940,24.000,4,63.632,63.632,0
6.152,-606.043,6.656,-508.920,18.078,24.000,4,65.361,65.361,0
6.252,-606.974,6.643,-507.292,19.183,24.000,4,67.199,67.199,0
6.352,-607.958,6.620,-505.569,20.255,24.000,4,69.142,69.142,0
6.452,-608.990,6.590,-503.754,21.295,24.000,4,71.173,71.173,0
6.552,-610.060,6.566,-501.844,22.298,24.000,4,73.312,73.312,0
6.653,-611.150,6.560,-499.843,23.070,24.000,4,75.542,75.542,0
6.753,-612.230,6.575,-497.776,23.464,24.000,4,77.811,77.811,0
6.853,-613.278,6.603,-495.663,23.665,24.000,4,80.129,80.129,0
6.953,-614.282,6.634,-493.512,23.769,24.000,4,82.440,82.440,0
7.053,-615.231,6.658,-491.328,23.823,24.000,4,84.783,84.783,0
7.154,-616.122,6.674,-489.116,23.852,24.000,4,87.133,87.133,0
7.254,-616.953,6.685,-486.879,23.868,24.000,4,89.457,89.457,0
7.354,-617.725,6.694,-484.619,23.877,24.000,4,91.812,91.812,0
7.454,-618.438,6.705,-482.340,23.883,24.000,4,94.136,94.136,0
7.554,-619.097,6.716,-480.043,23.887,24.000,4,96.492,96.492,0
7.654,-619.703,6.729,-477.732,23.891,24.000,4,98.815,98.815,0
7.755,-620.259,6.743,-475.408,23.893,24.000,4,101.170,101.170,0
7.855,-620.769,6.757,-473.073,23.895,24.000,4,103.491,103.491,0
7.955,-621.234,6.770,-470.729,23.896,24.000,4,105.846,105.846,0
8.055,-621.656,6.784,-468.377,23.898,24.000,4,108.164,108.164,0
8.155,-622.038,6.797,-466.018,23.898,24.000,4,110.518,110.518,0
8.256,-620.193,6.810,-463.661,23.590,24.000,4,112.525,112.525,0
8.356,-620.432,6.823,-461.304,23.741,24.000,4,114.875,114.875,0
8.456,-620.705,6.836,-458.941,23.819,24.000,4,117.223,117.223,0
8.556,-620.973,6.850,-456.571,23.854,24.000,4,119.592,119.592,0
8.656,-621.178,6.863,-454.194,23.816,24.000,4,121.946,121.946,0
