time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,230.517,43.477,-340.007,29.654,30.000,4,0.000,0.000,0
0.101,228.121,43.873,-338.258,29.771,30.000,2,0.000,0.000,0
0.201,225.725,44.172,-336.509,29.838,23.276,4,0.000,0.000,0
0.301,223.464,44.385,-334.858,27.051,23.276,4,0.000,0.000,0
0.401,221.421,44.650,-333.365,24.760,23.276,4,0.000,0.000,0
0.502,219.494,45.005,-331.957,23.764,23.065,4,1.313,1.313,0
0.602,217.652,45.380,-330.611,22.863,22.233,4,3.533,3.533,0
0.702,215.868,45.703,-329.307,22.235,23.276,4,5.679,5.679,0
0.802,214.093,45.954,-328.011,22.140,23.065,4,7.934,7.934,0
0.902,212.292,46.145,-326.696,22.310,22.233,4,10.251,10.251,0
1.003,210.499,46.293,-325.387,22.207,21.882,4,12.624,12.624,0
1.103,208.694,46.414,-324.068,22.709,25.354,4,15.028,15.028,0
1.204,206.815,46.517,-322.697,23.600,30.000,4,17.503,17.503,0
1.305,204.860,46.597,-321.277,24.476,30.000,4,20.006,20.006,0
1.405,202.816,46.634,-319.828,25.335,27.293,2,22.500,22.500,0
1.505,200.663,46.599,-318.380,26.186,30.000,4,24.966,24.966,0
1.606,198.395,46.509,-316.970,26.964,30.000,4,27.445,27.445,0
1.706,196.000,46.370,-315.625,27.766,30.000,3,30.079,30.079,0
1.806,193.472,46.173,-314.361,28.555,30.000,2,32.824,32.824,0
1.906,190.830,45.916,-313.194,29.121,30.000,4,35.652,35.652,0
2.007,188.105,45.612,-312.134,29.467,30.000,4,38.530,38.530,0
2.107,185.319,45.261,-311.178,29.689,30.000,3,41.442,41.442,0
2.207,182.488,44.865,-310.322,29.840,30.000,4,44.347,44.347,0
2.307,179.630,44.432,-309.556,29.674,30.000,4,47.276,47.276,0
2.407,176.763,43.968,-308.876,29.855,30.000,4,50.183,50.183,0
2.508,173.880,43.477,-308.269,29.730,30.000,4,53.043,53.043,0
2.608,170.987,42.964,-307.731,29.904,30.000,4,55.930,55.930,0
2.708,168.090,42.439,-307.260,29.816,30.000,4,58.808,58.808,0
2.808,165.179,41.904,-306.853,29.695,30.000,4,61.685,61.685,0
2.908,162.263,41.368,-306.513,29.892,30.000,4,64.464,64.464,0
3.009,159.343,40.838,-306.244,29.810,30.000,4,67.310,67.310,0
3.109,156.409,40.320,-306.054,29.686,30.000,4,70.157,70.157,0
