time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,230.517,43.477,-340.007,29.654,30.000,4,0.000,0.000,0
0.133,227.223,43.993,-337.603,29.338,30.000,2,0.000,0.000,0
0.267,223.924,44.395,-335.192,29.541,20.819,4,0.000,0.000,0
0.400,221.264,44.836,-333.250,26.479,20.819,4,0.000,0.000,0
0.533,218.537,45.388,-331.257,22.882,20.630,4,2.482,2.482,0
0.666,216.110,45.817,-329.482,21.167,20.819,4,5.412,5.412,0
0.799,214.124,46.073,-328.031,20.390,20.630,4,7.932,7.932,0
0.933,211.873,46.288,-326.387,19.602,19.886,4,10.822,10.822,0
1.066,209.681,46.454,-324.786,19.531,22.465,4,13.873,13.873,0
1.199,207.742,46.578,-323.371,20.060,22.678,4,16.436,16.436,0
1.332,205.399,46.689,-321.672,21.075,25.675,4,19.421,19.421,0
1.465,202.904,46.743,-319.939,22.058,29.395,4,22.443,22.443,0
1.599,200.615,46.726,-318.482,22.856,30.000,3,25.046,25.046,0
1.732,197.744,46.615,-316.885,23.766,30.000,4,28.163,28.163,0
1.865,194.654,46.416,-315.452,24.664,30.000,4,31.489,31.489,0
1.998,191.836,46.179,-314.375,25.431,30.000,3,34.468,34.468,0
2.131,188.373,45.821,-313.292,26.362,30.000,4,38.067,38.067,0
2.265,184.738,45.382,-312.369,27.308,30.000,4,41.785,41.785,0
2.398,181.500,44.941,-311.672,28.123,30.000,4,45.054,45.054,0
2.500,178.723,44.528,-311.139,28.797,30.000,4,47.850,47.850,0
2.633,174.739,43.887,-310.444,29.452,30.000,4,51.836,51.836,0
2.766,170.690,43.188,-309.797,29.822,30.000,4,55.875,55.875,0
2.900,167.193,42.558,-309.281,29.736,30.000,4,59.380,59.380,0
3.033,163.178,41.818,-308.748,29.531,30.000,4,63.363,63.363,0
3.166,159.104,41.072,-308.298,29.869,27.747,4,67.367,67.367,0
3.299,155.652,40.457,-308.012,28.808,27.653,4,70.800,70.800,0
3.432,151.782,39.801,-307.831,27.421,25.480,4,74.579,74.579,0
3.566,148.215,39.253,-307.836,24.802,24.038,4,78.048,78.048,0
3.699,145.361,38.884,-307.994,23.422,22.207,4,80.844,80.844,0
3.832,142.240,38.601,-308.350,21.925,22.491,4,83.919,83.919,0
3.965,139.236,38.517,-308.902,21.576,20.522,4,86.758,86.758,0
4.098,136.779,38.579,-309.526,20.690,20.962,4,89.184,89.184,0
4.232,134.074,38.749,-310.436,20.621,22.590,4,91.904,91.904,0
