time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,230.517,43.477,-340.007,29.654,29.000,4,0.000,0.000,0
0.133,227.278,43.983,-337.643,28.418,29.000,2,0.000,0.000,0
0.266,224.045,44.328,-335.282,29.197,35.260,4,0.000,0.000,0
0.400,221.199,44.756,-333.204,30.041,33.051,4,0.000,0.000,0
0.533,217.796,45.392,-330.719,30.516,30.431,4,3.221,3.221,0
0.666,214.517,45.927,-328.324,28.806,29.486,4,7.211,7.211,0
0.799,211.735,46.247,-326.292,28.971,28.351,0,10.802,10.802,0
0.932,208.555,46.463,-323.969,27.274,28.435,2,15.107,15.107,0
1.066,205.435,46.568,-321.691,27.835,28.079,4,19.249,19.249,0
1.199,202.723,46.616,-319.712,28.112,28.435,4,22.576,22.576,0
1.332,199.501,46.582,-317.387,28.548,30.011,2,26.292,26.292,0
1.465,196.129,46.390,-315.048,29.802,31.962,2,30.061,30.061,0
1.598,193.079,46.095,-313.059,30.432,30.364,4,33.491,33.491,0
1.732,189.538,45.673,-310.920,29.642,29.000,4,37.441,37.441,0
1.865,185.967,45.200,-308.950,28.565,29.000,4,41.352,41.352,0
1.998,182.937,44.755,-307.420,28.680,29.000,4,44.571,44.571,0
2.131,179.303,44.159,-305.740,28.975,29.000,4,48.418,48.418,0
2.264,175.677,43.505,-304.201,28.615,29.000,4,52.138,52.138,0
2.398,172.504,42.902,-302.945,28.969,29.000,4,55.273,55.273,0
2.531,168.847,42.189,-301.577,28.386,29.000,4,58.985,58.985,0
2.664,165.114,41.461,-300.247,28.958,29.000,4,62.531,62.531,0
2.797,161.935,40.847,-299.156,28.143,29.000,4,65.629,65.629,0
2.930,158.194,40.148,-297.911,28.862,29.000,4,67.025,67.025,0
3.064,154.432,39.482,-296.694,28.066,29.000,4,67.025,67.025,0
3.197,151.218,38.954,-295.678,28.728,29.000,4,67.025,67.025,0
3.330,147.368,38.387,-294.492,29.568,46.228,4,67.025,67.025,0
3.463,143.338,37.908,-293.276,30.918,46.228,4,67.025,67.025,0
3.596,139.731,37.601,-292.198,31.997,43.520,4,67.025,67.025,0
3.730,135.367,37.388,-290.897,33.133,40.633,4,67.025,67.025,0
3.863,130.856,37.372,-289.553,34.140,40.633,4,67.025,67.025,0
3.996,126.886,37.509,-288.373,34.954,37.523,4,67.025,67.025,0
4.129,122.167,37.835,-286.973,35.144,34.132,4,67.025,67.025,0
4.262,118.243,38.215,-285.826,33.483,30.364,4,67.025,67.025,0
4.396,114.033,38.712,-284.648,30.301,30.364,4,67.025,67.025,0
4.529,110.122,39.240,-283.644,28.223,29.000,4,67.025,67.025,0
4.662,106.841,39.723,-282.896,28.471,29.000,4,67.025,67.025,0
4.795,102.965,40.323,-282.127,28.609,29.000,4,67.025,67.025,0
4.928,99.064,40.947,-281.459,28.641,29.000,4,67.025,67.025,0
5.062,95.708,41.490,-280.954,28.643,29.000,4,67.025,67.025,0
5.195,91.801,42.117,-280.433,28.044,27.648,4,0.000,0.000,0
5.328,88.098,42.693,-280.004,26.222,24.734,4,0.000,0.000,0
5.461,85.145,43.129,-279.718,23.921,21.568,4,0.000,0.000,0
5.594,81.932,43.563,-279.487,22.377,21.948,4,0.000,0.000,0
5.728,78.992,43.911,-279.374,20.438,19.600,4,0.000,0.000,0
5.861,76.601,44.153,-279.368,19.744,18.518,4,0.000,0.000,0
5.994,73.843,44.383,-279.468,19.515,19.352,4,0.000,0.000,0
6.127,71.122,44.550,-279.679,18.944,19.440,4,0.000,0.000,0
6.260,68.838,44.621,-279.937,19.284,20.017,2,0.000,0.000,0
6.394,66.129,44.592,-280.335,19.154,21.072,4,0.000,0.000,0
6.527,63.488,44.475,-280.811,19.337,20.137,2,0.000,0.000,0
6.660,61.154,44.272,-281.305,20.050,21.072,2,0.000,0.000,0
6.793,58.344,43.912,-281.987,21.300,22.329,2,0.000,0.000,0
