time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-167.990,31.541,-582.543,39.998,42.000,4,0.000,0.000,0
0.100,-171.985,31.523,-582.577,39.918,42.000,0,0.000,0.000,0
0.233,-177.592,31.421,-582.626,39.336,20.822,4,0.000,0.000,0
0.367,-182.789,31.374,-582.670,35.449,20.842,4,2.037,2.037,0
0.500,-186.811,31.359,-582.705,32.130,20.822,4,5.943,5.943,0
0.600,-189.860,31.334,-582.731,29.374,24.208,4,9.439,9.439,0
0.733,-193.685,31.265,-582.764,26.093,31.972,4,13.917,13.917,0
0.833,-196.276,31.194,-582.786,26.170,34.291,4,16.726,16.726,0
0.933,-198.952,31.109,-582.807,27.154,42.000,4,19.491,19.491,0
1.033,-201.725,31.011,-582.809,28.107,42.000,4,22.144,22.144,0
1.133,-204.590,30.901,-582.755,29.019,42.000,4,24.928,24.928,0
1.233,-207.540,30.774,-582.603,29.891,42.000,4,27.727,27.727,0
1.367,-211.796,30.560,-582.168,31.062,42.000,4,31.927,31.927,0
1.467,-214.911,30.378,-581.682,31.876,42.000,4,35.065,35.065,0
1.600,-218.722,30.124,-580.913,32.840,42.000,4,38.953,38.953,0
1.700,-221.956,29.880,-580.137,33.639,42.000,4,42.264,42.264,0
1.800,-225.245,29.604,-579.261,34.428,42.000,4,45.628,45.628,0
1.900,-228.588,29.294,-578.302,35.204,42.000,4,49.060,49.060,0
2.033,-233.364,28.788,-576.845,36.269,42.000,4,53.964,53.964,0
2.133,-236.843,28.353,-575.733,37.021,42.000,3,57.544,57.544,0
2.233,-240.372,27.857,-574.564,37.764,42.000,4,61.180,61.180,0
2.367,-245.396,27.086,-572.824,38.774,42.000,4,66.351,66.351,0
2.500,-249.774,26.381,-571.227,39.609,42.000,4,70.891,70.891,0
2.633,-254.956,25.516,-569.220,40.549,42.000,4,76.244,76.244,0
2.733,-258.695,24.886,-567.682,41.110,42.000,4,80.129,80.129,0
2.833,-262.443,24.294,-566.059,41.385,42.000,4,84.117,84.117,0
2.933,-266.196,23.899,-564.396,41.309,42.000,4,88.035,88.035,0
3.067,-271.452,23.581,-561.976,41.572,42.000,4,93.595,93.595,0
3.167,-275.192,23.444,-560.162,41.639,42.000,4,97.520,97.520,0
3.267,-278.879,23.342,-558.224,41.651,42.000,4,101.546,101.546,0
3.400,-283.171,23.262,-555.682,41.550,42.000,4,106.304,106.304,0
3.500,-286.597,23.355,-553.370,41.372,42.000,4,110.325,110.325,0
3.600,-289.923,23.552,-550.919,41.407,42.000,4,114.348,114.348,0
3.733,-294.387,23.969,-547.257,41.396,42.000,4,119.917,119.917,0
3.867,-298.611,24.512,-543.327,41.396,42.000,4,125.524,125.524,0
4.000,-302.063,25.025,-539.790,41.416,42.000,4,130.343,130.343,0
4.133,-305.963,25.620,-535.536,41.447,42.000,4,135.973,135.973,0
4.266,-309.805,26.099,-531.208,41.406,42.000,0,141.664,141.664,0
4.399,-313.087,26.357,-527.497,41.235,42.000,0,146.545,146.545,0
4.500,-315.816,26.464,-524.411,41.111,42.000,0,150.606,150.606,0
4.633,-319.628,26.449,-520.101,40.967,42.000,0,156.309,156.309,0
4.733,-322.344,26.320,-517.030,40.885,42.000,0,160.380,160.380,0
4.833,-325.054,26.094,-513.965,40.819,42.000,0,164.446,164.446,0
4.967,-328.797,25.924,-509.692,40.231,42.000,4,170.109,170.109,0
5.067,-331.420,26.294,-506.649,40.561,42.000,4,174.098,174.098,0
5.200,-334.581,26.859,-502.967,40.934,42.000,4,178.925,178.925,0
5.300,-337.221,27.435,-499.891,41.074,42.000,4,182.962,182.962,0
5.400,-339.858,28.103,-496.816,41.167,42.000,4,186.998,186.998,0
5.500,-342.486,28.864,-493.749,41.188,42.000,4,191.025,191.025,0
5.633,-346.161,30.007,-489.450,41.095,42.000,0,196.661,196.661,0
5.766,-349.832,30.993,-485.151,40.730,42.000,0,202.303,202.303,0
5.867,-352.448,31.578,-482.088,40.492,42.000,0,206.323,206.323,0
5.967,-355.059,32.063,-479.032,40.275,42.000,0,210.336,210.336,0
6.100,-358.186,32.514,-475.374,40.037,42.000,0,215.142,215.142,0
6.200,-360.786,32.781,-472.332,39.877,42.000,0,219.139,219.139,0
6.333,-364.417,32.990,-468.086,39.707,42.000,0,224.720,224.720,0
6.466,-368.038,33.005,-463.854,39.596,42.000,0,230.286,230.286,0
6.600,-371.133,32.866,-460.237,39.540,42.000,0,235.043,235.043,0
6.700,-373.707,32.642,-457.231,39.530,42.000,0,238.998,238.998,0
6.800,-376.275,32.321,-454.231,39.545,42.000,0,242.945,242.945,0
6.900,-378.837,31.902,-451.238,39.580,42.000,0,246.883,246.883,0
7.000,-381.394,31.387,-448.252,39.628,42.000,0,250.813,250.813,0
7.100,-383.945,30.774,-445.273,39.683,42.000,0,254.734,254.734,0
7.200,-386.491,30.065,-442.301,39.737,42.000,0,258.647,258.647,0
7.333,-390.046,28.911,-438.150,39.800,42.000,0,264.110,264.110,0
7.466,-393.591,27.568,-434.012,39.831,42.000,0,269.557,269.557,0
7.567,-396.116,26.493,-431.064,39.823,42.000,0,273.437,273.437,0
7.667,-398.636,25.322,-428.122,39.784,42.000,0,277.309,277.309,0
7.800,-401.653,23.792,-424.599,39.677,42.000,0,281.945,281.945,0
7.933,-405.163,21.832,-420.501,39.509,42.000,0,287.338,287.338,0
8.033,-407.663,20.318,-417.580,39.341,42.000,0,291.180,291.180,0
8.167,-411.350,19.806,-413.535,39.513,42.000,4,296.629,296.629,0
8.300,-414.640,19.697,-410.053,40.213,42.000,4,301.404,301.404,0
8.433,-418.561,19.545,-405.931,40.941,42.000,4,307.078,307.078,0
8.566,-422.538,19.336,-401.756,41.371,42.000,4,312.834,312.834,0
8.699,-425.970,19.134,-398.154,41.571,42.000,4,317.804,317.804,0
8.832,-429.989,18.898,-393.936,41.702,42.000,4,323.625,323.625,0
