time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,230.517,43.477,-340.007,29.654,30.000,4,0.000,0.000,0
0.100,228.165,43.865,-338.290,29.225,30.000,2,0.000,0.000,0
0.233,224.868,44.274,-335.882,29.514,20.819,4,0.000,0.000,0
0.366,221.687,44.756,-333.558,26.990,20.819,4,0.000,0.000,0
0.500,219.276,45.238,-331.796,23.910,20.630,4,1.576,1.576,0
0.633,216.793,45.709,-329.982,21.698,19.886,4,4.579,4.579,0
0.767,214.452,46.036,-328.271,20.603,20.630,4,7.451,7.451,0
0.900,212.509,46.233,-326.852,20.010,19.886,4,10.032,10.032,0
1.033,210.312,46.409,-325.247,19.502,22.465,4,12.912,12.912,0
1.166,208.067,46.559,-323.607,20.261,22.678,4,16.034,16.034,0
1.300,206.082,46.662,-322.164,20.787,25.675,4,18.605,18.605,0
1.433,203.634,46.735,-320.434,21.780,29.395,4,21.600,21.600,0
1.566,201.007,46.733,-318.721,22.731,30.000,4,24.613,24.613,0
1.699,198.586,46.655,-317.328,23.505,30.000,4,27.244,27.244,0
1.832,195.558,46.481,-315.844,24.404,30.000,4,30.517,30.517,0
1.966,192.315,46.224,-314.547,25.306,30.000,3,33.962,33.962,0
2.067,189.878,45.985,-313.736,25.964,30.000,4,36.508,36.508,0
2.200,186.834,45.643,-312.881,26.764,30.000,4,39.646,39.646,0
2.333,183.132,45.169,-312.013,27.715,30.000,4,43.410,43.410,0
2.466,179.283,44.614,-311.246,28.666,30.000,4,47.283,47.283,0
2.600,175.885,44.077,-310.641,29.308,30.000,4,50.677,50.677,0
2.733,171.850,43.392,-309.982,29.735,30.000,4,54.731,54.731,0
2.866,167.772,42.663,-309.369,29.981,30.000,4,58.790,58.790,0
2.999,164.328,42.031,-308.898,29.397,30.000,4,62.205,62.205,0
3.133,160.272,41.285,-308.420,29.792,30.000,4,66.240,66.240,0
3.267,156.217,40.556,-308.053,29.059,27.653,4,70.229,70.229,0
3.400,152.867,39.980,-307.865,27.862,23.535,4,73.485,73.485,0
3.533,149.199,39.396,-307.815,25.267,24.531,4,77.133,77.133,0
3.666,145.824,38.938,-307.957,23.728,22.207,4,80.374,80.374,0
3.767,143.548,38.699,-308.176,22.642,22.615,4,82.585,82.585,0
3.900,140.944,38.542,-308.558,21.974,20.365,4,85.123,85.123,0
4.033,137.987,38.535,-309.198,21.263,20.962,4,88.047,88.047,0
4.167,135.228,38.668,-310.015,20.282,21.758,4,90.682,90.682,0
4.300,132.947,38.834,-310.898,20.311,20.522,4,92.981,92.981,0
4.433,130.390,39.040,-312.139,20.415,20.904,4,95.666,95.666,0
4.533,128.628,39.203,-313.166,20.478,20.769,4,97.540,97.540,0
4.667,126.261,39.480,-314.794,20.601,19.644,4,100.124,100.124,0
4.800,124.401,39.751,-316.304,19.762,19.105,4,102.335,102.335,0
4.933,122.486,40.051,-318.116,18.287,20.960,4,104.838,104.838,0
5.066,120.741,40.294,-320.061,18.852,19.710,4,107.232,107.232,0
5.199,119.335,40.429,-321.859,18.816,18.956,3,109.422,109.422,0
5.333,117.845,40.450,-324.016,18.902,21.424,2,111.959,111.959,0
5.466,116.430,40.346,-326.329,19.568,22.436,3,114.517,114.517,0
5.567,115.450,40.205,-328.090,20.402,24.285,2,116.457,116.457,0
5.700,114.286,39.941,-330.326,21.422,30.000,4,118.909,118.909,0
5.833,112.939,39.506,-333.093,22.621,30.000,4,121.883,121.883,0
5.966,111.588,38.957,-336.021,23.811,30.000,4,125.026,125.026,0
6.099,110.414,38.417,-338.653,24.815,30.000,4,127.867,127.867,0
6.233,109.012,37.745,-341.864,25.951,30.000,4,131.315,131.315,0
6.366,107.565,37.072,-345.225,27.043,30.000,4,134.933,134.933,0
6.499,106.283,36.503,-348.221,27.944,30.000,4,138.168,138.168,0
6.632,104.738,35.838,-351.842,28.928,30.000,4,142.085,142.085,0
6.765,103.150,35.169,-355.567,29.565,30.000,4,146.134,146.134,0
6.899,101.770,34.597,-358.807,29.858,30.000,4,149.662,149.662,0
7.032,100.158,33.945,-362.590,29.245,30.000,4,153.817,153.817,0
7.165,98.560,33.320,-366.338,29.648,30.000,4,157.923,157.923,0
7.298,97.173,32.797,-369.591,29.893,30.000,4,161.499,161.499,0
7.431,95.555,32.213,-373.383,29.246,30.000,4,165.672,165.672,0
7.565,93.951,31.665,-377.139,29.628,30.000,4,169.748,169.748,0
7.698,92.559,31.217,-380.396,29.861,30.000,4,173.285,173.285,0
7.831,90.912,30.729,-384.200,29.464,30.000,4,177.382,177.382,0
7.964,89.471,30.350,-387.389,29.485,30.000,4,180.809,180.809,0
8.097,87.654,29.930,-391.096,29.737,30.000,4,184.854,184.854,0
8.231,85.654,29.517,-394.739,29.858,30.000,4,188.952,188.952,0
8.364,83.786,29.159,-397.782,29.907,30.000,4,192.489,192.489,0
8.497,81.461,28.743,-401.208,29.158,30.000,4,196.621,196.621,0
8.630,79.022,28.340,-404.489,29.507,30.000,4,200.685,200.685,0
8.763,76.822,27.999,-407.265,29.737,30.000,4,204.206,204.206,0
8.897,74.172,27.608,-410.469,29.895,30.000,4,208.346,208.346,0
9.030,71.505,27.231,-413.612,28.921,30.000,4,212.472,212.472,0
9.163,69.234,26.920,-416.256,29.362,30.000,4,215.936,215.936,0
9.296,66.541,26.562,-419.378,29.687,30.000,4,220.040,220.040,0
9.429,63.823,26.210,-422.522,29.863,30.000,4,224.181,224.181,0
9.563,61.483,25.916,-425.227,29.945,30.000,4,227.747,227.747,0
9.696,58.818,25.592,-428.306,29.125,30.000,4,231.827,231.827,0
9.829,56.134,25.278,-431.408,29.555,30.000,4,235.913,235.913,0
9.962,53.822,25.075,-434.078,29.610,30.000,4,239.444,239.444,0
10.095,51.120,25.141,-437.200,29.667,30.000,4,243.561,243.561,0
10.229,48.409,25.432,-440.332,29.714,30.000,4,247.698,247.698,0
10.362,46.087,25.753,-443.014,29.721,30.000,4,251.240,251.240,0
10.495,43.385,26.187,-446.136,29.690,30.000,4,255.365,255.365,0
10.628,40.694,26.707,-449.245,29.637,30.000,4,259.475,259.475,0
10.761,38.399,27.237,-451.896,29.588,30.000,4,262.980,262.980,0
10.895,35.738,27.955,-454.971,29.526,30.000,4,267.046,267.046,0
11.028,33.094,28.774,-458.025,29.461,30.000,4,271.084,271.084,0
11.161,30.844,29.552,-460.625,29.407,30.000,4,274.522,274.522,0
11.294,28.237,30.544,-463.636,29.342,30.000,4,278.504,278.504,0
11.427,25.622,31.554,-466.646,29.267,30.000,2,282.482,282.482,0
11.561,23.371,32.294,-469.232,28.930,30.000,0,285.906,285.906,0
11.694,20.750,32.975,-472.241,28.600,30.000,0,289.887,289.887,0
11.827,18.137,33.462,-475.241,28.335,30.000,0,293.842,293.842,0
11.960,15.905,33.724,-477.805,28.154,30.000,0,297.230,297.230,0
12.093,13.308,33.850,-480.787,28.033,30.000,0,301.159,301.159,0
12.227,10.722,33.784,-483.758,27.991,30.000,0,305.072,305.072,0
12.360,8.512,33.574,-486.295,28.006,30.000,0,308.422,308.422,0
12.493,5.913,33.351,-489.172,28.078,29.907,4,312.280,312.280,0
12.626,3.242,33.734,-492.017,28.322,30.000,4,316.150,316.150,0
12.759,0.912,34.223,-494.406,27.165,26.501,4,319.490,319.490,0
12.893,-1.712,34.637,-496.962,26.060,20.378,3,323.164,323.164,0
13.026,-4.306,34.855,-499.344,23.743,22.052,4,326.716,326.716,0
13.159,-6.355,34.965,-501.134,22.275,19.759,4,329.458,329.458,0
13.292,-8.573,35.104,-502.987,19.861,20.354,4,332.382,332.382,0
13.425,-10.747,35.268,-504.738,20.224,18.527,4,335.153,335.153,0
13.559,-12.613,35.378,-506.215,19.268,20.354,2,337.538,337.538,0
13.692,-14.767,35.367,-507.918,19.766,22.771,2,340.261,340.261,0
13.825,-16.974,35.173,-509.674,20.111,25.080,0,343.064,343.064,0
13.958,-18.861,34.856,-511.177,20.182,30.000,0,345.469,345.469,0
14.091,-21.057,34.323,-512.933,20.336,30.000,1,348.271,348.271,0
14.225,-23.298,33.697,-514.749,21.518,30.000,4,351.127,351.127,0
14.358,-25.326,33.190,-516.396,22.605,30.000,4,353.712,353.712,0
14.491,-27.818,32.599,-518.423,23.834,30.000,4,356.890,356.890,0
14.624,-30.054,32.060,-520.242,24.856,30.000,4,359.745,359.745,0
14.757,-32.775,31.399,-522.459,26.004,30.000,4,363.219,363.219,0
14.891,-35.618,30.737,-524.775,27.101,30.000,4,366.846,366.846,0
15.024,-38.149,30.197,-526.841,27.999,30.000,4,370.072,370.072,0
15.157,-41.195,29.626,-529.356,28.953,30.000,4,373.969,373.969,0
15.290,-44.286,29.157,-532.004,29.524,30.000,4,377.986,377.986,0
15.423,-46.905,28.845,-534.388,29.748,30.000,4,381.453,381.453,0
15.557,-49.867,28.571,-537.315,29.850,30.000,4,385.554,385.554,0
15.690,-52.663,28.494,-540.344,29.575,30.000,4,389.582,389.582,0
15.823,-54.954,28.685,-543.030,29.575,30.000,4,393.056,393.056,0
15.956,-57.500,29.092,-546.269,29.576,30.000,4,397.084,397.084,0
16.089,-59.897,29.525,-549.621,29.559,30.000,4,401.127,401.127,0
16.223,-61.836,29.828,-552.580,29.556,30.000,4,404.634,404.634,0
16.356,-63.981,30.082,-556.096,28.997,30.000,4,408.723,408.723,0
16.489,-65.976,30.241,-559.535,27.855,25.282,4,412.707,412.707,0
16.622,-67.559,30.319,-562.329,25.904,24.984,4,415.972,415.972,0
16.755,-69.269,30.361,-565.378,24.018,20.572,4,419.549,419.549,0
