time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,230.517,43.477,-340.007,29.654,29.000,4,0.000,0.000,0
0.100,228.192,43.860,-338.310,28.327,29.000,2,0.000,0.000,0
0.233,225.443,44.184,-336.303,28.740,36.543,4,0.000,0.000,0
0.366,222.156,44.539,-333.902,29.688,34.191,4,0.000,0.000,0
0.500,218.782,45.120,-331.436,30.547,28.022,4,2.047,2.047,0
0.633,215.935,45.664,-329.356,29.159,29.745,4,5.468,5.468,0
0.733,213.592,46.039,-327.644,29.242,29.069,2,8.406,8.406,0
0.866,210.287,46.404,-325.231,29.230,28.079,0,12.747,12.747,0
0.967,207.931,46.547,-323.510,29.101,28.435,0,16.024,16.024,0
1.100,204.723,46.616,-321.169,27.450,28.079,2,20.116,20.116,0
1.200,202.483,46.610,-319.539,27.879,30.932,4,22.862,22.862,0
1.333,199.719,46.554,-317.557,28.580,30.011,4,26.040,26.040,0
1.466,196.352,46.396,-315.243,29.590,31.962,2,29.802,29.802,0
1.567,193.827,46.189,-313.609,30.365,30.364,2,32.636,32.636,0
1.667,191.263,45.905,-312.044,29.615,30.364,4,35.507,35.507,0
1.800,187.664,45.435,-310.012,29.356,29.000,4,39.465,39.465,0
1.933,184.647,45.004,-308.448,28.142,29.000,4,42.729,42.729,0
2.033,182.105,44.616,-307.224,28.613,29.000,4,45.426,45.426,0
2.133,179.507,44.192,-306.051,28.872,29.000,4,48.155,48.155,0
2.233,176.877,43.734,-304.933,28.752,29.000,4,50.817,50.817,0
2.367,173.230,43.057,-303.474,28.617,29.000,4,54.582,54.582,0
2.500,169.507,42.336,-302.072,28.987,29.000,4,58.244,58.244,0
2.633,166.344,41.716,-300.933,28.143,29.000,4,61.410,61.410,0
2.733,163.699,41.201,-300.009,28.677,29.000,4,63.970,63.970,0
2.833,161.012,40.685,-299.093,28.953,29.000,4,66.539,66.539,0
2.933,158.328,40.185,-298.199,28.314,29.000,4,67.976,67.976,0
3.033,155.655,39.705,-297.326,28.707,29.000,4,67.976,67.976,0
3.133,152.942,39.243,-296.457,28.961,29.000,4,67.976,67.976,0
3.233,150.272,38.818,-295.618,28.107,48.785,4,67.976,67.976,0
3.333,147.573,38.426,-294.785,28.897,46.228,4,67.976,67.976,0
3.467,143.636,37.933,-293.600,30.139,46.228,4,67.976,67.976,0
3.600,139.525,37.537,-292.392,31.283,43.520,4,67.976,67.976,0
3.733,135.877,37.339,-291.334,32.192,40.633,4,67.976,67.976,0
3.833,132.752,37.290,-290.429,32.884,40.633,4,67.976,67.976,0
