time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,555.788,32.795,-240.588,33.315,36.000,4,0.000,0.000,0
0.100,556.592,32.187,-243.813,33.599,36.000,2,0.000,0.000,0
0.233,557.728,31.244,-248.366,34.158,36.000,2,0.000,0.000,0
0.367,558.867,30.326,-252.950,34.841,33.069,4,0.227,0.227,0
0.500,559.861,29.834,-256.950,34.759,34.200,4,4.361,4.361,0
0.633,561.001,29.371,-261.541,34.076,29.907,4,9.098,9.098,0
0.766,562.128,28.971,-266.086,32.708,35.571,4,13.817,13.817,0
0.899,563.075,28.679,-269.905,33.249,36.000,4,17.731,17.731,0
1.033,564.188,28.365,-274.474,34.156,36.000,4,22.328,22.328,0
1.133,564.958,28.142,-277.842,34.908,36.000,4,25.629,25.629,0
1.267,565.913,27.807,-282.672,35.337,34.087,4,30.597,30.597,0
1.400,566.539,27.495,-286.751,33.702,31.895,4,34.834,34.834,0
1.533,566.999,27.108,-291.229,30.877,30.599,4,39.357,39.357,0
1.633,567.152,26.847,-294.181,29.015,27.227,4,42.247,42.247,0
1.767,567.141,26.535,-298.081,27.155,26.539,4,46.016,46.016,0
1.867,566.977,26.354,-300.719,25.992,25.697,4,48.577,48.577,0
1.967,566.686,26.201,-303.269,25.223,25.079,4,51.040,51.040,0
2.100,566.171,26.044,-306.197,24.924,25.697,4,53.744,53.744,0
2.233,565.332,25.879,-309.508,23.933,25.079,4,57.025,57.025,0
2.366,564.219,25.725,-312.732,24.682,27.791,4,60.080,60.080,0
2.500,563.026,25.606,-315.468,24.993,28.132,4,62.871,62.871,0
2.633,561.337,25.479,-318.645,26.173,27.791,4,66.245,66.245,0
2.766,559.313,25.362,-321.824,27.478,36.000,4,69.547,69.547,0
2.867,557.668,25.284,-324.093,28.384,36.000,4,72.170,72.170,0
2.967,555.871,25.214,-326.357,29.270,36.000,4,74.911,74.911,0
3.100,553.528,25.143,-329.070,30.302,36.000,4,78.346,78.346,0
3.233,550.568,25.083,-332.238,31.471,36.000,4,82.532,82.532,0
3.366,547.395,25.048,-335.422,32.589,36.000,4,86.824,86.824,0
3.500,544.524,25.036,-338.170,33.505,36.000,4,90.654,90.654,0
3.633,541.009,25.040,-341.398,34.527,36.000,4,95.271,95.271,0
3.766,537.340,25.083,-344.630,35.216,36.000,4,100.008,100.008,0
3.867,534.659,25.245,-346.913,35.400,36.000,4,103.375,103.375,0
3.967,531.902,25.487,-349.134,35.496,36.000,4,106.757,106.757,0
4.100,528.452,25.750,-351.631,35.503,36.000,4,110.854,110.854,0
4.233,524.222,25.934,-354.254,35.550,36.000,4,115.671,115.671,0
4.366,519.816,26.019,-356.591,35.627,36.000,4,120.491,120.491,0
4.467,516.592,26.047,-358.122,35.679,36.000,4,123.887,123.887,0
4.600,512.665,26.053,-359.847,35.732,36.000,4,128.083,128.083,0
4.700,509.357,26.028,-361.210,35.768,36.000,4,131.483,131.483,0
4.833,504.684,25.942,-363.029,35.808,36.000,4,136.314,136.314,0
4.966,499.971,25.808,-364.747,35.835,36.000,4,141.144,141.144,0
5.067,496.583,25.728,-365.906,35.821,36.000,4,144.535,144.535,0
5.200,492.556,25.931,-367.210,35.425,36.000,4,148.574,148.574,0
5.300,489.198,26.266,-368.258,35.443,36.000,4,151.985,151.985,0
5.400,485.838,26.713,-369.259,35.457,35.976,4,155.261,155.261,0
