time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,230.517,43.477,-340.007,29.654,29.000,4,0.000,0.000,0
0.100,228.191,43.860,-338.310,28.325,29.000,2,0.000,0.000,0
0.200,225.906,44.138,-336.641,28.561,36.543,4,0.000,0.000,0
0.300,223.586,44.382,-334.947,29.294,32.066,4,0.000,0.000,0
0.400,221.211,44.755,-333.213,29.987,33.051,4,0.000,0.000,0
0.534,217.837,45.383,-330.749,30.149,30.431,4,3.180,3.180,0
0.634,215.449,45.785,-329.005,29.852,27.669,4,6.030,6.030,0
0.734,213.132,46.098,-327.313,28.192,29.069,2,8.982,8.982,0
0.834,210.843,46.320,-325.640,28.410,27.669,2,12.072,12.072,0
0.934,208.612,46.459,-324.011,27.040,28.435,2,15.040,15.040,0
1.034,206.397,46.542,-322.394,27.661,28.351,4,18.090,18.090,0
1.134,204.143,46.600,-320.748,27.987,30.011,4,20.904,20.904,0
1.234,201.855,46.626,-319.082,28.421,29.183,2,23.611,23.611,0
1.367,199.058,46.571,-317.072,28.909,30.011,2,26.754,26.754,0
1.467,196.676,46.432,-315.394,29.215,31.962,2,29.464,29.464,0
1.600,193.193,46.099,-313.079,30.223,30.364,4,33.380,33.380,0
1.733,189.598,45.681,-310.887,29.787,29.000,4,37.388,37.388,0
1.834,187.083,45.359,-309.472,28.492,29.000,4,40.151,40.151,0
1.934,184.583,45.008,-308.162,28.560,29.000,4,42.846,42.846,0
2.034,182.018,44.612,-306.913,28.861,29.000,4,45.573,45.573,0
2.134,179.408,44.173,-305.727,29.005,29.000,4,48.317,48.317,0
2.234,176.823,43.709,-304.625,28.366,29.000,4,50.937,50.937,0
2.367,173.672,43.118,-303.362,28.864,29.000,4,54.162,54.162,0
2.500,169.959,42.403,-301.960,28.307,29.000,4,57.828,57.828,0
2.600,167.321,41.889,-301.007,28.682,29.000,4,60.422,60.422,0
2.700,164.638,41.368,-300.067,28.978,29.000,4,63.025,63.025,0
2.833,160.901,40.651,-298.797,28.427,29.000,4,66.570,66.570,0
2.967,157.677,40.054,-297.732,28.910,29.000,4,67.002,67.002,0
3.067,154.961,39.572,-296.854,28.812,29.000,4,67.002,67.002,0
3.167,152.285,39.123,-296.004,28.521,29.000,4,67.002,67.002,0
3.300,148.466,38.540,-294.817,29.312,48.785,4,67.002,67.002,0
3.400,145.633,38.163,-293.957,30.298,46.228,4,67.002,67.002,0
3.500,142.699,37.844,-293.077,31.248,46.228,4,67.002,67.002,0
3.600,139.670,37.596,-292.174,32.135,43.520,4,67.002,67.002,0
3.700,136.553,37.422,-291.248,32.978,43.520,4,67.002,67.002,0
3.833,132.067,37.358,-289.914,33.963,40.633,4,67.002,67.002,0
3.967,128.114,37.455,-288.739,34.795,37.523,4,67.002,67.002,0
4.100,123.393,37.738,-287.341,35.673,34.132,4,67.002,67.002,0
4.234,118.756,38.159,-285.981,33.844,30.364,4,67.002,67.002,0
4.334,115.664,38.508,-285.096,31.288,30.364,4,67.002,67.002,0
4.434,112.763,38.878,-284.302,29.706,29.000,4,67.002,67.002,0
4.534,109.998,39.260,-283.593,28.233,29.000,4,67.002,67.002,0
4.634,107.269,39.661,-282.955,28.433,29.000,4,67.002,67.002,0
