time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,555.788,32.795,-240.588,33.315,36.000,4,0.000,0.000,0
0.133,556.921,31.945,-245.131,33.733,36.000,4,0.000,0.000,0
0.266,557.897,31.173,-249.044,33.976,33.654,4,0.000,0.000,0
0.400,558.989,30.270,-253.435,32.970,29.378,4,0.770,0.770,0
0.533,560.066,29.719,-257.769,31.148,30.864,4,5.275,5.275,0
0.666,560.948,29.475,-261.327,30.695,26.435,4,8.942,8.942,0
0.799,561.955,29.221,-265.400,29.213,31.441,4,13.174,13.174,0
0.932,562.908,28.938,-269.400,28.922,29.674,4,17.292,17.292,0
1.066,563.630,28.687,-272.777,29.124,36.000,4,20.719,20.719,0
1.199,564.337,28.388,-276.847,29.905,34.039,4,24.727,24.727,0
1.332,564.854,28.081,-281.053,30.646,31.929,4,28.963,28.963,0
1.465,565.135,27.800,-284.703,30.056,29.726,4,32.729,32.729,0
1.598,565.288,27.459,-288.754,28.302,26.956,4,36.814,36.814,0
1.732,565.289,27.124,-292.559,26.527,24.945,4,40.616,40.616,0
1.865,565.187,26.874,-295.630,25.151,24.406,4,43.662,43.662,0
1.998,564.953,26.632,-299.028,23.810,23.396,4,47.064,47.064,0
2.131,564.651,26.459,-301.774,22.536,24.406,4,49.808,49.808,0
2.264,564.150,26.275,-304.913,22.800,21.803,4,52.962,52.962,0
2.398,563.476,26.105,-307.982,21.876,22.167,4,56.087,56.087,0
2.531,562.761,25.976,-310.489,21.807,21.803,4,58.673,58.673,0
2.664,561.728,25.840,-313.360,21.777,21.612,4,61.695,61.695,0
2.797,560.476,25.716,-316.150,22.158,25.490,4,64.656,64.656,0
2.930,559.193,25.618,-318.536,22.921,29.941,4,67.278,67.278,0
3.064,557.442,25.514,-321.319,23.890,35.514,4,70.446,70.446,0
3.197,555.433,25.422,-324.087,24.826,36.000,4,73.732,73.732,0
3.334,553.189,25.346,-326.836,25.731,36.000,4,77.183,77.183,0
3.467,551.099,25.293,-329.180,26.480,36.000,4,80.232,80.232,0
3.601,548.491,25.247,-331.909,27.328,36.000,4,83.911,83.911,0
3.701,546.529,25.223,-333.860,27.911,36.000,4,86.590,86.590,0
3.834,543.656,25.202,-336.600,28.696,36.000,4,90.460,90.460,0
3.967,541.082,25.187,-338.955,29.338,36.000,4,93.886,93.886,0
4.100,537.961,25.200,-341.705,30.049,36.000,4,97.938,97.938,0
4.233,534.713,25.336,-344.445,30.699,36.000,4,102.073,102.073,0
4.367,531.803,25.550,-346.750,31.158,36.000,4,105.669,105.669,0
4.500,528.204,25.796,-349.280,31.617,36.000,4,109.953,109.953,0
4.633,524.372,25.972,-351.574,32.075,36.000,4,114.302,114.302,0
4.766,520.925,26.076,-353.358,32.490,36.000,4,118.063,118.063,0
4.899,516.751,26.155,-355.279,33.012,36.000,4,122.528,122.528,0
5.033,512.450,26.186,-357.094,33.543,36.000,4,127.068,127.068,0
5.166,508.682,26.166,-358.607,33.997,36.000,4,131.009,131.009,0
5.299,504.203,26.086,-360.347,34.521,36.000,4,135.699,135.699,0
5.432,499.645,25.960,-362.061,34.946,36.000,4,140.461,140.461,0
5.565,495.688,25.873,-363.486,35.170,36.000,4,144.561,144.561,0
