time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-167.990,31.541,-582.543,39.998,46.550,4,0.000,0.000,0
0.133,-172.755,31.551,-582.584,39.816,46.550,4,0.000,0.000,0
0.266,-178.350,31.550,-582.632,40.074,46.550,4,0.000,0.000,0
0.400,-183.982,31.546,-582.680,40.324,46.550,4,3.034,3.034,0
0.533,-188.837,31.513,-582.722,40.537,46.550,4,7.939,7.939,0
0.666,-194.534,31.417,-582.771,40.786,46.550,4,14.469,14.469,0
0.799,-200.265,31.258,-582.820,41.036,46.550,4,20.487,20.487,0
0.932,-205.204,31.072,-582.862,41.252,44.643,4,25.249,25.249,0
1.066,-210.994,30.795,-582.912,41.437,42.154,4,30.741,30.741,0
1.199,-216.736,30.452,-582.961,40.323,39.509,4,36.349,36.349,0
1.332,-221.433,30.114,-582.993,38.287,36.674,4,40.946,40.946,0
1.465,-226.633,29.673,-582.989,36.423,33.601,4,45.939,45.939,0
1.598,-231.498,29.192,-582.904,34.110,30.216,4,50.530,50.530,0
1.732,-235.392,28.748,-582.752,31.528,30.216,4,54.182,54.182,0
1.833,-238.452,28.359,-582.567,30.404,29.000,4,56.957,56.957,0
1.966,-242.535,27.790,-582.223,28.793,29.000,4,60.686,60.686,0
2.067,-245.333,27.376,-581.923,28.459,29.000,4,63.263,63.263,0
2.200,-249.274,26.770,-581.420,28.812,29.000,4,65.186,65.186,0
2.333,-252.669,26.229,-580.926,28.987,29.000,4,65.186,65.186,0
2.466,-256.534,25.588,-580.320,28.274,29.000,4,65.186,65.186,0
2.599,-260.428,24.917,-579.681,28.751,29.000,4,65.186,65.186,0
2.733,-263.798,24.319,-579.118,28.976,29.000,4,65.186,65.186,0
2.833,-266.550,23.820,-578.655,28.104,29.000,4,65.186,65.186,0
2.966,-270.415,23.106,-578.002,28.665,29.000,4,65.186,65.186,0
3.100,-274.333,22.370,-577.340,28.975,29.000,4,65.186,65.186,0
3.200,-277.099,21.844,-576.872,28.074,29.000,4,65.186,65.186,0
3.333,-280.397,21.212,-576.314,28.569,29.000,4,65.186,65.186,0
3.466,-284.302,20.459,-575.653,28.927,29.000,4,65.186,65.186,0
3.599,-288.182,19.708,-574.997,28.386,29.000,4,65.186,65.186,0
3.733,-291.509,19.064,-574.434,28.784,29.000,4,65.186,65.186,0
3.866,-295.419,18.309,-573.772,28.525,29.000,4,65.186,65.186,0
3.967,-298.151,17.784,-573.310,28.315,29.000,4,65.186,65.186,0
4.100,-302.033,17.044,-572.653,28.803,29.000,4,65.186,65.186,0
4.233,-305.395,16.410,-572.084,28.766,29.000,4,65.186,65.186,0
4.366,-309.256,15.692,-571.431,28.597,29.000,4,65.186,65.186,0
4.499,-313.170,14.979,-570.768,28.942,29.000,4,0.000,0.000,0
4.633,-316.483,14.387,-570.208,28.109,29.000,4,0.000,0.000,0
