time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,555.788,32.795,-240.588,33.315,36.000,4,0.000,0.000,0
0.100,556.599,32.189,-243.836,33.565,36.000,3,0.000,0.000,0
0.233,557.731,31.287,-248.392,34.401,33.149,4,0.000,0.000,0
0.333,558.535,30.636,-251.617,33.691,33.149,4,0.000,0.000,0
0.467,559.468,30.062,-255.362,31.768,27.255,4,2.788,2.788,0
0.600,560.489,29.658,-259.478,29.571,30.806,4,7.062,7.062,0
0.733,561.488,29.354,-263.508,29.144,29.075,4,11.223,11.223,0
0.833,562.167,29.152,-266.291,28.764,30.806,4,14.103,14.103,0
0.967,562.938,28.908,-269.649,29.029,28.475,4,17.541,17.541,0
1.100,563.703,28.627,-273.531,28.364,34.731,4,21.468,21.468,0
1.233,564.290,28.342,-277.516,29.172,32.800,4,25.408,25.408,0
1.366,564.634,28.084,-281.040,29.835,31.468,4,28.959,28.959,0
1.500,564.853,27.756,-285.235,29.742,27.825,4,33.240,33.240,0
1.633,564.905,27.412,-289.252,28.222,28.251,4,37.279,37.279,0
1.767,564.849,27.126,-292.504,26.408,24.500,4,40.534,40.534,0
1.900,564.688,26.841,-296.029,24.604,23.318,4,44.063,44.063,0
2.033,564.422,26.607,-299.371,23.945,22.986,4,47.413,47.413,0
2.166,564.101,26.433,-302.131,22.717,21.719,4,50.214,50.214,0
2.299,563.598,26.252,-305.245,22.389,21.363,4,53.381,53.381,0
2.433,562.943,26.090,-308.227,21.450,21.719,4,56.472,56.472,0
2.566,562.245,25.966,-310.686,21.415,21.363,4,59.036,59.036,0
2.699,561.263,25.834,-313.438,20.844,24.363,4,61.969,61.969,0
2.832,560.052,25.714,-316.147,21.532,24.975,4,64.889,64.889,0
2.965,558.803,25.618,-318.477,22.371,29.336,4,67.470,67.470,0
3.099,557.096,25.516,-321.197,23.335,34.797,4,70.588,70.588,0
3.232,555.134,25.427,-323.904,24.272,36.000,4,73.819,73.819,0
3.365,553.265,25.362,-326.209,25.050,36.000,4,76.705,76.705,0
