time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,555.788,32.795,-240.588,33.315,29.000,4,0.000,0.000,0
0.133,556.880,31.975,-244.970,30.935,29.000,4,0.000,0.000,0
0.266,557.732,31.276,-248.397,29.537,29.000,4,0.000,0.000,0
0.400,558.685,30.537,-252.218,28.459,46.889,4,0.000,0.000,0
0.533,559.654,30.010,-256.118,29.434,46.952,4,3.611,3.611,0
0.666,560.506,29.672,-259.582,30.222,45.718,4,7.155,7.155,0
0.799,561.483,29.330,-263.752,31.068,44.617,4,11.425,11.425,0
0.932,562.376,29.005,-268.058,31.834,45.721,4,15.815,15.815,0
1.033,562.921,28.777,-271.216,32.333,43.260,4,19.025,19.025,0
1.167,563.439,28.505,-275.093,32.885,39.480,4,22.919,22.919,0
1.300,563.824,28.179,-279.723,33.502,38.529,4,27.544,27.544,0
1.433,563.954,27.823,-284.451,34.096,42.756,4,32.286,32.286,0
1.566,563.855,27.479,-288.566,34.586,43.805,4,36.375,36.375,0
1.699,563.502,27.050,-293.426,35.161,42.560,4,41.195,41.195,0
1.833,562.904,26.647,-298.341,35.720,49.400,4,46.176,46.176,0
1.966,562.215,26.348,-302.594,36.181,49.400,4,50.595,50.595,0
2.067,561.529,26.133,-306.163,36.560,49.400,4,54.431,54.431,0
2.200,560.421,25.874,-311.194,37.076,49.400,4,59.807,59.807,0
2.333,559.173,25.653,-316.267,37.569,49.400,4,65.165,65.165,0
2.466,558.021,25.494,-320.650,37.973,49.400,4,69.350,69.350,0
2.567,557.020,25.383,-324.329,38.295,49.400,4,72.672,72.672,0
2.700,555.580,25.264,-329.525,38.723,49.400,4,77.183,77.183,0
2.833,554.110,25.189,-334.774,39.123,49.400,4,81.544,81.544,0
2.966,552.835,25.161,-339.313,39.445,49.400,4,85.242,85.242,0
3.067,551.763,25.163,-343.123,39.698,49.400,4,86.410,86.410,0
3.200,550.250,25.208,-348.495,40.032,49.400,4,86.410,86.410,0
3.333,548.725,25.303,-353.911,40.341,49.400,4,86.410,86.410,0
3.466,547.409,25.424,-358.583,40.588,49.400,4,86.410,86.410,0
3.600,545.864,25.612,-364.068,40.854,49.400,4,86.410,86.410,0
3.733,544.327,25.867,-369.586,41.093,49.400,4,86.410,86.410,0
3.866,543.073,26.183,-374.351,41.248,49.400,4,86.410,86.410,0
3.967,542.127,26.532,-378.355,41.335,49.400,4,86.410,86.410,0
4.100,541.023,27.132,-384.010,41.408,49.400,4,86.410,86.410,0
4.200,540.422,27.612,-388.083,41.439,49.400,4,86.410,86.410,0
4.333,539.846,28.323,-393.817,41.489,48.806,4,86.410,86.410,0
4.466,539.568,28.949,-398.753,41.543,48.867,4,86.410,86.410,0
4.600,539.427,29.687,-404.527,41.629,45.656,4,86.410,86.410,0
4.733,539.401,30.425,-410.315,41.719,43.226,4,86.410,86.410,0
4.866,539.422,31.046,-415.288,41.784,42.841,4,0.000,0.000,0
4.999,539.466,31.733,-421.039,40.473,40.241,4,0.000,0.000,0
5.132,539.514,32.327,-426.419,37.343,37.461,4,0.000,0.000,0
5.233,539.549,32.693,-430.095,36.891,35.408,4,0.000,0.000,0
5.333,539.584,33.013,-433.690,35.644,33.006,4,0.000,0.000,0
5.467,539.624,33.328,-437.810,33.411,30.434,4,0.000,0.000,0
5.567,539.654,33.522,-441.014,31.525,31.938,3,0.000,0.000,0
5.667,539.683,33.657,-444.165,31.238,30.692,4,0.000,0.000,0
5.767,539.706,33.738,-447.226,30.019,31.063,4,0.000,0.000,0
5.900,539.697,33.760,-451.467,30.443,32.856,4,0.000,0.000,0
6.000,539.627,33.705,-454.528,30.617,31.931,2,0.000,0.000,0
6.133,539.382,33.530,-458.847,31.111,36.674,4,0.000,0.000,0
6.233,539.075,33.336,-461.974,31.584,33.601,2,0.000,0.000,0
6.333,538.642,33.086,-465.129,32.060,33.601,4,0.000,0.000,0
6.466,537.955,32.718,-468.937,32.188,30.216,4,0.000,0.000,0
6.600,537.004,32.225,-473.155,30.230,29.000,4,0.000,0.000,0
6.733,535.947,31.686,-477.086,28.544,29.000,4,0.000,0.000,0
6.866,534.965,31.191,-480.322,28.572,29.000,4,0.000,0.000,0
6.999,533.712,30.569,-484.102,28.867,29.000,4,0.000,0.000,0
7.132,532.390,29.918,-487.830,28.015,29.000,4,0.000,0.000,0
7.267,531.225,29.343,-490.971,28.509,29.000,4,0.000,0.000,0
7.400,529.802,28.645,-494.671,28.870,29.000,4,0.000,0.000,0
7.533,528.343,27.940,-498.338,28.041,29.000,4,0.000,0.000,0
7.666,527.070,27.342,-501.432,28.535,29.000,4,0.000,0.000,0
7.799,525.511,26.647,-505.077,28.886,29.000,4,0.000,0.000,0
7.900,524.353,26.165,-507.671,28.508,29.000,4,0.000,0.000,0
8.033,522.694,25.544,-511.202,28.441,29.000,4,0.000,0.000,0
8.166,521.171,25.055,-514.243,28.860,35.112,4,0.000,0.000,0
8.299,519.242,24.556,-517.835,29.772,34.174,4,0.000,0.000,0
8.433,517.128,24.168,-521.478,30.617,31.312,4,0.000,0.000,0
8.566,515.196,23.924,-524.579,30.010,30.003,4,0.000,0.000,0
8.699,512.939,23.708,-527.948,28.398,27.127,4,0.000,0.000,0
8.800,511.343,23.575,-530.167,26.696,24.184,4,0.000,0.000,0
8.933,509.141,23.412,-533.002,24.700,22.801,4,0.000,0.000,0
9.066,507.320,23.299,-535.147,22.508,19.206,4,0.000,0.000,0
9.199,505.350,23.204,-537.258,19.393,17.432,4,0.000,0.000,0
9.333,503.489,23.141,-539.036,17.787,16.816,4,0.000,0.000,0
9.466,501.921,23.105,-540.374,16.754,15.583,4,0.000,0.000,0
9.599,500.133,23.079,-541.728,15.532,15.227,4,0.000,0.000,0
9.732,498.387,23.068,-542.880,14.501,14.518,4,0.000,0.000,0
9.833,497.168,23.070,-543.584,13.798,14.145,4,0.000,0.000,0
9.966,495.709,23.083,-544.316,13.476,13.218,4,0.000,0.000,0
10.100,494.018,23.111,-545.017,13.147,13.629,4,0.000,0.000,0
10.233,492.230,23.155,-545.580,13.622,14.145,4,0.000,0.000,0
10.366,490.614,23.208,-545.937,13.839,13.070,4,0.000,0.000,0
10.499,488.763,23.289,-546.167,12.966,14.501,4,0.000,0.000,0
10.632,486.956,23.392,-546.177,13.109,15.188,4,0.000,0.000,0
10.766,485.349,23.502,-545.997,13.730,16.286,4,0.000,0.000,0
10.899,483.426,23.652,-545.547,14.476,16.728,4,0.000,0.000,0
11.032,481.466,23.828,-544.817,15.392,18.154,4,0.000,0.000,0
11.133,480.056,23.974,-544.111,16.094,19.758,4,0.000,0.000,0
11.266,478.377,24.174,-543.059,16.889,24.802,4,0.000,0.000,0
11.400,476.470,24.441,-541.552,17.815,27.055,4,0.000,0.000,0
11.533,474.646,24.731,-539.763,18.723,34.697,4,0.000,0.000,0
11.633,473.402,24.948,-538.325,19.361,37.955,4,0.000,0.000,0
11.766,471.976,25.224,-536.442,20.116,41.643,4,0.000,0.000,0
11.866,470.837,25.464,-534.752,20.749,45.938,4,0.000,0.000,0
12.000,469.305,25.815,-532.225,21.625,49.400,4,0.000,0.000,0
12.133,467.820,26.183,-529.532,22.480,49.400,4,0.000,0.000,0
12.266,466.563,26.510,-527.111,23.193,49.400,4,0.000,0.000,0
12.399,465.088,26.903,-524.172,23.999,49.400,4,0.000,0.000,0
12.532,463.584,27.309,-521.125,24.774,49.400,4,0.000,0.000,0
12.666,462.265,27.666,-518.434,25.414,49.400,4,0.000,0.000,0
12.799,460.687,28.092,-515.208,26.135,49.400,4,0.000,0.000,0
12.900,459.535,28.402,-512.849,26.633,47.840,4,0.000,0.000,0
13.033,457.886,28.843,-509.473,27.308,45.869,4,0.000,0.000,0
13.133,456.683,29.162,-507.011,27.774,47.082,4,0.000,0.000,0
13.266,455.214,29.550,-504.001,28.318,45.869,4,0.000,0.000,0
13.366,453.968,29.875,-501.449,28.759,47.082,4,0.000,0.000,0
13.500,452.192,30.333,-497.810,29.357,49.400,4,0.000,0.000,0
13.633,450.381,30.789,-494.096,29.935,49.400,4,0.000,0.000,0
13.766,448.800,31.184,-490.857,30.413,49.400,4,0.000,0.000,0
13.899,446.919,31.672,-487.023,30.945,49.400,4,0.000,0.000,0
14.032,444.971,32.207,-483.147,31.444,49.400,4,0.000,0.000,0
14.166,443.220,32.698,-479.809,31.843,49.400,4,0.000,0.000,0
14.299,441.058,33.291,-475.914,32.285,46.372,4,0.000,0.000,0
14.432,438.758,33.891,-472.029,32.709,45.377,4,0.000,0.000,0
14.533,437.033,34.319,-469.261,33.004,43.089,4,0.000,0.000,0
14.666,434.882,34.831,-465.945,33.352,41.453,4,0.000,0.000,0
14.799,432.280,35.422,-462.073,33.752,40.337,4,0.000,0.000,0
14.933,429.599,36.000,-458.185,34.142,37.659,4,0.000,0.000,0
15.066,427.254,36.480,-454.830,34.465,36.319,4,0.000,0.000,0
15.199,424.488,37.013,-450.902,34.042,32.716,4,0.000,0.000,0
15.332,421.820,37.484,-447.132,32.606,31.404,4,0.000,0.000,0
15.433,419.986,37.777,-444.554,30.958,27.868,4,0.000,0.000,0
15.566,417.920,38.070,-441.674,28.776,25.265,4,0.000,0.000,0
15.699,415.671,38.336,-438.589,25.843,26.193,4,0.000,0.000,0
15.833,413.608,38.524,-435.829,23.934,24.072,4,0.000,0.000,0
15.966,411.874,38.637,-433.578,23.460,24.780,4,0.000,0.000,0
16.099,409.823,38.718,-430.997,23.080,22.527,4,0.000,0.000,0
16.232,407.811,38.727,-428.536,22.022,21.796,2,0.000,0.000,0
16.365,406.140,38.633,-426.530,21.466,22.527,4,0.000,0.000,0
16.499,404.151,38.416,-424.167,22.463,27.425,4,0.000,0.000,0
16.632,402.069,38.081,-421.711,23.497,25.781,4,0.000,0.000,0
16.765,400.209,37.689,-419.523,24.464,27.425,4,0.000,0.000,0
16.898,397.954,37.107,-416.875,25.588,29.000,3,0.000,0.000,0
17.031,395.610,36.396,-414.126,26.707,29.000,4,0.000,0.000,0
17.165,393.532,35.692,-411.691,27.656,29.000,4,0.000,0.000,0
17.298,391.028,34.777,-408.774,28.499,28.574,4,0.000,0.000,0
17.400,389.213,34.082,-406.700,27.999,27.396,4,0.000,0.000,0
17.533,386.723,33.128,-403.966,27.100,26.442,4,0.000,0.000,0
17.666,384.588,32.365,-401.781,25.538,24.727,4,0.000,0.000,0
17.766,382.844,31.814,-400.134,24.095,23.864,4,0.000,0.000,0
17.900,380.390,31.185,-398.060,23.241,21.507,4,0.000,0.000,0
18.033,377.825,30.740,-396.203,22.353,22.305,4,0.000,0.000,0
18.166,375.640,30.537,-394.837,21.233,20.633,4,0.000,0.000,0
18.299,373.022,30.474,-393.462,21.232,22.305,4,0.000,0.000,0
18.433,370.345,30.582,-392.319,20.652,22.484,4,0.000,0.000,0
18.566,368.010,30.813,-391.523,20.629,21.786,4,0.000,0.000,0
18.699,365.202,31.246,-390.803,21.321,26.859,4,0.000,0.000,0
18.833,362.268,31.844,-390.307,22.058,28.984,4,0.000,0.000,0
18.966,359.674,32.480,-390.067,22.631,29.000,4,0.000,0.000,0
19.099,356.582,33.353,-389.999,23.260,29.000,4,0.000,0.000,0
19.232,353.437,34.338,-390.137,23.843,29.000,4,0.000,0.000,0
19.365,350.703,35.244,-390.391,24.314,26.463,4,0.000,0.000,0
19.499,347.474,36.347,-390.802,24.655,25.228,4,0.000,0.000,0
19.632,344.297,37.448,-391.274,23.658,22.007,4,0.000,0.000,0
19.765,341.765,38.318,-391.673,21.818,20.782,4,0.000,0.000,0
19.898,339.029,39.225,-392.116,20.078,19.548,4,0.000,0.000,0
20.031,336.515,40.009,-392.528,18.509,18.024,4,0.000,0.000,0
20.165,334.488,40.594,-392.861,17.346,18.041,4,0.000,0.000,0
20.298,332.159,41.205,-393.244,17.297,17.553,4,0.000,0.000,0
20.431,329.831,41.743,-393.623,17.143,17.892,3,0.000,0.000,0
20.564,327.833,42.112,-393.920,16.905,17.610,4,0.000,0.000,0
20.697,325.520,42.440,-394.188,16.198,17.553,4,0.000,0.000,0
20.831,323.537,42.632,-394.321,16.520,17.892,4,0.000,0.000,0
20.964,321.162,42.761,-394.335,17.061,16.913,4,0.000,0.000,0
21.097,318.747,42.767,-394.176,17.182,17.684,2,0.000,0.000,0
21.230,316.640,42.669,-393.894,17.941,18.702,2,0.000,0.000,0
21.363,314.106,42.436,-393.391,18.822,23.311,2,0.000,0.000,0
21.466,312.234,42.185,-392.916,19.701,24.370,2,0.000,0.000,0
21.600,309.519,41.704,-392.088,20.979,29.000,3,0.000,0.000,0
21.733,306.703,41.097,-391.087,22.256,29.000,4,0.000,0.000,0
21.866,304.203,40.482,-390.100,23.347,29.000,4,0.000,0.000,0
21.999,301.191,39.667,-388.812,24.601,29.000,4,0.000,0.000,0
22.132,298.069,38.783,-387.384,25.820,29.000,4,0.000,0.000,0
22.266,295.301,38.013,-386.051,26.825,29.000,4,0.000,0.000,0
22.366,292.925,37.397,-384.862,27.630,29.000,4,0.000,0.000,0
22.499,289.502,36.621,-383.086,28.472,29.000,4,0.000,0.000,0
22.633,286.020,36.017,-381.208,28.825,42.154,4,0.000,0.000,0
