time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,230.517,43.477,-340.007,29.654,29.000,4,0.000,0.000,0
0.133,227.281,43.983,-337.645,28.392,29.000,2,0.000,0.000,0
0.266,224.077,44.371,-335.304,28.910,34.746,4,0.000,0.000,0
0.400,221.277,44.837,-333.259,29.436,32.915,4,0.000,0.000,0
0.533,217.981,45.474,-330.850,29.505,30.283,4,3.022,3.022,0
0.666,214.701,46.017,-328.454,28.494,29.333,4,6.999,6.999,0
0.799,211.962,46.343,-326.453,28.443,28.351,2,10.537,10.537,0
0.932,208.788,46.571,-324.147,27.627,28.435,4,14.808,14.808,0
1.066,205.617,46.712,-321.896,27.925,32.163,4,18.996,18.996,0
1.199,202.817,46.769,-319.994,28.247,28.435,2,22.387,22.387,0
1.332,199.466,46.702,-317.854,28.427,30.011,2,26.206,26.206,0
1.465,195.975,46.511,-315.804,29.203,31.962,3,30.038,30.038,0
1.598,192.853,46.256,-314.112,29.811,30.216,4,33.465,33.465,0
1.732,189.114,45.856,-312.240,30.004,29.000,4,37.530,37.530,0
1.865,185.363,45.368,-310.499,29.108,29.000,3,41.573,41.573,0
1.998,182.250,44.902,-309.139,28.465,29.000,4,44.870,44.870,0
2.131,178.577,44.293,-307.621,28.808,29.000,4,48.687,48.687,0
2.264,174.854,43.626,-306.155,29.013,29.000,4,52.562,52.562,0
2.398,171.705,43.034,-304.962,28.443,29.000,4,55.729,55.729,0
2.531,167.993,42.316,-303.599,28.839,29.000,4,59.504,59.504,0
2.664,164.281,41.592,-302.276,28.031,29.000,4,63.122,63.122,0
2.797,161.123,40.982,-301.178,28.536,29.000,4,66.212,66.212,0
2.930,157.370,40.279,-299.905,28.895,29.000,4,69.643,69.643,0
3.036,154.663,39.795,-299.007,28.785,29.000,4,72.139,72.139,0
3.136,152.025,39.348,-298.148,27.881,29.000,4,73.991,73.991,0
3.269,148.292,38.773,-296.961,28.666,47.000,4,73.991,73.991,0
3.403,144.422,38.258,-295.765,29.611,44.643,4,73.991,73.991,0
3.536,140.993,37.886,-294.733,30.376,42.154,4,73.991,73.991,0
3.669,136.868,37.563,-293.523,31.209,42.154,4,73.991,73.991,0
3.803,132.635,37.429,-292.303,31.892,39.509,4,73.991,73.991,0
3.936,128.926,37.479,-291.247,32.457,36.674,4,73.991,73.991,0
4.036,125.785,37.615,-290.360,32.903,36.674,4,73.991,73.991,0
4.169,121.326,37.934,-289.121,33.319,33.601,4,73.991,73.991,0
4.303,116.854,38.388,-287.915,33.277,30.216,4,73.991,73.991,0
4.436,113.201,38.849,-286.967,30.802,30.216,4,73.991,73.991,0
4.569,109.217,39.429,-285.984,28.788,29.000,4,73.991,73.991,0
4.702,105.407,40.025,-285.110,28.277,29.000,4,73.991,73.991,0
4.835,102.123,40.550,-284.416,28.361,29.000,4,73.991,73.991,0
4.969,98.270,41.171,-283.676,28.401,29.000,4,73.991,73.991,0
5.102,94.953,41.709,-283.103,28.412,29.000,4,73.991,73.991,0
5.235,91.084,42.331,-282.511,27.949,28.610,4,73.991,73.991,0
5.368,87.355,42.912,-282.023,26.442,26.243,4,0.000,0.000,0
5.501,84.383,43.350,-281.703,24.087,21.358,4,0.000,0.000,0
5.635,81.282,43.764,-281.449,21.385,21.250,4,0.000,0.000,0
5.768,78.389,44.100,-281.310,20.686,19.600,4,0.000,0.000,0
5.901,75.931,44.344,-281.276,20.479,20.017,4,0.000,0.000,0
6.034,73.182,44.564,-281.334,19.024,19.352,4,0.000,0.000,0
6.167,70.553,44.704,-281.491,18.916,18.518,3,0.000,0.000,0
6.301,68.296,44.747,-281.704,18.908,19.352,2,0.000,0.000,0
6.434,65.610,44.695,-282.055,19.549,19.440,3,0.000,0.000,0
6.567,62.889,44.531,-282.508,19.683,20.137,4,0.000,0.000,0
6.700,60.544,44.294,-282.977,20.086,21.072,2,0.000,0.000,0
6.833,57.746,43.891,-283.631,21.084,24.050,3,0.000,0.000,0
6.967,54.837,43.348,-284.433,22.316,26.483,3,0.000,0.000,0
7.100,52.263,42.755,-285.253,23.378,24.543,4,0.000,0.000,0
7.233,49.195,41.942,-286.386,24.327,27.524,3,0.000,0.000,0
7.366,46.089,41.013,-287.738,25.517,27.412,4,0.000,0.000,0
7.470,43.851,40.292,-288.865,26.329,27.562,4,0.000,0.000,0
7.603,40.729,39.231,-290.689,27.211,28.263,4,0.000,0.000,0
7.736,38.107,38.320,-292.491,27.795,29.000,4,0.000,0.000,0
7.869,35.136,37.322,-294.891,28.453,29.000,4,0.000,0.000,0
8.002,32.309,36.484,-297.597,28.746,29.000,4,0.000,0.000,0
8.136,30.021,35.967,-300.119,28.820,32.964,4,0.000,0.000,0
8.269,27.491,35.579,-303.300,29.586,36.208,4,0.000,0.000,0
8.402,25.435,35.416,-306.226,30.173,34.114,4,0.000,0.000,0
8.535,23.176,35.420,-309.845,30.825,42.096,4,0.000,0.000,0
8.668,21.083,35.600,-313.664,31.437,41.205,4,0.000,0.000,0
8.802,19.431,35.869,-317.079,31.913,44.176,4,0.000,0.000,0
8.935,17.669,36.289,-321.206,32.434,47.023,4,0.000,0.000,0
9.068,16.063,36.789,-325.462,32.918,45.549,4,0.000,0.000,0
9.201,14.784,37.251,-329.199,33.306,43.748,4,0.000,0.000,0
