time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-548.098,7.188,-550.800,23.999,46.386,4,0.000,0.000,0
0.100,-550.492,7.104,-550.916,23.951,44.406,0,0.000,0.000,0
0.233,-553.440,6.973,-551.060,25.047,43.689,4,0.000,0.000,0
0.366,-557.043,6.883,-551.236,26.278,41.470,4,0.000,0.000,0
0.500,-560.812,6.840,-551.419,27.457,40.753,4,0.180,0.180,0
0.599,-563.604,6.817,-551.555,28.268,37.946,4,2.941,2.941,0
0.733,-567.058,6.786,-551.723,29.208,37.654,4,6.259,6.259,0
0.866,-571.226,6.745,-551.926,30.258,34.347,4,9.969,9.969,0
0.999,-574.913,6.705,-552.106,31.121,31.476,4,12.974,12.974,0
1.132,-579.270,6.659,-552.318,30.572,30.526,4,16.259,16.259,0
1.232,-582.239,6.629,-552.463,29.172,26.663,4,17.270,17.270,0
1.365,-586.110,6.590,-552.650,26.741,25.080,4,17.270,17.270,0
1.499,-589.179,6.561,-552.787,24.362,21.230,4,17.270,17.270,0
1.632,-592.323,6.533,-552.879,21.525,19.647,4,17.270,17.270,0
1.732,-594.388,6.515,-552.890,19.712,14.997,4,17.270,17.270,0
1.870,-596.840,6.496,-552.836,15.881,14.241,4,17.270,17.270,0
1.970,-598.326,6.485,-552.757,14.490,14.529,4,17.270,17.270,0
2.103,-600.298,6.470,-552.589,13.910,11.996,4,17.270,17.270,0
2.237,-601.849,6.457,-552.408,12.252,11.256,4,17.270,17.270,0
2.337,-603.011,6.446,-552.242,11.492,11.037,4,17.270,17.270,0
2.470,-604.547,6.431,-551.976,11.064,11.406,4,17.270,17.270,0
2.603,-606.110,6.416,-551.623,11.850,11.996,4,17.270,17.270,0
2.736,-607.481,6.403,-551.213,11.811,11.256,4,17.270,17.270,0
2.869,-608.954,6.390,-550.618,10.977,11.037,4,17.270,17.270,0
2.969,-609.904,6.383,-550.115,10.700,11.406,4,17.270,17.270,0
3.102,-611.182,6.375,-549.240,11.186,12.196,4,0.000,0.000,0
3.236,-612.238,6.371,-548.312,12.110,14.367,4,0.000,0.000,0
3.369,-613.459,6.370,-546.942,13.799,25.593,4,0.000,0.000,0
3.469,-614.300,6.373,-545.759,14.947,37.354,4,0.000,0.000,0
3.602,-615.384,6.383,-543.822,16.497,53.200,4,0.000,0.000,0
3.735,-616.192,6.395,-541.915,17.765,53.200,4,0.000,0.000,0
3.868,-616.975,6.412,-539.428,19.225,53.200,4,0.000,0.000,0
4.001,-617.589,6.428,-536.689,20.649,53.200,4,0.000,0.000,0
4.101,-617.942,6.439,-534.593,21.643,53.200,4,0.000,0.000,0
4.235,-618.297,6.452,-531.937,22.807,53.200,4,0.000,0.000,0
4.368,-618.657,6.468,-528.658,24.119,53.200,4,0.000,0.000,0
4.501,-619.002,6.484,-525.198,25.374,53.200,4,0.000,0.000,0
4.601,-619.252,6.496,-522.621,26.237,53.200,4,0.000,0.000,0
4.734,-619.559,6.510,-519.417,27.236,53.200,4,0.000,0.000,0
4.867,-619.932,6.528,-515.532,28.353,53.200,4,0.000,0.000,0
5.000,-620.318,6.547,-511.495,29.421,53.200,4,0.000,0.000,0
5.134,-620.661,6.565,-507.919,30.298,53.200,4,0.000,0.000,0
5.234,-620.954,6.581,-504.861,31.004,53.200,4,0.000,0.000,0
5.367,-621.375,6.605,-500.464,31.953,53.200,4,0.000,0.000,0
5.500,-621.808,6.630,-495.938,32.860,53.200,4,0.000,0.000,0
5.633,-622.187,6.652,-491.961,33.606,53.200,4,0.000,0.000,0
5.733,-622.504,6.670,-488.579,34.205,53.200,4,0.000,0.000,0
5.866,-622.938,6.697,-483.745,35.011,53.200,4,0.000,0.000,0
6.000,-623.346,6.725,-478.798,35.780,53.200,4,0.000,0.000,0
6.133,-623.666,6.749,-474.472,36.412,53.200,4,0.000,0.000,0
6.237,-623.911,6.770,-470.808,36.920,53.200,4,0.000,0.000,0
6.370,-624.215,6.799,-465.593,37.604,53.200,4,0.000,0.000,0
6.503,-624.474,6.829,-460.282,38.258,53.200,4,0.000,0.000,0
6.636,-624.665,6.855,-455.657,38.796,53.200,4,0.000,0.000,0
6.736,-624.810,6.878,-451.754,39.229,53.200,4,0.000,0.000,0
