time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-548.098,7.188,-550.800,23.999,43.653,4,0.000,0.000,0
0.133,-551.440,7.141,-550.963,24.251,41.649,4,0.000,0.000,0
0.267,-554.405,7.090,-551.107,25.069,41.055,4,0.000,0.000,0
0.400,-557.984,7.035,-551.281,25.986,38.574,4,0.000,0.000,0
0.533,-561.688,6.989,-551.462,26.864,37.499,4,1.065,1.065,0
0.667,-564.958,6.956,-551.621,27.586,35.462,4,4.266,4.266,0
0.800,-568.880,6.917,-551.812,28.395,32.964,4,7.938,7.938,0
0.933,-572.913,6.876,-552.008,29.168,32.210,4,11.445,11.445,0
1.067,-576.446,6.839,-552.180,29.424,28.981,4,14.206,14.206,0
1.200,-580.426,6.798,-552.374,28.106,27.535,4,17.261,17.261,0
1.300,-583.196,6.770,-552.503,26.972,24.690,4,17.261,17.261,0
1.400,-585.780,6.744,-552.604,25.350,23.285,4,17.261,17.261,0
1.533,-589.154,6.712,-552.669,22.723,19.839,4,17.261,17.261,0
1.667,-591.706,6.688,-552.638,20.440,19.736,4,17.261,17.261,0
1.767,-593.689,6.671,-552.552,19.379,14.920,4,17.261,17.261,0
1.867,-595.477,6.657,-552.426,16.938,13.326,4,17.261,17.261,0
2.000,-597.587,6.640,-552.218,14.132,13.172,4,17.261,17.261,0
2.100,-598.937,6.630,-552.050,13.328,12.580,4,17.261,17.261,0
2.233,-600.716,6.615,-551.790,12.484,10.951,4,17.261,17.261,0
2.333,-601.875,6.605,-551.602,11.210,10.276,4,17.261,17.261,0
2.467,-603.144,6.593,-551.381,10.490,10.075,4,17.261,17.261,0
2.600,-604.548,6.580,-551.111,10.196,11.134,4,17.261,17.261,0
2.733,-605.983,6.566,-550.787,10.810,10.951,4,17.261,17.261,0
2.867,-607.238,6.555,-550.437,10.760,10.276,4,17.261,17.261,0
3.000,-608.600,6.543,-549.942,9.999,10.075,4,17.261,17.261,0
3.133,-609.830,6.534,-549.335,9.801,10.412,4,17.261,17.261,0
3.267,-610.841,6.528,-548.675,10.136,11.134,4,0.000,0.000,0
3.400,-611.980,6.523,-547.710,11.093,13.115,4,0.000,0.000,0
3.533,-613.097,6.523,-546.471,12.469,23.363,4,0.000,0.000,0
3.667,-614.004,6.527,-545.178,13.572,34.100,4,0.000,0.000,0
3.800,-614.957,6.537,-543.411,14.832,46.550,4,0.000,0.000,0
3.933,-615.760,6.550,-541.385,16.054,46.550,4,0.000,0.000,0
4.067,-616.316,6.562,-539.462,17.070,46.550,4,0.000,0.000,0
4.200,-616.814,6.576,-537.024,18.256,46.550,4,0.000,0.000,0
4.333,-617.174,6.589,-534.398,19.418,46.550,4,0.000,0.000,0
4.467,-617.402,6.601,-532.010,20.390,46.550,4,0.000,0.000,0
4.600,-617.614,6.615,-529.074,21.488,46.550,4,0.000,0.000,0
4.733,-617.804,6.629,-525.987,22.540,46.550,4,0.000,0.000,0
4.833,-617.937,6.640,-523.693,23.264,46.550,4,0.000,0.000,0
4.967,-618.098,6.653,-520.847,24.103,46.550,4,0.000,0.000,0
5.100,-618.291,6.669,-517.402,25.042,46.550,4,0.000,0.000,0
5.233,-618.490,6.685,-513.830,25.941,46.550,4,0.000,0.000,0
5.367,-618.666,6.701,-510.670,26.680,46.550,4,0.000,0.000,0
5.500,-618.878,6.720,-506.874,27.507,46.550,4,0.000,0.000,0
5.633,-619.096,6.741,-502.966,28.297,46.550,4,0.000,0.000,0
5.767,-619.287,6.760,-499.530,28.948,46.550,4,0.000,0.000,0
5.900,-619.516,6.782,-495.425,29.676,46.550,4,0.000,0.000,0
6.000,-619.683,6.798,-492.432,30.177,46.550,4,0.000,0.000,0
6.133,-619.921,6.822,-488.159,30.851,46.550,4,0.000,0.000,0
6.267,-620.129,6.843,-484.424,31.406,46.550,4,0.000,0.000,0
6.400,-620.377,6.868,-479.984,32.027,46.550,4,0.000,0.000,0
6.533,-620.629,6.893,-475.460,32.622,46.550,4,0.000,0.000,0
6.667,-620.849,6.916,-471.517,33.110,46.550,4,0.000,0.000,0
6.800,-621.109,6.942,-466.845,33.657,46.550,4,0.000,0.000,0
6.933,-621.374,6.969,-462.098,34.181,46.550,4,0.000,0.000,0
7.067,-621.604,6.992,-457.972,34.611,46.550,4,0.000,0.000,0
7.200,-621.875,7.020,-453.096,35.093,46.550,4,0.000,0.000,0
7.333,-622.151,7.047,-448.153,35.554,46.550,4,0.000,0.000,0
