time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-167.990,31.541,-582.543,39.998,40.000,4,0.000,0.000,0
0.133,-172.676,31.551,-582.583,38.900,40.000,4,0.000,0.000,0
0.266,-178.073,31.549,-582.630,37.505,18.404,4,0.000,0.000,0
0.400,-183.048,31.547,-582.672,34.043,18.422,4,2.284,2.284,0
0.533,-186.928,31.523,-582.706,31.089,18.404,4,6.074,6.074,0
0.666,-191.008,31.462,-582.741,27.661,22.414,4,10.614,10.614,0
0.799,-194.608,31.376,-582.771,24.251,23.866,4,14.872,14.872,0
0.932,-197.476,31.291,-582.796,23.650,30.309,4,17.953,17.953,0
1.066,-200.868,31.177,-582.821,24.650,40.000,4,21.383,21.383,0
1.199,-204.396,31.044,-582.811,25.605,40.000,4,24.794,24.794,0
1.332,-207.522,30.909,-582.722,26.375,40.000,4,27.739,27.739,0
1.465,-211.274,30.720,-582.462,27.230,40.000,4,31.401,31.401,0
1.598,-215.122,30.493,-581.991,28.051,40.000,4,35.260,35.260,0
1.732,-218.483,30.267,-581.407,28.734,40.000,4,38.675,38.675,0
1.865,-222.468,29.963,-580.527,29.530,40.000,4,42.732,42.732,0
1.998,-226.516,29.613,-579.455,30.316,40.000,4,46.863,46.863,0
2.131,-230.035,29.269,-578.403,30.977,40.000,4,50.478,50.478,0
2.264,-234.195,28.804,-577.037,31.739,40.000,4,54.753,54.753,0
2.398,-238.410,28.262,-575.528,32.487,40.000,4,59.144,59.144,0
2.531,-242.060,27.739,-574.122,33.111,40.000,4,62.967,62.967,0
2.664,-246.356,27.070,-572.341,33.822,40.000,4,67.477,67.477,0
2.797,-250.681,26.353,-570.398,34.510,40.000,4,72.114,72.114,0
2.930,-254.401,25.714,-568.596,35.072,40.000,4,76.143,76.143,0
3.064,-258.751,24.993,-566.325,35.697,40.000,4,80.940,80.940,0
3.197,-263.109,24.388,-563.870,36.274,40.000,4,85.830,85.830,0
3.330,-266.844,24.016,-561.612,36.724,40.000,4,90.084,90.084,0
3.463,-271.179,23.705,-558.793,37.208,40.000,4,95.146,95.146,0
3.596,-275.467,23.448,-555.790,37.661,40.000,4,100.278,100.278,0
3.730,-279.108,23.312,-553.085,38.018,40.000,4,104.760,104.760,0
3.863,-283.318,23.338,-549.795,38.397,40.000,4,110.008,110.008,0
3.996,-287.484,23.603,-546.385,38.689,40.000,4,115.310,115.310,0
4.129,-291.018,23.990,-543.388,38.854,40.000,4,119.895,119.895,0
4.262,-295.093,24.563,-539.824,38.954,40.000,4,125.245,125.245,0
4.396,-299.117,25.194,-536.194,38.992,40.000,4,130.618,130.618,0
4.529,-302.531,25.711,-533.033,38.998,40.000,4,135.231,135.231,0
4.662,-306.481,26.181,-529.284,38.980,40.000,0,140.631,140.631,0
4.795,-309.852,26.431,-526.060,38.808,40.000,0,145.278,145.278,0
4.928,-313.774,26.544,-522.308,38.635,40.000,0,150.675,150.675,0
5.062,-317.686,26.465,-518.566,38.493,40.000,0,156.067,156.067,0
5.195,-321.030,26.244,-515.368,38.396,40.000,0,160.681,160.681,0
5.328,-324.885,25.853,-511.620,38.392,40.000,4,166.041,166.041,0
5.461,-328.579,25.963,-507.744,38.257,40.000,4,171.383,171.383,0
5.594,-331.682,26.507,-504.386,38.456,40.000,4,175.942,175.942,0
5.728,-335.289,27.261,-500.446,38.636,40.000,4,181.273,181.273,0
5.861,-338.887,28.102,-496.495,38.732,40.000,4,186.605,186.605,0
5.994,-341.951,28.933,-493.107,38.763,40.000,4,191.167,191.167,0
6.127,-345.508,30.003,-489.142,38.684,40.000,1,196.480,196.480,0
6.260,-349.060,30.925,-485.163,38.290,40.000,0,201.809,201.809,0
6.394,-352.096,31.560,-481.762,37.958,40.000,0,206.365,206.365,0
6.527,-355.628,32.119,-477.806,37.649,40.000,0,211.664,211.664,0
6.660,-359.148,32.484,-473.862,37.410,40.000,0,216.949,216.949,0
6.793,-362.155,32.643,-470.492,37.248,40.000,0,221.464,221.464,0
6.926,-365.653,32.649,-466.573,37.168,40.000,0,226.716,226.716,0
7.060,-369.139,32.464,-462.667,37.167,40.000,0,231.952,231.952,0
7.193,-372.117,32.153,-459.329,37.213,40.000,0,236.425,236.425,0
7.326,-375.581,31.613,-455.447,37.318,40.000,0,241.629,241.629,0
7.459,-379.034,30.883,-451.577,37.442,40.000,0,246.815,246.815,0
