time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-167.990,31.541,-582.543,39.998,46.550,4,0.000,0.000,0
0.133,-172.755,31.551,-582.584,39.816,46.550,4,0.000,0.000,0
0.266,-178.350,31.550,-582.632,40.074,46.550,4,0.000,0.000,0
0.400,-183.982,31.546,-582.680,40.324,46.550,4,3.034,3.034,0
0.533,-188.837,31.513,-582.722,40.537,46.550,4,7.939,7.939,0
0.666,-194.534,31.417,-582.771,40.786,46.550,4,14.469,14.469,0
0.799,-200.265,31.258,-582.820,41.035,46.550,4,20.487,20.487,0
0.932,-205.204,31.072,-582.862,41.252,44.643,4,25.249,25.249,0
1.066,-210.994,30.795,-582.912,41.436,42.154,4,30.741,30.741,0
1.199,-216.736,30.452,-582.961,40.323,39.509,4,36.349,36.349,0
1.332,-221.433,30.114,-582.994,38.287,36.674,4,40.946,40.946,0
1.465,-226.633,29.673,-582.994,36.424,33.601,4,45.938,45.938,0
1.598,-231.498,29.192,-582.914,34.110,30.216,4,50.528,50.528,0
1.732,-235.392,28.748,-582.767,31.528,30.216,4,54.178,54.178,0
1.865,-239.643,28.198,-582.499,29.935,29.000,4,57.988,57.988,0
1.998,-243.657,27.627,-582.134,28.302,29.000,4,61.631,61.631,0
2.131,-247.019,27.120,-581.746,28.638,29.000,4,64.729,64.729,0
2.264,-250.972,26.502,-581.210,28.907,29.000,4,65.186,65.186,0
2.398,-254.888,25.865,-580.617,28.037,29.000,4,65.186,65.186,0
2.531,-258.198,25.305,-580.085,28.506,29.000,4,65.186,65.186,0
2.664,-262.112,24.621,-579.438,28.874,29.000,4,65.186,65.186,0
2.797,-265.486,24.015,-578.872,28.790,29.000,4,65.186,65.186,0
2.930,-269.353,23.305,-578.220,28.600,29.000,4,65.186,65.186,0
3.064,-273.266,22.573,-577.558,28.940,29.000,4,65.186,65.186,0
3.197,-276.575,21.945,-576.998,28.112,29.000,4,65.186,65.186,0
3.330,-280.436,21.206,-576.344,28.679,29.000,4,65.186,65.186,0
3.463,-284.352,20.450,-575.681,28.991,29.000,4,65.186,65.186,0
3.596,-287.660,19.810,-575.121,28.458,29.000,4,65.186,65.186,0
3.730,-291.553,19.057,-574.461,28.870,29.000,4,65.186,65.186,0
3.863,-295.437,18.307,-573.803,28.064,29.000,4,65.186,65.186,0
3.996,-298.733,17.674,-573.245,28.567,29.000,4,65.186,65.186,0
4.129,-302.638,16.930,-572.583,28.927,29.000,4,65.186,65.186,0
4.262,-306.521,16.200,-571.926,28.384,29.000,4,65.186,65.186,0
4.396,-309.852,15.584,-571.362,28.777,29.000,4,65.186,65.186,0
4.529,-313.767,14.872,-570.698,28.512,29.000,4,0.000,0.000,0
4.662,-317.608,14.190,-570.048,28.474,29.000,4,0.000,0.000,0
4.795,-320.953,13.611,-569.481,28.825,29.000,4,0.000,0.000,0
