time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,555.788,32.795,-240.588,33.315,34.000,4,0.000,0.000,0
0.133,556.917,31.945,-245.120,33.556,34.000,4,0.000,0.000,0
0.266,558.032,31.034,-249.601,33.261,33.149,4,0.000,0.000,0
0.400,558.961,30.345,-253.323,32.523,28.835,4,0.658,0.658,0
0.533,560.025,29.820,-257.605,30.609,30.288,4,5.117,5.117,0
0.666,561.013,29.491,-261.591,28.499,25.901,4,9.259,9.259,0
0.799,561.823,29.258,-264.859,28.092,27.558,4,12.640,12.640,0
0.932,562.758,28.985,-268.647,27.443,29.075,4,16.555,16.555,0
1.066,563.661,28.710,-272.424,28.142,34.000,4,20.393,20.393,0
1.199,564.401,28.468,-275.763,28.884,33.652,4,23.669,23.669,0
1.339,565.188,28.176,-279.788,29.708,31.468,4,27.733,27.733,0
1.472,565.860,27.859,-283.940,30.277,29.323,4,32.004,32.004,0
1.606,566.371,27.521,-287.985,28.441,26.466,4,36.145,36.145,0
1.739,566.667,27.231,-291.270,26.846,26.499,4,39.452,39.452,0
1.839,566.811,27.012,-293.866,25.576,23.817,4,41.985,41.985,0
1.972,566.857,26.751,-297.307,23.960,23.318,4,45.391,45.391,0
2.072,566.777,26.595,-299.643,22.983,25.069,4,47.624,47.624,0
2.206,566.500,26.404,-302.762,21.864,21.719,4,50.620,50.620,0
2.339,566.111,26.258,-305.305,21.209,21.363,4,53.087,53.087,0
2.472,565.454,26.101,-308.215,21.496,24.363,4,55.795,55.795,0
2.605,564.574,25.959,-311.061,21.386,21.363,4,58.627,58.627,0
2.739,563.651,25.851,-313.407,20.756,21.175,4,61.001,61.001,0
2.872,562.353,25.738,-316.066,21.372,22.195,4,63.783,63.783,0
3.005,560.780,25.632,-318.697,22.269,29.336,4,66.660,66.660,0
3.139,559.206,25.548,-320.929,23.067,34.000,4,69.118,69.118,0
3.272,557.118,25.457,-323.492,23.993,34.000,4,72.192,72.192,0
3.405,554.777,25.377,-326.003,24.899,34.000,4,75.518,75.518,0
3.539,552.588,25.322,-328.116,25.654,34.000,4,78.466,78.466,0
3.672,549.849,25.272,-330.545,26.522,34.000,4,82.039,82.039,0
3.805,546.934,25.237,-332.952,27.362,34.000,4,85.738,85.738,0
3.938,544.312,25.214,-335.008,28.056,34.000,4,88.997,88.997,0
4.072,541.124,25.188,-337.409,28.841,34.000,4,92.917,92.917,0
4.205,537.818,25.193,-339.819,29.587,34.000,4,96.943,96.943,0
4.338,534.894,25.299,-341.893,30.181,34.000,4,100.465,100.465,0
4.471,531.376,25.527,-344.315,30.829,34.000,4,104.673,104.673,0
4.604,527.744,25.750,-346.728,31.445,34.000,4,108.970,108.970,0
4.737,524.538,25.903,-348.781,31.951,34.000,4,112.740,112.740,0
4.871,520.686,26.041,-351.143,32.522,34.000,4,117.193,117.193,0
5.004,516.714,26.139,-353.452,32.973,34.000,4,121.688,121.688,0
5.137,513.227,26.182,-355.367,33.210,34.000,4,125.629,125.629,0
5.270,509.075,26.174,-357.506,33.394,34.000,4,130.228,130.228,0
5.404,505.451,26.116,-359.244,33.500,34.000,4,134.171,134.171,0
5.537,501.151,26.002,-361.144,33.586,34.000,4,138.790,138.790,0
5.670,496.783,25.887,-362.889,33.633,32.291,4,143.406,143.406,0
5.803,493.043,25.914,-364.230,32.759,31.540,4,147.303,147.303,0
5.936,488.754,26.284,-365.603,31.951,34.000,4,151.718,151.718,0
6.069,484.486,26.896,-366.776,31.469,34.000,4,156.037,156.037,0
6.203,480.838,27.537,-367.602,31.799,34.000,4,159.611,159.611,0
6.336,476.529,28.429,-368.322,32.000,34.000,4,163.744,163.744,0
6.469,472.183,29.493,-368.733,32.223,34.000,4,167.975,167.975,0
6.602,468.427,30.495,-368.825,32.362,34.000,2,171.609,171.609,0
6.736,463.992,31.528,-368.776,31.840,34.000,0,175.943,175.943,0
6.869,459.572,32.362,-368.727,31.131,34.000,0,180.285,180.285,0
7.002,455.795,32.921,-368.684,30.408,34.000,0,183.991,183.991,0
7.135,451.405,33.392,-368.633,29.704,34.000,0,188.317,188.317,0
7.268,447.033,33.668,-368.583,29.082,34.000,0,192.628,192.628,0
7.401,443.300,33.752,-368.540,28.531,34.000,0,196.308,196.308,0
7.535,438.962,33.672,-368.491,28.080,34.000,0,200.598,200.598,0
7.668,434.642,33.401,-368.443,27.670,34.000,0,204.881,204.881,0
7.801,430.952,33.018,-368.403,27.223,34.000,0,208.551,208.551,0
7.934,426.662,32.394,-368.357,26.732,34.000,0,212.839,212.839,0
8.068,422.386,31.580,-368.313,26.124,34.000,0,217.137,217.137,0
8.201,418.732,30.731,-368.275,25.366,34.000,0,220.807,220.807,0
8.334,414.481,29.565,-368.232,24.475,34.000,0,225.180,225.180,0
8.467,410.241,28.209,-368.189,23.456,34.000,0,229.543,229.543,0
8.600,406.615,26.897,-368.152,22.356,33.340,0,233.332,233.332,0
8.733,402.394,25.192,-368.109,21.205,33.542,0,237.757,237.757,0
8.867,398.599,24.811,-367.793,20.774,31.240,4,241.887,241.887,0
9.000,395.678,25.130,-367.152,22.489,33.899,4,245.072,245.072,0
9.133,392.471,25.476,-365.971,24.265,34.000,4,248.339,248.339,0
9.266,389.376,25.885,-364.419,25.260,33.899,4,251.446,251.446,0
9.400,386.610,26.305,-363.170,25.553,34.000,4,254.068,254.068,0
9.533,383.200,26.852,-362.087,25.661,34.000,4,257.158,257.158,0
