time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-167.990,31.541,-582.543,39.998,49.400,4,0.000,0.000,0
0.133,-172.757,31.552,-582.584,39.859,49.400,4,0.000,0.000,0
0.266,-178.363,31.551,-582.632,40.177,49.400,4,0.000,0.000,0
0.400,-184.014,31.545,-582.681,40.488,49.400,4,3.061,3.061,0
0.533,-188.893,31.509,-582.723,40.751,49.244,4,7.989,7.989,0
0.666,-194.625,31.412,-582.772,41.057,47.000,4,14.554,14.554,0
0.799,-200.398,31.251,-582.821,41.364,47.000,4,20.609,20.609,0
0.932,-205.380,31.063,-582.864,41.629,44.643,4,25.407,25.407,0
1.066,-211.225,30.781,-582.914,41.818,42.154,4,30.954,30.954,0
1.199,-217.007,30.432,-582.960,40.472,39.509,4,36.607,36.607,0
1.332,-221.716,30.089,-582.978,38.378,36.674,4,41.219,41.219,0
1.465,-226.913,29.644,-582.939,36.150,33.601,4,46.226,46.226,0
1.598,-231.750,29.160,-582.802,34.020,30.216,4,50.800,50.800,0
1.732,-235.635,28.712,-582.599,31.564,30.216,4,54.457,54.457,0
1.865,-239.863,28.161,-582.267,29.741,29.000,4,58.279,58.279,0
1.998,-243.287,27.673,-581.907,28.320,29.000,4,61.502,61.502,0
2.131,-247.210,27.083,-581.401,28.691,29.000,4,65.033,65.033,0
2.231,-250.030,26.643,-580.984,28.883,29.000,4,66.517,66.517,0
2.331,-252.842,26.192,-580.537,28.493,29.000,4,66.517,66.517,0
2.431,-255.585,25.738,-580.080,28.264,29.000,4,66.517,66.517,0
2.531,-258.358,25.266,-579.606,28.634,29.000,4,66.517,66.517,0
2.631,-261.154,24.777,-579.121,28.871,29.000,4,66.517,66.517,0
2.731,-263.951,24.279,-578.632,28.505,29.000,4,66.517,66.517,0
2.831,-266.685,23.782,-578.152,28.288,29.000,4,66.517,66.517,0
2.931,-269.450,23.271,-577.666,28.665,29.000,4,66.517,66.517,0
3.031,-272.242,22.748,-577.175,28.903,29.000,4,66.517,66.517,0
3.131,-275.036,22.220,-576.683,28.537,29.000,4,66.517,66.517,0
3.231,-277.767,21.700,-576.202,28.318,29.000,4,66.517,66.517,0
3.331,-280.532,21.169,-575.715,28.692,29.000,4,66.517,66.517,0
3.431,-283.323,20.630,-575.224,28.928,29.000,4,66.517,66.517,0
3.565,-287.199,19.880,-574.541,28.387,29.000,4,66.517,66.517,0
3.664,-289.965,19.343,-574.054,28.731,29.000,4,66.517,66.517,0
3.765,-292.758,18.802,-573.562,28.955,29.000,4,66.517,66.517,0
3.865,-295.518,18.269,-573.075,28.067,29.000,4,66.517,66.517,0
3.965,-298.258,17.743,-572.593,28.495,29.000,4,66.517,66.517,0
4.098,-301.593,17.106,-572.006,28.852,29.000,4,66.517,66.517,0
4.198,-304.391,16.577,-571.513,28.768,29.000,4,66.517,66.517,0
4.298,-307.142,16.062,-571.028,28.461,29.000,4,66.517,66.517,0
4.398,-309.918,15.549,-570.539,28.779,29.000,4,66.517,66.517,0
4.498,-312.719,15.038,-570.046,28.978,29.000,4,66.517,66.517,0
4.631,-316.563,14.351,-569.369,28.299,29.000,4,0.000,0.000,0
4.731,-319.332,13.868,-568.881,28.670,29.000,4,0.000,0.000,0
4.831,-322.130,13.389,-568.389,28.901,29.000,4,0.000,0.000,0
4.931,-324.931,12.922,-567.896,28.524,29.000,4,0.000,0.000,0
5.031,-327.671,12.477,-567.413,28.293,29.000,4,0.000,0.000,0
5.131,-330.446,12.040,-566.925,28.653,29.000,4,0.000,0.000,0
5.231,-333.249,11.612,-566.432,28.875,29.000,4,0.000,0.000,0
5.331,-336.055,11.199,-565.938,28.492,49.400,4,0.000,0.000,0
5.431,-338.873,10.802,-565.442,29.180,49.400,4,0.000,0.000,0
