time,name,profile,lap,nextGate,speed,target,throttle,brake,grounded,recoveries,misses,x,y,z,roadDistance
3.000,YOU reference pilot,original,0,0,0.000,0.000,0.000,0.000,0,0,0,322.058,9.782,544.064,2.291
3.000,EMBER,tourer,0,0,0.000,0.000,0.000,0.000,0,0,0,318.010,11.281,535.877,2.291
3.000,GOLD,moto,0,0,0.000,0.000,0.000,0.000,0,0,0,322.375,12.467,528.988,2.254
3.000,BLUE,atv,0,0,0.000,0.000,0.000,0.000,0,0,0,317.798,13.848,522.232,2.254
3.240,YOU reference pilot,original,0,0,3.166,31.000,1.000,0.000,4,0,0,322.093,9.836,543.701,2.293
3.240,EMBER,tourer,0,0,2.876,31.000,1.000,0.000,4,0,0,318.013,11.342,535.562,2.290
3.240,GOLD,moto,0,0,3.965,31.000,1.000,0.000,4,0,0,322.365,12.555,528.515,2.252
3.240,BLUE,atv,0,0,3.759,31.000,1.000,0.000,4,0,0,317.784,13.929,521.781,2.251
3.500,YOU reference pilot,original,0,0,6.122,22.757,1.000,0.000,4,0,0,322.202,10.071,542.492,2.316
3.500,EMBER,tourer,0,0,5.609,20.664,1.000,0.000,4,0,0,318.025,11.565,534.454,2.289
3.500,GOLD,moto,0,0,7.709,31.000,1.000,0.000,4,0,0,322.257,12.857,526.998,2.178
3.500,BLUE,atv,0,0,7.248,31.000,1.000,0.000,4,0,0,317.748,14.236,520.354,2.241
3.740,YOU reference pilot,original,0,0,8.626,31.000,1.000,0.000,4,0,0,322.342,10.401,540.730,2.359
3.740,EMBER,tourer,0,0,7.948,22.303,1.000,0.000,4,0,0,318.053,11.890,532.833,2.264
3.740,GOLD,moto,0,0,10.860,31.000,1.000,0.000,4,0,0,321.920,13.317,524.806,1.911
3.740,BLUE,atv,0,0,10.172,31.000,1.000,0.000,4,0,0,317.717,14.688,518.278,2.206
4.000,YOU reference pilot,original,0,0,11.093,25.988,1.000,0.000,4,0,0,322.414,10.869,538.180,2.339
4.000,EMBER,tourer,0,0,10.309,24.366,1.000,0.000,4,0,0,318.103,12.351,530.478,2.193
4.000,GOLD,moto,0,0,14.027,31.000,1.000,0.000,4,0,0,321.217,13.951,521.675,1.333
4.000,BLUE,atv,0,0,13.096,31.000,1.000,0.000,4,0,0,317.693,15.312,515.283,2.122
4.240,YOU reference pilot,original,0,0,13.181,28.581,1.000,0.000,4,0,0,322.184,11.406,535.302,2.073
4.240,EMBER,tourer,0,0,12.337,26.397,1.000,0.000,4,0,0,318.159,12.884,527.791,2.094
4.240,GOLD,moto,0,0,16.730,18.699,1.000,0.000,4,0,0,320.315,14.682,518.140,0.671
4.240,BLUE,atv,0,1,15.582,31.000,1.000,0.000,4,0,0,317.675,16.032,511.890,2.017
4.500,YOU reference pilot,original,0,0,15.300,19.291,1.000,0.000,4,0,0,321.555,12.096,531.695,1.489
4.500,EMBER,tourer,0,0,14.379,24.497,1.000,0.000,4,0,0,318.207,13.573,524.364,1.966
4.500,GOLD,moto,0,0,17.623,18.693,0.587,0.000,4,0,0,319.280,15.590,513.874,0.649
4.500,BLUE,atv,0,1,18.056,31.000,1.000,0.000,4,0,0,317.644,16.969,507.589,1.897
4.740,YOU reference pilot,original,0,0,16.160,16.608,0.224,0.000,4,0,0,320.729,12.821,528.019,0.862
4.740,EMBER,tourer,0,0,16.129,24.576,1.000,0.000,4,0,0,318.218,14.310,520.759,1.848
4.740,GOLD,moto,0,1,19.426,21.045,0.895,0.000,4,0,0,318.422,16.518,509.609,1.229
4.740,BLUE,atv,0,1,20.152,31.000,1.000,0.000,4,0,0,317.595,17.971,503.092,1.801
5.000,YOU reference pilot,original,0,0,16.917,18.382,0.785,0.000,4,0,0,319.787,13.647,523.931,0.696
5.000,EMBER,tourer,0,0,17.889,27.200,1.000,0.000,4,0,0,318.175,15.217,516.411,1.745
5.000,GOLD,moto,0,1,21.646,23.350,0.936,0.000,4,0,0,317.655,17.668,504.428,1.784
5.000,BLUE,atv,0,1,22.235,31.000,1.000,0.000,4,0,0,317.518,19.204,497.698,1.731
5.240,YOU reference pilot,original,0,0,18.410,20.262,0.992,0.000,4,0,0,318.949,14.488,519.854,1.164
5.240,EMBER,tourer,0,1,19.395,29.525,1.000,0.000,4,0,0,318.078,16.153,512.021,1.685
5.240,GOLD,moto,0,1,23.534,25.217,0.916,0.000,4,0,0,317.154,18.870,499.143,2.117
5.240,BLUE,atv,0,1,23.995,31.000,1.000,0.000,4,0,0,317.438,20.477,492.279,1.701
5.500,YOU reference pilot,original,0,0,20.072,22.065,1.000,0.000,4,0,0,318.154,15.512,515.002,1.715
5.500,EMBER,tourer,0,1,20.905,31.000,1.000,0.000,4,0,0,317.919,17.274,506.889,1.662
5.500,GOLD,moto,0,1,25.358,27.004,0.889,0.000,4,0,0,316.856,20.320,492.940,2.276
5.500,BLUE,atv,0,1,25.738,31.000,1.000,0.000,4,0,0,317.356,22.004,485.978,1.718
5.740,YOU reference pilot,original,0,1,21.475,23.522,1.000,0.000,4,0,0,317.588,16.560,510.145,2.080
5.740,EMBER,tourer,0,1,22.193,31.000,1.000,0.000,4,0,0,317.741,18.408,501.833,1.676
5.740,GOLD,moto,0,1,26.862,28.485,0.871,0.000,4,0,0,316.774,21.792,486.832,2.285
5.740,BLUE,atv,0,1,27.206,31.000,1.000,0.000,4,0,0,317.292,23.550,479.800,1.766
6.000,YOU reference pilot,original,0,1,22.871,24.917,1.000,0.000,4,0,0,317.182,17.805,504.516,2.282
6.000,EMBER,tourer,0,1,23.480,31.000,1.000,0.000,4,0,0,317.544,19.746,496.039,1.719
6.000,GOLD,moto,0,1,28.332,29.942,0.859,0.000,4,0,0,316.825,23.532,479.855,2.219
6.000,BLUE,atv,0,1,28.653,31.000,1.000,0.000,4,0,0,317.234,25.386,472.759,1.794
6.240,YOU reference pilot,original,0,1,24.053,26.072,1.000,0.000,4,0,0,316.983,19.055,499.017,2.318
6.240,EMBER,tourer,0,1,24.574,31.000,1.000,0.000,4,0,0,317.385,21.080,490.420,1.775
6.240,GOLD,moto,0,1,29.519,30.994,0.780,0.000,4,0,0,316.931,25.285,473.123,2.089
6.240,BLUE,atv,0,1,29.642,31.000,0.704,0.000,4,0,0,317.188,27.205,465.979,1.799
6.500,YOU reference pilot,original,0,1,25.227,27.206,1.000,0.000,4,0,0,316.920,20.517,492.767,2.249
6.500,EMBER,tourer,0,1,25.662,31.000,1.000,0.000,4,0,0,317.259,22.636,484.068,1.853
6.500,GOLD,moto,0,1,30.096,31.000,0.463,0.000,4,0,0,317.044,27.300,465.620,1.935
6.500,BLUE,atv,0,1,30.015,31.000,0.500,0.000,4,0,0,317.140,29.246,458.486,1.791
6.740,YOU reference pilot,original,0,1,26.216,28.154,1.000,0.000,4,0,0,316.957,21.969,486.758,2.146
6.740,EMBER,tourer,0,1,26.582,31.000,1.000,0.000,4,0,0,317.186,24.179,477.984,1.909
6.740,GOLD,moto,0,1,30.241,31.000,0.383,0.000,4,0,0,317.111,29.206,458.631,1.819
6.740,BLUE,atv,0,1,30.125,31.000,0.440,0.000,4,0,0,317.095,31.164,451.526,1.780
7.000,YOU reference pilot,original,0,1,27.180,29.088,0.989,0.000,4,0,0,317.046,23.653,480.015,2.046
7.000,EMBER,tourer,0,1,27.492,31.000,1.000,0.000,4,0,0,317.144,25.971,471.178,1.919
7.000,GOLD,moto,0,1,30.281,31.000,0.360,0.000,4,0,0,317.133,31.296,451.045,1.740
7.000,BLUE,atv,0,1,30.162,31.000,0.420,0.000,4,0,0,317.044,33.261,443.974,1.771
7.240,YOU reference pilot,original,0,1,27.970,29.877,0.985,0.000,4,0,0,317.131,25.323,473.604,1.942
7.240,EMBER,tourer,0,1,28.261,31.000,1.000,0.000,4,0,0,317.124,27.710,464.710,1.898
7.240,GOLD,moto,0,1,30.288,31.000,0.356,0.000,4,0,0,317.113,33.242,444.043,1.705
7.240,BLUE,atv,0,1,30.171,31.000,0.415,0.000,4,0,0,316.998,35.208,437.001,1.766
7.500,YOU reference pilot,original,0,1,28.743,30.662,0.988,0.000,4,0,0,317.194,27.231,466.476,1.843
7.500,EMBER,tourer,0,1,29.026,31.000,1.000,0.000,4,0,0,317.107,29.671,457.517,1.863
7.500,GOLD,moto,0,1,30.287,31.000,0.356,0.000,4,0,0,317.064,35.359,436.459,1.700
7.500,BLUE,atv,0,1,30.173,31.000,0.414,0.000,4,0,0,316.953,37.323,429.447,1.765
7.740,YOU reference pilot,original,0,1,29.333,31.000,0.852,0.000,4,0,0,317.212,29.061,459.741,1.780
7.740,EMBER,tourer,0,1,29.491,31.000,0.768,0.000,4,0,0,317.085,31.540,450.737,1.832
7.740,GOLD,moto,0,1,30.285,31.000,0.357,0.000,4,0,0,317.008,37.319,429.460,1.712
7.740,BLUE,atv,0,1,30.172,31.000,0.414,0.000,4,0,0,316.919,39.275,422.473,1.768
8.000,YOU reference pilot,original,0,1,29.638,31.000,0.689,0.000,4,0,0,317.188,31.095,452.342,1.747
8.000,EMBER,tourer,0,1,29.710,31.000,0.650,0.000,4,0,0,317.051,33.602,443.317,1.809
8.000,GOLD,moto,0,1,30.250,31.000,0.376,0.000,4,0,0,317.184,39.440,421.884,1.514
8.000,BLUE,atv,0,1,30.172,31.000,0.414,0.000,4,0,0,316.897,41.387,414.918,1.772
8.240,YOU reference pilot,original,0,1,29.760,31.000,0.623,0.000,4,0,0,317.137,33.001,445.471,1.744
8.240,EMBER,tourer,0,1,29.799,31.000,0.603,0.000,4,0,0,317.011,35.522,436.437,1.799
8.240,GOLD,moto,0,1,30.261,31.000,0.371,0.000,4,0,0,317.889,41.384,414.924,0.869
8.240,BLUE,atv,0,1,30.173,31.000,0.413,0.000,4,0,0,316.894,43.329,407.942,1.777
8.500,YOU reference pilot,original,0,1,29.817,31.000,0.593,0.000,4,0,0,317.065,35.082,438.011,1.759
8.500,EMBER,tourer,0,1,29.840,31.000,0.581,0.000,4,0,0,316.965,37.612,428.970,1.800
8.500,GOLD,moto,0,1,30.281,31.000,0.360,0.000,4,0,0,318.945,43.477,407.410,0.616
8.500,BLUE,atv,0,1,30.176,31.000,0.412,0.000,4,0,0,316.915,45.421,400.380,1.782
8.740,YOU reference pilot,original,0,1,29.839,31.000,0.581,0.000,4,0,0,316.998,37.011,431.117,1.781
8.740,EMBER,tourer,0,1,29.857,31.000,0.572,0.000,4,0,0,316.927,39.543,422.071,1.807
8.740,GOLD,moto,0,1,30.284,31.000,0.358,0.000,4,0,0,319.888,45.401,400.464,1.365
8.740,BLUE,atv,0,1,30.179,31.000,0.411,0.000,4,0,0,316.962,47.338,393.396,1.787
9.000,YOU reference pilot,original,0,1,29.849,31.000,0.576,0.000,4,0,0,316.935,39.103,423.645,1.805
