time,vehicle,lap,gate,speed,recoveries,misses,x,y,z
3.004,original,0,0,0.00,0,0,508.19,85.17,-122.85
3.004,tourer,0,0,0.00,0,0,508.59,86.53,-113.73
3.004,moto,0,0,0.00,0,0,501.50,87.30,-109.57
3.004,atv,0,0,0.00,0,0,502.17,88.00,-101.36
4.000,original,0,0,11.12,0,0,505.60,86.23,-117.56
4.000,tourer,0,0,10.74,0,0,505.99,87.31,-108.67
4.000,moto,0,0,14.71,0,0,497.85,88.11,-102.58
4.000,atv,0,0,13.99,0,0,498.54,88.57,-94.78
5.020,original,0,0,19.59,0,0,498.39,88.19,-103.48
5.020,tourer,0,0,19.21,0,0,498.48,88.72,-95.15
5.020,moto,0,1,25.88,0,0,488.14,89.16,-83.91
5.020,atv,0,1,24.50,0,0,489.05,89.21,-77.19
6.020,original,0,1,26.24,0,0,487.75,89.32,-82.98
6.020,tourer,0,1,26.00,0,0,487.90,89.36,-74.96
6.020,moto,0,1,34.31,0,0,475.85,88.83,-56.14
6.020,atv,0,1,32.19,0,0,478.05,88.68,-50.74
7.020,original,0,1,31.57,0,0,475.92,88.97,-56.42
7.020,tourer,0,1,31.49,0,0,477.14,88.73,-48.14
7.020,moto,0,1,33.75,0,0,468.36,86.20,-23.04
7.020,atv,0,1,32.50,0,0,471.84,85.34,-18.38
8.020,original,0,1,32.66,0,0,468.61,86.55,-24.60
8.020,tourer,0,1,31.68,0,0,471.92,85.07,-16.46
8.020,moto,0,1,31.69,0,0,469.59,80.14,8.40
8.020,atv,0,1,31.92,0,0,474.78,79.32,12.74
9.020,original,0,1,31.79,0,0,469.62,80.61,6.70
9.020,tourer,0,1,31.81,0,0,472.85,79.17,14.80
9.020,moto,0,1,10.75,0,0,467.33,77.40,33.14
9.020,atv,0,1,14.47,0,0,477.86,77.60,29.49
10.020,original,0,1,29.93,0,0,469.64,77.47,38.83
10.020,tourer,0,1,22.40,0,0,471.64,78.02,45.07
10.020,moto,0,1,13.08,0,0,473.11,78.22,48.29
10.020,atv,0,1,16.00,0,0,475.48,78.01,46.04
11.020,original,0,1,12.77,0,0,471.98,79.32,54.65
11.020,tourer,0,1,27.56,0,0,467.37,82.08,69.59
11.020,moto,0,1,9.77,0,0,480.55,79.07,56.36
11.020,atv,0,1,13.94,0,0,473.28,79.50,57.19
12.020,original,0,1,15.14,0,0,469.89,81.52,66.94
12.020,tourer,0,1,28.45,0,0,459.72,86.48,97.37
12.020,moto,0,1,15.20,0,0,479.15,80.70,66.63
12.020,atv,0,1,21.16,0,0,465.06,82.53,72.10
13.020,original,0,1,21.98,0,0,464.46,84.87,84.62
13.020,tourer,0,2,16.79,0,0,449.90,86.00,117.26
13.020,moto,0,1,24.96,0,0,467.42,84.33,82.94
13.020,atv,0,1,28.50,0,0,456.20,86.31,95.20
14.020,original,0,1,21.88,0,0,455.29,86.73,106.92
14.020,tourer,0,2,10.37,0,0,444.11,84.70,127.44
14.020,moto,0,1,25.69,0,0,458.93,86.61,103.94
14.020,atv,0,2,16.56,0,0,446.02,85.77,116.21
15.020,original,0,2,11.56,0,0,447.57,85.48,121.83
15.020,tourer,0,2,19.82,0,0,430.91,82.80,134.79
15.020,moto,0,2,12.72,0,0,449.57,85.51,121.28
15.020,atv,0,2,10.45,0,0,440.27,84.26,127.62
16.020,original,0,2,15.14,0,0,440.32,84.02,131.19
16.020,tourer,0,2,20.58,0,0,410.07,82.57,134.27
16.020,moto,0,2,10.33,0,0,446.46,84.76,127.00
16.020,atv,0,2,20.61,0,0,427.13,82.45,133.59
17.020,original,0,2,23.37,0,0,421.46,81.84,134.34
17.020,tourer,0,2,18.96,0,0,389.38,84.08,131.75
17.020,moto,0,2,22.28,0,0,432.13,82.75,134.91
17.020,atv,0,2,17.33,0,0,407.73,83.34,132.64
18.020,original,0,2,17.07,0,0,403.30,84.20,130.98
18.020,tourer,0,2,20.02,0,0,370.34,81.59,135.55
18.020,moto,0,2,8.37,0,0,413.58,82.39,131.96
18.020,atv,0,2,20.54,0,0,390.16,82.57,133.38
19.020,original,0,2,14.08,0,0,387.60,82.69,129.16
