time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,118.937,44.666,258.173,28.875,31.000,4,0.000,0.000,0
0.104,116.119,44.388,257.303,29.647,31.000,0,0.000,0.000,0
0.205,113.284,44.028,256.427,29.738,31.000,0,0.000,0.000,0
0.307,110.519,43.595,255.573,28.212,17.827,4,0.000,0.000,0
0.408,107.995,43.185,254.823,25.577,17.827,4,0.000,0.000,0
0.509,105.697,42.850,254.231,22.881,16.992,4,1.448,1.448,0
0.610,104.238,42.706,253.952,13.061,17.281,4,2.834,2.834,0
0.711,102.855,42.596,253.995,14.224,16.806,4,4.020,4.020,0
0.812,101.399,42.481,254.265,15.046,15.389,4,5.433,5.433,0
0.913,99.908,42.372,254.652,15.890,14.413,4,6.933,6.933,0
1.013,98.426,42.285,255.078,15.567,16.126,4,8.566,8.566,0
1.114,96.921,42.220,255.524,15.603,16.316,4,10.330,10.330,0
1.215,95.442,42.175,255.964,15.193,16.316,4,11.881,11.881,0
1.316,93.967,42.119,256.399,15.131,14.413,4,13.721,13.721,0
1.418,92.485,42.011,256.794,15.566,14.193,2,15.594,15.594,0
1.520,90.670,41.777,257.147,15.739,16.316,4,17.714,17.714,0
1.621,89.073,41.524,257.281,16.541,17.379,4,19.397,19.397,0
1.723,87.407,41.270,257.223,16.950,22.289,4,20.894,20.894,0
1.824,85.678,41.047,256.934,18.088,22.289,4,22.361,22.361,0
1.925,83.909,40.868,256.392,18.716,25.106,4,23.885,23.885,0
2.025,82.148,40.722,255.591,19.775,25.106,4,25.396,25.396,0
2.125,80.410,40.581,254.520,20.805,25.106,4,27.211,27.211,0
2.225,78.733,40.431,253.188,21.809,30.780,4,28.717,28.717,0
2.327,77.147,40.266,251.607,22.794,27.200,4,30.847,30.847,0
2.429,75.674,40.088,249.793,23.768,31.000,4,32.480,32.480,0
2.530,74.328,39.887,247.763,24.734,31.000,2,34.844,34.844,0
2.632,73.063,39.597,245.614,24.815,31.000,0,36.909,36.909,0
2.734,71.833,39.218,243.447,25.023,31.000,2,38.996,38.996,0
2.836,70.835,38.838,241.118,25.851,31.000,4,41.174,41.174,0
2.939,70.049,38.609,238.617,26.734,31.000,4,43.487,43.487,0
3.040,69.273,38.467,235.422,27.880,31.000,4,46.513,46.513,0
3.140,68.737,38.385,232.641,28.719,31.000,4,49.133,49.133,0
3.245,68.293,38.326,229.751,29.579,31.000,4,51.875,51.875,0
3.346,67.950,38.254,226.776,30.148,31.000,4,54.790,54.790,0
3.446,67.703,38.166,223.745,30.470,31.000,2,57.706,57.706,0
3.547,67.496,37.993,220.703,30.425,31.000,0,60.666,60.666,0
3.649,67.289,37.723,217.667,30.387,31.000,0,63.641,63.641,0
3.755,67.120,37.362,214.635,30.492,31.000,4,66.631,66.631,0
3.856,67.133,37.005,211.588,30.720,31.000,4,69.651,69.651,0
3.956,67.242,36.707,208.524,30.855,31.000,4,72.678,72.678,0
4.057,67.399,36.469,205.453,30.654,31.000,4,75.731,75.731,0
4.157,67.581,36.263,202.390,30.818,31.000,4,78.773,78.773,0
4.257,67.778,36.060,199.315,30.909,31.000,4,81.838,81.838,0
4.359,67.979,35.847,196.254,30.761,31.000,4,84.891,84.891,0
4.461,68.224,35.574,192.571,30.891,31.000,4,88.569,88.569,0
4.564,68.428,35.340,189.509,30.727,31.000,4,91.639,91.639,0
4.664,68.632,35.106,186.444,30.855,31.000,4,94.690,94.690,0
4.766,68.837,34.874,183.370,30.927,31.000,4,97.751,97.751,0
4.868,69.041,34.647,180.312,30.791,31.000,4,100.811,100.811,0
4.969,69.245,34.424,177.242,30.889,31.000,4,103.860,103.860,0
5.071,69.450,34.204,174.175,30.697,31.000,4,106.920,106.920,0
5.173,69.654,33.985,171.111,30.835,31.000,4,109.949,109.949,0
5.274,69.858,33.768,168.037,30.913,31.000,4,112.984,112.984,0
5.375,70.062,33.554,164.976,30.759,31.000,4,116.007,116.007,0
5.475,70.266,33.343,161.907,30.869,31.000,4,119.016,119.016,0
5.577,70.465,33.134,158.836,30.651,31.000,4,122.025,122.025,0
5.678,70.638,32.929,155.773,30.800,31.000,4,124.999,124.999,0
5.779,70.752,32.725,152.696,30.874,31.000,4,127.990,127.990,0
5.880,70.769,32.482,148.995,30.916,31.000,4,131.574,131.574,0
5.981,70.659,32.283,145.921,30.677,31.000,4,134.580,134.580,0
6.085,70.427,32.085,142.861,30.787,31.000,4,137.581,137.581,0
6.185,70.069,31.890,139.804,30.851,31.000,4,140.598,140.598,0
6.288,69.590,31.697,136.759,30.890,31.000,4,143.577,143.577,0
6.389,69.001,31.506,133.730,30.915,31.000,4,146.605,146.605,0
6.489,68.315,31.319,130.739,30.736,31.000,4,149.620,149.620,0
6.590,67.537,31.134,127.764,30.834,31.000,4,152.636,152.636,0
6.692,66.676,30.952,124.805,30.892,31.000,4,155.597,155.597,0
6.793,65.743,30.772,121.869,30.648,31.000,4,158.620,158.620,0
6.895,64.749,30.595,118.965,30.788,31.000,4,161.622,161.622,0
6.996,63.691,30.422,116.073,30.868,31.000,4,164.634,164.634,0
7.098,62.575,30.251,113.197,30.913,31.000,4,167.583,167.583,0
7.199,61.413,30.085,110.356,30.741,31.000,4,170.587,170.587,0
7.300,59.949,29.888,106.966,30.856,31.000,4,174.206,174.206,0
7.406,58.672,29.728,104.158,30.905,31.000,4,177.218,177.218,0
7.509,57.354,29.572,101.382,30.711,31.000,4,180.149,180.149,0
7.610,55.991,29.420,98.626,30.822,31.000,4,183.159,183.159,0
7.711,54.580,29.271,95.886,30.884,31.000,4,186.147,186.147,0
7.812,53.123,29.124,93.164,30.919,31.000,4,189.149,189.149,0
7.916,51.637,28.981,90.481,30.762,31.000,4,192.180,192.180,0
8.016,50.106,28.839,87.810,30.849,31.000,4,195.185,195.185,0
8.117,48.538,28.699,85.153,30.898,31.000,4,198.203,198.203,0
8.218,46.941,28.562,82.522,30.678,31.000,4,201.255,201.255,0
8.320,44.990,28.399,79.392,30.819,31.000,4,204.884,204.884,0
8.421,43.331,28.264,76.793,30.882,31.000,4,207.913,207.913,0
8.523,41.648,28.130,74.205,30.916,31.000,4,210.976,210.976,0
8.624,39.953,27.998,71.643,30.739,31.000,4,214.006,214.006,0
8.725,38.237,27.868,69.089,30.835,31.000,4,217.060,217.060,0
8.826,36.500,27.738,66.540,30.890,31.000,4,220.104,220.104,0
8.927,34.746,27.610,63.999,30.920,31.000,4,223.173,223.173,0
9.029,32.991,27.483,61.482,30.761,31.000,4,226.210,226.210,0
9.131,31.218,27.357,58.965,30.847,31.000,4,229.271,229.271,0
9.233,29.430,27.232,56.451,30.896,31.000,4,232.325,232.325,0
9.333,27.634,27.108,53.945,30.645,31.000,4,235.399,235.399,0
9.433,25.835,26.985,51.456,30.781,31.000,4,238.454,238.454,0
9.535,24.023,26.863,48.965,30.857,31.000,4,241.508,241.508,0
9.638,22.199,26.741,46.475,30.900,31.000,4,244.581,244.581,0
9.741,20.005,26.597,43.501,30.680,31.000,4,248.260,248.260,0
9.844,18.173,26.478,41.033,30.800,31.000,4,251.321,251.321,0
9.946,16.329,26.359,38.563,30.867,31.000,4,254.392,254.392,0
10.046,14.476,26.240,36.095,30.905,31.000,4,257.459,257.459,0
10.149,12.622,26.123,33.636,30.678,31.000,4,260.534,260.534,0
10.249,10.766,26.007,31.187,30.798,31.000,4,263.597,263.597,0
10.349,8.899,25.891,28.734,30.865,31.000,4,266.662,266.662,0
10.450,7.025,25.775,26.282,30.903,31.000,4,269.741,269.741,0
10.552,5.150,25.661,23.839,30.677,31.000,4,272.818,272.818,0
10.654,3.275,25.547,21.404,30.796,31.000,4,275.876,275.876,0
10.757,1.391,25.433,18.966,30.864,31.000,4,278.951,278.951,0
10.858,-0.500,25.320,16.526,30.902,31.000,4,282.032,282.032,0
10.960,-2.770,25.186,13.608,30.678,31.000,4,285.724,285.724,0
11.060,-4.660,25.074,11.184,30.797,31.000,4,288.790,288.790,0
11.163,-6.559,24.963,8.757,30.863,31.000,4,291.867,291.867,0
11.266,-8.464,24.853,6.328,30.901,31.000,4,294.945,294.945,0
11.366,-10.370,24.743,3.904,30.644,31.000,4,298.031,298.031,0
11.467,-12.270,24.634,1.491,30.777,31.000,4,301.096,301.096,0
11.569,-14.178,24.525,-0.928,30.852,31.000,4,304.170,304.170,0
11.669,-16.091,24.416,-3.349,30.894,31.000,4,307.253,307.253,0
11.771,-18.008,24.308,-5.771,30.918,31.000,4,310.340,310.340,0
11.871,-19.912,24.201,-8.177,30.755,31.000,4,313.409,313.409,0
11.973,-21.825,24.095,-10.590,30.839,31.000,4,316.486,316.486,0
12.075,-23.741,23.988,-13.007,30.886,31.000,4,319.569,319.569,0
12.176,-25.660,23.882,-15.427,30.913,31.000,4,322.657,322.657,0
12.281,-27.953,23.756,-18.318,30.732,31.000,4,326.350,326.350,0
12.381,-29.866,23.651,-20.729,30.825,31.000,4,329.426,329.426,0
12.485,-31.782,23.547,-23.145,30.878,31.000,4,332.512,332.512,0
12.586,-33.701,23.443,-25.564,30.907,31.000,4,335.601,335.601,0
12.689,-35.615,23.339,-27.977,30.676,31.000,4,338.689,338.689,0
12.791,-37.525,23.237,-30.385,30.793,31.000,4,341.763,341.763,0
12.892,-39.440,23.135,-32.800,30.859,31.000,4,344.846,344.846,0
12.992,-41.358,23.033,-35.218,30.896,31.000,4,347.939,347.939,0
13.094,-43.278,22.931,-37.638,30.917,31.000,4,351.032,351.032,0
13.194,-45.185,22.831,-40.042,30.753,31.000,4,354.112,354.112,0
13.296,-47.098,22.730,-42.454,30.836,31.000,4,357.195,357.195,0
13.397,-49.016,22.630,-44.871,30.883,31.000,4,360.290,360.290,0
13.499,-51.319,22.511,-47.775,30.913,31.000,4,364.002,364.002,0
13.601,-53.230,22.413,-50.185,30.705,31.000,4,367.095,367.095,0
13.704,-55.141,22.315,-52.594,30.808,31.000,4,370.184,370.184,0
13.804,-57.057,22.218,-55.010,30.866,31.000,4,373.274,373.274,0
13.906,-58.976,22.121,-57.428,30.899,31.000,4,376.378,376.378,0
14.008,-60.895,22.024,-59.849,30.918,31.000,4,379.476,379.476,0
14.108,-62.802,21.929,-62.253,30.752,31.000,4,382.568,382.568,0
14.209,-64.716,21.835,-64.665,30.834,31.000,4,385.666,385.666,0
