time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,555.788,32.795,-240.588,33.315,29.000,4,0.000,0.000,0
0.105,556.568,32.206,-243.716,31.321,29.000,2,0.000,0.000,0
0.218,557.473,31.462,-247.346,31.169,29.000,2,0.000,0.000,0
0.353,558.459,30.582,-251.313,29.275,54.065,4,0.000,0.000,0
0.463,559.163,30.166,-254.153,30.053,54.082,4,1.570,1.570,0
0.576,560.043,29.770,-257.710,31.207,52.842,4,5.210,5.210,0
0.686,560.801,29.466,-260.778,32.130,53.337,4,8.347,8.347,0
0.795,561.740,29.116,-264.576,33.190,53.270,4,12.244,12.244,0
0.928,562.696,28.789,-268.499,34.197,52.223,4,16.265,16.265,0
1.031,563.474,28.538,-271.867,34.988,46.860,4,19.683,19.683,0
1.136,564.324,28.254,-276.033,35.878,51.376,4,23.799,23.799,0
1.247,564.917,28.015,-279.607,36.563,44.490,4,27.342,27.342,0
1.347,565.369,27.760,-283.268,37.215,45.949,4,31.156,31.156,0
1.452,565.693,27.413,-287.766,37.975,44.522,4,35.679,35.679,0
1.553,565.767,27.088,-291.588,38.579,47.472,4,39.462,39.462,0
1.659,565.657,26.755,-295.467,39.166,50.998,4,43.264,43.264,0
1.763,565.367,26.440,-299.396,39.742,55.231,4,47.110,47.110,0
1.866,564.908,26.158,-303.368,40.308,57.950,4,51.014,51.014,0
1.969,564.293,25.913,-307.378,40.865,57.950,4,54.968,54.968,0
2.069,563.543,25.705,-311.423,41.410,57.950,4,58.915,58.915,0
2.173,562.489,25.493,-316.319,42.046,57.950,4,63.560,63.560,0
2.278,561.504,25.344,-320.435,42.555,57.950,4,67.121,67.121,0
2.387,560.445,25.218,-324.584,43.048,57.950,4,70.689,70.689,0
2.497,559.101,25.099,-329.610,43.614,57.950,4,74.753,74.753,0
2.599,557.943,25.029,-333.840,44.064,57.950,4,78.254,78.254,0
2.708,556.763,24.986,-338.111,44.494,57.950,4,81.697,81.697,0
2.815,555.327,24.971,-343.288,44.985,57.950,4,85.820,85.820,0
2.925,554.118,24.994,-347.643,45.373,57.950,4,89.129,89.129,0
3.029,552.898,25.053,-352.034,45.743,57.950,4,92.363,92.363,0
3.137,551.422,25.172,-357.349,46.162,57.950,4,96.241,96.241,0
3.247,550.182,25.312,-361.812,46.492,57.950,4,99.587,99.587,0
3.353,548.681,25.536,-367.200,46.844,57.950,4,103.284,103.284,0
3.463,547.426,25.829,-371.709,47.067,57.950,4,105.790,105.790,0
3.569,546.163,26.208,-376.239,47.315,57.289,4,105.790,105.790,0
3.671,544.895,26.648,-380.789,47.545,56.093,4,105.790,105.790,0
3.773,543.365,27.234,-386.271,47.805,53.585,4,105.790,105.790,0
3.884,542.091,27.764,-390.859,48.005,52.658,4,105.790,105.790,0
3.985,540.853,28.329,-395.473,48.179,49.651,4,105.790,105.790,0
4.085,539.712,28.925,-400.120,48.202,48.063,4,105.790,105.790,0
4.187,538.737,29.529,-404.722,47.072,48.093,4,105.790,105.790,0
4.294,537.816,30.243,-410.135,45.301,43.582,4,105.790,105.790,0
4.410,537.237,30.810,-414.532,44.493,42.436,4,105.790,105.790,0
4.514,536.713,31.440,-419.615,41.684,38.643,4,0.000,0.000,0
4.619,536.370,31.905,-423.604,39.411,36.579,4,0.000,0.000,0
4.730,536.070,32.316,-427.404,37.579,34.211,4,0.000,0.000,0
4.839,535.744,32.735,-431.703,35.129,34.234,4,0.000,0.000,0
4.946,535.493,33.019,-435.063,32.973,31.844,4,0.000,0.000,0
5.055,535.209,33.290,-438.883,31.212,29.150,4,0.000,0.000,0
5.159,534.980,33.453,-441.970,30.791,31.077,4,0.000,0.000,0
5.265,534.757,33.567,-444.993,30.269,31.938,3,0.000,0.000,0
5.371,534.532,33.624,-448.043,30.621,31.077,4,0.000,0.000,0
5.473,534.262,33.614,-451.702,30.456,31.063,2,0.000,0.000,0
5.575,534.035,33.525,-454.773,30.977,34.929,3,0.000,0.000,0
5.682,533.804,33.377,-457.897,31.581,33.855,4,0.000,0.000,0
5.783,533.567,33.174,-461.095,32.425,34.132,2,0.000,0.000,0
5.914,533.227,32.784,-465.694,33.353,30.364,4,0.000,0.000,0
6.025,532.991,32.455,-468.890,31.574,30.364,3,0.000,0.000,0
6.129,532.765,32.093,-471.957,30.389,29.000,4,0.000,0.000,0
6.235,532.507,31.632,-475.469,28.938,29.000,4,0.000,0.000,0
6.340,532.298,31.227,-478.315,28.862,29.000,4,0.000,0.000,0
6.442,532.090,30.799,-481.159,28.787,29.000,4,0.000,0.000,0
6.550,531.877,30.353,-484.003,28.691,29.000,4,0.000,0.000,0
6.653,531.584,29.795,-487.410,28.935,29.000,4,0.000,0.000,0
6.765,531.274,29.317,-490.234,28.866,29.000,4,0.000,0.000,0
6.865,530.873,28.829,-493.036,28.525,29.000,4,0.000,0.000,0
6.971,530.364,28.333,-495.819,28.795,29.000,4,0.000,0.000,0
7.103,529.457,27.633,-499.673,28.217,29.000,4,0.000,0.000,0
7.209,528.682,27.143,-502.342,28.409,29.000,4,0.000,0.000,0
7.312,527.591,26.555,-505.550,28.800,29.000,4,0.000,0.000,0
7.416,526.561,26.076,-508.202,28.694,29.000,4,0.000,0.000,0
7.517,525.437,25.615,-510.817,28.909,29.000,4,0.000,0.000,0
7.629,524.226,25.184,-513.393,28.833,29.000,4,0.000,0.000,0
7.729,522.912,24.786,-515.976,29.672,38.063,4,0.000,0.000,0
7.837,521.177,24.388,-519.136,30.801,36.907,4,0.000,0.000,0
