time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,555.788,32.795,-240.588,33.315,34.000,4,0.000,0.000,0
0.105,556.597,32.191,-243.830,33.415,34.000,3,0.000,0.000,0
0.211,557.397,31.563,-247.049,33.689,33.149,4,0.000,0.000,0
0.334,558.326,30.795,-250.777,32.071,33.149,4,0.000,0.000,0
0.435,559.090,30.269,-253.843,31.856,31.953,4,1.220,1.220,0
0.537,560.004,29.830,-257.523,31.645,30.288,4,5.012,5.012,0
0.650,560.741,29.570,-260.491,29.830,30.806,4,8.101,8.101,0
0.753,561.443,29.358,-263.326,28.886,29.075,4,11.040,11.040,0
0.873,562.275,29.118,-266.689,29.020,30.806,4,14.510,14.510,0
1.033,563.358,28.798,-271.140,28.183,34.000,4,19.084,19.084,0
1.142,564.114,28.563,-274.435,28.564,34.000,4,22.394,22.394,0
1.248,564.708,28.360,-277.260,29.168,32.956,4,25.158,25.158,0
1.393,565.454,28.061,-281.331,29.977,30.273,4,29.337,29.337,0
1.501,565.991,27.784,-284.881,29.590,29.323,4,32.993,32.993,0
1.609,566.341,27.543,-287.731,28.275,26.466,4,35.899,35.899,0
1.731,566.641,27.254,-291.000,26.762,27.563,4,39.182,39.182,0
1.877,566.834,26.907,-295.186,26.396,23.817,4,43.289,43.289,0
2.029,566.803,26.656,-298.689,24.253,22.983,4,46.687,46.687,0
2.228,566.416,26.368,-303.326,22.385,21.719,4,51.179,51.179,0
2.332,566.067,26.245,-305.508,21.987,21.363,4,53.279,53.279,0
2.438,565.511,26.110,-308.013,21.104,21.175,4,55.733,55.733,0
2.725,563.563,25.843,-313.600,21.588,21.175,4,61.197,61.197,0
2.872,562.205,25.727,-316.331,22.123,22.195,4,64.072,64.072,0
3.026,560.334,25.606,-319.376,22.745,29.336,4,67.287,67.287,0
3.300,556.189,25.421,-324.570,24.562,34.000,4,73.555,73.555,0
3.407,554.453,25.367,-326.362,25.177,34.000,4,75.995,75.995,0
3.513,552.595,25.322,-328.117,25.800,34.000,4,78.459,78.459,0
3.616,550.226,25.278,-330.191,26.544,34.000,4,81.522,81.522,0
3.735,548.152,25.250,-331.906,27.147,34.000,4,84.167,84.167,0
3.882,544.676,25.218,-334.648,28.084,34.000,4,88.487,88.487,0
3.990,542.414,25.198,-336.370,28.648,34.000,4,91.291,91.291,0
4.167,538.194,25.186,-339.490,29.617,34.000,4,96.444,96.444,0
4.276,535.279,25.278,-341.582,30.212,34.000,4,99.996,99.996,0
4.385,532.784,25.430,-343.326,30.679,34.000,4,102.981,102.981,0
4.498,529.712,25.635,-345.414,31.214,34.000,4,106.635,106.635,0
4.627,526.553,25.811,-347.488,31.728,34.000,4,110.377,110.377,0
4.731,523.854,25.930,-349.200,32.143,34.000,4,113.512,113.512,0
4.833,521.091,26.029,-350.891,32.546,34.000,4,116.715,116.715,0
4.984,516.550,26.143,-353.532,32.998,34.000,4,121.870,121.870,0
5.100,513.058,26.183,-355.441,33.213,34.000,4,125.813,125.813,0
5.210,510.098,26.182,-356.973,33.338,34.000,4,129.076,129.076,0
5.328,506.491,26.137,-358.734,33.468,34.000,4,133.014,133.014,0
5.436,503.440,26.067,-360.131,33.542,34.000,4,136.328,136.328,0
5.721,494.077,25.878,-363.859,33.676,34.000,4,146.184,146.184,0
5.824,490.927,26.053,-364.929,33.467,31.156,4,149.466,149.466,0
5.940,487.128,26.493,-366.099,33.390,31.540,4,153.332,153.332,0
6.051,483.997,26.973,-366.953,32.408,34.000,4,156.459,156.459,0
6.171,480.293,27.642,-367.800,32.243,34.000,4,160.090,160.090,0
6.275,477.173,28.288,-368.345,32.404,34.000,4,163.176,163.176,0
6.376,473.404,29.178,-368.776,32.545,34.000,4,166.820,166.820,0
6.487,470.256,30.009,-368.942,32.601,34.000,2,169.839,169.839,0
6.597,466.444,30.968,-368.958,32.377,34.000,0,173.536,173.536,0
6.755,462.002,31.911,-368.953,31.693,34.000,0,177.886,177.886,0
6.866,458.205,32.563,-368.949,31.127,34.000,0,181.603,181.603,0
6.970,455.047,32.997,-368.946,30.594,34.000,0,184.720,184.720,0
7.080,451.269,33.387,-368.942,30.021,34.000,0,188.426,188.426,0
7.231,446.875,33.661,-368.937,29.257,34.000,0,192.750,192.750,0
7.347,443.121,33.742,-368.933,28.684,34.000,0,196.442,196.442,0
7.460,439.379,33.682,-368.929,28.150,34.000,0,200.131,200.131,0
7.563,436.270,33.525,-368.927,27.663,34.000,0,203.211,203.211,0
7.670,433.169,33.270,-368.924,27.149,34.000,0,206.282,206.282,0
7.772,430.076,32.918,-368.922,26.649,34.000,0,209.358,209.358,0
7.875,426.991,32.469,-368.921,26.113,34.000,0,212.432,212.432,0
7.983,423.299,31.802,-368.919,25.518,34.000,0,216.135,216.135,0
8.110,419.617,30.996,-368.918,24.732,34.000,0,219.857,219.857,0
8.217,415.945,30.050,-368.918,24.013,34.000,0,223.604,223.604,0
8.318,412.893,29.156,-368.918,23.272,34.000,0,226.705,226.705,0
8.489,408.021,27.526,-368.917,21.902,34.000,0,231.798,231.798,0
8.614,404.377,26.142,-368.917,20.843,32.372,0,235.644,235.644,0
8.735,400.746,24.637,-368.908,20.032,32.242,4,239.529,239.529,0
8.849,397.772,25.043,-368.513,20.238,34.000,4,242.747,242.747,0
8.967,394.929,25.467,-367.820,22.129,32.242,3,245.873,245.873,0
9.164,390.510,25.911,-365.929,24.368,33.899,4,250.542,250.542,0
9.366,386.079,26.415,-363.719,25.128,34.000,4,254.707,254.707,0
9.480,383.233,26.850,-362.720,25.280,34.000,4,257.283,257.283,0
9.582,380.779,27.265,-362.136,25.265,34.000,4,259.497,259.497,0
9.685,378.276,27.706,-361.790,25.180,34.000,4,261.761,261.761,0
9.844,374.242,28.437,-361.741,25.121,34.000,4,265.442,265.442,0
9.950,371.739,28.903,-362.028,25.142,34.000,4,267.808,267.808,0
10.052,369.276,29.371,-362.558,25.280,34.000,4,270.208,270.208,0
10.160,366.398,29.938,-363.510,25.603,34.000,4,273.143,273.143,0
10.263,364.078,30.416,-364.557,25.931,34.000,4,275.591,275.591,0
10.368,361.817,30.913,-365.777,26.308,34.000,4,278.024,278.024,0
10.480,359.142,31.547,-367.402,26.788,32.705,4,281.074,281.074,0
10.592,356.930,32.097,-368.843,27.189,32.179,4,283.643,283.643,0
10.698,354.275,32.834,-370.640,27.637,31.042,4,286.745,286.745,0
10.807,352.051,33.503,-372.173,27.982,27.689,4,289.394,289.394,0
10.959,348.562,34.629,-374.605,26.712,26.551,4,293.612,293.612,0
11.063,346.517,35.383,-376.039,25.729,24.566,4,296.106,296.106,0
11.200,343.887,36.466,-377.891,22.794,20.533,4,299.355,299.355,0
11.369,341.232,37.595,-379.763,20.434,19.295,4,302.624,302.624,0
11.475,339.713,38.230,-380.836,19.412,19.193,4,304.493,304.493,0
11.594,337.985,38.934,-382.057,17.998,19.617,4,306.625,306.625,0
11.706,336.318,39.590,-383.234,17.981,17.329,4,308.656,308.656,0
11.810,334.899,40.123,-384.238,18.082,17.215,4,310.385,310.385,0
11.912,333.516,40.616,-385.215,17.561,17.687,4,312.080,312.080,0
12.021,331.862,41.161,-386.383,17.371,18.654,4,314.097,314.097,0
12.143,330.210,41.650,-387.547,17.046,18.944,3,316.107,316.107,0
12.275,328.546,42.058,-388.708,17.173,17.687,2,318.113,318.113,0
12.382,326.824,42.364,-389.870,17.433,18.654,2,320.162,320.162,0
12.490,325.326,42.538,-390.832,17.918,19.025,3,321.911,321.911,0
12.595,323.757,42.662,-391.779,18.523,19.956,3,323.708,323.708,0
12.696,321.775,42.757,-392.875,18.571,18.705,3,325.943,325.943,0
12.799,320.097,42.782,-393.705,18.566,18.702,3,327.781,327.781,0
12.900,318.375,42.754,-394.453,18.689,18.911,3,329.582,329.582,0
13.010,316.611,42.679,-395.103,18.697,18.975,3,331.411,331.411,0
13.148,314.095,42.503,-395.817,18.534,19.403,3,333.895,333.895,0
