time,x,y,z,speed,grounded,nextGate,misses,penalty
0.000,-623.452,7.564,-359.962,0.000,4,13,0,0
0.133,-623.454,7.545,-359.882,1.333,4,13,0,0
0.267,-623.461,7.518,-359.551,3.134,4,13,0,0
0.400,-623.472,7.510,-358.974,4.865,4,13,0,0
0.533,-623.486,7.515,-358.289,6.296,4,13,0,0
0.667,-623.506,7.524,-357.279,7.905,4,13,0,0
0.800,-623.531,7.533,-356.048,9.452,4,13,0,0
0.933,-623.555,7.538,-354.824,10.731,4,13,0,0
1.067,-623.588,7.545,-353.206,12.169,4,13,0,0
1.200,-623.624,7.553,-351.392,13.553,4,13,0,0
1.333,-623.659,7.561,-349.685,14.696,4,13,0,0
1.467,-623.702,7.571,-347.525,15.982,4,13,0,0
1.600,-623.749,7.582,-345.188,17.219,4,13,0,0
1.733,-623.792,7.592,-343.051,18.241,4,13,0,0
1.833,-623.829,7.600,-341.177,19.066,4,13,0,0
1.933,-623.869,7.609,-339.223,19.870,4,13,0,0
2.067,-623.926,7.622,-336.354,20.957,4,13,0,0
2.200,-623.987,7.635,-333.337,22.002,4,13,0,0
2.333,-624.041,7.647,-330.636,22.866,4,13,0,0
2.467,-624.107,7.661,-327.357,23.838,4,13,0,0
2.600,-624.175,7.675,-323.946,24.773,4,13,0,0
2.733,-624.236,7.688,-320.919,25.546,4,13,0,0
2.867,-624.309,7.703,-317.274,26.415,4,13,0,0
3.000,-624.385,7.718,-313.509,27.251,4,13,0,0
3.133,-624.451,7.732,-310.191,27.941,4,13,0,0
3.267,-624.531,7.748,-306.218,28.718,4,13,0,0
3.400,-624.613,7.764,-302.138,29.466,4,13,0,0
3.533,-624.685,7.778,-298.559,30.083,4,13,0,0
3.667,-624.770,7.795,-294.292,30.778,4,13,0,0
3.800,-624.858,7.812,-289.931,31.446,4,13,0,0
3.933,-624.934,7.827,-286.119,31.999,4,13,0,0
4.067,-625.025,7.844,-281.590,32.620,4,13,0,0
4.167,-625.091,7.856,-278.303,33.049,4,13,0,0
4.267,-625.158,7.869,-274.974,33.466,4,13,0,0
4.400,-625.253,7.887,-270.244,34.031,4,13,0,0
4.500,-625.322,7.900,-266.818,34.421,4,13,0,0
4.600,-625.391,7.912,-263.354,34.801,4,13,0,0
4.700,-625.462,7.925,-259.852,35.170,4,13,0,0
4.833,-625.547,7.941,-255.602,35.599,4,13,0,0
4.933,-625.619,7.954,-252.022,35.946,4,13,0,0
5.067,-625.721,7.972,-246.953,36.416,4,13,0,0
5.200,-625.824,7.991,-241.820,36.867,4,13,0,0
5.333,-625.913,8.007,-237.370,37.241,4,13,0,0
5.467,-626.018,8.026,-232.124,37.660,4,13,0,0
5.600,-626.125,8.045,-226.820,38.064,4,13,0,0
5.733,-626.217,8.061,-222.230,38.398,4,13,0,0
5.867,-626.325,8.080,-216.825,38.773,4,13,0,0
6.000,-626.435,8.099,-211.369,39.134,4,13,0,0
