time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,555.788,32.795,-240.588,33.315,29.000,4,0.000,0.000,0
0.101,556.575,32.209,-243.742,31.548,29.000,3,0.000,0.000,0
0.204,557.306,31.635,-246.686,30.275,29.000,4,0.000,0.000,0
0.307,558.009,31.045,-249.505,29.271,29.000,4,0.000,0.000,0
0.409,558.695,30.530,-252.260,29.114,48.581,4,0.000,0.000,0
0.512,559.399,30.125,-255.091,29.800,46.300,4,2.548,2.548,0
0.613,560.116,29.809,-258.003,30.454,46.889,4,5.527,5.527,0
0.713,560.827,29.543,-260.987,31.071,46.300,4,8.577,8.577,0
0.815,561.510,29.300,-264.042,31.645,48.003,4,11.702,11.702,0
0.918,562.139,29.066,-267.166,32.176,46.001,4,14.888,14.888,0
1.019,562.791,28.790,-271.004,32.775,43.260,4,18.791,18.791,0
1.120,563.226,28.561,-274.274,33.237,43.295,4,22.083,22.083,0
1.220,563.549,28.329,-277.602,33.677,39.826,4,25.404,25.404,0
1.320,563.752,28.087,-280.983,34.101,42.455,4,28.790,28.790,0
1.421,563.828,27.826,-284.411,34.513,42.756,4,32.228,32.228,0
1.524,563.774,27.539,-287.878,34.917,38.558,4,35.675,35.675,0
1.627,563.590,27.231,-291.378,35.316,41.112,4,39.144,39.144,0
1.729,563.278,26.923,-294.908,35.708,44.165,4,42.671,42.671,0
1.830,562.845,26.636,-298.464,36.092,49.400,4,46.292,46.292,0
1.933,562.296,26.382,-302.046,36.467,49.400,4,50.035,50.035,0
2.035,561.640,26.160,-305.648,36.835,49.400,4,53.899,53.899,0
2.138,560.890,25.966,-309.271,37.195,49.400,4,57.710,57.710,0
2.241,559.880,25.761,-313.643,37.616,49.400,4,62.467,62.467,0
2.344,558.965,25.612,-317.308,37.953,49.400,4,66.153,66.153,0
2.447,557.997,25.482,-320.994,38.279,49.400,4,69.623,69.623,0
2.547,556.991,25.373,-324.703,38.592,49.400,4,72.960,72.960,0
2.649,555.958,25.285,-328.437,38.892,49.400,4,76.151,76.151,0
2.750,554.908,25.219,-332.197,39.177,49.400,4,79.324,79.324,0
2.851,553.845,25.177,-335.983,39.449,49.400,4,82.541,82.541,0
2.957,552.773,25.159,-339.794,39.708,49.400,4,85.596,85.596,0
3.059,551.476,25.169,-344.398,40.001,49.400,4,89.231,89.231,0
3.160,550.387,25.204,-348.259,40.232,49.400,4,92.134,92.134,0
3.261,549.292,25.265,-352.141,40.450,49.400,4,95.161,95.161,0
3.363,548.192,25.352,-356.044,40.657,49.400,4,97.993,97.993,0
3.464,547.085,25.465,-359.964,40.851,49.400,4,100.851,100.851,0
3.565,545.975,25.605,-363.903,41.034,49.400,4,103.735,103.735,0
3.666,544.875,25.776,-367.859,41.202,49.400,4,106.354,106.354,0
3.768,543.814,26.001,-371.839,41.343,49.400,4,108.969,108.969,0
3.870,542.829,26.302,-375.846,41.447,49.400,4,110.175,110.175,0
3.972,541.955,26.680,-379.884,41.520,49.400,4,110.175,110.175,0
4.073,541.216,27.121,-383.949,41.572,49.400,4,110.175,110.175,0
4.175,540.621,27.604,-388.039,41.614,49.400,4,110.175,110.175,0
4.276,540.168,28.111,-392.148,41.656,49.400,4,110.175,110.175,0
4.376,539.843,28.631,-396.272,41.704,48.208,4,110.175,110.175,0
4.479,539.592,29.265,-401.234,41.771,45.588,4,110.175,110.175,0
4.580,539.468,29.796,-405.379,41.829,46.605,4,110.175,110.175,0
4.686,539.394,30.326,-409.530,41.875,42.258,4,110.175,110.175,0
4.789,539.348,30.846,-413.667,41.458,40.574,4,0.000,0.000,0
4.891,539.316,31.344,-417.734,40.841,38.962,4,0.000,0.000,0
4.992,539.293,31.812,-421.721,39.750,37.113,4,0.000,0.000,0
5.094,539.274,32.236,-425.561,38.143,34.846,4,0.000,0.000,0
5.195,539.257,32.613,-429.249,36.376,32.955,4,0.000,0.000,0
5.296,539.241,32.933,-432.738,34.202,34.458,4,0.000,0.000,0
5.397,539.226,33.201,-436.071,32.812,32.214,4,0.000,0.000,0
5.498,539.212,33.417,-439.262,31.565,29.150,4,0.000,0.000,0
5.600,539.195,33.614,-442.998,30.935,30.434,3,0.000,0.000,0
5.703,539.180,33.715,-446.040,30.155,31.063,3,0.000,0.000,0
5.804,539.160,33.761,-449.077,30.400,31.077,4,0.000,0.000,0
5.907,539.121,33.750,-452.137,30.620,31.063,2,0.000,0.000,0
6.007,539.038,33.682,-455.218,30.907,31.931,4,0.000,0.000,0
6.109,538.888,33.552,-458.335,31.346,36.098,3,0.000,0.000,0
6.212,538.645,33.363,-461.492,31.824,33.601,4,0.000,0.000,0
6.312,538.293,33.118,-464.681,32.268,33.601,4,0.000,0.000,0
6.413,537.833,32.823,-467.848,31.582,30.216,4,0.000,0.000,0
6.515,537.288,32.493,-470.880,30.373,30.216,4,0.000,0.000,0
6.620,536.534,32.059,-474.349,29.167,29.000,4,0.000,0.000,0
6.721,535.834,31.672,-477.121,28.737,29.000,4,0.000,0.000,0
6.825,535.057,31.258,-479.870,28.864,29.000,4,0.000,0.000,0
6.929,534.216,30.821,-482.602,28.705,29.000,4,0.000,0.000,0
7.036,533.323,30.365,-485.306,28.864,29.000,4,0.000,0.000,0
7.139,532.194,29.796,-488.530,28.778,29.000,4,0.000,0.000,0
7.243,531.212,29.306,-491.203,28.930,29.000,4,0.000,0.000,0
7.345,530.201,28.807,-493.852,28.846,29.000,4,0.000,0.000,0
7.447,529.160,28.301,-496.495,28.742,29.000,4,0.000,0.000,0
7.548,528.090,27.793,-499.126,28.914,29.000,4,0.000,0.000,0
7.651,526.992,27.287,-501.741,28.824,29.000,4,0.000,0.000,0
7.751,525.862,26.788,-504.344,28.728,29.000,4,0.000,0.000,0
7.853,524.695,26.301,-506.935,28.899,29.000,4,0.000,0.000,0
7.953,523.489,25.836,-509.505,28.804,29.000,4,0.000,0.000,0
