time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,230.517,43.477,-340.007,29.654,30.000,4,0.000,0.000,0
0.101,228.122,43.873,-338.259,29.727,30.000,2,0.000,0.000,0
0.202,225.728,44.173,-336.511,29.785,21.248,4,0.000,0.000,0
0.303,223.463,44.425,-334.857,27.337,21.248,4,0.000,0.000,0
0.405,221.403,44.752,-333.352,24.814,21.248,4,0.000,0.000,0
0.506,219.520,45.145,-331.977,23.138,19.539,4,1.293,1.293,0
0.622,217.410,45.588,-330.435,21.746,20.296,4,3.842,3.842,0
0.723,215.710,45.878,-329.192,21.085,22.442,4,5.889,5.889,0
0.824,214.023,46.095,-327.960,20.927,21.055,4,8.042,8.042,0
0.925,212.337,46.262,-326.729,20.812,20.296,4,10.225,10.225,0
1.027,210.674,46.396,-325.514,20.821,19.975,4,12.436,12.436,0
1.129,209.008,46.513,-324.297,20.840,22.929,4,14.678,14.678,0
1.230,207.288,46.615,-323.042,21.561,23.145,4,16.963,16.963,0
1.333,205.504,46.697,-321.755,22.238,26.204,4,19.269,19.269,0
1.436,203.258,46.754,-320.196,23.063,29.395,4,22.006,22.006,0
1.537,201.281,46.750,-318.916,23.727,30.000,2,24.282,24.282,0
1.638,199.198,46.687,-317.683,24.380,30.000,4,26.560,26.560,0
1.740,197.005,46.579,-316.519,25.015,30.000,4,28.939,28.939,0
1.843,194.701,46.424,-315.437,25.647,30.000,4,31.428,31.428,0
1.945,192.293,46.223,-314.446,26.283,30.000,4,33.990,33.990,0
2.047,189.786,45.977,-313.546,26.923,30.000,3,36.624,36.624,0
2.147,187.188,45.682,-312.728,27.573,30.000,4,39.322,39.322,0
2.249,184.506,45.342,-311.987,28.223,30.000,4,42.079,42.079,0
2.351,181.748,44.960,-311.311,28.814,30.000,4,44.876,44.876,0
2.458,178.364,44.450,-310.576,29.314,30.000,4,48.309,48.309,0
2.560,175.501,43.986,-310.020,29.585,30.000,4,51.167,51.167,0
2.666,172.611,43.492,-309.511,29.781,30.000,4,54.066,54.066,0
2.769,169.703,42.976,-309.047,29.923,30.000,4,56.973,56.973,0
2.871,166.801,42.448,-308.631,29.824,30.000,4,59.824,59.824,0
2.974,163.303,41.806,-308.197,29.731,30.000,4,63.304,63.304,0
3.075,160.382,41.272,-307.896,29.891,30.000,4,66.185,66.185,0
3.179,157.473,40.750,-307.663,29.191,29.410,4,68.999,68.999,0
3.284,154.637,40.256,-307.509,28.366,27.013,4,71.787,71.787,0
3.387,151.889,39.800,-307.444,27.487,25.948,4,74.478,74.478,0
3.490,149.248,39.390,-307.472,26.200,24.977,4,77.062,77.062,0
3.592,146.736,39.037,-307.596,24.799,22.450,4,79.513,79.513,0
3.693,144.364,38.756,-307.811,23.478,23.491,4,81.823,81.823,0
3.796,141.661,38.530,-308.193,22.620,22.955,4,84.346,84.346,0
3.899,139.479,38.451,-308.620,22.234,20.945,4,86.450,86.450,0
4.005,137.383,38.479,-309.138,21.238,21.395,4,88.491,88.491,0
4.106,135.376,38.596,-309.754,20.919,22.206,4,90.450,90.450,0
4.208,133.437,38.760,-310.480,20.713,20.945,4,92.366,92.366,0
4.310,131.551,38.932,-311.325,20.717,21.395,4,94.263,94.263,0
4.412,129.716,39.098,-312.288,20.755,20.904,4,96.156,96.156,0
4.513,127.936,39.271,-313.365,20.811,20.960,4,98.068,98.068,0
4.613,126.240,39.466,-314.536,20.518,19.644,4,99.990,99.990,0
4.716,124.375,39.729,-316.012,19.546,19.105,4,102.248,102.248,0
4.818,122.945,39.951,-317.305,19.162,18.956,4,103.923,103.923,0
4.919,121.614,40.154,-318.655,18.811,19.037,4,105.705,105.705,0
5.022,120.363,40.319,-320.072,18.996,19.105,4,107.478,107.478,0
5.124,119.173,40.432,-321.566,19.244,18.956,3,109.279,109.279,0
5.225,118.053,40.472,-323.114,19.160,19.037,2,111.097,111.097,0
5.326,116.993,40.432,-324.713,19.300,19.710,3,112.927,112.927,0
5.430,115.970,40.338,-326.390,19.877,20.992,3,114.804,114.804,0
5.532,114.970,40.189,-328.161,20.608,23.773,2,116.756,116.756,0
5.634,113.781,39.912,-330.414,21.654,30.000,3,119.224,119.224,0
5.736,112.795,39.601,-332.387,22.529,30.000,4,121.317,121.317,0
5.838,111.812,39.228,-334.447,23.396,30.000,4,123.544,123.544,0
5.941,110.826,38.803,-336.589,24.252,30.000,4,125.854,125.854,0
6.041,109.831,38.340,-338.812,25.090,30.000,4,128.246,128.246,0
6.142,108.821,37.857,-341.114,25.906,30.000,4,130.720,130.720,0
8.907,102.591,34.418,-362.124,0.000,30.000,4,152.978,157.530,0
9.007,102.591,34.359,-362.123,0.149,30.000,0,152.977,157.530,0
9.107,102.565,34.238,-362.181,1.438,30.000,4,153.015,157.530,0
9.210,102.474,34.133,-362.385,2.972,30.000,4,153.206,157.530,0
9.311,102.320,34.052,-362.731,4.459,30.000,4,153.555,157.530,0
9.411,102.105,33.978,-363.213,5.899,30.000,4,154.054,157.530,0
9.512,101.833,33.892,-363.823,7.295,30.000,4,154.694,157.530,0
9.614,101.434,33.757,-364.718,8.911,30.000,4,155.642,157.530,0
9.715,101.043,33.615,-365.593,10.210,30.000,4,156.575,157.530,0
9.818,100.601,33.451,-366.583,11.468,30.000,4,157.634,157.634,0
9.920,100.110,33.269,-367.685,12.686,30.000,4,158.815,158.815,0
10.023,99.570,33.072,-368.894,13.864,30.000,4,160.115,160.115,0
10.126,98.983,32.862,-370.208,15.004,30.000,4,161.529,161.529,0
10.228,98.351,32.640,-371.624,16.107,30.000,4,163.055,163.055,0
10.329,97.675,32.408,-373.138,17.173,30.000,4,164.685,164.685,0
10.432,96.955,32.167,-374.746,18.203,30.000,4,166.415,166.415,0
10.534,96.032,31.867,-376.795,19.393,30.000,4,168.620,168.620,0
10.636,95.203,31.611,-378.592,20.345,30.000,4,170.556,170.556,0
10.738,94.311,31.351,-380.463,21.261,30.000,4,172.579,172.579,0
10.841,93.347,31.089,-382.398,22.142,30.000,4,174.684,174.684,0
10.943,92.303,30.827,-384.390,22.989,30.000,4,176.869,176.869,0
11.046,91.173,30.567,-386.431,23.803,30.000,4,179.147,179.147,0
11.146,89.954,30.309,-388.514,24.588,30.000,4,181.525,181.525,0
11.248,88.647,30.050,-390.634,25.347,30.000,4,183.985,183.985,0
11.349,87.253,29.786,-392.788,26.082,30.000,4,186.514,186.514,0
11.451,85.777,29.515,-394.973,26.794,30.000,4,189.125,189.125,0
11.552,84.223,29.237,-397.190,27.485,30.000,4,191.800,191.800,0
11.654,82.263,28.897,-399.890,28.287,30.000,4,195.112,195.112,0
11.758,80.559,28.612,-402.174,28.857,30.000,4,197.934,197.934,0
11.862,78.805,28.327,-404.478,29.242,30.000,4,200.814,200.814,0
11.965,77.014,28.045,-406.793,29.503,30.000,4,203.721,203.721,0
12.066,75.196,27.766,-409.114,29.683,30.000,4,206.658,206.658,0
12.169,73.358,27.491,-411.438,29.807,30.000,4,209.606,209.606,0
12.270,71.504,27.220,-413.762,29.892,30.000,4,212.571,212.571,0
12.371,69.647,26.955,-416.074,29.716,30.000,4,215.527,215.527,0
12.471,67.782,26.695,-418.380,29.826,30.000,4,218.486,218.486,0
12.573,65.903,26.439,-420.688,29.901,30.000,4,221.449,221.449,0
12.680,63.647,26.141,-423.441,29.742,30.000,4,225.007,225.007,0
12.780,61.757,25.898,-425.732,29.839,30.000,4,227.965,227.965,0
12.883,59.855,25.661,-428.024,29.905,30.000,4,230.936,230.936,0
12.986,57.954,25.430,-430.304,29.716,30.000,4,233.899,233.899,0
13.088,56.046,25.207,-432.578,29.816,30.000,4,236.861,236.861,0
13.190,54.132,25.032,-434.847,29.876,30.000,4,239.822,239.822,0
13.291,52.217,25.034,-437.107,29.826,30.000,4,242.780,242.780,0
13.393,49.908,25.257,-439.823,29.816,30.000,4,246.336,246.336,0
13.494,47.983,25.538,-442.079,29.798,30.000,4,249.299,249.299,0
13.596,46.059,25.846,-444.327,29.771,30.000,4,252.252,252.252,0
13.697,44.134,26.172,-446.566,29.734,30.000,4,255.202,255.202,0
13.799,42.212,26.531,-448.795,29.691,30.000,4,258.144,258.144,0
13.900,40.293,26.938,-451.013,29.644,30.000,4,261.072,261.072,0
14.001,38.380,27.400,-453.218,29.597,30.000,4,263.991,263.991,0
14.103,36.472,27.919,-455.409,29.549,30.000,4,266.892,266.892,0
14.207,34.567,28.491,-457.584,29.502,30.000,4,269.783,269.783,0
14.309,32.663,29.114,-459.739,29.455,30.000,4,272.655,272.655,0
14.411,30.759,29.785,-461.873,29.408,30.000,4,275.514,275.514,0
14.514,28.476,30.650,-464.407,29.350,30.000,4,278.923,278.923,0
14.615,26.564,31.391,-466.510,29.297,30.000,2,281.758,281.758,0
14.718,24.644,32.059,-468.616,29.004,30.000,0,284.602,284.602,0
14.820,22.727,32.628,-470.718,28.742,30.000,0,287.445,287.445,0
14.922,20.815,33.097,-472.815,28.512,30.000,0,290.272,290.272,0
15.024,18.906,33.466,-474.908,28.316,30.000,0,293.091,293.091,0
15.127,17.002,33.736,-476.996,28.156,30.000,0,295.890,295.890,0
15.230,15.102,33.907,-479.080,28.035,30.000,0,298.698,298.698,0
15.332,13.207,33.980,-481.158,27.954,30.000,0,301.499,301.499,0
