time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-167.990,31.541,-582.543,39.998,42.000,4,0.000,0.000,0
0.102,-172.002,31.552,-582.578,40.225,42.000,4,0.000,0.000,0
0.218,-176.782,31.551,-582.619,38.867,18.032,4,0.000,0.000,0
0.339,-181.239,31.551,-582.657,35.895,18.032,4,0.539,0.539,0
0.440,-184.682,31.540,-582.686,33.427,18.171,4,3.783,3.783,0
0.542,-187.878,31.511,-582.714,30.969,20.521,4,6.981,6.981,0
0.644,-190.829,31.464,-582.739,28.520,21.962,4,10.420,10.420,0
0.746,-193.536,31.405,-582.762,26.080,27.689,4,13.769,13.769,0
0.874,-196.597,31.320,-582.771,25.345,29.697,4,17.059,17.059,0
0.976,-199.693,31.221,-582.720,26.107,42.000,4,20.244,20.244,0
1.117,-203.411,31.086,-582.505,26.930,42.000,4,23.930,23.930,0
1.219,-206.124,30.974,-582.210,27.485,41.298,4,26.571,26.571,0
1.321,-208.874,30.845,-581.778,28.029,42.000,4,29.292,29.292,0
1.426,-211.653,30.698,-581.210,28.575,42.000,4,32.116,32.116,0
1.546,-215.023,30.496,-580.362,29.243,42.000,4,35.587,35.587,0
1.665,-218.432,30.263,-579.361,29.919,42.000,4,39.139,39.139,0
1.769,-221.308,30.044,-578.436,30.481,42.000,4,42.147,42.147,0
1.871,-224.220,29.801,-577.449,31.040,42.000,4,45.203,45.203,0
1.998,-228.367,29.414,-575.994,31.811,42.000,4,49.569,49.569,0
2.107,-231.382,29.097,-574.917,32.355,42.000,4,52.754,52.754,0
2.213,-234.442,28.736,-573.817,32.894,42.000,4,55.993,55.993,0
2.315,-238.171,28.239,-572.468,33.536,42.000,4,59.947,59.947,0
2.416,-241.326,27.773,-571.321,34.067,42.000,4,63.294,63.294,0
2.521,-244.522,27.267,-570.149,34.590,42.000,4,66.681,66.681,0
2.621,-247.757,26.734,-568.946,35.103,42.000,4,70.106,70.106,0
2.727,-251.028,26.188,-567.702,35.602,42.000,4,73.565,73.565,0
2.837,-254.996,25.545,-566.142,36.177,42.000,4,77.764,77.764,0
2.940,-258.334,25.045,-564.772,36.630,42.000,4,81.317,81.317,0
3.044,-261.695,24.596,-563.326,37.059,42.000,4,84.885,84.885,0
3.146,-265.070,24.211,-561.793,37.462,42.000,4,88.521,88.521,0
3.248,-268.450,23.890,-560.162,37.836,42.000,4,92.158,92.158,0
3.356,-272.497,23.580,-558.068,38.258,42.000,4,96.628,96.628,0
3.465,-275.851,23.391,-556.206,38.578,42.000,4,100.332,100.332,0
3.578,-279.833,23.299,-553.828,38.852,42.000,4,104.886,104.886,0
3.694,-283.084,23.354,-551.693,38.991,42.000,4,108.701,108.701,0
3.796,-286.855,23.552,-548.910,39.151,42.000,4,113.261,113.261,0
3.926,-290.457,23.868,-545.893,39.313,42.000,4,117.896,117.896,0
4.031,-293.337,24.210,-543.227,39.464,42.000,4,121.758,121.758,0
4.131,-296.128,24.611,-540.454,39.625,42.000,4,125.594,125.594,0
