time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-548.098,7.188,-550.800,23.999,24.000,0,0.000,0.000,0
0.101,-550.458,7.156,-550.915,23.622,24.000,4,0.000,0.000,0
0.208,-553.301,7.108,-551.053,23.750,24.000,4,0.000,0.000,0
0.311,-555.661,7.068,-551.168,23.294,21.983,4,0.000,0.000,0
0.412,-557.929,7.033,-551.275,22.295,21.983,4,0.000,0.000,0
0.515,-560.120,7.006,-551.363,21.886,21.983,4,0.000,0.000,0
0.617,-562.296,6.983,-551.413,21.542,22.458,4,1.779,1.779,0
0.762,-565.316,6.954,-551.372,21.654,21.675,4,4.767,4.767,0
0.878,-567.918,6.928,-551.179,22.015,24.000,4,7.309,7.309,0
0.982,-570.139,6.906,-550.867,22.543,24.000,4,9.455,9.455,0
1.083,-572.378,6.882,-550.394,22.971,24.000,4,11.623,11.623,0
1.184,-574.607,6.858,-549.749,23.210,24.000,4,13.806,13.806,0
1.284,-576.797,6.835,-548.929,23.355,24.000,4,15.998,15.998,0
1.386,-578.928,6.813,-547.940,23.446,24.000,4,18.195,18.195,0
1.488,-581.387,6.787,-546.543,23.547,24.000,4,20.869,20.869,0
1.588,-583.345,6.765,-545.220,23.599,24.000,4,23.083,23.083,0
1.692,-585.215,6.742,-543.770,23.643,24.000,4,25.307,25.307,0
1.794,-586.996,6.732,-542.210,23.679,24.000,4,27.537,27.537,0
1.897,-588.693,6.749,-540.553,23.708,24.000,4,29.780,29.780,0
2.005,-590.310,6.780,-538.815,23.733,24.000,4,32.093,32.093,0
2.106,-591.853,6.812,-537.007,23.756,24.000,4,34.353,34.353,0
2.211,-593.614,6.837,-534.758,23.787,24.000,4,37.103,37.103,0
2.316,-595.013,6.837,-532.830,23.808,24.000,4,39.385,39.385,0
2.419,-596.356,6.824,-530.861,23.826,24.000,4,41.721,41.721,0
2.523,-597.650,6.810,-528.859,23.841,24.000,4,44.018,44.018,0
2.624,-598.900,6.802,-526.827,23.852,24.000,4,46.357,46.357,0
2.725,-600.109,6.800,-524.770,23.860,24.000,4,48.672,48.672,0
2.827,-601.281,6.802,-522.691,23.867,24.000,4,50.989,50.989,0
2.929,-602.644,6.806,-520.171,23.873,24.000,4,53.820,53.820,0
3.073,-604.177,6.808,-517.199,23.877,24.000,4,57.071,57.071,0
3.173,-605.237,6.802,-515.059,23.881,24.000,4,59.432,59.432,0
3.279,-606.270,6.786,-512.904,23.885,24.000,4,61.766,61.766,0
3.380,-607.275,6.763,-510.736,23.889,24.000,4,64.129,64.129,0
3.483,-608.251,6.736,-508.555,23.892,24.000,4,66.468,66.468,0
3.585,-609.196,6.713,-506.361,23.893,24.000,4,68.832,68.832,0
3.686,-610.110,6.704,-504.155,23.891,24.000,4,71.172,71.172,0
3.789,-611.167,6.714,-501.491,23.887,24.000,4,74.014,74.014,0
3.893,-612.015,6.735,-499.259,23.882,24.000,4,76.356,76.356,0
3.995,-612.833,6.760,-497.015,23.878,24.000,4,78.721,78.721,0
4.096,-613.621,6.783,-494.761,23.875,24.000,4,81.063,81.063,0
4.202,-614.379,6.801,-492.497,23.873,24.000,4,83.428,83.428,0
4.305,-615.106,6.815,-490.223,23.872,24.000,4,85.771,85.771,0
4.407,-615.803,6.826,-487.940,23.871,24.000,4,88.137,88.137,0
4.509,-616.598,6.839,-485.187,23.872,24.000,4,90.958,90.958,0
4.612,-617.227,6.850,-482.884,23.872,24.000,4,93.323,93.323,0
4.713,-617.826,6.863,-480.573,23.871,24.000,4,95.666,95.666,0
4.816,-618.393,6.877,-478.255,23.871,24.000,4,98.031,98.031,0
4.917,-618.929,6.890,-475.928,23.870,24.000,4,100.373,100.373,0
5.019,-619.432,6.904,-473.595,23.870,24.000,4,102.737,102.737,0
5.119,-619.902,6.917,-471.254,23.869,24.000,4,105.078,105.078,0
5.222,-620.337,6.930,-468.907,23.868,24.000,4,107.442,107.442,0
5.323,-620.737,6.944,-466.554,23.868,24.000,4,109.781,109.781,0
5.427,-621.100,6.957,-464.194,23.866,24.000,4,112.143,112.143,0
5.530,-621.483,6.973,-461.356,23.863,24.000,4,114.957,114.957,0
5.633,-621.743,6.986,-458.984,23.846,24.000,4,117.291,117.291,0
5.735,-621.916,7.000,-456.605,23.795,24.000,4,119.649,119.649,0
5.839,-621.949,7.013,-454.226,23.658,24.000,4,121.973,121.973,0
5.940,-621.768,7.027,-451.865,23.474,24.000,4,0.000,0.000,0
6.042,-621.351,7.039,-449.542,23.529,24.000,4,0.000,0.000,0
6.142,-620.777,7.052,-447.249,23.662,24.000,4,0.000,0.000,0
6.245,-620.145,7.065,-444.963,23.747,24.000,4,0.000,0.000,0
6.347,-619.535,7.078,-442.665,23.775,24.000,4,0.000,0.000,0
6.454,-618.896,7.093,-439.882,23.781,24.000,4,0.000,0.000,0
6.554,-618.472,7.106,-437.540,23.776,24.000,4,0.000,0.000,0
6.655,-618.152,7.119,-435.182,23.776,24.000,4,0.000,0.000,0
6.764,-617.934,7.132,-432.812,23.781,24.000,4,0.000,0.000,0
6.864,-617.806,7.146,-430.434,23.796,24.000,4,0.000,0.000,0
6.965,-617.757,7.159,-428.053,23.813,24.000,4,0.000,0.000,0
7.067,-617.770,7.172,-425.670,23.830,24.000,4,0.000,0.000,0
7.171,-617.848,7.188,-422.810,23.848,24.000,4,0.000,0.000,0
7.272,-617.950,7.201,-420.426,23.859,24.000,4,0.000,0.000,0
7.374,-618.071,7.214,-418.043,23.867,24.000,4,0.000,0.000,0
7.475,-618.203,7.227,-415.660,23.872,24.000,4,0.000,0.000,0
7.579,-618.341,7.240,-413.276,23.875,24.000,4,0.000,0.000,0
7.680,-618.481,7.252,-410.893,23.877,24.000,4,0.000,0.000,0
7.783,-618.622,7.265,-408.509,23.879,24.000,4,0.000,0.000,0
7.885,-618.764,7.278,-406.126,23.880,24.000,4,0.000,0.000,0
7.988,-618.935,7.293,-403.265,23.880,24.000,4,0.000,0.000,0
8.090,-619.077,7.306,-400.881,23.881,24.000,4,0.000,0.000,0
8.191,-619.219,7.319,-398.498,23.881,24.000,4,0.000,0.000,0
8.292,-619.361,7.331,-396.114,23.881,24.000,4,0.000,0.000,0
8.395,-619.504,7.344,-393.730,23.881,24.000,4,0.000,0.000,0
8.496,-619.646,7.356,-391.346,23.881,24.000,4,0.000,0.000,0
8.596,-619.788,7.368,-388.962,23.881,24.000,4,0.000,0.000,0
8.698,-619.930,7.381,-386.578,23.881,24.000,4,0.000,0.000,0
8.799,-620.072,7.393,-384.194,23.881,24.000,4,0.000,0.000,0
8.899,-620.215,7.405,-381.810,23.881,24.000,4,0.000,0.000,0
9.004,-620.357,7.417,-379.426,23.882,24.000,4,0.000,0.000,0
9.106,-620.499,7.429,-377.043,23.882,24.000,4,0.000,0.000,0
9.207,-620.641,7.441,-374.659,23.882,24.000,4,0.000,0.000,0
9.308,-620.812,7.455,-371.798,23.882,24.000,4,0.000,0.000,0
9.411,-620.954,7.467,-369.414,23.882,24.000,4,0.000,0.000,0
9.516,-621.096,7.479,-367.030,23.882,24.000,4,0.000,0.000,0
9.619,-621.239,7.490,-364.646,23.882,24.000,4,0.000,0.000,0
9.729,-621.409,7.504,-361.786,23.882,24.000,4,0.000,0.000,0
9.833,-621.551,7.516,-359.402,23.882,24.000,4,0.000,0.000,0
9.933,-621.694,7.527,-357.018,23.882,24.000,4,0.000,0.000,0
10.036,-621.836,7.538,-354.634,23.882,24.000,4,0.000,0.000,0
10.140,-621.978,7.550,-352.250,23.882,24.000,4,0.000,0.000,0
10.241,-622.120,7.561,-349.866,23.882,24.000,4,0.000,0.000,0
10.343,-622.263,7.572,-347.482,23.882,24.000,4,0.000,0.000,0
10.443,-622.405,7.583,-345.098,23.883,24.000,4,0.000,0.000,0
