time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,-548.098,7.188,-550.800,23.999,43.605,4,0.000,0.000,0
0.104,-550.537,7.155,-550.919,24.673,41.664,4,0.000,0.000,0
0.209,-553.042,7.114,-551.041,25.333,41.053,4,0.000,0.000,0
0.314,-555.611,7.070,-551.166,25.976,40.150,4,0.000,0.000,0
0.415,-558.243,7.031,-551.294,26.602,38.511,4,0.000,0.000,0
0.517,-560.937,6.998,-551.425,27.212,38.281,4,0.310,0.310,0
0.619,-564.248,6.963,-551.586,27.921,35.597,4,3.575,3.575,0
0.723,-567.071,6.935,-551.724,28.493,35.348,4,6.286,6.286,0
0.825,-569.950,6.906,-551.864,29.051,32.421,4,8.876,8.876,0
0.926,-572.884,6.876,-552.007,29.592,32.147,4,11.412,11.412,0
1.028,-575.847,6.845,-552.151,29.326,28.899,4,13.827,13.827,0
1.142,-579.275,6.810,-552.316,28.255,28.591,4,16.303,16.303,0
1.245,-582.042,6.781,-552.436,27.033,24.882,4,18.406,18.406,0
1.346,-584.660,6.755,-552.521,25.727,24.524,4,20.076,20.076,0
1.458,-587.155,6.747,-552.556,24.244,20.799,4,21.819,21.819,0
1.561,-589.873,6.778,-552.523,21.648,19.732,4,23.422,23.422,0
1.665,-591.966,6.800,-552.434,20.531,17.777,4,24.770,24.770,0
1.765,-593.889,6.796,-552.300,18.308,13.679,4,25.995,25.995,0
1.867,-595.568,6.774,-552.144,15.903,13.167,4,27.111,27.111,0
1.967,-597.049,6.751,-551.975,14.381,13.017,4,28.223,28.223,0
2.070,-598.424,6.735,-551.791,13.616,13.269,4,28.983,28.983,0
2.174,-599.726,6.730,-551.597,12.826,12.024,4,29.689,29.689,0
2.276,-600.927,6.732,-551.404,11.735,10.068,4,30.662,30.662,0
2.376,-602.025,6.736,-551.218,10.846,10.068,4,31.182,31.182,0
2.505,-603.464,6.740,-550.960,10.152,9.872,4,32.326,32.326,0
2.608,-604.447,6.741,-550.768,10.030,10.201,4,32.760,32.760,0
2.711,-605.447,6.741,-550.551,10.393,10.730,4,33.576,33.576,0
2.832,-606.668,6.740,-550.236,10.533,10.068,4,34.201,34.201,0
2.933,-607.644,6.740,-549.928,9.993,10.068,4,35.022,35.022,0
3.082,-609.092,6.740,-549.325,9.728,9.872,4,36.048,36.048,0
3.182,-609.952,6.740,-548.852,9.839,10.201,4,0.000,0.000,0
3.286,-610.781,6.740,-548.293,10.107,10.909,4,0.000,0.000,0
3.426,-611.911,6.740,-547.327,11.089,16.732,4,0.000,0.000,0
3.527,-612.706,6.738,-546.469,12.008,22.891,4,0.000,0.000,0
3.646,-613.621,6.725,-545.248,13.083,33.411,4,0.000,0.000,0
3.747,-614.330,6.701,-544.076,13.960,49.400,4,0.000,0.000,0
3.848,-614.972,6.659,-542.770,14.829,49.400,4,0.000,0.000,0
3.951,-615.538,6.603,-541.339,15.690,49.400,4,0.000,0.000,0
4.051,-616.022,6.550,-539.792,16.543,49.400,4,0.000,0.000,0
4.173,-616.496,6.516,-537.793,17.544,49.400,4,0.000,0.000,0
4.276,-616.806,6.524,-536.017,18.362,49.400,4,0.000,0.000,0
4.385,-617.092,6.560,-533.763,19.328,49.400,4,0.000,0.000,0
4.486,-617.274,6.592,-531.791,20.116,49.400,4,0.000,0.000,0
4.589,-617.422,6.615,-529.738,20.887,49.400,4,0.000,0.000,0
4.691,-617.549,6.629,-527.608,21.639,49.400,4,0.000,0.000,0
4.800,-617.690,6.639,-524.953,22.514,49.400,4,0.000,0.000,0
4.901,-617.804,6.647,-522.662,23.222,49.400,4,0.000,0.000,0
5.015,-617.918,6.655,-520.301,23.910,49.400,4,0.000,0.000,0
5.116,-618.034,6.665,-517.873,24.579,49.400,4,0.000,0.000,0
5.219,-618.177,6.679,-514.872,25.358,49.400,4,0.000,0.000,0
5.332,-618.298,6.692,-512.301,25.987,49.400,4,0.000,0.000,0
5.454,-618.448,6.709,-509.135,26.718,49.400,4,0.000,0.000,0
5.576,-618.601,6.726,-505.883,27.426,49.400,4,0.000,0.000,0
5.679,-618.759,6.743,-502.547,28.109,49.400,4,0.000,0.000,0
5.788,-618.893,6.759,-499.706,28.662,49.400,4,0.000,0.000,0
5.889,-619.030,6.774,-496.811,29.199,49.400,4,0.000,0.000,0
5.999,-619.197,6.794,-493.267,29.824,49.400,4,0.000,0.000,0
6.100,-619.339,6.810,-490.258,30.329,49.400,4,0.000,0.000,0
6.226,-619.513,6.831,-486.581,30.916,49.400,4,0.000,0.000,0
6.362,-619.720,6.855,-482.205,31.577,49.400,4,0.000,0.000,0
6.464,-619.870,6.873,-479.024,32.033,49.400,4,0.000,0.000,0
6.566,-620.022,6.891,-475.797,32.477,49.400,4,0.000,0.000,0
6.701,-620.239,6.917,-471.207,33.077,49.400,4,0.000,0.000,0
6.826,-620.428,6.940,-467.208,33.573,49.400,4,0.000,0.000,0
6.945,-620.620,6.963,-463.150,34.053,49.400,4,0.000,0.000,0
7.045,-620.781,6.982,-459.725,34.441,49.400,4,0.000,0.000,0
7.152,-620.945,7.002,-456.262,34.818,49.400,4,0.000,0.000,0
7.276,-621.144,7.025,-452.058,35.257,49.400,4,0.000,0.000,0
7.393,-621.345,7.049,-447.802,35.681,49.400,4,0.000,0.000,0
7.494,-621.514,7.069,-444.217,36.024,49.400,4,0.000,0.000,0
7.605,-621.719,7.094,-439.871,36.423,49.400,4,0.000,0.000,0
7.714,-621.892,7.114,-436.214,36.745,49.400,4,0.000,0.000,0
7.815,-622.066,7.135,-432.524,37.058,49.400,4,0.000,0.000,0
7.916,-622.242,7.155,-428.804,37.363,49.400,4,0.000,0.000,0
8.019,-622.455,7.180,-424.301,37.718,49.400,4,0.000,0.000,0
8.140,-622.669,7.205,-419.756,38.061,49.400,4,0.000,0.000,0
8.240,-622.850,7.226,-415.937,38.338,49.400,4,0.000,0.000,0
8.344,-623.031,7.247,-412.092,38.607,49.400,4,0.000,0.000,0
8.446,-623.211,7.268,-408.220,38.869,49.400,4,0.000,0.000,0
8.546,-623.387,7.288,-404.321,39.124,49.400,4,0.000,0.000,0
8.681,-623.620,7.318,-398.821,39.468,49.400,4,0.000,0.000,0
8.783,-623.771,7.338,-394.863,39.706,49.400,4,0.000,0.000,0
8.885,-623.907,7.359,-390.881,39.937,49.400,4,0.000,0.000,0
8.988,-624.028,7.380,-386.875,40.162,49.400,4,0.000,0.000,0
9.093,-624.135,7.400,-382.847,40.381,49.400,4,0.000,0.000,0
9.202,-624.248,7.425,-377.985,40.636,49.400,4,0.000,0.000,0
9.303,-624.331,7.446,-373.910,40.842,49.400,4,0.000,0.000,0
9.403,-624.407,7.466,-369.814,41.043,49.400,4,0.000,0.000,0
9.534,-624.492,7.490,-364.873,41.276,49.400,4,0.000,0.000,0
9.635,-624.560,7.510,-360.735,41.465,49.400,4,0.000,0.000,0
9.740,-624.640,7.534,-355.744,41.685,49.400,4,0.000,0.000,0
9.863,-624.720,7.557,-350.728,41.897,49.400,4,0.000,0.000,0
9.998,-624.813,7.585,-344.844,42.137,49.400,4,0.000,0.000,0
