time,name,streetDistance,routeIsStreet,recoveries,x,y,z
3.00,Traffic 1,2.662,True,0,533.60,58.38,-182.65
3.00,Traffic 2,2.679,True,0,-1.11,34.60,-497.87
3.00,Traffic 3,2.680,True,0,-624.53,8.68,-47.06
3.00,Traffic 4,2.150,True,0,-20.41,8.52,530.88
4.00,Traffic 1,2.680,True,0,536.34,54.54,-189.43
4.00,Traffic 2,2.702,True,0,-1.09,33.91,-491.01
4.00,Traffic 3,2.800,True,0,-624.52,8.70,-40.55
4.00,Traffic 4,2.147,True,0,-26.94,8.52,530.88
5.00,Traffic 1,2.648,True,0,541.30,47.28,-202.27
5.00,Traffic 2,2.739,True,0,-1.23,32.49,-475.59
5.00,Traffic 3,3.249,True,0,-624.32,8.76,-25.08
5.00,Traffic 4,2.136,True,0,-44.16,8.54,530.95
6.00,Traffic 1,2.628,True,0,545.94,40.72,-215.57
6.00,Traffic 2,2.679,True,0,-1.16,31.62,-459.74
6.00,Traffic 3,3.338,True,0,-624.52,8.83,-8.74
6.00,Traffic 4,2.146,True,0,-69.14,8.59,531.10
7.26,Traffic 1,2.608,True,0,551.22,34.68,-233.25
7.26,Traffic 2,2.549,True,0,-0.15,32.12,-442.24
7.26,Traffic 3,3.269,True,0,-624.97,8.92,11.73
7.26,Traffic 4,2.167,True,0,-104.79,8.72,531.16
8.26,Traffic 1,2.631,True,0,554.91,31.41,-248.01
8.26,Traffic 2,2.653,True,0,1.11,33.86,-427.03
8.26,Traffic 3,3.258,True,0,-625.28,8.98,28.17
8.26,Traffic 4,2.149,True,0,-133.60,8.90,531.14
9.26,Traffic 1,2.570,True,0,557.54,29.54,-262.83
9.26,Traffic 2,2.687,True,0,2.52,36.25,-411.56
9.26,Traffic 3,3.264,True,0,-625.58,9.05,44.52
9.26,Traffic 4,2.145,True,0,-162.26,9.11,531.17
10.26,Traffic 1,2.484,True,0,558.67,28.31,-278.24
10.26,Traffic 2,2.659,True,0,4.27,38.64,-396.12
10.26,Traffic 3,3.266,True,0,-625.88,9.12,60.87
10.26,Traffic 4,2.145,True,0,-190.94,9.31,531.28
11.26,Traffic 1,2.486,True,0,558.02,26.97,-293.67
11.26,Traffic 2,2.629,True,0,6.73,40.38,-380.64
11.26,Traffic 3,3.220,True,0,-626.23,9.19,77.22
11.26,Traffic 4,2.143,True,0,-219.60,9.49,531.47
12.26,Traffic 1,2.409,True,0,555.46,25.99,-308.90
12.26,Traffic 2,2.575,True,0,10.09,40.63,-365.08
12.26,Traffic 3,2.792,True,0,-626.97,9.26,93.55
12.26,Traffic 4,2.141,True,0,-248.25,9.61,531.79
13.26,Traffic 1,2.506,True,0,551.70,25.42,-323.90
13.26,Traffic 2,2.626,True,0,14.09,39.50,-349.70
13.26,Traffic 3,2.619,True,0,-627.43,9.32,109.88
13.26,Traffic 4,2.139,True,0,-276.90,9.65,532.28
14.26,Traffic 1,2.636,True,0,547.74,25.22,-338.88
14.26,Traffic 2,2.627,True,0,18.71,37.76,-334.54
14.26,Traffic 3,2.654,True,0,-627.68,9.39,126.24
14.26,Traffic 4,2.130,True,0,-305.58,9.60,532.98
15.26,Traffic 1,2.719,True,0,544.36,25.39,-354.01
15.26,Traffic 2,2.586,True,0,24.41,36.08,-319.77
15.26,Traffic 3,2.684,True,0,-627.92,9.45,142.58
15.26,Traffic 4,2.136,True,0,-334.25,9.48,533.89
16.26,Traffic 1,2.809,True,0,542.11,25.97,-369.35
16.26,Traffic 2,2.414,True,0,32.16,35.72,-305.95
16.26,Traffic 3,2.683,True,0,-628.17,9.51,158.93
16.26,Traffic 4,2.143,True,0,-362.94,9.31,534.91
17.26,Traffic 1,2.820,True,0,540.95,27.34,-384.67
17.26,Traffic 2,2.267,True,0,42.61,38.88,-294.81
17.26,Traffic 3,2.678,True,0,-628.41,9.56,175.27
17.26,Traffic 4,2.147,True,0,-391.62,9.12,535.98
18.26,Traffic 1,2.749,True,0,540.34,29.14,-399.92
18.26,Traffic 2,2.103,True,0,55.71,43.28,-288.05
18.26,Traffic 3,2.677,True,0,-628.62,9.61,191.63
18.26,Traffic 4,2.150,True,0,-420.31,8.93,537.06
19.26,Traffic 1,2.697,True,0,539.79,31.02,-415.14
19.26,Traffic 2,2.202,True,0,71.14,44.69,-285.57
19.26,Traffic 3,2.675,True,0,-628.79,9.65,207.98
19.26,Traffic 4,2.154,True,0,-448.99,8.75,538.10
20.26,Traffic 1,2.669,True,0,538.93,32.65,-430.39
20.26,Traffic 2,2.247,True,0,86.96,42.89,-286.50
20.26,Traffic 3,2.679,True,0,-628.98,9.68,224.32
20.26,Traffic 4,2.186,True,0,-477.66,8.63,539.03
21.26,Traffic 1,2.635,True,0,537.30,33.63,-445.72
21.26,Traffic 2,2.437,True,0,102.43,40.39,-289.41
21.26,Traffic 3,2.687,True,0,-629.21,9.71,240.66
21.26,Traffic 4,2.130,True,0,-506.31,8.71,540.34
22.26,Traffic 1,2.529,True,0,534.48,33.25,-460.98
22.26,Traffic 2,2.575,True,0,117.75,38.33,-293.21
22.26,Traffic 3,2.686,True,0,-629.48,9.73,257.01
22.26,Traffic 4,2.153,True,0,-534.92,8.74,542.23
23.26,Traffic 1,2.573,True,0,530.67,31.56,-475.94
23.26,Traffic 2,2.625,True,0,133.04,37.60,-297.44
23.26,Traffic 3,2.682,True,0,-629.78,9.75,273.36
23.26,Traffic 4,2.215,True,0,-561.81,8.74,543.52
24.26,Traffic 1,2.595,True,0,526.05,29.08,-490.56
24.26,Traffic 2,2.652,True,0,147.25,38.89,-301.70
24.26,Traffic 3,2.680,True,0,-630.07,9.77,289.71
24.26,Traffic 4,2.231,True,0,-581.35,8.74,542.81
25.26,Traffic 1,2.573,True,0,520.45,26.36,-504.77
25.26,Traffic 2,2.637,True,0,161.27,41.30,-306.37
25.26,Traffic 3,2.677,True,0,-630.32,9.77,306.05
25.26,Traffic 4,2.269,True,0,-593.39,8.74,540.45
26.26,Traffic 1,2.507,True,0,513.99,24.45,-517.29
26.26,Traffic 2,2.617,True,0,175.67,44.04,-311.87
26.26,Traffic 3,2.675,True,0,-630.52,9.77,322.39
26.26,Traffic 4,2.036,True,0,-602.05,8.74,536.20
27.26,Traffic 1,2.538,True,0,505.56,23.64,-529.60
27.26,Traffic 2,2.610,True,0,189.95,46.11,-318.20
27.26,Traffic 3,2.671,True,0,-630.61,9.77,338.77
27.26,Traffic 4,2.673,True,0,-608.31,8.65,527.74
28.28,Traffic 1,2.598,True,0,497.03,23.26,-538.30
28.28,Traffic 2,2.622,True,0,204.06,46.66,-325.50
28.28,Traffic 3,2.666,True,0,-630.56,9.75,355.11
28.28,Traffic 4,4.166,True,0,-611.29,8.59,511.68
29.28,Traffic 1,2.532,True,0,488.80,23.27,-542.45
29.28,Traffic 2,2.525,True,0,217.58,45.38,-333.87
29.28,Traffic 3,2.661,True,0,-630.29,9.73,371.45
29.28,Traffic 4,2.478,True,0,-613.59,8.70,495.06
30.28,Traffic 1,0.864,True,0,478.84,24.38,-540.27
30.28,Traffic 2,2.551,True,0,230.56,43.16,-343.09
30.28,Traffic 3,2.653,True,0,-629.71,9.69,387.93
30.28,Traffic 4,2.253,True,0,-618.59,8.91,478.89
31.28,Traffic 1,0.747,True,0,470.23,26.17,-528.32
31.28,Traffic 2,2.625,True,0,243.14,40.59,-352.57
31.28,Traffic 3,2.642,True,0,-628.70,9.64,404.25
31.28,Traffic 4,2.674,True,0,-623.80,9.14,462.92
32.28,Traffic 1,2.277,True,0,464.61,27.98,-514.15
32.28,Traffic 2,2.666,True,0,255.71,38.06,-362.03
32.28,Traffic 3,2.613,True,0,-627.04,9.56,420.52
32.28,Traffic 4,2.819,True,0,-627.93,9.34,446.64
33.28,Traffic 1,2.885,True,0,457.80,29.74,-500.51
33.28,Traffic 2,2.683,True,0,268.57,36.07,-371.19
33.28,Traffic 3,2.591,True,0,-624.55,9.43,436.67
33.28,Traffic 4,2.795,True,0,-630.97,9.49,430.14
34.28,Traffic 1,2.945,True,0,449.53,31.45,-487.67
34.28,Traffic 2,2.793,True,0,282.02,35.74,-379.59
34.28,Traffic 3,2.582,True,0,-621.18,9.25,452.66
34.28,Traffic 4,2.769,True,0,-633.12,9.60,413.50
35.28,Traffic 1,2.718,True,0,440.93,33.40,-475.13
35.28,Traffic 2,2.726,True,0,295.71,38.16,-386.99
35.28,Traffic 3,2.578,True,0,-616.94,9.04,468.45
35.28,Traffic 4,2.766,True,0,-634.50,9.67,396.79
36.28,Traffic 1,2.642,True,0,432.44,35.35,-462.51
36.28,Traffic 2,2.767,True,0,309.64,41.74,-392.95
36.28,Traffic 3,2.584,True,0,-612.04,8.82,484.03
36.28,Traffic 4,2.745,True,0,-635.28,9.71,380.03
37.28,Traffic 1,2.675,True,0,423.90,37.10,-449.86
37.28,Traffic 2,2.719,True,0,324.90,42.48,-396.92
37.28,Traffic 3,2.551,True,0,-607.09,8.65,499.61
37.28,Traffic 4,2.720,True,0,-635.68,9.74,363.26
38.28,Traffic 1,2.705,True,0,415.01,38.37,-437.34
38.28,Traffic 2,3.213,True,0,340.47,38.96,-397.30
