time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,294.947,71.360,273.855,23.175,27.000,2,0.000,0.000,0
0.115,292.353,69.838,275.314,27.010,27.000,0,0.000,0.000,0
0.215,290.191,68.473,276.518,27.857,27.000,0,0.000,0.000,0
0.315,288.044,67.007,277.715,27.993,21.991,0,0.000,0.000,0
0.415,285.909,65.444,278.903,27.700,22.681,0,0.000,0.000,0
0.515,283.786,63.788,280.085,27.231,21.253,0,0.000,0.000,0
0.615,281.778,62.498,281.533,27.397,19.900,1,0.000,0.000,0
0.715,279.795,61.327,283.111,27.411,19.979,0,0.000,0.000,0
0.815,277.825,60.149,284.734,24.676,18.142,1,0.000,0.000,0
0.915,275.874,59.234,286.544,20.903,18.485,0,0.000,0.000,0
1.035,273.476,57.841,288.502,19.971,18.142,0,0.000,0.000,0
1.155,271.029,56.345,290.403,20.209,18.485,0,0.000,0.000,0
1.275,268.538,54.759,292.286,21.317,20.671,0,0.000,0.000,0
1.395,266.016,53.082,294.180,22.949,27.000,0,0.000,0.000,0
1.515,263.476,51.301,296.105,24.823,27.000,0,0.000,0.000,0
1.635,261.215,50.868,296.805,14.373,27.000,4,0.000,0.000,0
1.735,260.774,50.932,296.196,7.101,27.000,0,0.000,0.000,0
1.855,260.442,50.854,295.423,6.598,27.000,0,0.000,0.000,0
1.975,260.153,50.720,294.667,5.371,27.000,0,0.000,0.000,0
2.095,260.159,50.550,293.874,5.697,27.000,0,0.000,0.000,0
2.215,260.199,50.233,293.091,6.353,27.000,0,0.000,0.000,0
2.335,260.245,49.903,292.326,4.554,27.000,0,0.000,0.000,0
2.455,260.270,49.748,291.596,5.675,27.000,0,0.000,0.000,0
2.555,260.300,49.601,291.092,1.769,27.000,0,0.000,0.000,0
2.675,260.334,49.455,291.106,0.301,27.000,0,0.000,0.000,0
2.795,260.364,49.221,291.134,-0.048,27.000,0,0.000,0.000,0
2.915,260.376,49.143,291.152,0.000,27.000,0,0.000,0.000,0
3.035,260.376,49.143,291.152,0.000,27.000,0,0.000,0.000,0
3.155,260.372,49.146,291.152,0.000,27.000,0,0.000,0.000,0
3.255,260.364,49.152,291.151,0.000,27.000,0,0.000,0.000,0
3.375,260.352,49.160,291.151,0.006,27.000,0,0.000,0.000,0
3.495,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
3.615,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
3.735,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
3.855,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
3.975,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
4.075,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
4.195,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
4.315,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
4.435,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
4.555,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
4.675,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
4.795,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
4.895,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
5.015,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
5.135,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
5.255,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
5.375,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
5.495,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
5.615,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
5.715,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
5.835,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
5.955,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
6.075,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
6.195,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
6.315,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
6.435,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
6.535,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
6.655,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
6.775,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
6.895,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
7.015,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
7.135,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
7.235,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
7.355,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
7.475,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
7.595,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
7.715,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
7.835,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
7.955,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
8.055,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
8.175,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
8.295,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
8.415,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
8.535,260.351,49.162,291.150,0.000,27.000,0,0.000,0.000,0
