time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,217.232,53.320,295.134,29.828,32.000,4,0.000,0.000,0
0.106,214.187,53.000,295.072,30.613,32.000,0,0.000,0.000,0
0.206,211.125,52.601,295.011,30.725,15.336,0,0.000,0.000,0
0.309,208.235,52.167,294.952,28.114,15.336,4,0.000,0.000,0
0.410,205.611,51.781,294.911,25.492,15.336,4,0.000,0.000,0
0.512,203.244,51.494,294.926,22.815,13.233,4,0.000,0.000,0
0.615,201.136,51.302,295.035,20.108,13.385,4,0.000,0.000,0
0.720,198.968,51.145,295.291,16.856,14.308,4,0.000,0.000,0
0.821,197.417,51.024,295.598,15.293,13.940,4,0.000,0.000,0
0.922,196.002,50.897,295.989,14.384,13.706,4,0.000,0.000,0
1.028,194.684,50.780,296.437,13.785,14.308,4,0.000,0.000,0
1.129,193.348,50.694,296.929,14.833,20.188,3,0.000,0.000,0
1.231,191.895,50.618,297.529,16.101,21.883,2,0.000,0.000,0
1.335,190.362,50.419,298.125,16.096,23.834,0,0.000,0.000,0
1.436,188.838,50.075,298.692,16.061,23.834,0,0.000,0.000,0
1.537,187.267,49.751,299.129,16.607,28.877,4,0.000,0.000,0
1.639,185.190,49.607,299.326,17.936,32.000,4,0.000,0.000,0
1.739,183.337,49.550,299.266,18.947,32.000,4,0.000,0.000,0
1.842,181.409,49.507,298.940,19.883,32.000,4,0.000,0.000,0
1.945,179.461,49.446,298.315,20.780,32.000,4,0.000,0.000,0
2.047,177.539,49.371,297.382,21.691,32.000,4,0.000,0.000,0
2.149,175.658,49.220,296.189,22.161,32.000,0,0.000,0.000,0
2.252,173.788,48.965,294.965,21.808,32.000,0,0.000,0.000,0
2.354,171.923,48.612,293.743,21.291,32.000,0,0.000,0.000,0
2.454,170.177,48.197,292.359,22.097,32.000,3,0.000,0.000,0
2.557,168.618,47.873,290.739,22.915,32.000,4,0.000,0.000,0
2.659,167.237,47.713,288.835,23.947,32.000,4,0.000,0.000,0
2.759,165.671,47.580,286.319,25.236,32.000,4,0.000,0.000,0
2.859,164.381,47.460,284.079,26.280,32.000,4,0.000,0.000,0
2.961,163.006,47.720,282.401,19.117,32.000,2,0.000,0.000,0
3.065,161.688,48.436,281.240,19.585,32.000,0,0.000,0.000,0
3.166,160.383,49.042,280.053,18.209,32.000,0,0.000,0.000,0
3.269,159.086,49.550,278.844,15.485,32.000,0,0.000,0.000,0
3.373,157.795,49.966,277.616,12.108,32.000,0,0.000,0.000,0
3.475,156.505,50.294,276.378,8.656,32.000,0,0.000,0.000,0
3.577,155.216,50.535,275.132,5.310,32.000,0,0.000,0.000,0
3.678,153.928,50.687,273.884,2.290,32.000,0,0.000,0.000,0
3.781,152.382,50.753,272.386,-0.535,32.000,0,0.000,0.000,0
3.881,151.093,50.709,271.139,-2.915,32.000,0,0.000,0.000,0
3.985,149.805,50.575,269.894,-5.069,32.000,0,0.000,0.000,0
4.089,148.516,50.349,268.651,-6.990,32.000,0,0.000,0.000,0
4.191,147.227,50.031,267.411,-8.674,32.000,0,0.000,0.000,0
4.294,145.980,49.830,266.238,-9.857,32.000,0,0.000,0.000,0
4.398,144.757,49.789,265.094,-10.246,32.000,0,0.000,0.000,0
4.502,143.345,49.774,263.740,-11.052,32.000,0,0.000,0.000,0
4.607,142.181,49.775,262.620,-11.573,32.000,0,0.000,0.000,0
4.711,141.046,49.865,261.551,-11.209,32.000,0,0.000,0.000,0
4.814,139.936,50.003,260.516,-10.747,32.000,0,0.000,0.000,0
4.919,138.621,50.110,259.299,-10.306,32.000,0,0.000,0.000,0
5.021,137.526,50.105,258.288,-9.711,32.000,0,0.000,0.000,0
5.123,136.453,50.174,257.305,-9.327,32.000,0,0.000,0.000,0
5.227,135.402,50.281,256.340,-9.113,32.000,0,0.000,0.000,0
5.328,134.342,50.334,255.406,-8.926,32.000,0,0.000,0.000,0
5.442,133.066,50.274,254.289,-8.463,32.000,0,0.000,0.000,0
5.547,131.985,50.320,253.432,-7.905,32.000,0,0.000,0.000,0
5.647,130.913,50.334,252.597,-7.594,32.000,1,0.000,0.000,0
5.750,129.901,50.370,251.768,-8.038,32.000,1,0.000,0.000,0
5.852,128.938,50.385,250.971,-8.021,32.000,1,0.000,0.000,0
5.953,127.999,50.361,250.197,-7.716,32.000,1,0.000,0.000,0
6.056,127.202,50.290,249.543,-5.218,32.000,2,0.000,0.000,0
6.158,126.731,50.213,249.173,-2.279,32.000,4,0.000,0.000,0
6.262,126.523,50.127,249.098,0.645,32.000,4,0.000,0.000,0
6.367,126.461,50.060,249.266,2.572,32.000,4,0.000,0.000,0
6.468,126.420,49.987,249.626,4.433,32.000,4,0.000,0.000,0
6.571,126.385,49.898,250.169,6.233,32.000,4,0.000,0.000,0
6.673,126.353,49.784,250.888,7.973,32.000,4,0.000,0.000,0
6.773,126.328,49.641,251.776,9.656,32.000,4,0.000,0.000,0
6.873,126.316,49.469,252.826,11.284,32.000,4,0.000,0.000,0
6.975,126.322,49.271,254.033,12.858,32.000,4,0.000,0.000,0
7.075,126.353,49.050,255.393,14.379,32.000,4,0.000,0.000,0
7.176,126.414,48.810,256.900,15.849,32.000,4,0.000,0.000,0
7.277,126.514,48.554,258.548,17.267,32.000,4,0.000,0.000,0
7.377,126.661,48.285,260.332,18.636,32.000,4,0.000,0.000,0
7.480,126.911,47.946,262.642,20.217,32.000,4,0.000,0.000,0
7.584,127.192,47.663,264.701,21.476,32.000,4,0.000,0.000,0
7.685,127.550,47.436,266.860,22.610,32.000,4,0.000,0.000,0
7.787,128.016,47.312,269.128,23.630,32.000,4,0.000,0.000,0
7.890,128.511,47.199,271.496,24.717,32.000,4,0.000,0.000,0
7.991,129.076,47.123,273.962,25.769,32.000,4,0.000,0.000,0
8.093,129.735,47.059,276.514,26.767,32.000,4,0.000,0.000,0
8.194,130.502,46.956,279.140,27.731,32.000,4,0.000,0.000,0
8.296,131.393,46.792,281.822,28.666,32.000,4,0.000,0.000,0
8.397,132.431,46.598,284.545,29.562,32.000,4,0.000,0.000,0
8.501,133.905,46.373,287.845,30.584,32.000,4,0.000,0.000,0
8.601,135.332,46.167,290.588,31.134,32.000,2,0.000,0.000,0
8.705,136.829,45.878,293.312,30.990,32.000,0,0.000,0.000,0
8.807,137.373,45.501,294.653,0.295,32.000,0,0.000,0.000,0
8.910,137.237,45.283,294.816,0.038,32.000,2,0.000,0.000,0
9.012,137.220,45.147,294.877,0.024,32.000,3,0.000,0.000,0
9.119,137.205,45.109,294.899,0.000,32.000,4,0.000,0.000,0
9.224,137.200,45.109,294.909,-0.002,32.000,4,0.000,0.000,0
9.329,137.195,45.109,294.917,0.002,32.000,4,0.000,0.000,0
9.433,137.189,45.109,294.925,0.001,32.000,4,0.000,0.000,0
9.535,137.184,45.109,294.933,0.001,32.000,4,0.000,0.000,0
9.638,137.179,45.109,294.941,0.002,32.000,4,0.000,0.000,0
9.741,137.173,45.109,294.950,0.002,32.000,4,0.000,0.000,0
9.843,137.168,45.109,294.957,0.002,32.000,4,0.000,0.000,0
9.947,137.164,45.109,294.964,0.002,32.000,4,0.000,0.000,0
10.049,137.160,45.109,294.971,0.003,32.000,4,0.000,0.000,0
10.149,137.156,45.109,294.977,0.003,32.000,4,0.000,0.000,0
10.252,137.152,45.109,294.983,0.002,32.000,4,0.000,0.000,0
10.354,137.148,45.108,294.989,-0.002,32.000,4,0.000,0.000,0
10.454,137.145,45.107,294.994,-0.002,32.000,4,0.000,0.000,0
10.557,137.141,45.106,294.999,-0.002,32.000,4,0.000,0.000,0
10.660,137.137,45.103,295.004,-0.002,32.000,4,0.000,0.000,0
10.764,137.134,45.101,295.009,-0.002,32.000,4,0.000,0.000,0
10.866,137.130,45.099,295.013,-0.003,32.000,4,0.000,0.000,0
10.969,137.127,45.097,295.018,-0.002,32.000,4,0.000,0.000,0
11.071,137.124,45.095,295.022,-0.002,32.000,4,0.000,0.000,0
11.171,137.122,45.093,295.026,-0.003,32.000,4,0.000,0.000,0
11.273,137.119,45.092,295.030,-0.002,32.000,4,0.000,0.000,0
11.376,137.116,45.090,295.034,-0.003,32.000,4,0.000,0.000,0
