time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,217.232,53.320,295.134,26.846,29.000,2,0.000,0.000,0
0.117,213.926,52.962,295.066,27.718,29.000,0,0.000,0.000,0
0.217,211.154,52.577,295.005,27.961,21.289,4,0.000,0.000,0
0.317,208.542,52.176,294.925,25.348,21.289,4,0.000,0.000,0
0.437,205.728,51.778,294.827,22.828,21.289,4,0.000,0.000,0
0.537,203.528,51.534,294.762,21.706,20.365,4,0.000,0.000,0
0.637,201.430,51.340,294.724,20.843,19.225,4,0.000,0.000,0
0.737,199.409,51.156,294.710,20.106,20.266,4,0.000,0.000,0
0.857,196.983,50.908,294.702,20.484,19.694,4,0.000,0.000,0
0.957,194.975,50.680,294.677,20.174,20.493,4,0.000,0.000,0
1.057,192.972,50.451,294.604,20.160,21.031,4,0.000,0.000,0
1.177,190.498,50.202,294.411,21.357,25.489,4,0.000,0.000,0
1.277,188.318,50.002,294.122,22.494,29.000,4,0.000,0.000,0
1.377,186.050,49.786,293.685,23.580,29.000,4,0.000,0.000,0
1.477,183.711,49.573,293.081,24.616,29.000,4,0.000,0.000,0
1.597,180.834,49.312,292.113,25.809,29.000,4,0.000,0.000,0
1.697,178.403,49.084,291.109,26.778,29.000,4,0.000,0.000,0
1.797,175.925,48.891,289.939,27.337,29.000,1,0.000,0.000,0
1.917,172.926,49.046,288.683,24.639,29.000,0,0.000,0.000,0
2.017,170.492,49.103,287.595,24.756,29.000,0,0.000,0.000,0
2.117,168.073,49.057,286.495,24.845,29.000,0,0.000,0.000,0
2.217,165.667,48.915,285.385,24.867,29.000,0,0.000,0.000,0
2.337,162.793,48.623,284.042,24.782,29.000,0,0.000,0.000,0
2.437,160.407,48.280,282.920,24.612,29.000,0,0.000,0.000,0
2.537,158.027,47.848,281.796,24.351,29.000,0,0.000,0.000,0
2.657,155.177,47.210,280.449,23.921,29.000,0,0.000,0.000,0
2.757,152.806,46.596,279.332,23.688,29.000,0,0.000,0.000,0
2.857,150.459,46.371,278.338,23.422,29.000,0,0.000,0.000,0
2.957,148.142,46.350,277.425,23.068,29.000,0,0.000,0.000,0
3.077,145.384,46.358,276.387,22.607,29.000,0,0.000,0.000,0
3.177,143.108,46.388,275.560,22.245,29.000,0,0.000,0.000,0
3.277,140.860,46.452,274.761,21.954,29.000,0,0.000,0.000,0
3.397,138.188,46.528,273.841,21.565,29.000,0,0.000,0.000,0
3.497,136.000,46.640,273.092,21.329,29.000,0,0.000,0.000,0
3.597,135.569,46.704,273.327,0.329,29.000,0,0.000,0.000,0
3.697,135.507,46.698,273.677,1.219,29.000,0,0.000,0.000,0
3.817,135.433,46.603,274.069,1.975,29.000,0,0.000,0.000,0
3.917,135.368,46.591,274.367,2.358,29.000,0,0.000,0.000,0
4.017,135.296,46.571,274.646,2.617,29.000,0,0.000,0.000,0
4.137,135.208,46.559,274.967,2.646,29.000,0,0.000,0.000,0
4.237,135.137,46.555,275.224,2.571,29.000,0,0.000,0.000,0
4.337,135.069,46.554,275.472,2.448,29.000,0,0.000,0.000,0
4.457,134.990,46.558,275.758,2.279,29.000,0,0.000,0.000,0
4.557,134.919,46.560,275.976,2.166,29.000,0,0.000,0.000,0
4.657,134.842,46.567,276.173,2.021,29.000,0,0.000,0.000,0
4.757,134.758,46.578,276.346,1.865,29.000,2,0.000,0.000,0
4.877,134.546,46.602,276.627,3.736,29.000,2,0.000,0.000,0
4.977,134.256,46.612,276.992,5.278,29.000,2,0.000,0.000,0
5.077,133.881,46.606,277.486,6.825,29.000,4,0.000,0.000,0
5.197,133.339,46.607,278.265,8.666,29.000,4,0.000,0.000,0
5.297,132.800,46.643,279.054,10.147,29.000,4,0.000,0.000,0
5.397,132.175,46.698,279.960,11.582,29.000,4,0.000,0.000,0
5.497,131.463,46.755,280.976,12.972,29.000,4,0.000,0.000,0
5.617,130.496,46.817,282.335,14.581,29.000,4,0.000,0.000,0
5.717,129.594,46.867,283.577,15.873,29.000,4,0.000,0.000,0
5.817,128.604,46.919,284.912,17.122,29.000,4,0.000,0.000,0
5.937,127.289,46.943,286.632,18.583,29.000,2,0.000,0.000,0
6.037,126.125,46.871,288.122,18.813,29.000,0,0.000,0.000,0
