time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,244.954,56.367,293.297,31.800,32.000,2,0.000,0.000,0
0.116,241.180,55.944,293.989,31.976,32.000,0,0.000,0.000,0
0.216,238.045,55.505,294.555,31.770,32.000,4,0.000,0.000,0
0.316,234.929,55.021,295.041,31.901,32.000,4,0.000,0.000,0
0.416,231.813,54.563,295.429,31.758,32.000,4,0.000,0.000,0
0.516,228.668,54.178,295.713,31.878,32.000,4,0.000,0.000,0
0.616,225.508,53.866,295.893,31.687,32.000,4,0.000,0.000,0
0.716,222.343,53.591,295.973,31.824,32.000,4,0.000,0.000,0
0.816,219.167,53.309,295.961,31.910,32.000,4,0.000,0.000,0
0.916,216.008,53.003,295.871,31.749,32.000,4,0.000,0.000,0
1.016,212.846,52.670,295.711,31.868,32.000,4,0.000,0.000,0
1.116,209.691,52.322,295.493,31.683,32.000,4,0.000,0.000,0
1.216,206.544,51.972,295.225,31.831,32.000,4,0.000,0.000,0
1.316,203.389,51.628,294.913,31.924,32.000,4,0.000,0.000,0
1.416,200.253,51.288,294.569,31.786,32.000,4,0.000,0.000,0
1.516,197.109,50.942,294.192,31.898,32.000,4,0.000,0.000,0
1.616,193.975,50.599,293.790,31.730,32.000,4,0.000,0.000,0
1.716,190.840,50.273,293.362,31.860,32.000,4,0.000,0.000,0
1.816,187.702,49.957,292.908,31.654,32.000,4,0.000,0.000,0
1.916,184.580,49.640,292.431,31.812,32.000,4,0.000,0.000,0
2.016,181.448,49.332,291.928,31.908,32.000,4,0.000,0.000,0
2.116,178.331,49.027,291.406,31.751,32.000,4,0.000,0.000,0
2.216,175.211,48.706,290.860,31.870,32.000,4,0.000,0.000,0
2.316,172.100,48.368,290.288,31.686,32.000,4,0.000,0.000,0
2.416,168.997,48.027,289.692,31.832,32.000,4,0.000,0.000,0
2.516,165.887,47.692,289.069,31.924,32.000,4,0.000,0.000,0
2.616,162.799,47.367,288.425,31.783,32.000,4,0.000,0.000,0
2.716,159.701,47.049,287.754,31.892,32.000,4,0.000,0.000,0
2.816,156.616,46.734,287.059,31.722,32.000,4,0.000,0.000,0
2.916,153.535,46.429,286.339,31.852,32.000,4,0.000,0.000,0
3.016,150.449,46.166,285.592,31.928,32.000,4,0.000,0.000,0
3.116,147.392,46.009,284.833,31.719,32.000,4,0.000,0.000,0
3.216,144.319,45.975,284.052,31.793,32.000,4,0.000,0.000,0
3.316,141.244,46.028,283.247,31.828,32.000,4,0.000,0.000,0
3.416,138.174,46.131,282.417,31.844,32.000,4,0.000,0.000,0
3.516,135.122,46.285,281.566,31.585,30.364,4,0.000,0.000,0
3.616,132.174,46.516,280.723,30.276,30.364,4,0.000,0.000,0
3.716,129.296,46.822,279.878,29.993,29.000,4,0.000,0.000,0
3.816,126.526,47.176,279.043,28.807,29.000,4,0.000,0.000,0
3.916,123.807,47.566,278.195,28.761,29.000,4,0.000,0.000,0
4.016,121.108,47.999,277.323,28.717,29.000,4,0.000,0.000,0
4.116,118.449,48.525,276.451,28.651,29.000,2,0.000,0.000,0
4.216,115.778,49.073,275.553,28.496,29.000,0,0.000,0.000,0
4.316,113.107,49.520,274.647,28.251,29.000,0,0.000,0.000,0
4.416,110.443,49.866,273.744,28.014,29.000,0,0.000,0.000,0
4.516,107.784,50.113,272.844,27.800,29.000,0,0.000,0.000,0
4.616,105.133,50.260,271.947,27.624,29.000,0,0.000,0.000,0
4.716,102.489,50.309,271.054,27.496,29.000,0,0.000,0.000,0
4.816,99.853,50.259,270.165,27.421,32.000,0,0.000,0.000,0
4.916,97.223,50.112,269.278,27.397,32.000,0,0.000,0.000,0
5.016,94.601,49.867,268.395,27.413,32.000,0,0.000,0.000,0
5.116,91.987,49.526,267.515,27.454,32.000,0,0.000,0.000,0
5.216,89.379,49.087,266.638,27.503,32.000,0,0.000,0.000,0
5.316,86.778,48.552,265.763,27.538,32.000,0,0.000,0.000,0
5.416,84.183,47.920,264.891,27.541,32.000,0,0.000,0.000,0
