time,name,streetDistance,routeIsStreet,recoveries,x,y,z
3.00,Traffic 1,2.662,True,0,533.60,58.38,-182.65
3.00,Traffic 2,2.679,True,0,-1.11,34.60,-497.87
3.00,Traffic 3,2.680,True,0,-624.53,8.68,-47.06
3.00,Traffic 4,2.150,True,0,-20.41,8.52,530.88
4.00,Traffic 1,2.680,True,0,536.30,54.59,-189.35
4.00,Traffic 2,2.702,True,0,-1.09,33.92,-491.11
4.00,Traffic 3,2.797,True,0,-624.52,8.70,-40.63
4.00,Traffic 4,2.147,True,0,-26.85,8.52,530.88
5.00,Traffic 1,2.648,True,0,541.26,47.33,-202.18
5.00,Traffic 2,2.739,True,0,-1.23,32.50,-475.70
5.00,Traffic 3,3.247,True,0,-624.32,8.76,-25.20
5.00,Traffic 4,2.136,True,0,-44.01,8.54,530.94
6.00,Traffic 1,2.628,True,0,545.94,40.73,-215.56
6.00,Traffic 2,2.679,True,0,-1.16,31.62,-459.74
6.00,Traffic 3,3.338,True,0,-624.52,8.83,-8.75
6.00,Traffic 4,2.146,True,0,-69.13,8.59,531.10
7.00,Traffic 1,2.597,True,0,550.20,35.73,-229.60
7.00,Traffic 2,2.543,True,0,-0.40,31.87,-445.48
7.00,Traffic 3,3.279,True,0,-624.88,8.90,7.58
7.00,Traffic 4,2.168,True,0,-97.52,8.68,531.17
8.00,Traffic 1,2.633,True,0,554.03,32.11,-244.16
8.00,Traffic 2,2.626,True,0,0.77,33.31,-431.05
8.00,Traffic 3,3.257,True,0,-625.20,8.97,23.94
8.00,Traffic 4,2.153,True,0,-126.17,8.85,531.14
9.00,Traffic 1,2.595,True,0,556.97,29.94,-258.87
9.00,Traffic 2,2.687,True,0,2.13,35.60,-415.56
9.00,Traffic 3,3.262,True,0,-625.50,9.04,40.27
9.00,Traffic 4,2.145,True,0,-154.82,9.06,531.16
10.00,Traffic 1,2.500,True,0,558.54,28.62,-274.23
10.00,Traffic 2,2.667,True,0,3.76,38.05,-400.13
10.00,Traffic 3,3.266,True,0,-625.80,9.10,56.63
10.00,Traffic 4,2.145,True,0,-183.49,9.26,531.24
11.00,Traffic 1,2.511,True,0,558.37,27.31,-289.77
11.00,Traffic 2,2.637,True,0,6.02,40.04,-384.57
11.00,Traffic 3,3.262,True,0,-626.11,9.17,73.08
11.00,Traffic 4,2.144,True,0,-212.34,9.45,531.41
12.00,Traffic 1,2.412,True,0,556.26,26.19,-305.07
12.00,Traffic 2,2.573,True,0,9.17,40.73,-369.01
12.00,Traffic 3,2.895,True,0,-626.79,9.24,89.42
12.00,Traffic 4,2.141,True,0,-241.00,9.58,531.70
13.00,Traffic 1,2.472,True,0,552.70,25.52,-320.13
13.00,Traffic 2,2.615,True,0,13.03,39.87,-353.56
13.00,Traffic 3,2.631,True,0,-627.35,9.31,105.76
13.00,Traffic 4,2.139,True,0,-269.66,9.65,532.13
14.00,Traffic 1,2.607,True,0,548.71,25.23,-335.09
14.00,Traffic 2,2.632,True,0,17.47,38.22,-338.34
14.00,Traffic 3,2.641,True,0,-627.62,9.37,122.10
14.00,Traffic 4,2.131,True,0,-298.33,9.62,532.78
15.00,Traffic 1,2.701,True,0,545.13,25.31,-350.16
15.00,Traffic 2,2.597,True,0,22.83,36.45,-323.45
15.00,Traffic 3,2.680,True,0,-627.85,9.43,138.45
15.00,Traffic 4,2.134,True,0,-327.00,9.51,533.65
16.02,Traffic 1,2.786,True,0,542.56,25.75,-365.47
16.02,Traffic 2,2.504,True,0,29.95,35.54,-309.28
16.02,Traffic 3,2.684,True,0,-628.11,9.49,154.81
16.02,Traffic 4,2.142,True,0,-355.71,9.35,534.64
17.02,Traffic 1,2.831,True,0,541.16,26.94,-380.82
17.02,Traffic 2,2.303,True,0,39.74,37.79,-297.24
17.02,Traffic 3,2.679,True,0,-628.35,9.55,171.16
17.02,Traffic 4,2.146,True,0,-384.40,9.17,535.71
18.02,Traffic 1,2.767,True,0,540.46,28.68,-396.19
18.02,Traffic 2,2.131,True,0,52.25,42.34,-289.29
18.02,Traffic 3,2.677,True,0,-628.57,9.60,187.62
18.02,Traffic 4,2.149,True,0,-413.28,8.98,536.80
19.02,Traffic 1,2.707,True,0,539.93,30.56,-411.42
19.02,Traffic 2,2.149,True,0,67.24,44.73,-285.82
19.02,Traffic 3,2.677,True,0,-628.75,9.64,203.98
19.02,Traffic 4,2.153,True,0,-441.97,8.79,537.86
20.04,Traffic 1,2.674,True,0,539.16,32.33,-427.02
20.04,Traffic 2,2.223,True,0,83.50,43.41,-286.07
20.04,Traffic 3,2.676,True,0,-628.93,9.67,220.70
20.04,Traffic 4,2.171,True,0,-471.32,8.65,538.83
21.04,Traffic 1,2.647,True,0,537.76,33.50,-442.33
21.04,Traffic 2,2.392,True,0,99.03,40.94,-288.67
21.04,Traffic 3,2.686,True,0,-629.15,9.70,237.05
21.04,Traffic 4,2.105,True,0,-499.98,8.59,539.99
22.04,Traffic 1,2.534,True,0,535.20,33.47,-457.64
22.04,Traffic 2,2.555,True,0,114.37,38.71,-292.33
22.04,Traffic 3,2.686,True,0,-629.42,9.73,253.40
22.04,Traffic 4,2.138,True,0,-528.61,8.73,541.80
23.04,Traffic 1,2.561,True,0,531.58,32.02,-472.67
23.04,Traffic 2,2.615,True,0,129.67,37.60,-296.48
23.04,Traffic 3,2.683,True,0,-629.71,9.75,269.74
23.04,Traffic 4,2.204,True,0,-556.39,8.74,543.38
24.04,Traffic 1,2.595,True,0,527.14,29.67,-487.37
24.04,Traffic 2,2.649,True,0,144.56,38.51,-300.86
24.04,Traffic 3,2.681,True,0,-630.01,9.76,286.11
24.04,Traffic 4,2.228,True,0,-577.78,8.74,543.14
25.04,Traffic 1,2.580,True,0,521.78,26.94,-501.69
25.04,Traffic 2,2.641,True,0,158.08,40.70,-305.26
25.04,Traffic 3,2.678,True,0,-630.27,9.77,302.46
25.04,Traffic 4,2.250,True,0,-591.19,8.74,541.07
26.04,Traffic 1,2.535,True,0,515.44,24.74,-514.78
26.04,Traffic 2,2.620,True,0,172.53,43.47,-310.60
26.04,Traffic 3,2.675,True,0,-630.48,9.77,318.81
26.04,Traffic 4,2.102,True,0,-600.33,8.74,537.39
27.04,Traffic 1,2.496,True,0,507.56,23.68,-526.99
27.04,Traffic 2,2.611,True,0,186.83,45.75,-316.73
27.04,Traffic 3,2.672,True,0,-630.60,9.77,335.17
27.04,Traffic 4,2.283,True,0,-607.09,8.72,530.27
28.06,Traffic 1,2.597,True,0,498.80,23.38,-536.84
28.06,Traffic 2,2.614,True,0,200.99,46.71,-323.81
28.06,Traffic 3,2.667,True,0,-630.59,9.76,351.53
28.06,Traffic 4,4.222,True,0,-611.00,8.58,515.34
29.06,Traffic 1,2.616,True,0,490.74,23.16,-541.88
29.06,Traffic 2,2.541,True,0,214.67,45.77,-331.94
29.06,Traffic 3,2.662,True,0,-630.37,9.73,367.87
29.06,Traffic 4,2.811,True,0,-612.81,8.67,498.68
30.06,Traffic 1,1.340,True,0,481.30,24.05,-541.66
30.06,Traffic 2,2.535,True,0,227.78,43.69,-341.04
30.06,Traffic 3,2.655,True,0,-629.87,9.70,384.35
30.06,Traffic 4,2.182,True,0,-617.40,8.86,482.37
31.06,Traffic 1,0.649,True,0,471.63,25.77,-531.35
31.06,Traffic 2,2.611,True,0,240.39,41.17,-350.48
31.06,Traffic 3,2.645,True,0,-628.97,9.66,400.67
31.06,Traffic 4,2.598,True,0,-622.74,9.09,466.45
32.06,Traffic 1,1.967,True,0,465.89,27.59,-517.25
32.06,Traffic 2,2.660,True,0,252.92,38.59,-359.96
32.06,Traffic 3,2.620,True,0,-627.47,9.58,416.95
32.06,Traffic 4,2.811,True,0,-627.12,9.30,450.25
33.06,Traffic 1,2.843,True,0,459.45,29.36,-503.44
33.06,Traffic 2,2.680,True,0,265.69,36.42,-369.22
33.06,Traffic 3,2.596,True,0,-625.18,9.46,433.12
33.06,Traffic 4,2.802,True,0,-630.38,9.46,433.79
34.06,Traffic 1,2.965,True,0,451.42,31.05,-490.46
34.06,Traffic 2,2.786,True,0,279.01,35.58,-377.81
34.06,Traffic 3,2.583,True,0,-622.00,9.30,449.15
34.06,Traffic 4,2.773,True,0,-632.71,9.58,417.17
35.12,Traffic 1,2.752,True,0,442.38,33.06,-477.26
35.12,Traffic 2,2.737,True,0,293.39,37.59,-385.82
35.12,Traffic 3,2.577,True,0,-617.72,9.08,465.78
35.12,Traffic 4,2.767,True,0,-634.31,9.66,399.62
36.12,Traffic 1,2.642,True,0,433.86,35.03,-464.63
36.12,Traffic 2,2.750,True,0,307.23,41.21,-392.06
36.12,Traffic 3,2.581,True,0,-612.89,8.86,481.42
36.12,Traffic 4,2.750,True,0,-635.18,9.71,382.85
37.12,Traffic 1,2.669,True,0,425.31,36.84,-451.93
37.12,Traffic 2,2.732,True,0,322.32,42.70,-396.49
37.12,Traffic 3,2.581,True,0,-607.84,8.67,497.03
37.12,Traffic 4,2.723,True,0,-635.64,9.74,366.01
38.12,Traffic 1,2.701,True,0,416.50,38.21,-439.38
38.12,Traffic 2,3.148,True,0,337.96,39.71,-397.47
