time,name,streetDistance,routeIsStreet,recoveries,x,y,z
3.00,Traffic 1,2.662,True,0,533.60,58.38,-182.65
3.00,Traffic 2,2.679,True,0,-1.11,34.60,-497.87
3.00,Traffic 3,2.680,True,0,-624.53,8.68,-47.06
3.00,Traffic 4,2.150,True,0,-20.41,8.52,530.88
4.00,Traffic 1,2.680,True,0,536.41,54.44,-189.60
4.00,Traffic 2,2.703,True,0,-1.09,33.89,-490.84
4.00,Traffic 3,2.805,True,0,-624.51,8.70,-40.38
4.00,Traffic 4,2.147,True,0,-27.10,8.52,530.88
5.00,Traffic 1,2.648,True,0,541.39,47.15,-202.52
5.00,Traffic 2,2.738,True,0,-1.23,32.47,-475.29
5.00,Traffic 3,3.255,True,0,-624.32,8.77,-24.77
5.00,Traffic 4,2.136,True,0,-44.57,8.54,530.95
6.00,Traffic 1,2.628,True,0,546.02,40.61,-215.83
6.00,Traffic 2,2.678,True,0,-1.15,31.62,-459.45
6.00,Traffic 3,3.337,True,0,-624.53,8.83,-8.43
6.00,Traffic 4,2.146,True,0,-69.68,8.59,531.10
7.22,Traffic 1,2.607,True,0,551.16,34.74,-233.04
7.22,Traffic 2,2.548,True,0,-0.17,32.10,-442.43
7.22,Traffic 3,3.269,True,0,-624.96,8.91,11.50
7.22,Traffic 4,2.167,True,0,-104.39,8.72,531.16
8.22,Traffic 1,2.631,True,0,554.85,31.46,-247.72
8.22,Traffic 2,2.651,True,0,1.09,33.81,-427.33
8.22,Traffic 3,3.258,True,0,-625.28,8.98,27.84
8.22,Traffic 4,2.150,True,0,-133.03,8.90,531.14
9.22,Traffic 1,2.572,True,0,557.50,29.57,-262.53
9.22,Traffic 2,2.687,True,0,2.49,36.20,-411.86
9.22,Traffic 3,3.264,True,0,-625.58,9.05,44.19
9.22,Traffic 4,2.145,True,0,-161.69,9.11,531.17
10.22,Traffic 1,2.484,True,0,558.66,28.33,-277.94
10.22,Traffic 2,2.660,True,0,4.23,38.60,-396.43
10.22,Traffic 3,3.266,True,0,-625.88,9.12,60.55
10.22,Traffic 4,2.145,True,0,-190.37,9.31,531.27
11.22,Traffic 1,2.490,True,0,558.05,27.00,-293.36
11.22,Traffic 2,2.630,True,0,6.67,40.35,-380.94
11.22,Traffic 3,3.225,True,0,-626.22,9.19,76.90
11.22,Traffic 4,2.143,True,0,-219.03,9.48,531.47
12.22,Traffic 1,2.409,True,0,555.52,26.00,-308.61
12.22,Traffic 2,2.574,True,0,10.02,40.64,-365.38
12.22,Traffic 3,2.798,True,0,-626.95,9.26,93.24
12.22,Traffic 4,2.141,True,0,-247.70,9.61,531.78
13.22,Traffic 1,2.504,True,0,551.77,25.42,-323.63
13.22,Traffic 2,2.626,True,0,14.01,39.53,-349.97
13.22,Traffic 3,2.619,True,0,-627.43,9.32,109.58
13.22,Traffic 4,2.138,True,0,-276.38,9.65,532.27
14.22,Traffic 1,2.634,True,0,547.81,25.22,-338.60
14.22,Traffic 2,2.627,True,0,18.62,37.79,-334.82
14.22,Traffic 3,2.653,True,0,-627.67,9.39,125.93
14.22,Traffic 4,2.130,True,0,-305.05,9.60,532.97
15.22,Traffic 1,2.718,True,0,544.42,25.38,-353.72
15.22,Traffic 2,2.585,True,0,24.29,36.10,-320.04
15.22,Traffic 3,2.683,True,0,-627.91,9.45,142.27
15.22,Traffic 4,2.136,True,0,-333.72,9.48,533.87
16.22,Traffic 1,2.807,True,0,542.14,25.95,-369.06
16.22,Traffic 2,2.423,True,0,31.99,35.70,-306.20
16.22,Traffic 3,2.683,True,0,-628.16,9.51,158.63
16.22,Traffic 4,2.143,True,0,-362.40,9.31,534.89
17.22,Traffic 1,2.821,True,0,540.96,27.31,-384.38
17.22,Traffic 2,2.272,True,0,42.39,38.79,-294.99
17.22,Traffic 3,2.678,True,0,-628.40,9.56,174.96
17.22,Traffic 4,2.147,True,0,-391.07,9.13,535.96
18.22,Traffic 1,2.750,True,0,540.35,29.10,-399.63
18.22,Traffic 2,2.106,True,0,55.44,43.22,-288.14
18.22,Traffic 3,2.677,True,0,-628.61,9.61,191.32
18.22,Traffic 4,2.150,True,0,-419.77,8.93,537.04
19.22,Traffic 1,2.698,True,0,539.80,30.98,-414.85
19.22,Traffic 2,2.201,True,0,70.84,44.70,-285.58
19.22,Traffic 3,2.675,True,0,-628.79,9.65,207.67
19.22,Traffic 4,2.154,True,0,-448.44,8.76,538.08
20.22,Traffic 1,2.669,True,0,538.95,32.63,-430.11
20.22,Traffic 2,2.245,True,0,86.66,42.94,-286.46
20.22,Traffic 3,2.679,True,0,-628.97,9.68,224.02
20.22,Traffic 4,2.185,True,0,-477.12,8.63,539.02
21.22,Traffic 1,2.637,True,0,537.34,33.62,-445.43
21.22,Traffic 2,2.434,True,0,102.14,40.44,-289.35
21.22,Traffic 3,2.687,True,0,-629.20,9.71,240.35
21.22,Traffic 4,2.125,True,0,-505.77,8.70,540.31
22.22,Traffic 1,2.528,True,0,534.54,33.27,-460.70
22.22,Traffic 2,2.573,True,0,117.46,38.36,-293.13
22.22,Traffic 3,2.686,True,0,-629.48,9.73,256.70
22.22,Traffic 4,2.152,True,0,-534.37,8.74,542.19
23.22,Traffic 1,2.571,True,0,530.75,31.61,-475.66
23.22,Traffic 2,2.625,True,0,132.74,37.60,-297.36
23.22,Traffic 3,2.683,True,0,-629.77,9.75,273.04
23.22,Traffic 4,2.213,True,0,-561.35,8.74,543.51
24.22,Traffic 1,2.596,True,0,526.15,29.13,-490.27
24.22,Traffic 2,2.653,True,0,147.01,38.85,-301.62
24.22,Traffic 3,2.680,True,0,-630.06,9.77,289.38
24.22,Traffic 4,2.230,True,0,-581.04,8.74,542.84
25.22,Traffic 1,2.575,True,0,520.57,26.41,-504.50
25.22,Traffic 2,2.636,True,0,160.99,41.25,-306.27
25.22,Traffic 3,2.677,True,0,-630.32,9.77,305.73
25.22,Traffic 4,2.271,True,0,-593.20,8.74,540.50
26.22,Traffic 1,2.508,True,0,514.12,24.48,-517.08
26.22,Traffic 2,2.617,True,0,175.40,43.99,-311.76
26.22,Traffic 3,2.675,True,0,-630.52,9.77,322.09
26.22,Traffic 4,2.042,True,0,-601.91,8.74,536.30
27.24,Traffic 1,2.533,True,0,505.73,23.65,-529.38
27.24,Traffic 2,2.610,True,0,189.68,46.08,-318.07
27.24,Traffic 3,2.671,True,0,-630.61,9.77,338.45
27.24,Traffic 4,2.625,True,0,-608.21,8.66,527.98
28.24,Traffic 1,2.598,True,0,497.18,23.27,-538.18
28.24,Traffic 2,2.623,True,0,203.79,46.67,-325.35
28.24,Traffic 3,2.666,True,0,-630.56,9.75,354.79
28.24,Traffic 4,4.185,True,0,-611.26,8.59,512.00
29.24,Traffic 1,2.537,True,0,488.92,23.27,-542.43
29.24,Traffic 2,2.526,True,0,217.41,45.41,-333.75
29.24,Traffic 3,2.661,True,0,-630.29,9.73,371.25
29.24,Traffic 4,2.494,True,0,-613.54,8.70,495.27
30.24,Traffic 1,0.901,True,0,479.06,24.35,-540.42
30.24,Traffic 2,2.549,True,0,230.32,43.21,-342.91
30.24,Traffic 3,2.653,True,0,-629.73,9.69,387.61
30.24,Traffic 4,2.246,True,0,-618.49,8.91,479.20
31.24,Traffic 1,0.731,True,0,470.34,26.13,-528.59
31.24,Traffic 2,2.624,True,0,242.89,40.64,-352.38
31.24,Traffic 3,2.642,True,0,-628.73,9.64,403.93
31.24,Traffic 4,2.669,True,0,-623.71,9.13,463.24
32.24,Traffic 1,2.251,True,0,464.73,27.95,-514.43
32.24,Traffic 2,2.666,True,0,255.45,38.11,-361.85
32.24,Traffic 3,2.613,True,0,-627.08,9.56,420.19
32.24,Traffic 4,2.818,True,0,-627.86,9.33,446.97
33.24,Traffic 1,2.882,True,0,457.95,29.70,-500.78
33.24,Traffic 2,2.682,True,0,268.30,36.10,-371.01
33.24,Traffic 3,2.591,True,0,-624.61,9.43,436.34
33.24,Traffic 4,2.796,True,0,-630.91,9.49,430.48
34.24,Traffic 1,2.948,True,0,449.70,31.41,-487.92
34.24,Traffic 2,2.793,True,0,281.75,35.72,-379.43
34.24,Traffic 3,2.583,True,0,-621.26,9.26,452.35
34.24,Traffic 4,2.768,True,0,-633.08,9.60,413.83
35.24,Traffic 1,2.722,True,0,441.10,33.36,-475.38
35.24,Traffic 2,2.728,True,0,295.44,38.09,-386.85
35.24,Traffic 3,2.577,True,0,-617.03,9.05,468.14
35.24,Traffic 4,2.767,True,0,-634.48,9.67,397.12
36.24,Traffic 1,2.642,True,0,432.61,35.31,-462.76
36.24,Traffic 2,2.763,True,0,309.35,41.68,-392.85
36.24,Traffic 3,2.583,True,0,-612.14,8.82,483.72
36.24,Traffic 4,2.745,True,0,-635.27,9.71,380.36
37.24,Traffic 1,2.675,True,0,424.07,37.07,-450.11
37.24,Traffic 2,2.715,True,0,324.59,42.52,-396.87
37.24,Traffic 3,2.556,True,0,-607.18,8.65,499.29
37.24,Traffic 4,2.720,True,0,-635.68,9.74,363.60
38.24,Traffic 1,2.705,True,0,415.19,38.35,-437.58
38.24,Traffic 2,3.208,True,0,340.17,39.05,-397.33
