time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,217.232,53.320,295.134,26.846,27.000,2,0.000,0.000,0
0.117,213.995,52.956,295.068,26.978,27.000,0,0.000,0.000,0
0.217,211.314,52.571,295.006,26.875,27.000,4,0.000,0.000,0
0.317,208.751,52.201,294.923,24.804,16.710,4,0.000,0.000,0
0.417,206.451,51.892,294.837,22.179,16.710,4,0.000,0.000,0
0.517,204.407,51.662,294.769,19.552,15.984,4,0.000,0.000,0
0.617,202.591,51.487,294.731,17.567,15.458,4,0.000,0.000,0
0.717,200.908,51.330,294.722,16.538,16.085,4,0.000,0.000,0
0.817,199.307,51.171,294.732,15.801,15.907,4,0.000,0.000,0
0.917,197.723,51.002,294.746,15.816,15.984,4,0.000,0.000,0
1.017,196.144,50.823,294.747,15.870,16.405,4,0.000,0.000,0
1.117,194.573,50.640,294.715,15.826,16.085,4,0.000,0.000,0
1.217,193.000,50.462,294.631,16.035,16.507,4,0.000,0.000,0
1.317,191.382,50.291,294.471,16.689,17.996,4,0.000,0.000,0
1.417,189.692,50.127,294.213,17.386,18.000,4,0.000,0.000,0
1.517,187.974,49.966,293.847,17.708,18.000,4,0.000,0.000,0
1.617,186.264,49.807,293.370,17.853,18.000,4,0.000,0.000,0
1.717,184.577,49.658,292.781,17.919,18.000,4,0.000,0.000,0
1.817,182.935,49.515,292.093,17.865,18.000,4,0.000,0.000,0
1.917,181.331,49.367,291.312,17.775,18.000,4,0.000,0.000,0
2.017,179.785,49.247,290.465,17.671,18.000,4,0.000,0.000,0
2.117,178.249,49.241,289.603,17.651,18.000,4,0.000,0.000,0
2.217,176.748,49.355,288.725,17.168,18.000,0,0.000,0.000,0
2.317,175.301,49.522,287.895,16.494,18.000,0,0.000,0.000,0
2.417,173.905,49.652,287.091,16.347,18.000,0,0.000,0.000,0
2.517,172.501,49.675,286.286,15.691,18.000,0,0.000,0.000,0
2.617,171.088,49.596,285.483,14.746,18.000,0,0.000,0.000,0
2.717,169.638,49.613,284.739,15.494,18.000,0,0.000,0.000,0
2.817,168.201,49.466,284.005,15.530,18.000,0,0.000,0.000,0
2.917,166.776,49.301,283.309,15.151,18.000,1,0.000,0.000,0
3.017,165.364,49.169,282.657,15.296,18.000,1,0.000,0.000,0
3.117,163.958,48.981,282.015,15.314,18.000,1,0.000,0.000,0
3.217,162.630,48.881,281.358,13.322,18.000,2,0.000,0.000,0
3.317,161.402,49.051,280.822,13.287,18.000,1,0.000,0.000,0
3.417,160.148,49.099,280.258,11.604,18.000,1,0.000,0.000,0
3.517,158.894,49.052,279.702,8.969,18.000,1,0.000,0.000,0
3.617,157.642,48.911,279.153,5.730,18.000,1,0.000,0.000,0
3.717,156.398,48.713,278.625,3.011,18.000,2,0.000,0.000,0
3.817,155.242,48.499,278.274,2.744,18.000,2,0.000,0.000,0
3.917,154.189,48.365,278.067,3.686,18.000,2,0.000,0.000,0
4.017,153.284,48.353,278.040,4.724,18.000,0,0.000,0.000,0
4.117,152.346,48.098,277.983,5.084,18.000,0,0.000,0.000,0
4.217,151.419,47.748,277.914,5.556,18.000,0,0.000,0.000,0
4.317,150.501,47.306,277.836,6.131,18.000,0,0.000,0.000,0
4.417,149.654,46.941,277.794,5.936,18.000,2,0.000,0.000,0
4.517,148.971,46.616,277.956,7.555,18.000,2,0.000,0.000,0
4.617,148.433,46.254,278.383,8.714,18.000,4,0.000,0.000,0
4.717,147.865,46.096,279.080,10.017,18.000,4,0.000,0.000,0
4.817,147.200,46.062,279.930,11.461,18.000,4,0.000,0.000,0
4.917,146.421,46.074,280.875,12.817,18.000,4,0.000,0.000,0
5.017,145.512,46.103,281.882,14.094,18.000,4,0.000,0.000,0
5.117,144.462,46.132,282.928,15.298,18.000,4,0.000,0.000,0
5.217,143.261,46.154,283.985,16.440,18.000,4,0.000,0.000,0
5.317,141.916,46.171,285.017,17.199,18.000,4,0.000,0.000,0
5.417,140.458,46.191,285.975,17.530,18.000,4,0.000,0.000,0
5.517,138.912,46.220,286.827,17.673,18.000,4,0.000,0.000,0
5.617,137.295,46.259,287.555,17.731,18.000,4,0.000,0.000,0
5.717,135.618,46.306,288.150,17.753,18.000,4,0.000,0.000,0
5.817,133.895,46.343,288.606,17.761,18.000,3,0.000,0.000,0
5.917,132.137,46.349,288.919,17.768,18.000,2,0.000,0.000,0
6.017,131.062,46.310,289.108,0.471,18.000,2,0.000,0.000,0
6.117,131.031,46.227,289.241,-0.054,18.000,3,0.000,0.000,0
6.217,131.019,46.159,289.287,-0.043,18.000,4,0.000,0.000,0
6.317,131.013,46.121,289.307,-0.018,18.000,4,0.000,0.000,0
6.417,131.009,46.110,289.320,-0.004,18.000,4,0.000,0.000,0
6.517,131.005,46.110,289.331,-0.004,18.000,4,0.000,0.000,0
6.617,131.000,46.113,289.343,-0.004,18.000,4,0.000,0.000,0
6.717,130.995,46.115,289.354,-0.004,18.000,4,0.000,0.000,0
6.817,130.990,46.115,289.365,-0.004,18.000,4,0.000,0.000,0
6.917,130.986,46.113,289.376,-0.004,18.000,4,0.000,0.000,0
7.017,130.981,46.110,289.386,-0.004,18.000,4,0.000,0.000,0
7.117,130.977,46.107,289.395,-0.005,18.000,4,0.000,0.000,0
7.217,130.973,46.103,289.404,-0.004,18.000,4,0.000,0.000,0
7.317,130.970,46.100,289.413,-0.005,18.000,4,0.000,0.000,0
7.417,130.966,46.097,289.422,-0.005,18.000,4,0.000,0.000,0
7.517,130.962,46.095,289.431,-0.005,18.000,4,0.000,0.000,0
7.617,130.958,46.092,289.439,-0.005,18.000,4,0.000,0.000,0
7.717,130.954,46.090,289.447,-0.005,18.000,4,0.000,0.000,0
7.817,130.950,46.087,289.455,-0.004,18.000,4,0.000,0.000,0
7.917,130.946,46.085,289.463,-0.005,18.000,4,0.000,0.000,0
8.017,130.942,46.083,289.470,-0.005,18.000,4,0.000,0.000,0
8.117,130.939,46.080,289.478,-0.005,18.000,4,0.000,0.000,0
8.217,130.935,46.078,289.485,-0.005,18.000,4,0.000,0.000,0
8.317,130.931,46.076,289.492,-0.005,18.000,4,0.000,0.000,0
8.417,130.928,46.074,289.499,-0.005,18.000,4,0.000,0.000,0
8.517,130.924,46.072,289.505,-0.005,18.000,4,0.000,0.000,0
8.617,130.921,46.070,289.512,-0.005,18.000,4,0.000,0.000,0
8.717,130.917,46.068,289.518,-0.005,18.000,4,0.000,0.000,0
8.817,130.914,46.066,289.524,-0.005,18.000,4,0.000,0.000,0
8.917,130.911,46.064,289.530,-0.005,18.000,4,0.000,0.000,0
9.017,130.907,46.063,289.536,-0.005,18.000,4,0.000,0.000,0
9.117,130.904,46.061,289.542,-0.005,18.000,4,0.000,0.000,0
9.217,130.901,46.059,289.547,-0.005,18.000,4,0.000,0.000,0
9.317,130.898,46.058,289.552,-0.005,18.000,4,0.000,0.000,0
9.417,130.895,46.056,289.558,-0.005,18.000,4,0.000,0.000,0
9.517,130.892,46.054,289.563,-0.005,18.000,4,0.000,0.000,0
9.617,130.889,46.053,289.568,-0.004,18.000,4,0.000,0.000,0
9.717,130.886,46.051,289.572,-0.005,18.000,4,0.000,0.000,0
9.817,130.883,46.049,289.577,-0.004,18.000,4,0.000,0.000,0
