time,x,y,z,speed,target,grounded,branchS,earned,misses
0.000,217.232,53.320,295.134,26.846,32.000,2,0.000,0.000,0
0.117,213.925,52.962,295.065,27.735,32.000,0,0.000,0.000,0
0.217,211.150,52.576,295.005,28.033,32.000,4,0.000,0.000,0
0.337,207.735,52.065,294.890,29.273,32.000,4,0.000,0.000,0
0.437,204.781,51.667,294.743,30.264,32.000,4,0.000,0.000,0
0.557,201.113,51.259,294.499,31.168,32.000,4,0.000,0.000,0
0.657,197.997,50.960,294.240,31.559,32.000,4,0.000,0.000,0
0.777,194.226,50.619,293.866,31.806,32.000,4,0.000,0.000,0
0.877,191.072,50.332,293.498,31.912,32.000,4,0.000,0.000,0
0.997,187.311,49.963,292.999,31.798,32.000,4,0.000,0.000,0
1.117,183.547,49.566,292.439,31.924,32.000,4,0.000,0.000,0
1.217,180.432,49.238,291.935,31.796,32.000,4,0.000,0.000,0
1.337,176.683,48.842,291.282,31.924,32.000,4,0.000,0.000,0
1.437,173.580,48.512,290.707,31.798,32.000,4,0.000,0.000,0
1.557,169.845,48.118,289.977,31.927,32.000,4,0.000,0.000,0
1.657,166.753,47.794,289.343,31.800,32.000,4,0.000,0.000,0
1.777,163.031,47.408,288.547,31.928,32.000,4,0.000,0.000,0
1.877,159.949,47.089,287.860,31.800,32.000,4,0.000,0.000,0
1.997,156.241,46.706,287.003,31.927,32.000,4,0.000,0.000,0
2.117,152.555,46.346,286.117,31.825,32.000,4,0.000,0.000,0
2.217,149.486,46.141,285.357,31.794,32.000,4,0.000,0.000,0
2.337,145.789,46.054,284.428,31.860,32.000,4,0.000,0.000,0
2.437,142.706,46.053,283.646,31.877,32.000,4,0.000,0.000,0
2.557,139.012,46.135,282.691,31.868,32.000,4,0.000,0.000,0
2.657,135.946,46.289,281.878,31.834,30.364,4,0.000,0.000,0
2.777,132.386,46.556,280.902,30.147,30.364,4,0.000,0.000,0
2.877,129.512,46.843,280.083,29.916,29.000,4,0.000,0.000,0
2.997,126.200,47.250,279.102,28.733,29.000,4,0.000,0.000,0
3.117,122.951,47.735,278.095,28.691,29.000,4,0.000,0.000,0
3.217,120.261,48.205,277.230,28.671,29.000,4,0.000,0.000,0
3.337,117.050,48.813,276.157,28.642,29.000,2,0.000,0.000,0
3.437,114.369,49.248,275.241,28.467,29.000,0,0.000,0.000,0
3.557,111.160,49.639,274.144,28.250,29.000,0,0.000,0.000,0
3.657,108.491,49.856,273.232,28.103,29.000,0,0.000,0.000,0
3.777,105.297,49.986,272.140,27.969,29.000,0,0.000,0.000,0
3.897,102.112,49.974,271.050,27.881,32.000,0,0.000,0.000,0
3.997,99.464,49.856,270.144,27.841,32.000,0,0.000,0.000,0
4.117,96.295,49.586,269.059,27.832,32.000,0,0.000,0.000,0
4.217,93.660,49.253,268.158,27.852,32.000,0,0.000,0.000,0
4.337,90.507,48.725,267.078,27.903,32.000,0,0.000,0.000,0
4.437,87.887,48.178,266.181,27.961,32.000,0,0.000,0.000,0
