time,driver,station,speed,target,throttle,brake,errors,errorWeight,line,brakeJudgment,grounded,water,recoveries
0.000,Reference,33.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
0.000,EMBER,41.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
0.000,GOLD,48.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
0.000,BLUE,55.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.253,Reference,33.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.253,EMBER,41.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.253,GOLD,48.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.253,BLUE,55.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.460,Reference,33.46,3.835,60.546,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.460,EMBER,41.46,3.836,57.340,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.460,GOLD,48.44,3.620,53.958,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.460,BLUE,55.46,3.836,60.052,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.680,Reference,34.74,7.411,22.023,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.680,EMBER,42.74,7.412,21.294,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.680,GOLD,49.65,6.989,53.949,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.680,BLUE,56.73,7.415,60.037,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.900,Reference,36.78,10.745,23.063,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.900,EMBER,44.77,10.748,22.631,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.900,GOLD,51.57,10.127,53.939,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.900,BLUE,58.75,10.752,60.022,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.120,Reference,39.52,13.856,24.313,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.120,EMBER,47.50,13.861,24.227,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.120,GOLD,54.17,13.049,53.929,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.120,BLUE,61.47,13.869,60.007,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.320,Reference,42.59,16.502,25.551,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.320,EMBER,50.56,16.509,25.894,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.320,GOLD,57.07,15.531,53.920,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.320,BLUE,64.51,16.524,59.993,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.520,Reference,46.18,18.987,26.832,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.520,EMBER,54.11,18.995,57.336,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.520,GOLD,60.46,17.857,53.910,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.520,BLUE,68.06,19.020,59.980,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.740,Reference,50.68,21.545,28.244,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.740,EMBER,58.58,21.555,57.333,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.740,GOLD,64.71,20.247,53.899,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.740,BLUE,72.52,21.585,59.965,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.940,Reference,55.26,23.723,29.502,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.940,EMBER,63.10,23.734,57.331,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.940,GOLD,69.02,22.276,53.889,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
