time,driver,station,speed,target,throttle,brake,errors,errorWeight,line,brakeJudgment,grounded,water,recoveries
0.000,Reference,33.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
0.000,EMBER,41.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
0.000,GOLD,48.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
0.000,BLUE,55.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.045,Reference,33.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.045,EMBER,41.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.045,GOLD,48.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.045,BLUE,55.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.260,Reference,33.46,3.835,60.560,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.260,EMBER,41.46,3.836,57.339,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.260,GOLD,48.44,3.620,53.966,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.260,BLUE,55.46,3.836,60.066,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.480,Reference,34.74,7.411,22.023,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.480,EMBER,42.74,7.412,21.294,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.480,GOLD,49.65,6.989,53.957,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.480,BLUE,56.73,7.415,60.051,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.700,Reference,36.78,10.745,23.063,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.700,EMBER,44.77,10.748,22.631,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.700,GOLD,51.57,10.127,53.948,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.700,BLUE,58.75,10.753,60.036,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.920,Reference,39.52,13.856,24.313,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.920,EMBER,47.50,13.861,24.227,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.920,GOLD,54.17,13.049,53.938,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.920,BLUE,61.47,13.869,60.021,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.120,Reference,42.59,16.502,25.551,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.120,EMBER,50.56,16.509,25.894,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.120,GOLD,57.07,15.531,53.929,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.120,BLUE,64.51,16.524,60.007,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.320,Reference,46.18,18.987,26.832,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.320,EMBER,54.11,18.995,57.338,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.320,GOLD,60.46,17.857,53.920,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.320,BLUE,68.06,19.020,59.993,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.520,Reference,50.25,21.320,28.116,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.520,EMBER,58.15,21.330,57.336,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.520,GOLD,64.29,20.036,53.910,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.520,BLUE,72.09,21.359,59.980,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.740,Reference,55.26,23.723,29.502,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.740,EMBER,63.10,23.734,57.333,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.740,GOLD,69.02,22.276,53.899,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
