time,driver,station,speed,target,throttle,brake,errors,errorWeight,line,brakeJudgment,grounded,water,recoveries
623.521,Reference,6.42,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,4,0.000,0
623.521,EMBER,14.55,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
623.521,GOLD,21.51,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
623.521,BLUE,28.52,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
626.681,Reference,6.42,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,4,0.000,0
626.681,EMBER,14.55,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
626.681,GOLD,21.51,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
626.681,BLUE,28.52,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
627.560,Reference,11.01,10.001,24.855,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
627.560,EMBER,18.90,9.241,22.817,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
627.560,GOLD,27.45,12.613,32.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
627.560,BLUE,34.13,11.777,32.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
630.400,Reference,68.35,27.442,32.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
630.400,EMBER,73.42,26.509,32.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
630.400,GOLD,98.92,31.539,32.000,0.369,0.000,0,0.000,0.000,1.000,4,0.000,0
630.400,BLUE,101.17,31.358,32.000,0.525,0.000,0,0.000,0.000,1.000,4,0.000,0
634.400,Reference,190.88,31.254,32.000,0.597,0.000,0,0.000,0.000,1.000,4,0.000,0
634.400,EMBER,194.75,31.272,32.000,0.582,0.000,0,0.000,0.000,1.000,4,0.000,0
634.400,GOLD,225.14,31.543,32.000,0.365,0.000,0,0.000,0.000,1.000,4,0.000,0
634.400,BLUE,226.94,31.468,32.000,0.426,0.000,0,0.000,0.000,1.000,4,0.000,0
638.400,Reference,317.14,33.290,45.595,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
638.400,EMBER,320.30,33.750,44.325,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
638.400,GOLD,357.94,29.082,29.362,0.003,0.000,0,0.000,0.000,1.000,4,0.000,0
638.400,BLUE,355.87,28.041,26.722,0.000,0.385,0,0.000,0.000,1.000,4,0.000,0
642.400,Reference,437.02,31.143,32.377,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
642.400,EMBER,430.00,29.097,36.011,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
642.400,GOLD,482.74,32.474,39.054,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
642.400,BLUE,447.55,28.426,32.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
646.400,Reference,560.20,31.772,32.000,0.217,0.000,0,0.000,0.000,1.000,4,0.000,0
646.400,EMBER,551.52,31.894,32.000,0.112,0.000,0,0.000,0.000,1.000,4,0.000,0
646.400,GOLD,612.26,31.694,32.000,0.244,0.000,0,0.000,0.000,1.000,4,0.000,0
646.400,BLUE,572.24,28.868,0.000,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
650.400,Reference,689.77,35.123,48.881,1.000,0.000,1,0.285,0.185,1.000,4,0.000,0
650.400,EMBER,680.23,34.350,36.763,1.000,0.000,1,0.245,0.160,1.000,4,0.000,0
650.400,GOLD,750.61,31.058,30.021,0.000,0.293,0,0.000,0.000,1.000,4,0.000,0
650.400,BLUE,678.19,35.640,55.215,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
654.400,Reference,822.02,31.903,32.000,0.154,0.000,1,0.000,0.000,1.000,4,0.000,0
654.400,EMBER,813.46,31.948,32.000,0.114,0.000,1,0.000,0.000,1.000,4,0.000,0
654.400,GOLD,877.33,31.867,32.000,0.165,0.000,1,0.488,-0.317,1.000,4,0.000,0
654.400,BLUE,813.96,31.955,32.000,0.112,0.000,0,0.000,0.000,1.000,4,0.000,0
658.400,Reference,919.28,3.091,7.006,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
658.400,EMBER,914.74,0.182,0.000,0.000,0.000,1,0.000,0.000,1.000,4,0.000,0
658.400,GOLD,1021.35,45.568,58.822,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
658.400,BLUE,916.15,19.847,48.401,1.000,0.000,1,0.498,-0.324,1.000,4,0.000,0
662.400,Reference,1006.75,34.360,48.771,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
662.400,EMBER,988.26,32.800,40.936,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
662.400,GOLD,1170.51,27.140,19.877,0.000,1.000,1,0.000,0.000,1.000,4,0.000,0
662.400,BLUE,1049.00,34.906,52.003,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
666.400,Reference,1146.02,31.914,32.000,0.091,0.000,1,0.000,0.000,1.000,4,0.000,0
666.400,EMBER,1130.07,32.177,32.000,0.000,0.000,1,0.000,0.000,1.000,4,0.000,0
666.400,GOLD,1266.76,32.897,58.696,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
666.400,BLUE,1178.09,19.672,34.586,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
670.400,Reference,1230.88,19.949,40.363,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
670.400,EMBER,1216.24,13.645,14.938,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
670.400,GOLD,1396.75,28.927,29.697,0.696,0.000,1,0.000,0.000,1.000,4,0.000,0
670.400,BLUE,1264.86,30.627,54.830,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
674.400,Reference,1345.63,28.131,27.610,0.000,0.156,1,0.000,0.000,1.000,4,0.000,0
674.400,EMBER,1316.26,33.750,44.096,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
674.400,GOLD,1491.07,30.249,32.000,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
674.400,BLUE,1391.49,30.584,27.812,0.000,0.792,1,0.000,0.000,1.000,4,0.000,0
678.400,Reference,1445.70,19.959,19.508,0.000,0.147,1,0.000,0.000,1.000,4,0.000,0
678.400,EMBER,1424.62,24.904,31.447,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
678.400,GOLD,1619.30,32.189,32.000,0.000,0.000,1,0.000,0.000,1.000,4,0.000,0
678.400,BLUE,1464.60,18.670,20.222,1.000,0.000,1,0.000,0.000,1.000,0,0.000,0
682.400,Reference,1549.03,31.506,32.000,0.393,0.000,1,0.000,0.000,1.000,4,0.000,0
682.400,EMBER,1522.07,33.708,34.539,0.696,0.000,1,0.000,0.000,1.000,4,0.000,0
682.400,GOLD,1742.42,21.269,21.645,0.353,0.000,1,0.000,0.000,1.000,2,0.000,0
682.400,BLUE,1557.73,30.506,32.000,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
686.400,Reference,1676.65,34.432,43.230,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
686.400,EMBER,1647.69,31.851,32.000,0.148,0.000,1,0.000,0.000,1.000,4,0.000,0
686.400,GOLD,1866.15,32.487,32.048,0.000,0.129,1,0.000,0.000,1.000,2,0.000,0
686.400,BLUE,1679.25,19.282,44.434,1.000,0.000,1,0.000,0.000,1.000,4,0.000,0
690.400,Reference,1786.96,29.251,0.000,0.000,1.000,1,0.000,0.000,1.000,4,0.000,0
