time,driver,station,speed,target,throttle,brake,errors,errorWeight,line,brakeJudgment,grounded,water,recoveries
289.326,Reference,6.42,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,4,0.000,0
289.326,EMBER,14.55,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
289.326,GOLD,21.51,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
289.326,BLUE,28.52,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
292.520,Reference,6.42,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,4,0.000,0
292.520,EMBER,14.55,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
292.520,GOLD,21.51,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
292.520,BLUE,28.52,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
293.340,Reference,10.45,9.420,25.442,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
293.340,EMBER,18.36,8.693,23.289,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
293.340,GOLD,26.71,11.878,35.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
293.340,BLUE,33.44,11.098,35.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
295.000,Reference,37.34,21.893,35.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
295.000,EMBER,43.83,20.793,35.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
295.000,GOLD,60.95,27.657,35.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
295.000,BLUE,65.14,25.610,35.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
299.000,Reference,153.76,33.418,35.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
299.000,EMBER,157.20,33.227,35.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
299.000,GOLD,195.17,34.490,35.000,0.408,0.000,0,0.000,0.000,1.000,4,0.000,0
299.000,BLUE,195.30,34.392,35.000,0.487,0.000,0,0.000,0.000,1.000,4,0.000,0
303.000,Reference,290.31,34.219,35.000,0.628,0.000,0,0.000,0.000,1.000,4,0.000,0
303.000,EMBER,293.14,34.287,35.000,0.575,0.000,0,0.000,0.000,1.000,4,0.000,0
303.000,GOLD,337.06,39.679,39.698,0.000,0.000,0,0.000,0.000,1.000,4,0.000,0
303.000,BLUE,333.88,33.269,31.235,0.000,0.594,0,0.000,0.000,1.000,4,0.000,0
307.000,Reference,407.53,18.471,32.814,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
307.000,EMBER,405.52,17.598,17.766,0.029,0.000,0,0.000,0.000,1.000,4,0.000,0
307.000,GOLD,476.06,34.652,35.000,0.279,0.000,0,0.000,0.000,1.000,4,0.000,0
307.000,BLUE,424.58,23.409,43.128,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
311.000,Reference,519.42,31.147,33.171,1.000,0.000,0,0.000,0.000,1.000,3,0.000,0
311.000,EMBER,508.24,30.452,30.881,0.359,0.000,0,0.000,0.000,1.000,3,0.000,0
311.000,GOLD,614.00,34.640,35.000,0.287,0.000,0,0.000,0.000,1.000,4,0.000,0
311.000,BLUE,542.75,34.760,35.000,0.231,0.000,0,0.000,0.000,1.000,4,0.000,0
315.000,Reference,654.29,33.791,40.577,1.000,0.000,0,0.000,0.000,1.000,3,0.000,0
315.000,EMBER,643.76,34.296,35.000,0.565,0.000,0,0.000,0.000,1.000,4,0.000,0
315.000,GOLD,759.12,31.719,31.183,0.000,0.146,0,0.000,0.000,1.000,3,0.000,0
315.000,BLUE,653.15,33.310,35.681,1.000,0.000,0,0.000,0.000,1.000,2,0.000,0
319.000,Reference,795.05,34.893,35.000,0.152,0.000,0,0.000,0.000,1.000,4,0.000,0
319.000,EMBER,784.54,34.999,35.000,0.055,0.000,0,0.000,0.000,1.000,3,0.000,0
319.000,GOLD,896.98,34.668,35.000,0.033,0.000,0,0.000,0.000,1.000,4,0.000,0
319.000,BLUE,795.35,34.740,35.000,0.014,0.000,0,0.000,0.000,1.000,4,0.000,0
323.000,Reference,927.59,28.899,49.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
323.000,EMBER,918.21,22.301,13.848,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
323.000,GOLD,1056.41,47.574,53.747,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
323.000,BLUE,910.29,24.136,37.786,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
327.000,Reference,1073.61,40.144,40.825,0.536,0.000,0,0.000,0.000,1.000,4,0.000,0
327.000,EMBER,976.32,29.637,48.880,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
327.000,GOLD,1197.00,23.912,22.559,0.000,0.394,0,0.000,0.000,1.000,4,0.000,0
327.000,BLUE,1052.84,36.406,52.545,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
331.000,Reference,1198.78,20.454,18.676,0.000,0.507,0,0.000,0.000,1.000,4,0.000,0
331.000,EMBER,1117.40,35.960,37.592,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
331.000,GOLD,1305.86,38.827,53.898,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
331.000,BLUE,1187.80,27.059,29.229,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
335.000,Reference,1289.02,31.168,49.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
335.000,EMBER,1220.21,16.833,20.585,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
335.000,GOLD,1428.71,31.057,30.393,0.000,0.213,0,0.000,0.000,1.000,4,0.000,0
335.000,BLUE,1278.08,33.787,55.440,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
339.000,Reference,1408.30,25.659,25.813,0.132,0.000,0,0.000,0.000,1.000,4,0.000,0
339.000,EMBER,1326.67,34.560,39.244,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
339.000,GOLD,1533.28,34.696,35.000,0.242,0.000,0,0.000,0.000,1.000,4,0.000,0
339.000,BLUE,1407.70,20.865,0.000,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
343.000,Reference,1503.34,30.558,46.538,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
343.000,EMBER,1436.11,25.447,23.140,0.000,0.676,0,0.000,0.000,1.000,4,0.000,0
343.000,GOLD,1669.48,36.937,52.027,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
343.000,BLUE,1489.19,29.173,35.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
347.000,Reference,1635.45,34.926,35.000,0.078,0.000,0,0.000,0.000,1.000,4,0.000,0
347.000,EMBER,1542.40,34.416,35.000,0.467,0.000,0,0.000,0.000,1.000,4,0.000,0
347.000,GOLD,1787.66,34.540,44.879,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
347.000,BLUE,1591.28,31.511,31.843,0.275,0.000,0,0.000,0.000,1.000,3,0.000,0
351.000,Reference,1755.65,24.409,27.012,1.000,0.000,0,0.000,0.000,1.000,3,0.000,0
351.000,EMBER,1677.92,36.921,46.538,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
351.000,GOLD,1929.43,37.569,58.865,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
351.000,BLUE,1707.02,27.236,35.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
355.000,Reference,1877.53,34.682,37.592,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
355.000,EMBER,1797.07,32.895,41.833,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
355.000,GOLD,2079.70,36.628,42.828,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
355.000,BLUE,1801.43,19.927,55.440,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
359.000,Reference,2023.73,32.655,33.723,0.918,0.000,0,0.000,0.000,1.000,2,0.000,0
359.000,EMBER,1936.69,37.481,48.880,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
359.000,GOLD,2254.72,48.412,47.785,0.000,0.184,0,0.000,0.000,1.000,4,0.000,0
359.000,BLUE,1926.24,36.860,55.440,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
363.000,Reference,2161.01,38.944,41.141,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
