time,driver,station,speed,target,throttle,brake,errors,errorWeight,line,brakeJudgment,grounded,water,recoveries
0.000,Reference,33.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
0.000,EMBER,41.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
0.000,GOLD,48.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
0.000,BLUE,55.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.068,Reference,33.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.068,EMBER,41.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.068,GOLD,48.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.068,BLUE,55.00,0.000,0.000,0.000,0.000,0,0.000,0.000,1.000,0,0.000,0
3.840,Reference,38.19,12.469,23.726,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.840,EMBER,46.17,12.473,23.478,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.840,GOLD,52.91,11.747,53.942,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
3.840,BLUE,60.15,12.478,60.026,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.660,Reference,52.91,22.651,28.877,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.660,EMBER,60.79,22.662,57.334,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.660,GOLD,66.81,21.278,53.903,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
4.660,BLUE,74.73,22.691,59.970,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.040,Reference,93.42,34.860,36.404,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.040,EMBER,101.20,34.880,47.763,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.040,GOLD,104.66,32.609,49.622,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.040,BLUE,115.21,34.902,45.805,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.360,Reference,182.77,40.787,41.713,0.805,0.000,0,0.000,0.000,1.000,4,0.000,0
8.360,EMBER,187.95,41.848,57.214,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.360,GOLD,190.93,40.290,47.319,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.360,BLUE,204.48,43.522,59.752,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
11.420,Reference,308.10,30.031,29.879,0.000,0.000,0,0.000,0.000,1.000,4,0.000,0
11.420,EMBER,317.47,31.880,32.000,0.108,0.000,0,0.000,0.000,1.000,4,0.000,0
11.420,GOLD,313.73,29.900,30.228,0.298,0.000,0,0.000,0.000,1.000,4,0.000,0
11.420,BLUE,329.66,31.911,32.000,0.077,0.000,0,0.000,0.000,1.000,4,0.000,0
15.420,Reference,407.74,19.940,11.480,0.000,1.000,0,0.000,0.000,1.000,0,0.000,0
15.420,EMBER,441.29,25.858,32.000,1.000,0.000,0,0.000,0.000,1.000,0,0.000,0
15.420,GOLD,413.48,12.862,32.000,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
15.420,BLUE,450.40,19.737,10.000,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
19.420,Reference,483.69,27.908,32.000,1.000,0.000,0,0.000,0.000,1.000,0,0.000,0
19.420,EMBER,551.06,33.837,32.000,0.000,0.529,0,0.000,0.000,1.000,4,0.000,0
19.420,GOLD,486.36,22.840,32.000,1.000,0.000,0,0.000,0.000,1.000,0,0.000,0
19.420,BLUE,549.70,35.539,32.000,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
23.420,Reference,610.34,31.920,32.000,0.083,0.000,1,0.000,0.000,1.000,3,0.000,0
23.420,EMBER,682.80,30.610,32.000,1.000,0.000,0,0.000,0.000,1.000,0,0.000,0
23.420,GOLD,604.78,30.886,31.712,0.758,0.000,0,0.000,0.000,1.000,4,0.000,0
