time,x,y,z,speed,grounded,nextGate,misses,penalty
0.000,-623.452,7.564,-359.962,0.000,4,11,0,0
0.100,-623.452,7.505,-359.962,0.000,0,11,0,0
0.200,-623.454,7.410,-359.861,1.676,4,11,0,0
0.317,-623.461,7.344,-359.524,3.615,4,11,0,0
0.433,-623.473,7.335,-358.959,5.479,4,11,0,0
0.550,-623.485,7.350,-358.322,6.977,4,11,0,0
0.667,-623.505,7.371,-357.363,8.711,4,11,0,0
0.783,-623.528,7.385,-356.200,10.379,4,11,0,0
0.884,-623.550,7.391,-355.082,11.721,4,11,0,0
1.000,-623.581,7.396,-353.566,13.274,4,11,0,0
1.100,-623.609,7.401,-352.164,14.523,4,11,0,0
1.200,-623.640,7.407,-350.639,15.732,4,11,0,0
1.301,-623.673,7.414,-348.995,16.903,4,11,0,0
1.401,-623.708,7.422,-347.237,18.036,4,11,0,0
1.501,-623.746,7.431,-345.368,19.133,4,11,0,0
1.618,-623.793,7.442,-342.983,20.404,4,11,0,0
1.734,-623.844,7.454,-340.449,21.626,4,11,0,0
1.834,-623.889,7.464,-338.228,22.608,4,11,0,0
1.934,-623.935,7.474,-335.910,23.560,4,11,0,0
2.036,-623.984,7.484,-333.499,24.481,4,11,0,0
2.136,-624.034,7.495,-330.998,25.372,4,11,0,0
2.236,-624.086,7.506,-328.409,26.235,4,11,0,0
2.336,-624.140,7.518,-325.736,27.071,4,11,0,0
2.436,-624.195,7.529,-322.980,27.880,4,11,0,0
2.536,-624.252,7.541,-320.146,28.663,4,11,0,0
2.636,-624.310,7.553,-317.234,29.421,4,11,0,0
2.736,-624.370,7.565,-314.249,30.155,4,11,0,0
2.837,-624.431,7.578,-311.191,30.866,4,11,0,0
2.942,-624.494,7.591,-308.064,31.554,4,11,0,0
3.047,-624.558,7.603,-304.869,32.220,4,11,0,0
3.148,-624.623,7.616,-301.609,32.865,4,11,0,0
3.248,-624.690,7.630,-298.285,33.489,4,11,0,0
3.349,-624.758,7.643,-294.901,34.093,4,11,0,0
3.465,-624.841,7.659,-290.761,34.793,4,11,0,0
3.582,-624.926,7.675,-286.539,35.466,4,11,0,0
3.682,-624.998,7.689,-282.961,36.008,4,11,0,0
3.799,-625.085,7.705,-278.597,36.634,4,11,0,0
3.899,-625.160,7.719,-274.904,37.139,4,11,0,0
3.999,-625.235,7.733,-271.161,37.627,4,11,0,0
4.099,-625.311,7.748,-267.371,38.099,4,11,0,0
4.199,-625.388,7.762,-263.534,38.556,4,11,0,0
4.299,-625.466,7.776,-259.653,38.999,4,11,0,0
4.399,-625.544,7.791,-255.728,39.428,4,11,0,0
4.504,-625.624,7.805,-251.761,39.843,4,11,0,0
4.604,-625.705,7.820,-247.753,40.245,4,11,0,0
4.704,-625.786,7.834,-243.706,40.634,4,11,0,0
4.804,-625.868,7.849,-239.621,41.010,4,11,0,0
4.904,-625.951,7.864,-235.499,41.375,4,11,0,0
5.005,-626.034,7.879,-231.341,41.728,4,11,0,0
5.105,-626.118,7.893,-227.148,42.069,4,11,0,0
5.207,-626.203,7.908,-222.922,42.400,4,11,0,0
5.307,-626.289,7.924,-218.664,42.720,4,11,0,0
5.408,-626.375,7.939,-214.374,43.030,4,11,0,0
5.508,-626.461,7.954,-210.054,43.330,4,11,0,0
5.608,-626.549,7.969,-205.704,43.621,4,11,0,0
5.709,-626.637,7.984,-201.326,43.902,4,11,0,0
