time,x,y,z,speed,grounded,nextGate,misses,penalty
0.000,-623.452,7.564,-359.962,0.000,4,11,0,0
0.100,-623.452,7.505,-359.962,0.000,0,11,0,0
0.200,-623.455,7.410,-359.855,1.775,4,11,0,0
0.300,-623.460,7.350,-359.574,3.494,4,11,0,0
0.400,-623.469,7.333,-359.125,5.159,4,11,0,0
0.500,-623.481,7.343,-358.512,6.771,4,11,0,0
0.600,-623.497,7.361,-357.742,8.332,4,11,0,0
0.700,-623.516,7.377,-356.817,9.845,4,11,0,0
0.800,-623.537,7.388,-355.745,11.311,4,11,0,0
0.901,-623.562,7.394,-354.528,12.731,4,11,0,0
1.001,-623.589,7.398,-353.173,14.108,4,11,0,0
1.101,-623.619,7.403,-351.682,15.441,4,11,0,0
1.201,-623.651,7.409,-350.060,16.733,4,11,0,0
1.301,-623.686,7.417,-348.312,17.985,4,11,0,0
1.401,-623.724,7.426,-346.441,19.198,4,11,0,0
1.501,-623.764,7.435,-344.450,20.373,4,11,0,0
1.601,-623.806,7.445,-342.345,21.511,4,11,0,0
1.701,-623.851,7.455,-340.128,22.615,4,11,0,0
1.801,-623.897,7.466,-337.802,23.684,4,11,0,0
1.901,-623.946,7.476,-335.372,24.720,4,11,0,0
2.001,-623.997,7.487,-332.840,25.723,4,11,0,0
2.101,-624.050,7.499,-330.210,26.696,4,11,0,0
2.201,-624.104,7.510,-327.484,27.638,4,11,0,0
2.301,-624.161,7.522,-324.666,28.551,4,11,0,0
2.402,-624.219,7.535,-321.758,29.435,4,11,0,0
2.502,-624.279,7.547,-318.763,30.293,4,11,0,0
2.602,-624.341,7.560,-315.685,31.123,4,11,0,0
2.703,-624.405,7.573,-312.525,31.928,4,11,0,0
2.803,-624.470,7.586,-309.286,32.708,4,11,0,0
2.903,-624.550,7.602,-305.298,33.611,4,11,0,0
3.003,-624.618,7.615,-301.894,34.339,4,11,0,0
3.104,-624.688,7.629,-298.418,35.044,4,11,0,0
3.205,-624.759,7.643,-294.873,35.727,4,11,0,0
3.305,-624.832,7.657,-291.261,36.388,4,11,0,0
3.405,-624.905,7.671,-287.585,37.030,4,11,0,0
3.505,-624.980,7.686,-283.845,37.651,4,11,0,0
3.606,-625.057,7.700,-280.044,38.253,4,11,0,0
3.706,-625.134,7.715,-276.185,38.836,4,11,0,0
3.807,-625.213,7.729,-272.268,39.401,4,11,0,0
3.907,-625.293,7.744,-268.296,39.949,4,11,0,0
4.007,-625.373,7.759,-264.270,40.480,4,11,0,0
4.107,-625.455,7.774,-260.191,40.994,4,11,0,0
4.207,-625.538,7.789,-256.063,41.492,4,11,0,0
4.307,-625.622,7.805,-251.886,41.975,4,11,0,0
4.407,-625.707,7.820,-247.661,42.442,4,11,0,0
4.508,-625.792,7.835,-243.390,42.895,4,11,0,0
4.608,-625.879,7.851,-239.075,43.335,4,11,0,0
4.709,-625.966,7.867,-234.717,43.760,4,11,0,0
4.809,-626.055,7.882,-230.317,44.172,4,11,0,0
4.909,-626.144,7.898,-225.876,44.572,4,11,0,0
5.009,-626.234,7.914,-221.397,44.959,4,11,0,0
5.109,-626.325,7.930,-216.879,45.334,4,11,0,0
5.210,-626.416,7.946,-212.325,45.697,4,11,0,0
5.310,-626.508,7.962,-207.735,46.049,4,11,0,0
5.410,-626.601,7.978,-203.111,46.390,4,11,0,0
5.510,-626.695,7.994,-198.453,46.721,4,11,0,0
