time,x,y,z,speed,grounded,nextGate,misses,penalty
0.000,-623.452,7.564,-359.962,0.000,4,11,0,0
0.100,-623.454,7.549,-359.876,1.430,4,11,0,0
0.200,-623.459,7.528,-359.651,2.814,4,11,0,0
0.300,-623.466,7.514,-359.289,4.153,4,11,0,0
0.400,-623.476,7.511,-358.795,5.450,4,11,0,0
0.500,-623.488,7.515,-358.175,6.707,4,11,0,0
0.600,-623.503,7.522,-357.431,7.925,4,11,0,0
0.700,-623.521,7.529,-356.568,9.104,4,11,0,0
0.800,-623.540,7.535,-355.588,10.247,4,11,0,0
0.900,-623.562,7.540,-354.497,11.354,4,11,0,0
1.000,-623.586,7.545,-353.298,12.426,4,11,0,0
1.100,-623.612,7.551,-351.993,13.466,4,11,0,0
1.200,-623.641,7.557,-350.586,14.472,4,11,0,0
1.300,-623.671,7.564,-349.080,15.448,4,11,0,0
1.402,-623.703,7.572,-347.478,16.393,4,11,0,0
1.502,-623.737,7.579,-345.784,17.308,4,11,0,0
1.602,-623.773,7.588,-344.000,18.195,4,11,0,0
1.702,-623.810,7.596,-342.130,19.055,4,11,0,0
1.802,-623.850,7.605,-340.174,19.887,4,11,0,0
1.902,-623.890,7.614,-338.137,20.694,4,11,0,0
2.002,-623.933,7.623,-336.021,21.476,4,11,0,0
2.102,-623.977,7.633,-333.828,22.233,4,11,0,0
2.203,-624.022,7.643,-331.561,22.967,4,11,0,0
2.303,-624.069,7.653,-329.222,23.677,4,11,0,0
2.403,-624.118,7.663,-326.814,24.366,4,11,0,0
2.503,-624.167,7.674,-324.337,25.033,4,11,0,0
2.603,-624.218,7.684,-321.796,25.680,4,11,0,0
2.703,-624.271,7.695,-319.191,26.306,4,11,0,0
2.803,-624.324,7.706,-316.524,26.913,4,11,0,0
2.903,-624.379,7.717,-313.798,27.501,4,11,0,0
3.004,-624.435,7.729,-311.014,28.071,4,11,0,0
3.104,-624.492,7.740,-308.174,28.623,4,11,0,0
3.204,-624.550,7.752,-305.280,29.157,4,11,0,0
3.304,-624.609,7.763,-302.334,29.675,4,11,0,0
3.404,-624.669,7.775,-299.337,30.177,4,11,0,0
3.504,-624.730,7.787,-296.290,30.664,4,11,0,0
3.604,-624.792,7.799,-293.196,31.135,4,11,0,0
3.704,-624.856,7.812,-290.056,31.591,4,11,0,0
3.804,-624.919,7.824,-286.871,32.034,4,11,0,0
3.904,-624.984,7.836,-283.642,32.462,4,11,0,0
4.004,-625.050,7.849,-280.372,32.878,4,11,0,0
4.104,-625.116,7.861,-277.060,33.280,4,11,0,0
4.204,-625.184,7.874,-273.709,33.670,4,11,0,0
4.304,-625.252,7.887,-270.320,34.047,4,11,0,0
4.404,-625.320,7.899,-266.894,34.413,4,11,0,0
4.504,-625.390,7.912,-263.432,34.768,4,11,0,0
4.604,-625.460,7.925,-259.936,35.111,4,11,0,0
4.704,-625.531,7.938,-256.405,35.444,4,11,0,0
4.804,-625.602,7.951,-252.842,35.766,4,11,0,0
4.904,-625.674,7.964,-249.247,36.079,4,11,0,0
5.004,-625.747,7.977,-245.622,36.381,4,11,0,0
5.104,-625.821,7.990,-241.967,36.674,4,11,0,0
5.204,-625.895,8.004,-238.283,36.958,4,11,0,0
5.304,-625.969,8.017,-234.572,37.234,4,11,0,0
5.404,-626.044,8.030,-230.833,37.500,4,11,0,0
5.504,-626.120,8.044,-227.068,37.759,4,11,0,0
5.604,-626.196,8.057,-223.278,38.009,4,11,0,0
5.704,-626.272,8.071,-219.463,38.252,4,11,0,0
5.804,-626.349,8.084,-215.625,38.487,4,11,0,0
5.904,-626.427,8.098,-211.763,38.714,4,11,0,0
6.005,-626.505,8.111,-207.879,38.935,4,11,0,0
6.105,-626.583,8.125,-203.974,39.148,4,11,0,0
6.205,-626.662,8.139,-200.047,39.356,4,11,0,0
6.305,-626.741,8.153,-196.100,39.556,4,11,0,0
6.405,-626.821,8.166,-192.134,39.750,4,11,0,0
6.505,-626.901,8.180,-188.148,39.939,4,11,0,0
6.605,-626.981,8.194,-184.144,40.121,4,11,0,0
6.705,-627.062,8.208,-180.122,40.298,4,11,0,0
6.805,-627.143,8.222,-176.083,40.469,4,11,0,0
6.905,-627.225,8.236,-172.027,40.635,4,11,0,0
7.005,-627.306,8.250,-167.955,40.796,4,11,0,0
7.105,-627.388,8.264,-163.866,40.951,4,11,0,0
7.205,-627.471,8.278,-159.763,41.102,4,11,0,0
7.305,-627.553,8.293,-155.645,41.248,4,11,0,0
7.405,-627.636,8.307,-151.512,41.390,4,11,0,0
7.505,-627.719,8.321,-147.366,41.527,4,11,0,0
7.605,-627.803,8.336,-143.206,41.660,4,11,0,0
7.705,-627.887,8.350,-139.033,41.789,4,11,0,0
7.806,-627.971,8.365,-134.848,41.914,4,11,0,0
7.906,-628.055,8.379,-130.650,42.035,4,11,0,0
8.006,-628.139,8.394,-126.440,42.152,4,11,0,0
8.106,-628.224,8.409,-122.219,42.265,4,12,0,0
8.206,-628.309,8.423,-117.987,42.375,4,12,0,0
8.306,-628.394,8.438,-113.744,42.481,4,12,0,0
8.406,-628.480,8.454,-109.491,42.584,4,12,0,0
8.506,-628.565,8.483,-105.230,42.682,4,12,0,0
8.606,-628.651,8.580,-100.965,42.767,4,12,0,0
8.706,-628.736,8.860,-96.725,42.697,4,12,0,0
8.806,-628.821,9.380,-92.501,42.696,4,12,0,0
8.906,-628.906,10.064,-88.292,42.690,4,12,0,0
9.006,-628.990,10.860,-84.109,42.676,4,12,0,0
9.107,-629.074,11.771,-79.956,42.622,4,12,0,0
9.207,-629.156,12.812,-75.839,42.541,4,12,0,0
9.307,-629.239,13.977,-71.764,42.439,4,12,0,0
9.407,-629.320,15.204,-67.703,42.238,0,12,0,0
9.507,-629.402,16.351,-63.642,41.845,0,12,0,0
9.607,-629.484,17.396,-59.589,41.459,0,12,0,0
9.707,-629.565,18.342,-55.544,41.083,0,12,0,0
9.807,-629.647,19.186,-51.508,40.723,0,12,0,0
9.907,-629.728,19.931,-47.480,40.387,0,12,0,0
10.007,-629.809,20.575,-43.461,40.082,0,12,0,0
10.107,-629.890,21.120,-39.451,39.815,0,12,0,0
10.208,-629.970,21.565,-35.451,39.592,0,12,0,0
10.308,-630.051,21.911,-31.460,39.418,0,12,0,0
10.408,-630.131,22.159,-27.478,39.293,0,12,0,0
10.508,-630.211,22.308,-23.505,39.217,0,12,0,0
10.608,-630.291,22.359,-19.542,39.186,0,12,0,0
10.708,-630.370,22.312,-15.588,39.194,0,12,0,0
10.808,-630.450,22.167,-11.644,39.234,0,12,0,0
10.908,-630.529,21.925,-7.708,39.295,0,12,0,0
11.008,-630.608,21.585,-3.782,39.368,0,12,0,0
11.108,-630.687,21.148,0.136,39.442,0,12,0,0
11.208,-630.766,20.615,4.045,39.507,0,12,0,0
11.309,-630.844,19.984,7.945,39.553,0,12,0,0
11.409,-630.923,19.257,11.837,39.572,0,12,0,0
11.509,-631.001,18.433,15.721,39.559,0,12,0,0
11.609,-631.079,17.513,19.596,39.509,0,12,0,0
11.709,-631.157,16.497,23.463,39.419,0,12,0,0
11.809,-631.235,15.384,27.323,39.290,0,12,0,0
11.909,-631.313,14.176,31.174,39.123,0,12,0,0
12.009,-631.390,12.873,35.019,38.923,0,12,0,0
12.109,-631.467,11.473,38.855,38.695,0,12,0,0
12.209,-631.544,9.979,42.684,38.444,0,12,0,0
12.309,-631.608,8.688,45.863,38.303,4,12,0,0
12.409,-631.684,8.814,49.705,38.538,4,12,0,0
12.509,-631.760,8.997,53.571,38.761,4,12,0,0
12.609,-631.835,9.127,57.459,38.978,4,12,0,0
12.709,-631.912,9.184,61.369,39.189,4,12,0,0
