time,vehicle,lap,gate,speed,recoveries,misses,x,y,z
3.006,moto,0,0,0.00,0,0,564.07,82.55,-6.94
3.006,moto,0,0,0.00,0,0,568.74,82.57,0.91
3.006,moto,0,0,0.00,0,0,564.53,82.57,8.03
3.006,atv,0,0,0.00,0,0,569.05,82.57,14.95
4.040,moto,0,0,15.99,0,0,564.34,82.57,1.98
4.040,moto,0,0,15.99,0,0,568.97,82.57,9.84
4.040,moto,0,0,16.00,0,0,564.68,82.57,16.96
4.040,atv,0,0,15.05,0,0,568.54,82.55,23.35
6.040,moto,0,1,35.28,0,0,563.14,82.40,55.40
6.040,moto,0,1,35.30,0,0,567.42,82.37,63.28
6.040,moto,0,1,35.31,0,0,562.41,82.33,70.40
6.040,atv,0,1,33.01,0,0,564.95,82.29,73.35
7.720,moto,0,1,38.19,0,0,550.17,81.53,117.09
7.720,moto,0,1,38.51,0,0,551.07,81.41,123.11
7.720,moto,0,1,40.22,0,0,541.02,81.08,128.76
7.720,atv,0,1,38.55,0,0,544.18,81.15,128.76
9.180,moto,0,1,45.15,0,0,504.72,79.76,157.31
9.180,moto,0,1,44.63,0,0,502.90,79.67,160.34
9.180,moto,0,1,46.64,0,0,489.73,79.15,166.15
9.180,atv,0,1,44.01,0,0,495.73,79.38,164.72
10.420,moto,0,2,44.17,0,0,454.48,77.29,186.66
10.420,moto,0,2,41.27,0,0,454.27,77.22,188.94
10.420,moto,0,2,36.03,0,0,440.74,76.40,194.71
10.420,atv,0,2,37.76,0,0,448.12,76.80,192.39
11.460,moto,0,2,23.01,0,0,424.55,75.40,203.50
11.460,moto,0,2,23.01,0,0,424.75,75.38,204.14
11.460,moto,0,2,31.90,0,0,411.31,74.83,210.88
11.460,atv,0,2,31.78,0,0,417.77,75.07,207.43
12.740,moto,0,2,0.09,0,0,415.79,75.04,208.04
12.740,moto,0,2,0.08,0,0,416.01,75.03,208.70
12.740,moto,0,2,30.03,0,0,375.88,77.15,229.36
12.740,atv,0,2,23.27,0,0,383.76,74.67,225.17
13.940,moto,0,2,0.05,0,0,415.73,75.04,208.06
13.940,moto,0,2,0.04,0,0,415.97,75.03,208.74
13.940,moto,0,2,27.11,0,0,345.29,85.59,244.68
13.940,atv,0,2,21.27,0,0,360.99,82.24,237.28
15.060,moto,0,2,0.05,0,0,415.68,75.03,208.07
15.060,moto,0,2,0.04,0,0,415.93,75.03,208.77
15.060,moto,0,2,27.43,0,0,317.17,80.78,258.56
15.060,atv,0,2,14.70,0,0,340.61,79.96,248.28
16.260,moto,0,2,0.05,0,0,415.63,75.03,208.09
16.260,moto,0,2,0.04,0,0,415.90,75.03,208.82
16.260,moto,0,2,24.79,0,0,285.22,73.83,270.86
16.260,atv,0,2,11.54,0,0,327.98,82.66,254.43
17.360,moto,0,2,9.17,0,0,413.28,74.94,209.36
17.360,moto,0,2,-0.07,0,0,415.86,75.02,208.85
17.360,moto,0,2,30.42,0,0,256.95,59.04,283.07
17.360,atv,0,2,14.93,0,0,317.73,79.53,261.60
19.140,moto,0,2,29.52,0,0,380.83,75.04,226.87
19.140,moto,0,2,17.57,0,0,406.71,74.66,213.48
19.140,moto,0,2,31.91,0,0,209.75,52.06,296.91
19.140,atv,0,2,22.23,0,0,285.99,68.21,279.19
20.300,moto,0,2,27.88,0,0,352.18,84.19,241.72
20.300,moto,0,2,29.69,0,0,381.71,74.88,226.21
20.300,moto,0,2,31.90,0,0,173.54,48.83,290.37
20.300,atv,0,2,28.69,0,0,260.80,57.99,290.17
21.380,moto,0,2,27.50,0,0,325.67,81.45,255.42
21.380,moto,0,2,27.53,0,0,355.73,83.95,240.43
21.380,moto,0,2,31.89,0,0,140.17,46.10,282.97
21.380,atv,0,2,36.58,0,0,226.08,54.05,296.32
22.420,moto,0,2,30.05,0,0,301.24,75.44,272.58
22.420,moto,0,2,27.26,0,0,331.05,82.78,253.91
22.420,moto,0,2,31.12,0,0,108.81,49.97,273.84
22.420,atv,0,2,31.18,0,0,192.98,50.71,294.18
24.200,moto,0,2,35.17,0,0,254.35,57.05,296.16
24.200,moto,0,2,30.05,0,0,287.81,69.52,280.59
24.200,moto,0,2,30.10,0,0,57.06,39.61,257.36
24.200,atv,0,2,23.85,0,0,140.30,46.11,282.94
25.840,moto,0,2,31.96,0,0,196.16,51.09,294.16
25.840,moto,0,2,37.43,0,0,239.57,55.53,296.26
25.840,moto,0,2,0.05,0,0,39.36,34.59,250.01
25.840,atv,0,2,23.05,0,0,105.17,49.39,271.94
27.000,moto,0,2,31.88,0,0,159.94,47.46,287.94
27.000,moto,0,2,31.93,0,0,198.89,51.36,294.55
27.000,moto,0,2,0.06,0,0,39.30,34.57,250.10
27.000,atv,0,2,22.92,0,0,80.15,40.99,263.55
28.040,moto,0,2,31.80,0,0,128.09,47.00,279.70
28.040,moto,0,2,31.71,0,0,166.31,48.21,289.42
28.040,moto,0,2,0.10,0,0,39.20,34.55,250.18
28.040,atv,0,2,24.02,0,0,59.50,34.74,254.23
29.960,moto,0,2,30.86,0,0,71.60,45.91,261.94
29.960,moto,0,2,31.04,0,0,107.99,50.10,273.48
29.960,moto,0,2,-0.01,0,0,38.99,34.51,250.31
29.960,atv,0,2,37.72,0,0,7.48,31.98,223.84
31.460,moto,0,2,5.93,0,0,39.41,34.54,250.36
31.460,moto,0,2,30.61,0,0,64.34,43.09,259.62
31.460,moto,0,2,9.72,0,0,36.17,34.23,250.07
31.460,atv,0,2,36.92,0,0,-42.31,27.40,188.98
32.720,moto,0,2,22.60,0,0,28.14,33.98,235.56
32.720,moto,0,2,-0.09,0,0,39.36,34.65,249.96
32.720,moto,0,2,16.41,0,0,24.74,33.91,240.97
32.720,atv,0,3,31.82,0,0,-71.97,24.68,161.16
34.440,moto,0,2,38.02,0,0,-16.67,29.70,206.85
34.440,moto,0,2,0.01,0,0,39.33,34.58,250.06
34.440,moto,0,2,34.32,0,0,-9.77,30.38,212.63
34.440,atv,0,3,18.80,0,0,-99.66,24.81,122.54
36.180,moto,0,3,0.00,0,0,-53.72,26.51,180.55
36.180,moto,0,2,0.01,0,0,39.27,34.56,250.18
36.180,moto,0,3,31.88,0,0,-57.57,25.99,175.46
36.180,atv,0,3,13.88,0,0,-113.88,17.25,93.70
38.120,moto,0,3,27.11,0,0,-73.40,24.53,159.00
38.120,moto,0,2,-0.35,0,0,39.37,34.54,250.40
38.120,moto,0,3,31.70,0,0,-96.70,23.79,128.20
38.120,atv,0,3,29.14,0,0,-121.87,20.46,53.87
39.920,moto,0,3,30.67,0,0,-105.35,26.07,113.52
39.920,moto,0,2,-0.38,0,0,39.89,34.54,250.83
39.920,moto,0,3,30.83,0,0,-124.03,21.03,79.91
39.920,atv,0,3,21.38,0,0,-125.52,23.18,3.55
41.720,moto,0,3,29.06,0,0,-124.81,19.73,65.07
41.720,moto,0,2,0.03,0,0,39.99,34.51,251.10
41.720,moto,0,3,31.91,0,0,-124.66,20.51,26.13
41.720,atv,0,3,17.94,0,0,-122.33,16.80,-34.83
43.240,moto,0,3,31.80,0,0,-125.04,21.03,17.69
43.240,moto,0,2,0.02,0,0,39.88,34.48,251.21
43.240,moto,0,3,30.09,0,0,-124.69,25.32,-21.24
43.240,atv,0,3,28.60,0,0,-105.33,20.67,-64.46
44.900,moto,0,3,29.36,0,0,-124.55,23.98,-33.66
44.900,moto,0,2,7.80,1,0,41.98,34.75,245.23
44.900,moto,0,3,17.86,0,0,-115.51,18.69,-49.96
44.900,atv,0,3,37.74,0,0,-70.27,23.18,-107.48
46.440,moto,0,3,20.26,0,0,-112.74,19.25,-53.21
46.440,moto,0,2,27.41,1,0,18.05,32.98,230.10
46.440,moto,0,3,31.80,0,0,-93.45,21.93,-81.80
46.440,atv,0,3,36.91,0,0,-14.04,26.79,-130.54
48.140,moto,0,3,34.53,0,0,-85.85,22.24,-92.26
48.140,moto,0,2,40.74,1,0,-31.16,28.42,197.75
48.140,moto,0,3,41.22,0,0,-46.08,24.70,-121.64
48.140,atv,0,3,31.78,0,0,39.98,30.50,-137.83
49.620,moto,0,3,41.90,0,0,-39.46,25.13,-124.10
49.620,moto,0,3,31.91,1,0,-68.39,24.99,164.53
49.620,moto,0,3,31.82,0,0,8.51,28.32,-133.80
49.620,atv,0,3,22.73,0,0,81.07,35.60,-145.03
50.920,moto,0,3,31.82,0,0,8.33,28.30,-133.78
50.920,moto,0,3,31.74,1,0,-94.04,23.33,132.29
50.920,moto,0,3,31.81,0,0,49.41,31.18,-139.21
50.920,atv,0,3,18.63,0,0,102.78,42.77,-150.12
52.060,moto,0,3,31.81,0,0,44.20,30.81,-138.44
52.060,moto,0,3,30.21,1,0,-112.00,25.94,101.63
52.060,moto,0,3,31.51,0,0,84.39,36.58,-145.51
52.060,atv,0,3,18.89,0,0,123.04,39.62,-154.89
53.280,moto,0,3,31.57,0,0,81.85,35.81,-145.03
53.280,moto,0,3,29.08,1,0,-125.06,19.70,68.90
53.280,moto,0,3,28.91,0,0,119.30,46.93,-152.75
53.280,atv,0,3,14.93,0,0,140.51,35.20,-158.40
54.840,moto,0,3,28.36,0,0,126.33,47.65,-154.69
54.840,moto,0,3,31.78,1,0,-124.88,20.75,20.87
54.840,moto,0,3,29.20,0,0,162.61,40.10,-161.75
54.840,atv,0,3,27.60,0,0,173.35,41.55,-165.14
56.180,moto,0,3,28.95,0,0,163.24,40.17,-162.83
56.180,moto,0,3,30.00,1,0,-124.83,25.33,-20.81
56.180,moto,0,3,32.46,0,0,198.53,44.39,-173.41
56.180,atv,0,4,31.78,0,0,211.37,45.32,-180.67
57.340,moto,0,3,31.92,0,0,193.35,44.11,-173.12
57.340,moto,0,3,11.17,1,0,-122.15,19.33,-45.06
57.340,moto,0,4,31.83,0,0,230.76,46.51,-191.16
57.340,atv,0,4,31.81,0,0,243.03,47.18,-199.44
58.360,moto,0,4,31.82,0,0,222.84,46.05,-186.64
58.360,moto,0,3,22.58,1,0,-109.39,19.76,-56.71
58.360,moto,0,4,31.85,0,0,257.38,47.93,-209.70
58.360,atv,0,4,31.82,0,0,269.41,48.51,-218.29
60.020,moto,0,4,31.85,0,0,266.55,48.38,-216.22
60.020,moto,0,3,35.71,1,0,-81.58,22.50,-97.23
60.020,moto,0,4,23.61,0,0,297.31,52.74,-237.66
60.020,atv,0,4,21.42,0,0,304.22,54.83,-241.79
61.340,moto,0,4,31.61,0,0,300.55,53.69,-239.83
61.340,moto,0,3,42.02,1,0,-38.41,25.20,-124.45
61.340,moto,0,4,21.68,0,0,322.22,55.50,-252.49
61.340,atv,0,4,20.82,0,0,327.61,53.04,-255.57
62.640,moto,0,4,29.83,0,0,334.20,57.37,-260.31
62.640,moto,0,3,31.82,1,0,9.24,28.36,-133.90
62.640,moto,0,4,15.81,0,0,343.96,48.72,-264.64
62.640,atv,0,4,19.48,0,0,347.58,49.29,-267.01
63.660,moto,0,4,22.48,0,0,359.24,51.13,-275.09
63.660,moto,0,3,31.81,1,0,41.35,30.60,-138.03
63.660,moto,0,4,26.00,0,0,362.04,51.65,-276.25
63.660,atv,0,4,27.62,0,0,367.94,52.52,-279.93
64.760,moto,0,4,31.41,0,0,386.84,54.23,-285.97
64.760,moto,0,3,31.62,1,0,75.53,34.18,-143.78
64.760,moto,0,4,34.07,0,0,392.43,54.46,-289.32
64.760,atv,0,4,34.11,0,0,400.07,54.84,-290.82
65.760,moto,0,4,32.61,0,0,420.47,56.16,-289.48
65.760,moto,0,3,30.29,1,0,104.63,43.90,-149.70
65.760,moto,0,4,27.67,0,0,425.91,56.49,-290.42
65.760,atv,0,4,25.30,0,0,432.24,56.89,-289.39
66.760,moto,0,4,21.58,0,0,444.90,57.70,-285.86
66.760,moto,0,3,28.55,1,0,132.93,47.28,-155.57
66.760,moto,0,4,22.35,0,0,448.02,57.80,-286.22
66.760,atv,0,4,22.38,0,0,454.09,57.45,-284.67
67.760,moto,0,4,26.69,0,0,467.32,54.61,-279.78
67.760,moto,0,3,29.26,1,0,160.60,40.88,-161.30
67.760,moto,0,4,28.47,0,0,470.90,53.86,-279.99
67.760,atv,0,4,30.81,0,0,478.29,51.53,-277.39
68.760,moto,0,4,31.74,0,0,494.50,45.07,-269.08
68.760,moto,0,3,30.31,1,0,186.25,43.43,-168.75
68.760,moto,0,4,31.83,0,0,498.63,43.72,-269.37
68.760,atv,0,4,31.89,0,0,505.95,40.73,-266.02
69.760,moto,0,4,31.91,0,0,521.68,35.08,-255.94
69.760,moto,0,4,31.82,1,0,214.87,45.56,-182.54
69.760,moto,0,4,23.34,0,0,523.33,34.86,-257.23
69.760,atv,0,4,22.06,0,0,528.58,33.64,-254.20
70.760,moto,0,4,34.54,0,0,549.57,33.38,-238.32
70.760,moto,0,4,31.84,1,0,242.11,47.15,-198.89
70.760,moto,0,4,19.41,0,0,539.30,32.63,-247.62
70.760,atv,0,4,20.33,0,0,543.81,32.70,-244.26
71.840,moto,0,0,30.09,0,0,574.61,39.72,-214.99
71.840,moto,0,4,31.85,1,0,270.13,48.55,-218.79
71.840,moto,0,4,21.68,0,0,558.02,34.08,-233.88
71.840,atv,0,4,24.80,0,0,562.20,34.75,-228.95
72.840,moto,0,0,31.34,0,0,588.47,50.83,-190.03
72.840,moto,0,4,31.66,1,0,295.87,52.34,-236.81
72.840,moto,0,0,22.29,0,0,571.19,38.72,-216.14
72.840,atv,0,0,18.08,0,0,575.29,40.07,-211.86
73.840,moto,0,0,25.15,0,0,599.52,64.77,-165.51
73.840,moto,0,4,30.05,1,0,321.83,57.92,-252.79
73.840,moto,0,0,21.17,0,0,581.35,44.48,-202.08
73.840,atv,0,0,21.88,0,0,584.30,46.97,-197.25
74.840,moto,0,0,15.18,0,0,604.88,73.73,-151.67
74.840,moto,0,4,30.02,1,0,347.36,54.23,-268.31
74.840,moto,0,0,26.50,0,0,592.66,54.66,-183.43
74.840,atv,0,0,26.82,0,0,595.25,57.57,-178.00
75.840,moto,0,0,15.44,0,0,608.65,77.96,-137.85
75.840,moto,0,4,30.36,1,0,372.62,53.05,-280.83
75.840,moto,0,0,18.57,0,0,601.60,65.51,-165.08
75.840,atv,0,0,18.48,0,0,603.30,68.57,-160.34
76.840,moto,0,0,23.86,0,0,607.06,79.49,-119.06
76.840,moto,0,4,36.68,1,0,404.56,55.11,-291.12
76.840,moto,0,0,13.50,0,0,605.99,72.89,-153.64
76.840,atv,0,0,13.55,0,0,607.45,75.67,-148.30
77.840,moto,0,0,30.19,0,0,588.72,81.48,-98.53
77.840,moto,0,4,22.44,1,0,435.50,57.09,-288.61
77.840,moto,0,0,15.45,0,0,609.71,77.79,-140.44
77.840,atv,0,0,16.53,0,0,610.88,77.83,-133.43
78.840,moto,0,0,30.84,0,0,570.56,82.89,-76.60
78.840,moto,0,4,22.86,1,0,457.10,56.98,-282.54
78.840,moto,0,0,20.56,0,0,610.20,78.99,-123.89
78.840,atv,0,0,20.69,0,0,607.40,79.56,-117.87
79.840,moto,0,0,37.62,0,0,565.28,82.44,-42.88
79.840,moto,0,4,31.94,1,0,482.26,49.88,-273.99
79.840,moto,0,0,28.44,0,0,596.35,80.92,-103.88
79.840,atv,0,0,28.30,0,0,591.00,81.34,-99.56
80.860,moto,0,0,42.99,0,0,566.83,82.56,-1.60
80.860,moto,0,4,31.91,1,0,510.26,38.73,-261.86
80.860,moto,0,0,27.95,0,0,576.26,82.48,-84.48
80.860,atv,0,0,28.86,0,0,571.77,82.78,-79.43
82.040,moto,1,1,47.37,0,0,566.33,82.42,51.86
82.040,moto,0,4,34.76,1,0,542.83,32.79,-243.33
82.040,moto,0,0,36.55,0,0,565.78,82.51,-48.03
82.040,atv,0,0,36.09,0,0,564.03,82.44,-41.98
83.100,moto,1,1,39.03,0,0,561.34,82.02,99.15
83.100,moto,0,0,31.31,1,0,568.83,37.65,-220.84
83.100,moto,0,0,42.40,0,0,564.96,82.52,-5.98
83.100,atv,0,0,40.86,0,0,563.87,82.56,-1.02
84.100,moto,1,1,40.52,0,0,541.27,81.03,131.56
84.100,moto,0,0,31.35,1,0,585.02,47.31,-196.70
84.100,moto,1,1,43.05,0,0,564.23,82.54,35.92
84.100,atv,1,1,44.06,0,0,564.11,82.50,41.56
85.100,moto,1,1,45.12,0,0,506.21,79.81,156.19
85.100,moto,0,0,29.87,1,0,597.01,61.01,-171.35
85.100,moto,1,1,44.20,0,0,561.68,82.26,80.44
85.100,atv,1,1,40.30,0,0,563.79,82.21,85.56
86.100,moto,1,2,48.68,0,0,465.69,77.98,179.97
86.100,moto,0,0,13.54,1,0,603.81,71.76,-154.92
86.100,moto,1,1,38.34,0,0,549.84,81.51,117.67
86.100,atv,1,1,36.98,0,0,551.47,81.48,119.96
87.100,moto,1,2,31.87,0,0,430.75,75.75,200.36
87.100,moto,0,0,16.02,1,0,607.61,77.50,-142.02
87.100,moto,1,1,43.32,0,0,520.98,80.35,146.47
87.100,atv,1,1,41.26,0,0,523.26,80.41,147.00
88.100,moto,1,2,31.85,0,0,402.73,74.51,215.43
88.100,moto,0,0,21.40,1,0,609.08,78.92,-124.88
88.100,moto,1,1,47.28,0,0,482.40,78.83,170.34
88.100,atv,1,1,44.61,0,0,486.85,79.00,169.88
89.100,moto,1,2,30.46,0,0,375.32,77.40,229.63
89.100,moto,0,0,29.75,1,0,594.88,80.99,-103.96
89.100,moto,1,2,37.66,0,0,442.65,76.52,193.61
89.100,atv,1,2,38.24,0,0,448.23,76.82,191.97
90.100,moto,1,2,28.40,0,0,349.61,84.91,242.80
90.100,moto,0,0,28.40,1,0,574.53,82.54,-83.90
90.100,moto,1,2,31.84,0,0,414.13,74.94,209.37
90.100,atv,1,2,31.55,0,0,419.13,75.13,206.53
91.140,moto,1,2,27.32,0,0,323.35,82.28,256.25
91.140,moto,0,0,35.80,1,0,565.55,82.56,-52.01
91.140,moto,1,2,31.84,0,0,384.84,74.58,224.72
91.140,atv,1,2,28.37,0,0,390.26,74.21,221.84
92.160,moto,1,2,30.09,0,0,299.64,76.31,273.58
92.160,moto,0,0,41.68,1,0,566.31,82.55,-12.29
92.160,moto,1,2,28.37,0,0,358.64,83.50,238.54
92.160,atv,1,2,23.20,0,0,369.84,79.71,232.17
93.160,moto,1,2,24.64,0,0,277.67,66.04,293.82
93.160,moto,1,1,45.83,1,0,567.28,82.55,31.60
93.160,moto,1,2,24.50,0,0,333.37,84.86,251.74
93.160,atv,1,2,21.57,0,0,350.12,82.22,241.60
94.160,moto,1,2,35.14,0,0,248.43,56.37,297.98
94.160,moto,1,1,45.74,1,0,564.75,82.27,78.64
94.160,moto,1,2,18.52,0,0,309.01,77.79,264.18
