time,vehicle,lap,gate,speed,recoveries,misses,x,y,z
3.002,moto,0,0,0.00,0,0,567.39,82.41,56.96
3.002,moto,0,0,0.00,0,0,563.22,82.45,48.82
3.002,moto,0,0,0.00,0,0,568.02,82.49,42.12
3.002,atv,0,0,0.00,0,0,564.20,82.53,34.82
4.220,moto,0,0,18.23,0,0,567.84,82.47,44.96
4.220,moto,0,0,18.22,0,0,563.91,82.52,36.83
4.220,moto,0,0,18.22,0,0,568.85,82.54,30.14
4.220,atv,0,1,17.13,0,0,565.49,82.56,23.58
5.280,moto,0,1,29.25,0,0,569.15,82.57,19.39
5.280,moto,0,1,29.26,0,0,564.63,82.58,11.25
5.280,moto,0,1,29.27,0,0,569.10,82.57,4.54
5.280,atv,0,1,27.40,0,0,566.37,82.57,-0.40
6.560,moto,0,1,38.52,0,0,568.27,82.52,-24.45
6.560,moto,0,1,38.53,0,0,563.86,82.50,-32.62
6.560,moto,0,1,38.54,0,0,568.32,82.49,-39.34
6.560,atv,0,1,35.94,0,0,565.41,82.49,-41.39
7.720,moto,0,1,33.04,0,0,571.15,82.92,-69.75
7.720,moto,0,1,30.98,0,0,568.46,82.93,-76.06
7.720,moto,0,1,28.59,0,0,574.31,82.80,-80.34
7.720,atv,0,1,27.21,0,0,571.44,82.80,-80.54
8.820,moto,0,1,31.68,0,0,585.88,81.56,-98.19
8.820,moto,0,1,32.73,0,0,585.35,81.45,-103.18
8.820,moto,0,1,31.86,0,0,593.96,80.92,-106.71
8.820,atv,0,1,32.03,0,0,590.23,81.11,-106.00
9.880,moto,0,1,23.89,0,0,605.25,79.32,-122.04
9.880,moto,0,1,20.15,0,0,604.17,79.09,-125.00
9.880,moto,0,1,20.26,0,0,607.79,78.43,-129.68
9.880,atv,0,1,20.38,0,0,605.92,78.64,-128.41
11.880,moto,0,1,14.08,0,0,605.39,75.41,-149.04
11.880,moto,0,1,16.60,0,0,603.93,73.70,-153.26
11.880,moto,0,1,17.51,0,0,604.36,72.19,-154.46
11.880,atv,0,1,15.73,0,0,602.66,70.16,-158.07
13.740,moto,0,1,31.95,0,0,589.18,53.34,-184.52
13.740,moto,0,1,30.06,0,0,590.02,52.47,-187.59
13.740,moto,0,1,31.09,0,0,587.48,50.06,-191.63
13.740,atv,0,1,31.96,0,0,586.15,47.94,-196.00
15.480,moto,0,2,31.88,0,0,559.69,35.40,-227.23
15.480,moto,0,1,20.59,0,0,568.38,37.29,-220.06
15.480,moto,0,1,22.39,0,0,565.11,36.37,-223.59
15.480,atv,0,2,24.25,0,0,562.25,35.28,-227.50
17.080,moto,0,2,31.51,0,0,518.45,36.23,-259.75
17.080,moto,0,2,28.95,0,0,538.48,33.09,-249.19
17.080,moto,0,2,28.80,0,0,533.33,33.39,-252.92
17.080,atv,0,2,27.27,0,0,528.21,33.83,-256.44
19.080,moto,0,2,26.69,0,0,467.43,54.49,-277.73
19.080,moto,0,2,22.88,0,0,500.97,42.93,-269.76
19.080,moto,0,2,23.70,0,0,495.61,45.08,-272.05
19.080,atv,0,2,24.03,0,0,489.78,47.03,-271.88
21.080,moto,0,2,28.28,0,0,421.46,56.19,-289.18
21.080,moto,0,2,21.06,0,0,455.29,57.07,-284.67
21.080,moto,0,2,21.41,0,0,449.01,57.55,-286.32
21.080,atv,0,2,22.39,0,0,443.94,57.77,-284.49
23.080,moto,0,2,26.83,0,0,361.43,51.81,-277.66
23.080,moto,0,2,31.80,0,0,405.35,55.17,-291.02
23.080,moto,0,2,31.74,0,0,395.89,54.62,-289.59
23.080,atv,0,2,31.91,0,0,389.41,54.26,-288.48
25.080,moto,0,2,31.46,0,0,309.74,52.58,-244.38
25.080,moto,0,2,30.90,0,0,349.03,50.84,-269.98
25.080,moto,0,2,30.54,0,0,342.87,50.72,-265.91
25.080,atv,0,2,31.19,0,0,337.80,50.78,-262.48
27.080,moto,0,2,31.86,0,0,256.91,47.40,-211.37
27.080,moto,0,2,31.48,0,0,295.91,51.02,-235.73
27.080,moto,0,2,31.62,0,0,289.83,49.37,-231.99
27.080,atv,0,2,31.21,0,0,284.73,47.96,-228.95
29.080,moto,0,2,31.91,0,0,203.88,44.80,-176.43
29.080,moto,0,2,31.91,0,0,244.14,47.31,-201.18
29.080,moto,0,2,31.65,0,0,238.70,47.07,-197.14
29.080,atv,0,2,31.69,0,0,233.75,46.73,-193.66
31.080,moto,0,2,31.93,0,0,143.42,39.46,-157.81
31.080,moto,0,2,31.88,0,0,188.87,43.65,-170.15
31.080,moto,0,2,31.90,0,0,182.46,43.03,-168.04
31.080,atv,0,2,31.68,0,0,176.80,42.23,-166.07
33.080,moto,0,3,0.00,0,0,82.92,31.55,-143.96
33.080,moto,0,2,31.89,0,0,127.41,39.68,-154.72
33.080,moto,0,3,31.80,0,0,120.74,39.89,-153.47
33.080,atv,0,3,31.72,0,0,114.79,39.75,-152.38
35.080,moto,0,3,23.53,0,0,53.25,30.85,-139.95
35.080,moto,0,3,29.27,0,0,65.94,31.20,-143.20
35.080,moto,0,3,27.31,0,0,59.83,31.06,-141.90
35.080,atv,0,3,24.29,0,0,54.53,30.94,-141.07
36.920,moto,0,3,35.32,0,0,3.40,27.96,-131.84
36.920,moto,0,3,33.98,0,0,16.09,28.83,-134.14
36.920,moto,0,3,34.60,0,0,9.71,28.38,-133.11
36.920,atv,0,3,37.09,0,0,-1.54,27.63,-132.01
38.780,moto,0,3,35.96,0,0,-65.07,25.16,-112.51
38.780,moto,0,3,-0.04,1,0,-50.28,24.47,-116.35
38.780,moto,0,3,24.67,0,0,-58.62,25.56,-114.45
38.780,atv,0,3,36.55,0,0,-70.95,24.64,-109.22
40.780,moto,0,3,-0.03,0,0,-99.06,23.61,-86.88
40.780,moto,0,3,27.40,1,0,-76.83,22.78,-101.43
40.780,moto,0,3,-24.89,0,0,-101.74,21.50,-77.33
40.780,atv,0,3,4.94,0,0,-99.33,27.31,-90.81
42.780,moto,0,3,9.60,0,0,-104.05,27.72,-85.56
42.780,moto,0,3,31.91,1,0,-112.51,20.90,-50.55
42.780,moto,0,3,-23.90,0,0,-119.03,22.03,-31.41
42.780,atv,0,3,0.57,0,0,-102.08,23.90,-83.57
44.780,moto,0,3,23.09,0,0,-110.18,20.92,-61.45
44.780,moto,0,3,29.48,1,0,-128.77,21.00,7.82
44.780,moto,0,3,-20.41,0,0,-129.67,16.82,12.86
44.780,atv,0,3,24.48,0,0,-107.85,20.91,-58.45
46.780,moto,0,3,30.40,0,0,-125.63,23.38,-7.20
46.780,moto,0,3,17.54,2,0,-123.33,17.43,38.59
46.780,moto,0,3,-19.02,0,0,-122.36,17.82,51.38
46.780,atv,0,3,30.78,0,0,-127.22,22.98,-1.80
48.660,moto,0,3,5.75,1,0,-123.14,17.27,31.89
48.660,moto,0,3,18.58,2,0,-116.77,18.97,78.78
48.660,moto,0,3,-17.57,0,0,-114.74,19.28,84.89
48.660,atv,0,3,18.52,0,0,-125.19,20.89,45.32
50.380,moto,0,3,26.86,1,0,-120.97,18.20,61.71
